Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Ignition,Cooling system,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Bore x stroke,Lubrication system,Gearbox,Frame type,Front tire,Rear tire,Power/weight ratio,Starter,Fuel control,Front suspension,Rear suspension,Compression,Wheelbase,Fuel capacity,Oil capacity,Electrical,Seat height,Overall height,Overall length,Overall width,Diameter,Modifications compared to previous model,Engine details,Driveline,"Weight incl. oil, gas, etc",Ground clearance,Color options,Carrying capacity,Comments,0-100 km/h (0-62 mph),Torque,Exhaust system,Reserve fuel capacity,Valves per cylinder,Light,Rake (fork angle)
Triumph Tigress 250,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",90.0 km/h (55.9 mph),Carburettor,Two coils,Air,Chain   (final drive),Enclosed ,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,110.0 kg (242.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LDA150 series 3,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",78.9 km/h (49.0 mph),Carburettor. DellÓrto,Contact breaker  and  points,Air,,3 speed- hand changed,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,109.8 kg (242.0 pounds),6.0 HP (4.4  kW)) @ 4600 RPM,57.0 x 58.0 mm (2.2 x 2.3 inches),6%,3-speed,Tubular steel,4-8 ,4-8 ,0.0547 HP/kg,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1958,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",177.0 km/h (110.0 mph),Carburettor. Single Tilloston,Magneto Fairbanks-Morse,Air,,,,,,,Spoked,Single spring-mounted,163.3 kg (360.0 pounds),46.0 HP (33.6  kW)) @ 6500 RPM,,,4-speed,,,,0.2817 HP/kg,,Sidevalves,Telescopic,Rigid,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard,1958,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,177.0 ccm (10.80 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,5-speed,Chrom,,,,Kick,,Hydealic shock absorbers,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH Ironhead,1958,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,Carburettor,,Air,Chain   (final drive),,5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,,222.3 kg (490.0 pounds),55.0 HP (40.1  kW)) @ 6300 RPM,76.2 x 96.8 mm (3.0 x 3.8 inches),,4-speed,Steel single downtube,3.25-19 ,3.25-19 ,0.2475 HP/kg,Kick,Overhead Valves (OHV),Hydraulic telescopic fork,"Swing-arm, twin hydraulic shocks",9.0:1,1448 mm (57.0 inches),17.00 litres (4.49 US gallons),2.80 litres (2.96 US quarts),12 Volt system,,,,,,,,,,,,,,,,,,,,
Simplex Automatic,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",,Carburettor,Magneto,,Belt   (final drive),Variable speed automatic,,,,Expanding brake (drum brake),,,61.2 kg (135.0 pounds),4.0 HP (2.9  kW)) @ 5000 RPM,50.8 x 64.3 mm (2.0 x 2.5 inches),,,,,,0.0653 HP/kg,,Overhead Valves (OHV),Leading link ,Rigid,6.5:1,,9.46 litres (2.50 US gallons),,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta 277,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Chain   (final drive),,,,Expanding brake (drum brake). 6.5 ,Expanding brake (drum brake),Spoked,Dual ,146.0 kg (321.9 pounds),,71.0 x 70.0 mm (2.8 x 2.8 inches),,,Tubular steel,,,,Electric,,Telescopic,Swingarm-coil springs-dampers,,,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,,,,,,,,,,,,,,,
Rikuo RT 2,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,Carburettor. Linkert,Generator and battery,Air,,Four speed ,,,,,,,230.0 kg (507.1 pounds),22.0 HP (16.1  kW)) @ 4250 RPM,,,4-speed,,,,0.0957 HP/kg,,Sidevalves,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules 322,1958,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",120.0 km/h (74.6 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,15.1 HP (11.0  kW)) @ 5000 RPM,52.0 x 58.0 mm (2.0 x 2.3 inches),,,,,,,,,Telescopic,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,
Adler MBS 250 Favorit,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",116.0 km/h (72.1 mph),Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,165.0 kg (363.8 pounds),16.0 HP (11.7  kW)) @ 5600 RPM,54.0 x 54.0 mm (2.1 x 2.1 inches),,4-speed,Semi double cradle,3.25-16 ,3.50-16 ,0.0970 HP/kg,Kick,,,Two schock,,,15.00 litres (3.96 US gallons),,,,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",101.0 km/h (62.8 mph),,,,,,,,Single disc,Single disc,Spoked,Single spring-mounted,,24.0 HP (17.5  kW)) @ 4400 RPM,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,5.10-16 ,5.10-16 ,,Electric,Sidevalves,,,,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,The 1964  and later models has an electric starter.,,,,,,,,,,,,,,
Panther 65 Springer,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",,Carburettor,Magneto,Air,Chain   (final drive),Dry multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,60.0 x 88.0 mm (2.4 x 3.5 inches),,,,3.25-19 ,3.25-19 ,,,,Hydraulic telescopic,Swingarm ,6.5:1,,,,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta 247,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",109.0 km/h (67.7 mph),,,,Chain   (final drive),Enclosed ,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake). 6.5mm,Expanding brake (drum brake),Spoked,Dual ,,14.0 HP (10.2  kW)) @ 5100 RPM,67.0 x 70.0 mm (2.6 x 2.8 inches),,,,,,,,,Telescopic,Swingarm ,,,,,,,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,,,,,,,,,,,,,,,
Horex Resident,1958,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",130.0 km/h (80.8 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,17.5 HP (12.8  kW)) @ 6250 RPM,,,,,3.50-18 ,3.5-18 ,,Kick,Overhead Valves (OHV),Hydralic telescopic forks,Twin shock,7.1:1,,,,,,980 mm (38.6 inches),2000 mm (78.7 inches),860 mm (33.9 inches),150 mm (5.9 inches),,,,,,,,,,,,,,,
Lambretta LD150 series 3,1958,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",78.9 km/h (49.0 mph),Carburettor. DellÓrto,Contact breaker  and  points,Air,,3 speed- hand changed,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,89.8 kg (198.0 pounds),6.0 HP (4.4  kW)) @ 4750 RPM,57.0 x 58.0 mm (2.2 x 2.3 inches),6%,3-speed,Tubular steel,4-8 ,4-8 ,0.0668 HP/kg,,,,,6.5:1,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 125 Series 1,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",69.2 km/h (43.0 mph),Carburettor. DellÓrto,,Air,,Constant mesh,,,,,,Dual seat,103.9 kg (229.0 pounds),5.2 HP (3.8  kW)) @ 5200 RPM,52.0 x 58.0 mm (2.0 x 2.3 inches),,4-speed,,3.50-10 ,3.50-1+ ,0.0501 HP/kg,Kick,,,,7.0:1,,,,,,,,,,,,,,,,,,,,,,,,
Ariel VB 600,1958,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",124.7 km/h (77.5 mph),Carburettor,,Air,Chain   (final drive),,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,,18.0 HP (13.1  kW)) @ 4400 RPM,86.4 x 102.0 mm (3.4 x 4.0 inches),Dry sump,4-speed,Full cradle,3.25-19 ,3.25-19 ,,Kick,,Telescopic fork,Dual shocks,6.0:1,1422 mm (56.0 inches),15.90 litres (4.20 US gallons),3.40 litres (3.59 US quarts),6 Volt.,,,2184 mm (86.0 inches),686 mm (27.0 inches),,,Sidevalve,7.5 inch headlamp,167.8 kg (370.0 pounds),127 mm (5.0 inches),"Deep claret, Black enamel.",,,,,,,,,
Norton Jubilee,1958,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",,Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake). Single,,,Dual seat,150.0 kg (330.7 pounds),11.7 HP (8.5  kW)) @ 7750 RPM,60.0 x 44.0 mm (2.4 x 1.7 inches),,,Single cradle,3.25-18 ,3.25-18 ,0.0780 HP/kg,Kick,,Hydralic telescopic forks,Twin shock,8.8:1,,13.60 litres (3.59 US gallons),,,,1016 mm (40.0 inches),2057 mm (81.0 inches),711 mm (28.0 inches),,,Norton Dominator,,,,,,,,,,,,,
Horex Regina 350,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, four-stroke",,Carburettor. Single Bing or amal,,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,145.0 kg (319.7 pounds),,,,,,,,,,Overhead Valves (OHV),,,,,18.00 litres (4.76 US gallons),,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,
Ariel Leader,1958,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, two-stroke",110.0 km/h (68.4 mph),Carburettor,,Air,Chain   (final drive),,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),,,150.0 kg (330.7 pounds),16.0 HP (11.7  kW)) @ 6400 RPM,54.0 x 54.0 mm (2.1 x 2.1 inches),,4-speed,"Backbone, steel",3.25-16 ,3.25-16 ,0.1067 HP/kg,Kick,,Trailing link oil-damped,Swingarm,,1295 mm (51.0 inches),9.00 litres (2.38 US gallons),,,"762 mm (30.0 inches) If adjustable, lowest setting.",,,,152 mm (6.0 inches),,,,,,"Red/white, blue/white",Saddle bags,Windscreen,,,,,,,
Greeves 32D Sports Twin,1958,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",322.0 ccm (19.65 cubic inches),"Twin, two-stroke",113.0 km/h (70.2 mph),Carburettor. Villiers 25mm,,,Chain   (final drive),,,,,,Spoked,Dual ,122.5 kg (270.0 pounds),17.0 HP (12.4  kW)) @ 5250 RPM,57.0 x 63.5 mm (2.2 x 2.5 inches),,,,,,0.1388 HP/kg,,,,,8.7:1,,,,,,,,,,,180 degree,,,,,,,,,,,,,
BMW R26,1958,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",128.0 km/h (79.5 mph),Carburettor. Bing ,Battery,Air,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,,,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,,15.0 HP (10.9  kW)) @ 6400 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),Wet sump ,4-speed,Steel loop-welded,3.27-18 ,3.27-18 ,,Kick,Overhead Valves (OHV),Cartridge,Twin shock-Swingarm,7.5:1,975 mm (38.4 inches),15.00 litres (3.96 US gallons),,,"730 mm (28.7 inches) If adjustable, lowest setting.",975 mm (38.4 inches),2090 mm (82.3 inches),660 mm (26.0 inches),160 mm (6.3 inches),,,,158.0 kg (348.3 pounds),105 mm (4.1 inches),,325kg,90Kph is the top speed with original sidecar.,,,,,,,
Maico Blizzard 247,1958,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",115.0 km/h (71.5 mph),Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,5-speed,Chrom,,,,Kick,,Hydealic shock absorbers,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G-12,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,Carburettor. Amal,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,180.0 kg (396.8 pounds),35.0 HP (25.5  kW)) @ 6500 RPM,,,,,,,0.1944 HP/kg,,,Telescopic,Swingarm with coil-over shocks,,,,,,,,,,,This model was also named AJS 31 and produced by the same company. This model was also called Monarch.,,,,,,,Designer was Phil Walker,,,,,,,
Moto Guzzi Galetto,1958,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,Chain   (final drive),Multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,120.0 kg (264.6 pounds),,,,4-speed,,2.75-17 ,3-17 ,,Kick,Overhead Valves (OHV),Telescopic,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson S-125,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,90.7 kg (200.0 pounds),,,,,,,,,,,Girder fork coil spring,Rigid-,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp 250 S Trophy,1958,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,136.0 kg (299.8 pounds),14.5 HP (10.6  kW)) @ 5500 RPM,67.0 x 70.0 mm (2.6 x 2.8 inches),Bobine,4-speed,Doble cradle,3.25-16 ,3.25-16 ,0.1066 HP/kg,,,,Two schock,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH,1958,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",185.1 km/h (115.0 mph),Carburettor. NA,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,55.0 HP (40.1  kW)) @ 6300 RPM,76.0 x 98.0 mm (3.0 x 3.9 inches),,,,,,,,Overhead Valves (OHV),Telescopic,Swingarm with coil-over shocks,9.1:1,,7.20 litres (1.90 US gallons),,,,,,,,,45-degree V-twin,,218.0 kg (480.6 pounds),,,,,,,,,,,
Dürkopp MD 201,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, two-stroke",,Carburettor,Magneto,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,131.0 kg (288.8 pounds),12.0 HP (8.8  kW)) @ 5900 RPM,61.0 x 64.0 mm (2.4 x 2.5 inches),,4-speed,Single cradle,1.85-19 ,1.85-19 ,0.0916 HP/kg,,,Hydraulic telescopic,Two shock,7.0:1,,13.50 litres (3.57 US gallons),,,,980 mm (38.6 inches),2030 mm (79.9 inches),670 mm (26.4 inches),180 mm (7.1 inches),,,,,,,,,,,,,,,
Zündapp 200 S,1958,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,12.0 HP (8.8  kW)) @ 5400 RPM,64.0 x 62.0 mm (2.5 x 2.4 inches),,4-speed,,3.25-16 ,3.25-16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heinkel A1 Series 103,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,156.0 kg (343.9 pounds),,60.0 x 61.5 mm (2.4 x 2.4 inches),,,,4-10 ,4-10 ,,,,,,,1375 mm (54.1 inches),,,,,1000 mm (39.4 inches),2085 mm (82.1 inches),710 mm (28.0 inches),,,,,,,,,,,,,,,,
Hercules R 200,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",98.0 km/h (60.9 mph),Carburettor. Bing 24mm,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,144.0 kg (317.5 pounds),10.2 HP (7.4  kW)) @ 5250 RPM,65.0 x 58.0 mm (2.6 x 2.3 inches),,4-speed,,3.50-10 ,3.50-10 ,0.0708 HP/kg,Electric,,,,,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,
Dürkopp MD 176,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",,Carburettor,Magneto,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,124.0 kg (273.4 pounds),10.5 HP (7.7  kW)) @ 5600 RPM,61.0 x 60.0 mm (2.4 x 2.4 inches),,4-speed,Single cradle,1.85-19 ,1.85-19 ,0.0847 HP/kg,,,Hydraulic telescopic,Two shock,7.0:1,,,,,,,2030 mm (79.9 inches),,180 mm (7.1 inches),,,,,,,,,,,,,,,
Maico Blizzard 277,1958,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Alloy-spoked,Dual ,,,,,5-speed,Chrom,,,,Kick,,Hydealic shock absorbers,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,
Adler ISDT,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",125.0 km/h (77.7 mph),Carburettor,Battery,Air,Chain   (final drive),Enclosed ,,,,,Spoked,Single ,,18.0 HP (13.1  kW)) @ 5590 RPM,54.0 x 54.0 mm (2.1 x 2.1 inches),,,,3.25-16 ,3.25-16 ,,,,Twin swining link,Shock absorbers-plunger,6.6:1,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL Sportster,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",162.0 km/h (100.7 mph),Carburettor. Linkert,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,42.0 HP (30.7  kW)) @ 5500 RPM,72.8 x 96.8 mm (2.9 x 3.8 inches),,4-speed,,3.50-18 ,3.50-18 ,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler M 100,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",70.0 km/h (43.5 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,70.0 kg (154.3 pounds),,50.0 x 50.0 mm (2.0 x 2.0 inches),,3-speed,Doble cradle,,,,,,,,7.2:1,,7.00 litres (1.85 US gallons),,,,,,,125 mm (4.9 inches),,,,,,,,,,,,,,,
Moto Guzzi Lodola 175 Gran Turismo,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",110.0 km/h (68.4 mph),Carburettor. DellÓrto,,,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,109.0 kg (240.3 pounds),11.0 HP (8.0  kW)) @ 6500 RPM,62.0 x 57.0 mm (2.4 x 2.2 inches),,4-speed,,2.50-18 ,3.00-19 ,0.1009 HP/kg,,,Telescopic fork,,,1314 mm (51.7 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger Cub T 20,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",106.0 km/h (65.9 mph),Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),,,113.4 kg (250.0 pounds),10.0 HP (7.3  kW)) @ 6000 RPM,63.0 x 64.0 mm (2.5 x 2.5 inches),Dry sumpy,,,,,0.0882 HP/kg,,Overhead Valves (OHV),,Swingarm with coil-over shocks,7.1:1,1245 mm (49.0 inches),,,,,,,,,,Amal monobloc carburettor,,,,,,,,,,,,,
Panther 75 Springer,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,Carburettor,Magneto,Air,Chain   (final drive),Dry multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,71.0 x 88.0 mm (2.8 x 3.5 inches),,4-speed,Single cradle,3.25-19 ,3.25-19 ,,,,Hydraulic telescopic,Swingarm ,6.7:1,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 601 Kardan Sport,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",140.0 km/h (87.0 mph),Carburettor. Bing ,,Air,Shaft drive (cardan)   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,216.0 kg (476.2 pounds),34.0 HP (24.8  kW)) @ 6000 RPM,,,4-speed,Tubular,3.50-19 ,3.50-19 ,0.1574 HP/kg,Kick,Overhead Valves (OHV),Telescopic,,,,14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,
Sparta SL 250,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",,Carburettor,Magneto,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,67.0 x 70.0 mm (2.6 x 2.8 inches),,,,3.25-16 ,3.25-16 ,,Kick,,Telescopic,Twin shock-Swingarm,,,16.00 litres (4.23 US gallons),,,,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,
NSU Quickly Cavalino,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,Chain   (final drive),,,,,,,Dual ,,,,,,,,,,,,Telescopic,Swinging arm-shocks-coil springs,5.5:1,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,
Horex Imperator ,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",135.0 km/h (83.9 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,196.0 kg (432.1 pounds),18.9 HP (13.8  kW)) @ 6790 RPM,,,,Duplex cradle,,,0.0964 HP/kg,,Overhead Valves (OHV),,,7.5:1,,17.00 litres (4.49 US gallons),,,,990 mm (39.0 inches),2140 mm (84.3 inches),660 mm (26.0 inches),,,,,,,,,,,,,,,,
Norton Dominator 77,1958,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,597.0 ccm (36.43 cubic inches),"Twin, four-stroke",,Carburettor,,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,Down tube-single,,,,,,Telescopic,Swingarm -two plungers,,,,,,,,,,,,,,,,,,,,,,,,,
Simson 425 T,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),Carburettor,Magneto,Air,Shaft drive (cardan)   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,140.0 kg (308.6 pounds),12.0 HP (8.8  kW)) @ 5500 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),,,Steel,3.25-19 ,3.25-19 ,0.0857 HP/kg,,,,,,,12.00 litres (3.17 US gallons),,,,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,
James L25 Commodore,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,66.0 x 73.0 mm (2.6 x 2.9 inches),,,,3.25-18 ,3.25-18 ,,,,Telescopic,Swinging arm-shocks-coil springs,,,,,,,,,,,,,,,,,,,105.00 seconds,,,,,,
