Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Ignition,Cooling system,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Bore x stroke,Lubrication system,Gearbox,Frame type,Front tire,Rear tire,Power/weight ratio,Starter,Fuel control,Front suspension,Rear suspension,Compression,Wheelbase,Fuel capacity,Oil capacity,Electrical,Seat height,Overall height,Overall length,Overall width,Diameter,Modifications compared to previous model,Engine details,Driveline,"Weight incl. oil, gas, etc",Ground clearance,Color options,Carrying capacity,Comments,0-100 km/h (0-62 mph),Torque,Exhaust system,Reserve fuel capacity,Valves per cylinder,Light,Rake (fork angle)
Norton Dominator 99SS,1958,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",163.0 km/h (101.3 mph),Carburettor. Amal,Coil,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,68.0 x 82.0 mm (2.7 x 3.2 inches),,,Down tube-single,,,,Kick,Overhead Valves (OHV),Telescopic,Swingarm -two plungers,7.4:1,1410 mm (55.5 inches),16.00 litres (4.23 US gallons),,,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,
Norton Nomad 600,1958,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",597.0 ccm (36.43 cubic inches),"Twin, two-stroke",153.0 km/h (95.1 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi HD 125 Zeffiro,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",78.0 km/h (48.5 mph),Carburettor. DellÓrto,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,92.0 kg (202.8 pounds),5.0 HP (3.6  kW)) @ 4500 RPM,52.0 x 58.0 mm (2.0 x 2.3 inches),,3-speed,,2.25-17 ,2.25-17 ,0.0543 HP/kg,Kick,,Telescopic,,5.7:1,,6.50 litres (1.72 US gallons),,,,,,,,,,,,,,,,,,,,,,
DKW Hummel,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",40.0 km/h (24.9 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,,,,,,Pressed steel ,,,,,,,Swingarm ,6.5:1,,,,,,,,,,,,,,,,,,,,,,49,,
MZ RE125,1958,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",193.0 km/h (119.9 mph),,,,,,,,,,Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Prima V,1958,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",90.0 km/h (55.9 mph),Carburettor. Bing,Battery,Air,Shaft drive (cardan)   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,138.0 kg (304.2 pounds),9.5 HP (6.9  kW)) @ 5200 RPM,62.0 x 57.6 mm (2.4 x 2.3 inches),,4-speed,,3.50-10 ,3.50-10 ,0.0688 HP/kg,Electric,,,,6.4:1,,12.00 litres (3.17 US gallons),,,,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),,,,,,,,,,,,,,,,
Velocette Venom,1958,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",161.0 km/h (100.0 mph),Carburettor. Amal ,Belt driven dynamo,Air,Chain   (final drive),Dry-three plate,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,177.0 kg (390.2 pounds),34.0 HP (24.8  kW)) @ 6200 RPM,86.0 x 86.0 mm (3.4 x 3.4 inches),Wet sump ,,,3.25-19 ,3.25-19 ,0.1921 HP/kg,Kick,Overhead Valves (OHV),Telescopic,Swingarm with coil-over shocks,8.0:1,1391 mm (54.8 inches),13.60 litres (3.59 US gallons),,,,,,,,,,,,,Black with gold pin striping,,,,,,,,,27.0°
BMW R69,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",175.0 km/h (108.7 mph),Carburettor. Bing,Magneto,Air,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,Spoked,Dual seat,,35.0 HP (25.5  kW)) @ 6800 RPM,72.0 x 73.0 mm (2.8 x 2.9 inches),Forced feed,4-speed,Steel-doble cradle,,3.5-18 ,,Kick,Overhead Valves (OHV),Cartridge,Twin shock-swingarm,7.5:1,1365 mm (53.7 inches),17.00 litres (4.49 US gallons),,,,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),200 mm (7.9 inches),,,,202.0 kg (445.3 pounds),,,360,Carrying capacity with orginal sidecar 600kg,,,,,,,
Ariel 4G Square Four Mark II,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,160.0 km/h (99.4 mph),Carburettor. SU MC2 carburettor with air cleaner,,Air,Chain   (final drive),"Dry, 3-plate",3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,,45.0 HP (32.8  kW)) @ 5500 RPM,65.0 x 78.0 mm (2.6 x 3.1 inches),Dry sump with dual oil pump.,4-speed,Full cradle,3.25-19 ,4.00-18 ,,Kick,Overhead Valves (OHV),Oil damped telescopic fork,Plunger-link spring,6.0:1,1422 mm (56.0 inches),18.93 litres (5.00 US gallons),3.40 litres (3.59 US quarts),,,,2184 mm (86.0 inches),686 mm (27.0 inches),203 mm (8.0 inches),,Double twin cylinder arranged as a square. ,,197.3 kg (435.0 pounds),140 mm (5.5 inches),Deep red,,"Also called ´Squariel´. Designed by Edward Turner. Mark II has separate barrels, a re-designed cylinder head with four separate exhaust pipes from two cast-aluminium manifolds and a rocker-box combined with the inlet manifold. Sidecar option.",,,,,2,"7.5 inch, 30 Watt headlamp.",
Harley-Davidson Drag Bike,1958,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",323.5 km/h (201.0 mph),Carburettor,Magneto,,Chain   (final drive),Single speed,,,Expanding brake (drum brake),,,Single seat,,,,,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,136.1 kg (300.0 pounds),,Multicolored white/blue/red,,,,,,,,,
