Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Transmission type,Clutch,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Oil capacity,Gearbox,Front tire,Rear tire,Wheels,Seat,Starter,Ignition,Overall height,Overall length,Overall width,Frame type,Front suspension,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Color options,Comments,Torque,Diameter,Electrical,Driveline,"Weight incl. oil, gas, etc",Carrying capacity,Valves per cylinder,Light,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Instruments,Rake (fork angle)
Maico Maicoletta 277,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,,,71.0 x 70.0 mm (2.8 x 2.8 inches),Carburettor,,,,Chain   (final drive),,Swingarm-coil springs-dampers,Expanding brake (drum brake). 6.5 ,Expanding brake (drum brake),146.0 kg (321.9 pounds),,,,,,,,Spoked,Dual ,Electric,,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),Tubular steel,Telescopic,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,
BMW R25 3,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,13.1 HP (9.5  kW)) @ 5800 RPM,88.0 km/h (54.7 mph),7.1:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),Wet sump ,Air,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Telscopic,Expanding brake (drum brake),Expanding brake (drum brake),,,1335 mm (52.6 inches),12.00 litres (3.17 US gallons),,4-speed,3.27-18 ,3.27-18 ,,,Kick,Battery,710 mm (28.0 inches),2065 mm (81.3 inches),760 mm (29.9 inches),Closed steel loop-welded,Cartridge,2.90 litres/100 km (34.5 km/l or 81.11 mpg),67.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"730 mm (28.7 inches) If adjustable, lowest setting.",92 mm (3.6 inches),,,,160 mm (6.3 inches),,,150.0 kg (330.7 pounds),,,,,,,,,
DKW RT 250 VS,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",,,119.0 km/h (73.9 mph),,70.0 x 74.0 mm (2.8 x 2.9 inches),Carburettor. Bing ,,,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),155.0 kg (341.7 pounds),,,,,4-speed,3.25-18 ,3.25-18 ,Spoked,Dual ,,,,,,,Telescopic ,,,,,,,,,,,,,,,,,,,,,
Rikuo RT 2,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,22.0 HP (16.1  kW)) @ 4250 RPM,,,,Carburettor. Linkert,Sidevalves,,Air,,Four speed ,,,,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,4-speed,,,,Spring-mounted seat,,Generator and battery,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Ardie BD 201,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",,12.0 HP (8.8  kW)) @ 5900 RPM,,6.9:1,64.0 x 61.0 mm (2.5 x 2.4 inches),Carburettor,,,Air,Chain   (final drive),,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),131.0 kg (288.8 pounds),0.0916 HP/kg,,13.50 litres (3.57 US gallons),,,3-19 ,3-19 ,,Two single seats,,Magneto,980 mm (38.6 inches),2030 mm (79.9 inches),670 mm (26.4 inches),Single cradle,Hydraulic telescopic,,,,,,,,,,,,,,,,,,,,,
Aermacchi HD 150 Zeffiro,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,6.0 HP (4.4  kW)) @ 4500 RPM,90.0 km/h (55.9 mph),6.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,Air,Chain   (final drive),Wet multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),92.0 kg (202.8 pounds),0.0652 HP/kg,,,,3-speed,3-17 ,3-17 ,,Two single seats,Kick,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
KTM Mirabell,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,8.0 HP (5.8  kW)) @ 5500 RPM,85.0 km/h (52.8 mph),,54.0 x 59.0 mm (2.1 x 2.3 inches),Carburettor,,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),125.0 kg (275.6 pounds),0.0640 HP/kg,,8.00 litres (2.11 US gallons),,3-speed,3.25-12 ,3.25-12 ,Alloy,Dual ,Electric,,,,,Double  loop ,Swingarm with shock absorbers,,,,,,,,,,,,,,,,,,,,,
James Colonel 225,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",,9.6 HP (7.0  kW)) @ 4500 RPM,80.0 km/h (49.7 mph),7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Carburettor,,,Air,Chain   (final drive),Wet multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),125.0 kg (275.6 pounds),0.0768 HP/kg,,12.50 litres (3.30 US gallons),,4-speed,3-18 ,3-18 ,Spoked,Dual ,Kick,,,,,Single cradle,Hydraulic telescopic,,,,,,,,,,,,,,,,,,,,,
Aermacchi Chimera 175,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",,,110.0 km/h (68.4 mph),7.0:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor. DellÓrto,,,Air,Chain   (final drive),Wet multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),122.0 kg (269.0 pounds),,,,,4-speed,2.50-17 ,2.50-17 ,Spoked,Dual ,Kick,Bobine,,,,Single cradle,Telescopic,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard 247,1956,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,,115.0 km/h (71.5 mph),,,Carburettor,,,Air,Chain   (final drive),Wet multiplate,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,9.50 litres (2.51 US gallons),,5-speed,,,Spoked,Dual ,Kick,,,,,Chrom,Hydealic shock absorbers,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Galetto,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",,,,,,Carburettor,Overhead Valves (OHV),,,Chain   (final drive),Multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),120.0 kg (264.6 pounds),,,,,4-speed,2.75-17 ,3-17 ,Spoked,Single ,Kick,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Dürkopp Diana,1956,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",,,80.0 km/h (49.7 mph),,,Carburettor,,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,12.00 litres (3.17 US gallons),,,,,,Two single seats,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R69,1956,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",,35.0 HP (25.5  kW)) @ 6800 RPM,175.0 km/h (108.7 mph),7.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. Bing,Overhead Valves (OHV),Forced feed,Air,Shaft drive (cardan)   (final drive),Single plate-saucer spring-dry,Twin shock-swingarm,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,,1365 mm (53.7 inches),17.00 litres (4.49 US gallons),,4-speed,,3.5-18 ,Spoked,Dual seat,Kick,Magneto,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),Steel-doble cradle,Cartridge,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Carrying capacity with orginal sidecar 600kg,,200 mm (7.9 inches),,,202.0 kg (445.3 pounds),360,,,,,,,,
Gilera Saturno Cross,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",,38.0 HP (27.7  kW)),,7.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SS38,Overhead Valves (OHV),,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),125.0 kg (275.6 pounds),0.3040 HP/kg,1400 mm (55.1 inches),10.00 litres (2.64 US gallons),,4-speed,3-21 ,4-18 ,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greeves 32D Sports Twin,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,322.0 ccm (19.65 cubic inches),"Twin, two-stroke",180 degree,17.0 HP (12.4  kW)) @ 5250 RPM,113.0 km/h (70.2 mph),8.7:1,57.0 x 63.5 mm (2.2 x 2.5 inches),Carburettor. Villiers 25mm,,,,Chain   (final drive),,,,,122.5 kg (270.0 pounds),0.1388 HP/kg,,,,,,,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Tourismo,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,Chain   (final drive),,Twin shock-swingarm,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,Single seat,Kick,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Ariel VB 600,1956,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",Sidevalve,18.0 HP (13.1  kW)) @ 4400 RPM,124.7 km/h (77.5 mph),6.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor. Amal monobloc 376/13,,Dry sump,Air,Chain   (final drive),"Dry, multiplate",Dual shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,1422 mm (56.0 inches),15.90 litres (4.20 US gallons),3.40 litres (3.59 US quarts),4-speed,3.25-19 ,3.25-19 ,Wire spoked. Dunlop tyres.,Single seat,Kick,,,2184 mm (86.0 inches),686 mm (27.0 inches),Full cradle,Telescopic fork,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,127 mm (5.0 inches),,,,,6 Volt.,7.5 inch headlamp,167.8 kg (370.0 pounds),,,,,,,,,
Hercules 316,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,3.0 HP (2.2  kW)) @ 4000 RPM,60.0 km/h (37.3 mph),6.1:1,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor,,,,,,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),74.0 kg (163.1 pounds),0.0405 HP/kg,,11.00 litres (2.91 US gallons),,,2.50-19 ,2.50-19 ,,Single ,,Magneto Bosch,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules 313 Starr,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,6.5 HP (4.7  kW)) @ 4700 RPM,85.0 km/h (52.8 mph),,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. Sachs 18mm,,,Air,Chain   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),90.0 kg (198.4 pounds),0.0722 HP/kg,,,,,2.75-19 ,2.75-19 ,,Spring-mounted seat,,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Simplex Automatic,1956,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",,4.0 HP (2.9  kW)) @ 5000 RPM,,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor,Overhead Valves (OHV),,,Belt   (final drive),Variable speed automatic,Rigid,,Expanding brake (drum brake). 5inc. operated by pedal- right side,61.2 kg (135.0 pounds),0.0653 HP/kg,1194 mm (47.0 inches),9.46 litres (2.50 US gallons),,,,,,,,Magneto,,,,,Leading link ,,,,,,,,,,,,,,,,,,,,,
Velocette Valiant,1956,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,192.0 ccm (11.72 cubic inches),"Two cylinder boxer, four-stroke",,12.0 HP (8.8  kW)) @ 6000 RPM,110.0 km/h (68.4 mph),8.0:1,50.0 x 49.0 mm (2.0 x 1.9 inches),Carburettor,Overhead Valves (OHV),,Air,Shaft drive (cardan)   (final drive),Dry plate,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),116.0 kg (255.7 pounds),0.1034 HP/kg,,12.00 litres (3.17 US gallons),,,3.25-18 ,3.25-18 ,Spoked,Dual seat,Kick,,965 mm (38.0 inches),2006 mm (79.0 inches),724 mm (28.5 inches),,Hydralic telescopic forks,,,,,,,,,130 mm (5.1 inches),,,,,,,,,,,,
BSA A7 Shoting Star,1956,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,19.7 HP (14.4  kW)) @ 6000 RPM,168.0 km/h (104.4 mph),6.6:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,,,Air,,Wet multiplate,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),193.0 kg (425.5 pounds),0.1021 HP/kg,1391 mm (54.8 inches),19.00 litres (5.02 US gallons),,,3.25-19 ,3.25-19 ,,Dual seat,Kick,Lucas magneto,,2180 mm (85.8 inches),,Single cradle,Hydralic telescopic forks,,,,,,,,,,,,,,,,,,,,,
DKW RT 175 S,1956,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,94.0 km/h (58.4 mph),,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor,,,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,4-speed,3-18 ,3-18 ,Spoked,,,,,,,,Telescopic ,,,,,,,,,,,,,,,,,,,,,
Enfield Super Meteor,1956,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,700.0 ccm (42.71 cubic inches),"Twin, four-stroke","692cc parallel-twin, cast iron crankshaft, alloy connecting rods and pistons, independent heads and iron cylinders",40.0 HP (29.2  kW)) @ 5500 RPM,160.9 km/h (100.0 mph),7.3:1,70.0 x 90.0 mm (2.8 x 3.5 inches),"Carburettor. Single 376/41 Amal Monobloc, 1-1/16´ bore",Overhead Valves (OHV),Dry sump w/ crankcase reservoir,Air,Chain   (final drive),Wet Multiplate,"Swing Arm, Armstrong shocks",Expanding brake (drum brake). Duplex single-leading,Expanding brake (drum brake). Single expanding drum,186.0 kg (410.0 pounds),0.2151 HP/kg,1372 mm (54.0 inches),15.14 litres (4.00 US gallons),2.80 litres (2.96 US quarts),4-speed,3.25-19 ,3.50-19 ,"40 spoke 1-over-2, QD rear hub. Dunlop tires.",,Kick,"Lucas SR2 magneto, automatic advance",787 mm (31.0 inches),,,"Chromoly brazed, single tapered downtube, cradle type",Telescopic forks,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Twin independent with silencers,,140 mm (5.5 inches),Deep Maroon,First year for Super Meteor model. Largest displacement twin at the time of production.,,178 mm (7.0 inches),"6v Lucas RM14 70w A.C. generator, bridge rectifier, electric horn,  ","Albion gearbox w/ neutral finder, 530 Chain 100 link",192.8 kg (425.0 pounds),,2,"7´ Lucas headlamp w/ switch and ammeter, twin pilot lights, stop/tail lights",7.50 seconds,16.00 seconds,152 mm (6.0 inches),1.14 litres (0.30 US gallons),120mph Speedometer,
DKW RT 175 VS,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,9.6 HP (7.0  kW)) @ 5000 RPM,101.0 km/h (62.8 mph),6.5:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing ,,,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),130.0 kg (286.6 pounds),0.0738 HP/kg,,,,4-speed,3.00-18 ,3.00-18 ,Spoked,Dual ,,,,,,,Telescopic ,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 165,1956,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,165.0 ccm (10.07 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,,,Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKW RT 125 2H,1956,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,5.7 HP (4.2  kW)) @ 5000 RPM,84.0 km/h (52.2 mph),6.5:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,,Air,Chain   (final drive),Wet multiplate,None,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,3-speed,2.50-19 ,2.50-19 ,Spoked,,Kick,Magneto,660 mm (26.0 inches),1959 mm (77.1 inches),660 mm (26.0 inches),Single cradle,Telescopic fork,,,,,,,,,,,,,,,,,,,,,
Heinkel A0 Series 103,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,,,60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,,,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),152.0 kg (335.1 pounds),,1370 mm (53.9 inches),,,,4-10 ,4-10 ,,Dual ,,,1000 mm (39.4 inches),2060 mm (81.1 inches),710 mm (28.0 inches),,,,,,,,,,,,,,,,,,,,,,,
Matchless G3 350,1956,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5750 RPM,129.0 km/h (80.2 mph),6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,,Dry sump,Air,Chain   (final drive),Wet multiplate,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),,,1436 mm (56.5 inches),19.00 litres (5.02 US gallons),,4-speed,3.25-19 ,3.50-19 ,Spoked,Dual ,Kick,,,,,,Telescopic,,,,,,,,,178 mm (7.0 inches),,,179.0 kg (394.6 pounds),,,,,,,,,
Motobi Catria Lusso,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",,8.5 HP (6.2  kW)) @ 6800 RPM,120.7 km/h (75.0 mph),,67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. DellÓrto,Overhead Valves (OHV),,Air,Chain   (final drive),,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),97.5 kg (215.0 pounds),0.0872 HP/kg,,,,,,,Spoked,Dual ,,Magneto ,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 65 Turismo,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,64.0 ccm (3.91 cubic inches),"Single cylinder, two-stroke",,,56.0 km/h (34.8 mph),5.5:1,42.0 x 46.0 mm (1.7 x 1.8 inches),Carburettor. DellÓrto,,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),55.0 kg (121.3 pounds),,,,,,2.25-20 ,2.25-20 ,,Single seat,Kick,,910 mm (35.8 inches),1900 mm (74.8 inches),700 mm (27.6 inches),,Telescopic,,,,,,,,,,,,,,,,,,,,,
Hercules R 200,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",,10.2 HP (7.4  kW)) @ 5250 RPM,98.0 km/h (60.9 mph),,65.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor. Bing 24mm,,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),144.0 kg (317.5 pounds),0.0708 HP/kg,,11.00 litres (2.91 US gallons),,4-speed,3.50-10 ,3.50-10 ,,Dual ,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton International Model 30,1956,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,,150.0 km/h (93.2 mph),7.2:1,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,Overhead Cams (OHC),,Air,Chain   (final drive),,,,,,,1391 mm (54.8 inches),,,,,,Spoked,Single spring-mounted,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJS Model 30 600,1956,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",593.0 ccm (36.18 cubic inches),"V2, four-stroke",,33.0 HP (24.1  kW)) @ 6800 RPM,152.0 km/h (94.4 mph),,72.0 x 72.8 mm (2.8 x 2.9 inches),Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),Dry multiplate,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),178.0 kg (392.4 pounds),0.1854 HP/kg,,16.00 litres (4.23 US gallons),,4-speed,3.50-19 ,3.50-19 ,Spoked,Dual ,Kick,,1040 mm (40.9 inches),2150 mm (84.6 inches),700 mm (27.6 inches),Single cradle,Hydraulic telescopic,,,,,,,,,,,,,,,,,,,,,
AJS Model 16 350MS,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5750 RPM,,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Wet sump ,Air,Chain   (final drive),Wet multiplate,Two shock,Expanding brake (drum brake),Expanding brake (drum brake),170.0 kg (374.8 pounds),0.1059 HP/kg,1422 mm (56.0 inches),13.50 litres (3.57 US gallons),,4-speed,3.25-19 ,3.25-19 ,,,Kick,Bobine,,2190 mm (86.2 inches),710 mm (28.0 inches),Duplex steel cradle,Catrigde,,,,,,,,,,,,,,,,,,,,,
Lambretta LDA 150 series 2,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,6.5 HP (4.7  kW)) @ 4750 RPM,78.9 km/h (49.0 mph),6.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,Air,,3 speed- hand changed,,Expanding brake (drum brake),Expanding brake (drum brake),88.0 kg (194.0 pounds),0.0739 HP/kg,,,,3-speed,4-8 ,4-8 ,,Dual seat,,Contact breaker  and  points,,,,Tubular steel,,,,,,,,,,,,,,,,,,,,,,
Adler Junior 100 Luxus,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,,70.0 km/h (43.5 mph),,,Carburettor,,,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparta SL 250,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",,,,,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,Air,Chain   (final drive),,Twin shock-Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),,,,16.00 litres (4.23 US gallons),,,3.25-16 ,3.25-16 ,,Single seat,Kick,Magneto,,,,,Telescopic,,,,,,,,,180 mm (7.1 inches),,,,,,,,,,,,
Adler MB 250 RS,1956,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",,,105.0 km/h (65.2 mph),5.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,1257 mm (49.5 inches),12.00 litres (3.17 US gallons),,,3.25-16 ,3.25-16 ,Spoked,Single ,,Coil,,,,Doble tubular,,,,,,,,,,,,,,,,,,,,,,
MZ RE125,1956,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,,193.0 km/h (119.9 mph),,,,,,,,,,,,,,,,,,,,Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules A 175,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",,9.3 HP (6.8  kW)) @ 5250 RPM,90.0 km/h (55.9 mph),,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing 24mm,,,Air,Chain   (final drive),Wet multiplate,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),140.0 kg (308.6 pounds),0.0664 HP/kg,,11.50 litres (3.04 US gallons),,4-speed,3.25-16 ,3.50-16 ,Spoked,Dual ,Kick,Bobine,,,,,Telescopic,,,,,,,,,150 mm (5.9 inches),,,,,,,,,,,,
Ariel NH 350 Red Hunter,1956,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Amal monoblock carburettor,Overhead Valves (OHV),Dual oil pumps,Air,Chain   (final drive),"Dry, multiplate",Plungers,Expanding brake (drum brake),Expanding brake (drum brake),160.0 kg (352.7 pounds),0.1219 HP/kg,,12.00 litres (3.17 US gallons),3.40 litres (3.59 US quarts),4-speed,3.00-20 ,3.25-19 ,Wire spoked. Dunlop tyres.,Dual seat,Kick,Lucas manual ignition control,,2180 mm (85.8 inches),640 mm (25.2 inches),Semi-double cradle,Telescopic fork,,,1-into-1 pipes,,,Dark red,,,178 mm (7.0 inches),6V system.,,,,,7.5 inch headlamp,,,,,,
