Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Transmission type,Clutch,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Oil capacity,Gearbox,Front tire,Rear tire,Wheels,Seat,Starter,Ignition,Overall height,Overall length,Overall width,Frame type,Front suspension,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Color options,Comments,Torque,Diameter,Electrical,Driveline,"Weight incl. oil, gas, etc",Carrying capacity,Valves per cylinder,Light,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Instruments,Rake (fork angle)
Harley-Davidson Servi-Car GE,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,5.10-16 ,5.10-16 ,Spoked,Single spring-mounted,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,Leading link-Springer type,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno Corsa,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",,38.0 HP (27.7  kW)),119.0 km/h (73.9 mph),7.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SSF3M,Overhead Valves (OHV),,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,1380 mm (54.3 inches),19.00 litres (5.02 US gallons),,4-speed,3.25-19 ,3.25-19 ,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horex Regina 400,1956,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,16.2 HP (11.8  kW)) @ 5750 RPM,,,,Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),150.0 kg (330.7 pounds),0.1080 HP/kg,,,,,,,,Single seat,Kick,,,,,,Hydralic telescopic forks,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,
NSU Superlux,1956,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",,11.0 HP (8.0  kW)) @ 5250 RPM,,6.0:1,62.0 x 66.0 mm (2.4 x 2.6 inches),Carburettor. Bing,,,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,3-19 ,3-19 ,Spoked,Single spring-mounted,Kick,,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,,,,,,,,,,,,,,,,,,,,,
DKW RT 350 S,1956,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,348.0 ccm (21.23 cubic inches),"Twin, two-stroke",,18.5 HP (13.5  kW)) @ 5000 RPM,120.0 km/h (74.6 mph),6.3:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor,,,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),162.0 kg (357.1 pounds),0.1142 HP/kg,,,,,3.50-18 ,3.50-18 ,,,,,970 mm (38.2 inches),2080 mm (81.9 inches),660 mm (26.0 inches),,Telescopic ,3.80 litres/100 km (26.3 km/l or 61.90 mpg),88.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,
Puch 250 SGS 67,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",,16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,,,,Chain   (final drive),,Swingarm,,,150.0 kg (330.7 pounds),0.1100 HP/kg,,13.00 litres (3.43 US gallons),,4-speed,3-16 ,3.50-16 ,Spoked,Dual ,,,,,,,Telescopic,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,,,,,,,,,
Simson 425 T,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,12.0 HP (8.8  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,,,Air,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),140.0 kg (308.6 pounds),0.0857 HP/kg,,12.00 litres (3.17 US gallons),,,3.25-19 ,3.25-19 ,Spoked,Single ,,Magneto,,,,Steel,Telescopic,,,,,,,,,180 mm (7.1 inches),,,,,,,,,,,,
Harley-Davidson KR 750,1956,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",,46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),,,Carburettor. Single Tilloston,Sidevalves,,Air,,,Rigid,,,163.3 kg (360.0 pounds),0.2817 HP/kg,,,,4-speed,,,Spoked,Single spring-mounted,,Magneto Fairbanks-Morse,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Ardie BZ 350 D,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",,,130.0 km/h (80.8 mph),6.8:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor,,,Air,Chain   (final drive),Wet multiplate,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),161.0 kg (354.9 pounds),,,15.00 litres (3.96 US gallons),,4-speed,3.25-19 ,3.25-19 ,Spoked,,Kick,Magneto,1015 mm (40.0 inches),2090 mm (82.3 inches),680 mm (26.8 inches),Doble cradle,Hydraulic telescopic,,,,,,,,,180 mm (7.1 inches),,,,,,,,,,,,
Simplex Scooter 150,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,,,,,Carburettor,,,Air,Belt   (final drive),,,,,,,,,,,,,Disc,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
