Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Cooling system,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Engine details,Valves per cylinder,Fuel system,Fuel control,Lubrication system,Gearbox,Front tire,Rear tire,Diameter,Wheels,Overall length,Oil capacity,Color options,Starter,Light,Comments,Clutch,Torque,Ignition,Overall width,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Overall height,Electrical,Carrying capacity,"Weight incl. oil, gas, etc",Driveline,Rake (fork angle)
Sunbeam S8 500,1955,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,,6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Oil & air,Shaft drive (cardan)   (final drive),Twin cradle,Telescopic,Plungers,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,187.0 kg (412.3 pounds),0.1283 HP/kg,1400 mm (55.1 inches),,,,Carburettor,Single Overhead Cams (SOHC),Wet sump,,,,,Spoked,,,,,,,Dry singleplate,,,,,,,,,,,,,,
DKW Hobby Luxus,1955,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,74.0 ccm (4.52 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 5000 RPM,60.0 km/h (37.3 mph),6.1:1,45.0 x 47.0 mm (1.8 x 1.9 inches),Air,,,Telescopic ,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,,,,,,,Carburettor. Bing ,,,,2.50-16 ,2.50-16 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Sparta NL200,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Twin, two-stroke",,,,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,,,13.00 litres (3.43 US gallons),,,Carburettor,,,,3-19 ,3-19 ,,,,,,,,,,,,,,,,,,,,,,,
Horex Regina 400,1955,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",16.2 HP (11.8  kW)) @ 5750 RPM,130.0 km/h (80.8 mph),,,Air,Chain   (final drive),,Hydralic telescopic forks,,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,150.0 kg (330.7 pounds),0.1080 HP/kg,,,,,Carburettor,Overhead Valves (OHV),,,,,,,,,,Kick,,,,,,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,
Zündapp 200 S,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 5400 RPM,,,64.0 x 62.0 mm (2.5 x 2.4 inches),Air,Chain   (final drive),,,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,132.0 kg (291.0 pounds),0.0909 HP/kg,,,,,Carburettor,,,4-speed,3.25-16 ,3.25-16 ,,Spoked,,,,Kick,,,Wet multiplate,,,,,,,,,,,,,,
Lambretta 125F,1955,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",3.8 HP (2.8  kW)) @ 4500 RPM,70.8 km/h (44.0 mph),6.3:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Air,,Tubular steel,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,59.9 kg (132.0 pounds),0.0635 HP/kg,,,,,Carburettor. DellÓrto MU 14B1,,5%,3-speed,4-8 ,4-8 ,,,,,,Electric,,,3 speed- hand changed,,Contact breaker  and  points,,,,,,,,,,,,
Harley-Davidson Hummer,1955,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,80.5 km/h (50.0 mph),6.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,,Girder-rubber springs,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,77.1 kg (170.0 pounds),,1300 mm (51.2 inches),6.60 litres (1.74 US gallons),,,Carburettor,,,,3.25-19 ,3.25-19 ,,Spoked,,,,,,,,,Magneto,,,,,,,,,,,,
Simson 425 T,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),,68.0 x 68.0 mm (2.7 x 2.7 inches),Air,Shaft drive (cardan)   (final drive),Steel,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,140.0 kg (308.6 pounds),0.0857 HP/kg,,12.00 litres (3.17 US gallons),,,Carburettor,,,,3.25-19 ,3.25-19 ,180 mm (7.1 inches),Spoked,,,,,,,,,Magneto,,,,,,,,,,,,
Ariel KH 500 Huntmaster,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",28.0 HP (20.5  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),6.8:1,56.0 x 86.0 mm (2.2 x 3.4 inches),Air,Chain   (final drive),Duplex loop,Telescopic forks,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat with springs,177.0 kg (390.2 pounds),0.1584 HP/kg,1422 mm (56.0 inches),17.00 litres (4.49 US gallons),,,Carburettor,Overhead Valves (OHV),Dry sump,4-speed,3.00-20 ,3.50-19 ,,Wire spoked. Dunlop tyres.,2184 mm (86.0 inches),3.80 litres (4.02 US quarts),Red,Kick,,Ariel was bought by BSA in 1944.,Dry plate,,Lucas,686 mm (27.0 inches),3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,2-into-2 pipes,"787 mm (31.0 inches) If adjustable, lowest setting.",140 mm (5.5 inches),,,,,,
Norton Dominator Model 7,1955,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,,6.7:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,1410 mm (55.5 inches),,,,Carburettor,Overhead Valves (OHV),,,,,,,,,,,,,Wet multiplate,,Magneto,,,,,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,,
