Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Cooling system,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Engine details,Valves per cylinder,Fuel system,Fuel control,Lubrication system,Gearbox,Front tire,Rear tire,Diameter,Wheels,Overall length,Oil capacity,Color options,Starter,Light,Comments,Clutch,Torque,Ignition,Overall width,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Overall height,Electrical,Carrying capacity,"Weight incl. oil, gas, etc",Driveline,Rake (fork angle)
Peugeot S157,1955,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",6.6 HP (4.8  kW)) @ 4500 RPM,89.0 km/h (55.3 mph),6.5:1,56.0 x 60.0 mm (2.2 x 2.4 inches),Air,Chain   (final drive),Tubular,Traveling link,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,113.4 kg (250.0 pounds),0.0582 HP/kg,1270 mm (50.0 inches),6.25 litres (1.65 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel 4G Square Four Mark II,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,45.0 HP (32.8  kW)) @ 5500 RPM,160.0 km/h (99.4 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Air,Chain   (final drive),Full cradle,Oil damped telescopic fork,Plunger-link spring,Expanding brake (drum brake),Expanding brake (drum brake),,193.0 kg (425.5 pounds),0.2332 HP/kg,1422 mm (56.0 inches),16.00 litres (4.23 US gallons),Double twin cylinder arranged as a square. ,2,Carburettor. SU MC2 carburettor with air cleaner,Overhead Valves (OHV),Dry sump with dual oil pump.,4-speed,3.25-19 ,4.00-18 ,203 mm (8.0 inches),Wire spoked. Dunlop tyres.,2083 mm (82.0 inches),3.40 litres (3.59 US quarts),Red/chrome,Kick,"7.5 inch, 30 Watt headlamp.","Also called ´Squariel´. Designed by Edward Turner. Mark II has separate barrels, a re-designed cylinder head with four separate exhaust pipes from two cast-aluminium manifolds and a rocker-box combined with the inlet manifold.",,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",23.0 HP (16.8  kW)) @ 4500 RPM,135.0 km/h (83.9 mph),,88.0 x 82.0 mm (3.5 x 3.2 inches),Air,Chain   (final drive),,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,170.0 kg (374.8 pounds),0.1353 HP/kg,,17.00 litres (4.49 US gallons),,,Carburettor. DellÓrto,,,4-speed,3.25-19 ,3.50-19 ,200 mm (7.9 inches),Spoked,,,,,,,Wet multiplate,,,,,,,,,,,,,,
Puch 250 SGS 67,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),,Chain   (final drive),,Telescopic,Swingarm,,,Dual ,150.0 kg (330.7 pounds),0.1100 HP/kg,,13.00 litres (3.43 US gallons),,,Carburettor,,,4-speed,3-16 ,3.50-16 ,,Spoked,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,,,,,,,,,
Gilera Saturno Corsa,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)),119.0 km/h (73.9 mph),7.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,1380 mm (54.3 inches),19.00 litres (5.02 US gallons),,,Carburettor. DellÓrto SSF3M,Overhead Valves (OHV),,4-speed,3.25-19 ,3.25-19 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
James Colonel,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",,,7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Air,Chain   (final drive),Single downtube ,Hydralic telescopic forks,,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,125.0 kg (275.6 pounds),,,12.50 litres (3.30 US gallons),,,Carburettor. Villers,,Wet sump ,,3-18 ,3-18 ,,,2002 mm (78.8 inches),,,Kick,,,,,Magneto,860 mm (33.9 inches),,,,,,,,,,,
Hercules 316,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 4000 RPM,60.0 km/h (37.3 mph),6.1:1,48.0 x 54.0 mm (1.9 x 2.1 inches),,,,,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single ,74.0 kg (163.1 pounds),0.0405 HP/kg,,11.00 litres (2.91 US gallons),,,Carburettor. Bing 22mm,,,,2.50-19 ,2.50-19 ,,,,,,,,,,,Magneto Bosch,,,,,,,,,,,,
Adler M 250 S,1955,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 5590 RPM,116.0 km/h (72.1 mph),5.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Air,Chain   (final drive),Semi double cradle,,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),Single ,,,,,,,Carburettor,,,4-speed,,,180 mm (7.1 inches),,,,,Kick,,,Wet multiplate,,,,,,,,,,,,,,
DKW RT 175,1955,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,94.0 km/h (58.4 mph),,62.0 x 58.0 mm (2.4 x 2.3 inches),Air,Chain   (final drive),,Telescopic ,None,Expanding brake (drum brake),Expanding brake (drum brake),Single ,117.0 kg (257.9 pounds),,,,,,Carburettor. Bing ,,,,3-19 ,3-19 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Ariel FH 650 Huntmaster,1955,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 5600 RPM,148.9 km/h (92.5 mph),6.5:1,70.0 x 84.0 mm (2.8 x 3.3 inches),Air,Chain   (final drive),"Duplex down tubes, swingarm","Telescopic fork, hydraulic",Dual coil springs,Expanding brake (drum brake),Expanding brake (drum brake),,181.0 kg (399.0 pounds),0.1934 HP/kg,1422 mm (56.0 inches),15.14 litres (4.00 US gallons),BSA A10 engine,,Carburettor. Amal,Overhead Valves (OHV),"Dry sump, two pumps",4-speed,3.25-19 ,3.50-19 ,,"Steel, wire spokes",2184 mm (86.0 inches),2.30 litres (2.43 US quarts),Black/yellow,Kick,,,,,Magneto,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Twin pipe,"787 mm (31.0 inches) If adjustable, lowest setting.",140 mm (5.5 inches),,,,,,
DKW RT 350 S,1955,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,348.0 ccm (21.23 cubic inches),"Twin, two-stroke",18.5 HP (13.5  kW)) @ 5000 RPM,120.0 km/h (74.6 mph),6.3:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Air,Chain   (final drive),,Telescopic ,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,162.0 kg (357.1 pounds),0.1142 HP/kg,,,,,Carburettor,,,,3.50-18 ,3.50-18 ,,Spoked,2080 mm (81.9 inches),,,,,,,,,660 mm (26.0 inches),3.80 litres/100 km (26.3 km/l or 61.90 mpg),88.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"750 mm (29.5 inches) If adjustable, lowest setting.",,970 mm (38.2 inches),,,,,
Harley-Davidson FL Hydra Glide,1955,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 4800 RPM,160.9 km/h (100.0 mph),7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Air,Chain   (final drive),Steel double downtube,Hydraulic telescopic forks ,Hardtail,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat,267.0 kg (588.6 pounds),0.2060 HP/kg,1510 mm (59.4 inches),14.19 litres (3.75 US gallons),Knucklehead V-twin engine,,Carburettor,Overhead Valves (OHV),,4-speed,5.00-16 ,5.00-16 ,,Laced wheels with whitewall tires,,3.80 litres (4.02 US quarts),"Black, red, blue",,,,,,,,,,,,,,6 Volt battery.,Soft saddlebags,,,
AJS Model 16 350 Spectre,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Air,Chain   (final drive),Single cradle,Telescopic,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,171.0 kg (377.0 pounds),,,17.00 litres (4.49 US gallons),,,Carburettor,Overhead Valves (OHV),,4-speed,3.25-18 ,3.25-18 ,,Spoked,,,,Kick,,,Wet multiplate,,Magneto,,,,,,,,,,,,
James Comet,1955,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,,47.0 x 57.0 mm (1.9 x 2.2 inches),Air,Chain   (final drive),Single cradle,Hydralic telescopic forks,,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,75.0 kg (165.3 pounds),,,10.20 litres (2.69 US gallons),,,Carburettor,,Wet sump ,,2.75-19 ,2.75-19 ,,,1940 mm (76.4 inches),,,,,,,,Magneto,660 mm (26.0 inches),,,,,,,,,,,
Horex Imperator ,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",18.9 HP (13.8  kW)) @ 6790 RPM,135.0 km/h (83.9 mph),7.5:1,,Air,Chain   (final drive),Duplex cradle,Hydralic telescopic forks,Twin shock-swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,196.0 kg (432.1 pounds),0.0964 HP/kg,,17.00 litres (4.49 US gallons),,,Carburettor,Overhead Valves (OHV),,,,,190 mm (7.5 inches),,2140 mm (84.3 inches),,,,,,,,,660 mm (26.0 inches),,,,,,990 mm (39.0 inches),,,,,
Hercules 313 Starr,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 4700 RPM,85.0 km/h (52.8 mph),,57.0 x 58.0 mm (2.2 x 2.3 inches),Air,Chain   (final drive),,Telescopic,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Spring-mounted seat,90.0 kg (198.4 pounds),0.0722 HP/kg,,,,,Carburettor. Sachs 18mm,,,,2.75-19 ,2.75-19 ,,,,,,Kick,,,,,,,,,,,,,,,,,
Matchless G3 350,1955,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,129.0 km/h (80.2 mph),6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Air,Chain   (final drive),,Telescopic,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,1436 mm (56.5 inches),19.00 litres (5.02 US gallons),,,Carburettor. Amal,,Dry sump,4-speed,3.25-19 ,3.50-19 ,178 mm (7.0 inches),Spoked,,,,Kick,,,Wet multiplate,,,,,,,,,,,,179.0 kg (394.6 pounds),,
Triumph Speed Twin ,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,,,Chain   (final drive),,Telescopic,Rigid-optional sprung hub,Expanding brake (drum brake),Expanding brake (drum brake),,158.8 kg (350.0 pounds),0.1701 HP/kg,1400 mm (55.1 inches),,360 degree paprallel,,Carburettor. Amal,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA Golden Flash,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 4500 RPM,,,70.0 x 84.0 mm (2.8 x 3.3 inches),Air,Chain   (final drive),Single cradle,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,190.0 kg (418.9 pounds),0.1842 HP/kg,,19.00 litres (5.02 US gallons),,,Carburettor,,,,3.25-19 ,3.25-19 ,,,2130 mm (83.9 inches),,,,,,,,,,,,,,,,,,,,
Sparta 250 Twin,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,244.0 ccm (14.89 cubic inches),"Twin, two-stroke",,,,52.0 x 58.0 mm (2.0 x 2.3 inches),Air,,,Telescopic,Twin shock-Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,,,,16.00 litres (4.23 US gallons),,,Carburettor,,,,3.25-16 ,3.25-16 ,,,,,,Kick,,,,,Magneto,,,,,,,,,,,,
Ardie BZ 350 D,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",,130.0 km/h (80.8 mph),6.8:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Air,Chain   (final drive),Doble cradle,Hydraulic telescopic,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),,161.0 kg (354.9 pounds),,,15.00 litres (3.96 US gallons),,,Carburettor,,,4-speed,3.25-19 ,3.25-19 ,180 mm (7.1 inches),Spoked,2090 mm (82.3 inches),,,Kick,,,Wet multiplate,,Magneto,680 mm (26.8 inches),,,,,,1015 mm (40.0 inches),,,,,
Hercules 318,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)) @ 6000 RPM,105.0 km/h (65.2 mph),,52.0 x 58.0 mm (2.0 x 2.3 inches),Air,Chain   (final drive),Single cradle,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Two ,152.0 kg (335.1 pounds),0.0987 HP/kg,,13.00 litres (3.43 US gallons),,,Carburettor. Bing 24mm,,,,3.25-19 ,3.25-19 ,,Spoked,,,,Kick,,,,,,,,,,,,,,,,,
Victoria Bergmeister,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"V2, four-stroke",21.0 HP (15.3  kW)) @ 6300 RPM,,7.5:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Air,Shaft drive (cardan)   (final drive),Duplex cradle,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,,,,,Carburettor,,,,3.25-19 ,3.25-19 ,,Spoked,,,,Kick,,,Dry plate,,,,,,,,,,,,,,
Maico Blizzard,1955,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,177.0 ccm (10.80 cubic inches),"Single cylinder, two-stroke",,,,,Air,Chain   (final drive),Chrom,Hydealic shock absorbers,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,Carburettor,,,5-speed,,,,Spoked,,,,Kick,,,Wet multiplate,,,,,,,,,,,,,,
Norton Manx,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",47.0 HP (34.3  kW)) @ 6500 RPM,210.0 km/h (130.5 mph),,,Air,Chain   (final drive),Steel,Telescopic fork,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,140.0 kg (308.6 pounds),0.3357 HP/kg,1400 mm (55.1 inches),,,,Carburettor. NA,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules 319,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",9.0 HP (6.6  kW)) @ 5250 RPM,90.0 km/h (55.9 mph),,57.0 x 58.0 mm (2.2 x 2.3 inches),Air,Chain   (final drive),Single cradle,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Two seats,116.0 kg (255.7 pounds),0.0776 HP/kg,,,,,Carburettor,,,,3-19 ,3-19 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson S-125,1955,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,,Chain   (final drive),,Girder fork coil spring,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),,90.7 kg (200.0 pounds),,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta,1955,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,,61.0 x 59.5 mm (2.4 x 2.3 inches),,Chain   (final drive),Tubular steel,Telescopic,Swingarm ,"Expanding brake (drum brake). 6,5inches",Expanding brake (drum brake),Dual ,,,,,,,Carburettor,,,,,,,Spoked,,,,,,,Enclosed ,,,,,,,,,,,,,,
Panther 75 Springer,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,6.7:1,71.0 x 88.0 mm (2.8 x 3.5 inches),Air,Chain   (final drive),Single cradle,Hydraulic telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,Carburettor,,,4-speed,3.25-19 ,3.25-19 ,,Spoked,,,,Kick,,,Dry multiplate,,Magneto,,,,,,,,,,,,
Aermacchi HD 125 Zeffiro,1955,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 4500 RPM,78.0 km/h (48.5 mph),5.7:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Air,Chain   (final drive),,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,92.0 kg (202.8 pounds),0.0543 HP/kg,,6.50 litres (1.72 US gallons),,,Carburettor. DellÓrto,,,3-speed,2.25-17 ,2.25-17 ,,,,,,Kick,,,Wet multiplate,,,,,,,,,,,,,,
Hercules 317,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5000 RPM,95.0 km/h (59.0 mph),,62.0 x 66.0 mm (2.4 x 2.6 inches),Air,Chain   (final drive),Single cradle,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Two ,120.0 kg (264.6 pounds),0.0917 HP/kg,,,,,Carburettor. Bing 26mm,,,,3-19 ,3-19 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Zündapp DB 205 Elastic 200,1955,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",9.5 HP (6.9  kW)) @ 4700 RPM,95.0 km/h (59.0 mph),,60.0 x 70.0 mm (2.4 x 2.8 inches),Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,,,,,,,Carburettor,,,,,,,Spoked,,,,,,,,,,,,,,,,,,,,,
Ariel VB 600,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 4400 RPM,,6.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Air,Chain   (final drive),Full cradle,Telescopic fork,Dual shocks,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,,1422 mm (56.0 inches),15.90 litres (4.20 US gallons),Sidevalve,,Carburettor. Amal monobloc 376/13,,Dry sump,4-speed,3.25-19 ,3.25-19 ,,Wire spoked. Dunlop tyres.,2184 mm (86.0 inches),3.40 litres (3.59 US quarts),Green,Kick,,,"Dry, multiplate",,,686 mm (27.0 inches),3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,127 mm (5.0 inches),,6 Volt.,,167.8 kg (370.0 pounds),7.5 inch headlamp,
BSA A7 Shoting Star,1955,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",19.7 HP (14.4  kW)) @ 6000 RPM,168.0 km/h (104.4 mph),6.6:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Air,,Single cradle,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,193.0 kg (425.5 pounds),0.1021 HP/kg,1391 mm (54.8 inches),19.00 litres (5.02 US gallons),,,Carburettor,,,,3.25-19 ,3.25-19 ,,,2180 mm (85.8 inches),,,Kick,,,Wet multiplate,,Lucas magneto,,,,,,,,,,,,
Zündapp KS 601,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",28.0 HP (20.4  kW)) @ 4700 RPM,140.0 km/h (87.0 mph),,75.0 x 67.6 mm (3.0 x 2.7 inches),Air,Shaft drive (cardan)   (final drive),,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,,,,,,,Carburettor. Bing ,Overhead Valves (OHV),,4-speed,3.50-19 ,3.50-19 ,,Spoked,,,,Kick,,,,,,,,,,,,,,,,,
Horex Regina 350,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 6250 RPM,,6.8:1,,Air,,,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,145.0 kg (319.7 pounds),0.1310 HP/kg,,18.00 litres (4.76 US gallons),,,Carburettor. Single Bing or amal,Overhead Valves (OHV),,,,,,,,,,,,,,,Magneto,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,
Ariel LH 200 Colt,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 5600 RPM,100.0 km/h (62.1 mph),7.5:1,60.0 x 70.0 mm (2.4 x 2.8 inches),Air,Chain   (final drive),Semi double cradle,Telescopic hydraulic fork,Plungers,Expanding brake (drum brake),Expanding brake (drum brake),,123.0 kg (271.2 pounds),0.0813 HP/kg,,11.00 litres (2.91 US gallons),,,Carburettor,Overhead Valves (OHV),,4-speed,2.75-19 ,2.75-19 ,,Wire spoked,2030 mm (79.9 inches),,Dark green,Kick,,,Dry multiplate,,Battery/coil,640 mm (25.2 inches),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,1-into-1 pipes,,,,6 Volt system,,,,
Harley-Davidson KR 750,1955,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),,,Air,,,Telescopic,Rigid,,,Single spring-mounted,163.3 kg (360.0 pounds),0.2817 HP/kg,,,,,Carburettor. Single Tilloston,Sidevalves,,4-speed,,,,Spoked,,,,,,,,,Magneto Fairbanks-Morse,,,,,,,,,,,,
Laverda Tourismo,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, four-stroke",,,,,,Chain   (final drive),,Telescopic,Twin shock-swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,,,,,,,,,,,,,,,,,Kick,,,,,,,,,,,,,,,,,
Triumph Terrier 150,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",8.3 HP (6.1  kW)) @ 6500 RPM,80.5 km/h (50.0 mph),7.1:1,57.0 x 58.5 mm (2.2 x 2.3 inches),Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,Carburettor,Overhead Valves (OHV),,,3-16 ,3-16 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Heinkel A0 Series 103,1955,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,,60.0 x 61.5 mm (2.4 x 2.4 inches),Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,152.0 kg (335.1 pounds),,1370 mm (53.9 inches),,,,Carburettor,,,,4-10 ,4-10 ,,,2060 mm (81.1 inches),,,,,,,,,710 mm (28.0 inches),,,,,,1000 mm (39.4 inches),,,,,
Lambretta 150D Series 2,1955,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",6.0 HP (4.4  kW)) @ 4750 RPM,78.9 km/h (49.0 mph),6.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Air,,Tubular steel,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,74.8 kg (165.0 pounds),0.0802 HP/kg,,,,,Carburettor. DellÓrto ,,5%,3-speed,4-8 ,4-8 ,,,,,,Electric,,,3 speed- hand changed,,Contact breaker  and  points,,,,,,,,,,,,
Zündapp Norma Luxsus Db234,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",8.7 HP (6.4  kW)) @ 4250 RPM,,,60.0 x 70.0 mm (2.4 x 2.8 inches),,,,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,,,,,,,Carburettor. Bing ,,,4-speed,3-19 ,3-19 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
James Colonel 225,1955,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",9.6 HP (7.0  kW)) @ 4500 RPM,80.0 km/h (49.7 mph),7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Air,Chain   (final drive),Single cradle,Hydraulic telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,125.0 kg (275.6 pounds),0.0768 HP/kg,,12.50 litres (3.30 US gallons),,,Carburettor,,,4-speed,3-18 ,3-18 ,,Spoked,,,,Kick,,,Wet multiplate,,Magneto,,,,,,,,,,,,
