Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Top speed,Fuel control,Rear brakes,Wheels,Seat height,Wheelbase,Ignition,Clutch,Fuel consumption,Greenhouse gases,Lubrication system,Gearbox,Diameter,"Weight incl. oil, gas, etc",Color options,Exhaust system,Modifications compared to previous model,Ground clearance,Carrying capacity,Alternate seat height,Oil capacity,Electrical,Comments,0-100 km/h (0-62 mph),Driveline,Valves per cylinder,Torque
Motobi Imperiale Sport,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,5.8 HP (4.2  kW)) @ 6500 RPM,6.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. DellÓrto,Air,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,93.0 kg (205.0 pounds),0.0624 HP/kg,,,,15.00 litres (3.96 US gallons),,,Overhead Valves (OHV),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,
BMW R69S,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",,42.0 HP (30.7  kW)) @ 7000 RPM,9.5:1,73.0 x 73.0 mm (2.9 x 2.9 inches),Carburettor. Bing,Air,Shaft drive (cardan)   (final drive),Steel-doble cradle,Cartridge,Twin shock-swingarm,,3.5-18 ,Expanding brake (drum brake). Single,Dual seat,,,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),17.00 litres (4.49 US gallons),Kick,175.0 km/h (108.7 mph),Overhead Valves (OHV),Expanding brake (drum brake). Simplex full hub,Spoked,,1415 mm (55.7 inches),Magneto,Dry-single plate-cable operated,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Forced feed,4-speed,200 mm (7.9 inches),202.0 kg (445.3 pounds),,,,,360,,,,,,,,
Maico Maicoletta 247,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,14.0 HP (10.2  kW)) @ 5100 RPM,,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,Chain   (final drive),,Telescopic,Swingarm ,,,Expanding brake (drum brake). 6.5mm,Dual ,,,,,,,,109.0 km/h (67.7 mph),,Expanding brake (drum brake),Spoked,,,,Enclosed ,,,,,,,,,,,,,,,,,,,
Zündapp Bella 175S,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,11.0 HP (8.0  kW)) @ 5400 RPM,,60.0 x 62.0 mm (2.4 x 2.4 inches),Carburettor. Bing 24mm,Air,,,,,,,,Dual ,146.0 kg (321.9 pounds),0.0753 HP/kg,,,,8.50 litres (2.25 US gallons),,90.0 km/h (55.9 mph),,,Spoked,,,,,,,,4-speed,,,,,,,,"730 mm (28.7 inches) If adjustable, highest setting.",,,,,,,
Moto Guzzi Regolarita 250,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,17.0 HP (12.4  kW)) @ 7500 RPM,,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. DellÓrto,Air,Chain   (final drive),,Telescopic fork,,,,Expanding brake (drum brake),Single Seat,,,,,,12.00 litres (3.17 US gallons),,132.0 km/h (82.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),,,1314 mm (51.7 inches),,Wet multiplate,,,,5-speed,,,,,,,,,,,,,,,
Vespa Allstate Cruisaire,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,,,,,Expanding brake (drum brake),Dual ,,,,,,,Kick,76.0 km/h (47.2 mph),,Expanding brake (drum brake),Spoked,,,,,,,,,,,,,,,,,,,,,,,
Motobi Catria Lusso,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",,8.5 HP (6.2  kW)) @ 6800 RPM,,67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. DellÓrto,Air,Chain   (final drive),,Telescopic,Two schock,,,Expanding brake (drum brake),Dual ,,,,,,,,120.7 km/h (75.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),Spoked,,,Magneto ,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FL Duo Glide,1962,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",Panhead V-twin engine,55.0 HP (40.1  kW)) @ 7200 RPM,7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Air,Chain   (final drive),Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks.,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Solo seat,304.0 kg (670.2 pounds),0.1809 HP/kg,,,,14.19 litres (3.75 US gallons),Kick,160.0 km/h (99.4 mph),Overhead Valves (OHV),Expanding brake (drum brake),Wire spoked. Whitewall tyres.,,1500 mm (59.1 inches),,,,,,4-speed,,,,,,,Saddlebags,,3.80 litres (4.02 US quarts),6 Volt battery.,Windscreen,,,,
Aermacchi Ala D Oro,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",,24.8 HP (18.1  kW)) @ 8500 RPM,,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto ,Air,Chain   (final drive),,Hydralic telescopic forks,Swingarm,2.50-18 ,2.75-18 ,Expanding brake (drum brake). Single,Dual seat,110.0 kg (242.5 pounds),0.2255 HP/kg,860 mm (33.9 inches),1940 mm (76.4 inches),520 mm (20.5 inches),17.00 litres (4.49 US gallons),Kick,170.0 km/h (105.6 mph),,Expanding brake (drum brake). Simplex ,Spoked,,,,Wet multiplate,,,,4-speed,180 mm (7.1 inches),,,,,,,,,,,,,,
BSA Bantam D7,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,,,,,Expanding brake (drum brake),Dual ,,,,,,9.00 litres (2.38 US gallons),,,,Expanding brake (drum brake),Spoked,,,,,,,,3-speed,,,Shades red or blue-chrome highlights,,,,,,,WicoPacy,,92.00 seconds,,,
Velocette Viceroy,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,,,64.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,,Chain   (final drive),Single tube Keystone,Telescopic,Swingarm ,,,Expanding brake (drum brake),Dual ,140.0 kg (308.6 pounds),,,,,,,,,Expanding brake (drum brake),,,,Battery,Duplex,,,,,,,,,,,,,,,,,,,
James Commodore 250,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,66.0 x 73.0 mm (2.6 x 2.9 inches),Carburettor. Amal,Air,Chain   (final drive),,Hydraulic telescopic,Swingarm-two shocks,3.25-18 ,3.25-18 ,Expanding brake (drum brake),,,,,,,,,,,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,
Agrati Capri 50 S,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",Garelli,4.3 HP (3.1  kW)) @ 6500 RPM,10.3:1,40.0 x 39.0 mm (1.6 x 1.5 inches),Carburettor. DellÓrto,Air,Chain   (final drive),,,Swingarm ,,,Expanding brake (drum brake),,,,,,,,,,,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,
Heinkel A2,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,,60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,Air,,,,,4-10 ,4-10 ,Expanding brake (drum brake),Dual ,148.0 kg (326.3 pounds),,1000 mm (39.4 inches),2020 mm (79.5 inches),710 mm (28.0 inches),,,,,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Lodola 175 Gran Turismo,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",,11.0 HP (8.0  kW)) @ 6500 RPM,,,Carburettor,,Chain   (final drive),,Telescopic fork,,,,Expanding brake (drum brake),Dual seat,109.0 kg (240.3 pounds),0.1009 HP/kg,,,,12.00 litres (3.17 US gallons),,110.0 km/h (68.4 mph),,Expanding brake (drum brake),,,,,Wet multiplate,,,,4-speed,,,,,,,,,,,,,,,
Agrati Capri Monaco,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,94.0 ccm (5.74 cubic inches),"Single cylinder, two-stroke",Garelli,4.7 HP (3.4  kW)) @ 4500 RPM,,50.0 x 48.0 mm (2.0 x 1.9 inches),Carburettor. DellÓrto,Air,Chain   (final drive),,,Swingarm ,,,Expanding brake (drum brake),,,,,,,,,,,Expanding brake (drum brake),,,,,,,,,4-speed,,,,,,,,,,,,,,,
Triumph Tina,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,4.5 HP (3.3  kW)) @ 5000 RPM,7.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,Air,Belt   (final drive),,,,3.50-8 ,3.50-8 ,Expanding brake (drum brake),Dual ,65.0 kg (143.3 pounds),0.0692 HP/kg,,,,,,72.0 km/h (44.7 mph),Overhead Cams (OHC),Expanding brake (drum brake),,,1178 mm (46.4 inches),,,,,,,127 mm (5.0 inches),,,,,,,,,,,,,,
BSA A65 Star,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,654.0 ccm (39.91 cubic inches),"Twin, four-stroke",,54.0 HP (39.4  kW)) @ 4500 RPM,,,Carburettor. Amal,Air,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Dual seat,,,,,,15.14 litres (4.00 US gallons),,,Overhead Valves (OHV),Expanding brake (drum brake),,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,
Vespa VBB Sportique,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,,,,,,Two single seats,,,,,,,,80.0 km/h (49.7 mph),,,Spoked,,,,,,,,4-speed,,,,,,,,,,,,,,,
Enfield Interceptor ,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Twin, two-stroke",,,,,,Air,,,,,,,,Dual ,,,,,,,,,Overhead Valves (OHV),,Spoked,,,,,,,,,,190.0 kg (418.9 pounds),,,,,,,,,,,,,
Ariel Leader,1962,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, two-stroke",,17.5 HP (12.8  kW)) @ 6250 RPM,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Amal Monobloc,Air,Chain   (final drive),Backbone,Trailing link oil-damped,Swingarm,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Dual seat,150.0 kg (330.7 pounds),0.1167 HP/kg,,,,9.00 litres (2.38 US gallons),Kick,112.7 km/h (70.0 mph),Port control,Expanding brake (drum brake),Wire spoked,"762 mm (30.0 inches) If adjustable, lowest setting.",1295 mm (51.0 inches),,,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,4-speed,152 mm (6.0 inches),,"Blue/white, red/white",,,,"Saddle bags, under-seat luggage compartment",,,,Windscreen,,Burman gearbox,,
Triumph T100C,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Twin, four-stroke",,41.0 HP (29.9  kW)) @ 7200 RPM,,,Carburettor. Amal,Air,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Dual seat,152.0 kg (335.0 pounds),0.2698 HP/kg,,,,,,,Overhead Valves (OHV),Expanding brake (drum brake),,,,,,,,,,,168.3 kg (371.0 pounds),,,,,,,,,,,,,
AJS Model 16 350MS,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5750 RPM,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Air,Chain   (final drive),Single cradle-steel,Catrigde,Two shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,170.0 kg (374.8 pounds),0.1059 HP/kg,,2190 mm (86.2 inches),710 mm (28.0 inches),13.50 litres (3.57 US gallons),Kick,,Overhead Valves (OHV),Expanding brake (drum brake),,,1422 mm (56.0 inches),Magneto,Wet multiplate,,,Wet sump ,4-speed,,,,,,,,,,,,,,,
AJS Model 8 350,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,21.0 HP (15.3  kW)) @ 6250 RPM,7.5:1,72.0 x 82.5 mm (2.8 x 3.2 inches),Carburettor,Air,Chain   (final drive),Single cradle-steel,Telescopic,Swingarm-two shocks,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Dual ,153.0 kg (337.3 pounds),0.1373 HP/kg,,,,12.50 litres (3.30 US gallons),Kick,,,Expanding brake (drum brake),Spoked,,,,Wet multiplate,,,Wet sump ,,,,,,,,,,,,,,,,
Moto Guzzi Stornello ,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,7.0 HP (5.1  kW)) @ 7200 RPM,9.8:1,,Carburettor. DellÓrto,,Chain   (final drive),,Telescopic,,2.50-17 ,2.75-17 ,Expanding brake (drum brake),,,,900 mm (35.4 inches),1900 mm (74.8 inches),550 mm (21.7 inches),14.50 litres (3.83 US gallons),,110.0 km/h (68.4 mph),,Expanding brake (drum brake),,"700 mm (27.6 inches) If adjustable, lowest setting.",1250 mm (49.2 inches),,Wet multiplate,,,,,,,,,,280 mm (11.0 inches),,,,,,,,,
