Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Max RPM,Fuel system,Starter,Torque,Lubrication system,Front suspension,Rear suspension,Diameter,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Color options,Ignition,Clutch,Exhaust system,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Front wheel travel,Rear wheel travel,Overall height,Overall width,Reserve fuel capacity,Oil capacity,Modifications compared to previous model,Instruments,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Sprockets,Belt teeth,Belt width,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight,Alternate seat height,Ground clearance,Comments,Trail,Coolant,Chain size,Chain links
Suzuki DR Big 800 S,1992,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",779.0 ccm (47.53 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6600 RPM,9.5:1,105.0 x 90.0 mm (4.1 x 3.5 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,222.0 kg (489.4 pounds),24.00 litres (6.34 US gallons),163.0 km/h (101.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR,1992,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",124.0 HP (90.5  kW)) @ 10500 RPM,11.0:1,70.0 x 58.0 mm (2.8 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),30/70-16 ,180/55-17 ,Dual disc,Single disc,206.0 kg (454.2 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 907 i.e. Paso,1992,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",79.0 HP (57.7  kW)) @ 8500 RPM,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Desmodromic valve control,Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,230.0 kg (507.1 pounds),21.00 litres (5.55 US gallons),216.0 km/h (134.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ 500 R Fun,1992,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,9.2:1,89.0 x 79.4 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-18 ,110/80-16 ,Single disc,Expanding brake,168.0 kg (370.4 pounds),24.00 litres (6.34 US gallons),141.0 km/h (87.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200,1992,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9000 RPM,9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/80-16 ,Dual disc,Single disc,280.0 kg (617.3 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 Le Mans V,1992,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",81.0 HP (59.1  kW)) @ 7400 RPM,9.8:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),24.00 litres (6.34 US gallons),214.0 km/h (133.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500 (reduced effect),1992,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/80-19 ,140/90-15 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),11.00 litres (2.91 US gallons),122.0 km/h (75.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 R - RC 30 (reduced effect),1992,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 10000 RPM,11.0:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,244.0 kg (537.9 pounds),19.00 litres (5.02 US gallons),233.0 km/h (144.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 (reduced effect),1992,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),22.00 litres (5.81 US gallons),145.0 km/h (90.1 mph),,,,,,Telescopic fork,,,,,"860 mm (33.9 inches) If adjustable, lowest setting.",2230 mm (87.8 inches),1465 mm (57.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RC 600 C (reduced effect),1992,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",558.0 ccm (34.05 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6750 RPM,10.5:1,98.0 x 74.0 mm (3.9 x 2.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,174.0 kg (383.6 pounds),11.50 litres (3.04 US gallons),129.0 km/h (80.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 Low Rider,1992,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MM 90-19 ,MT 90-16 ,Single disc,Single disc,276.0 kg (608.5 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 Superlight,1992,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 7000 RPM,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Desmodromic valve control,Air,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,196.0 kg (432.1 pounds),17.50 litres (4.62 US gallons),204.0 km/h (126.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 SP Low Rider Special Edition,1992,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MM 90-19 ,MT 90-16 ,Dual disc,Single disc,278.0 kg (612.9 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500,1992,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,198.0 kg (436.5 pounds),15.00 litres (3.96 US gallons),165.0 km/h (102.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 400,1992,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 13000 RPM,12.1:1,57.0 x 39.0 mm (2.2 x 1.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Dual disc,Single disc,186.0 kg (410.1 pounds),16.00 litres (4.23 US gallons),207.0 km/h (128.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California III C,1992,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6500 RPM,9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Dual disc,Single disc,263.0 kg (579.8 pounds),26.00 litres (6.87 US gallons),172.0 km/h (106.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno 500,1992,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)) @ 7000 RPM,9.8:1,92.0 x 74.0 mm (3.6 x 2.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),110/17-17 ,140/70-17 ,Single disc,Single disc,167.0 kg (368.2 pounds),20.00 litres (5.28 US gallons),176.0 km/h (109.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangtze 750 Standard A (with sidecar),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",22.0 HP (16.1  kW)) @ 4500 RPM,5.7:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),23.00 litres (6.08 US gallons),90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan European,1992,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,10.0:1,73.0 x 64.8 mm (2.9 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-18 ,160/70-17 ,Dual disc,Single disc,312.0 kg (687.8 pounds),28.00 litres (7.40 US gallons),212.0 km/h (131.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 R,1992,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,8.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/80-18 ,140/80-17 ,Single disc,Expanding brake,228.0 kg (502.7 pounds),24.00 litres (6.34 US gallons),181.0 km/h (112.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535,1992,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 7500 RPM,9.0:1,76.0 x 59.0 mm (3.0 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-19 ,140/90-15 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),13.50 litres (3.57 US gallons),143.0 km/h (88.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F,1992,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",102.0 HP (74.5  kW)) @ 9500 RPM,11.0:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,,Chain   (final drive),120/70-17 ,170/60-17 ,Double disc. 2 piston calipers,Single disc. 1 piston caliper,244.0 kg (537.9 pounds),19.00 litres (5.02 US gallons),239.4 km/h (148.8 mph),12500,Carburettor. 4x 36mm Keihin CV,,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 8500 RPM,Wet sump," 	 41mm Showa cartridge forks, no external adjustment,"," 	  Pro-link single sided swingarm, adjustable preload and rebound damping",256 mm (10.1 inches),219.0 kg (482.8 pounds),0.4658 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2180 mm (85.8 inches),1470 mm (57.9 inches),,Digital,Wet palte,,6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Twin-spar aluminum diamond,26.0°,140 mm (5.5 inches),130 mm (5.1 inches),1185 mm (46.7 inches),700 mm (27.6 inches),4.50 litres (1.19 US gallons),3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,
Maico GS 250,1992,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,15.5:1,67.0 x 70.0 mm (2.6 x 2.8 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 125,1992,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9600 RPM,9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),80/80-21 ,100/80-18 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),13.50 litres (3.57 US gallons),102.0 km/h (63.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250,1992,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,10.0:1,49.0 x 66.0 mm (1.9 x 2.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,130/90-15 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),9.50 litres (2.51 US gallons),111.0 km/h (69.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton T. T.,1992,Speedway," 3.4  See the detailed rating of engine performance, racing track capabilities, maintenance costs, etc. Compare with any other bike.",588.0 ccm (35.88 cubic inches),Dual disk Wankel,90.0 HP (65.7  kW)) @ 9500 RPM,9.0:1,,,,Liquid,5-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,228.0 kg (502.7 pounds),25.00 litres (6.61 US gallons),215.0 km/h (133.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500,1992,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/80-19 ,140/90-15 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),11.00 litres (2.91 US gallons),157.0 km/h (97.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 LT,1992,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,11.0:1,70.5 x 70.0 mm (2.8 x 2.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/80-18 ,140/80-17 ,Dual disc,Single disc,290.0 kg (639.3 pounds),22.00 litres (5.81 US gallons),207.0 km/h (128.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 F,1992,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,10.9:1,73.0 x 44.7 mm (2.9 x 1.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,150/70-17 ,Dual disc,Single disc,231.0 kg (509.3 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500 (reduced effect),1992,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7300 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,198.0 kg (436.5 pounds),15.00 litres (3.96 US gallons),138.0 km/h (85.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 600 W,1992,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 12600 RPM,,65.0 x 45.2 mm (2.6 x 1.8 inches),4,,Liquid,6-speed,Chain   (final drive),,,Double disc,Single disc,,18.54 litres (4.90 US gallons),,,Carburettor,,,,,,220 mm (8.7 inches),208.0 kg (458.6 pounds),0.5096 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S (reduced effect #2),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,120/90-16 ,Dual disc,Expanding brake,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),154.0 km/h (95.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 125,1992,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",35.0 HP (25.5  kW)),,,,,Liquid,5-speed,Chain   (final drive),,,Single disc,Single disc,,9.00 litres (2.38 US gallons),130.0 km/h (80.8 mph),,Carburettor,Kick,,,Inverted forks,,,87.0 kg (191.8 pounds),0.4023 HP/kg,,,,Red/White,CDI,,,,,,,,,,,,,"Better exhaust valves than the 91 and 93, 94.",,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 125,1992,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 10250 RPM,15.0:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),100/90-19 ,120/80-17 ,Single disc,Single disc,140.0 kg (308.6 pounds),11.50 litres (3.04 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000,1992,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,12.0:1,75.5 x 56.0 mm (3.0 x 2.2 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),130/60-17 ,170/60-17 ,Dual disc,Single disc,236.0 kg (520.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Glide Custom,1992,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),100/90-19 ,130/90-16 ,Double disc,Single disc,280.0 kg (617.3 pounds),19.00 litres (5.02 US gallons),,,Carburettor. 38 mm Keihin,Electric,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,Dry sump,49 mm with polished aluminum fork triple clamp and dual-rate springs,Coil over shock,292 mm (11.5 inches),271.0 kg (597.5 pounds),,"673 mm (26.5 inches) If adjustable, lowest setting.",,,,Analogue CDI, Wet 9-plate,,,,"Mild steel, tubular frame. Rectangular section backbone. Stamped, cast and forged junctions. Forged fender supports.",,,,,,,2.80 litres (2.96 US quarts),,Tank-mounted analogue instrumentation,SAE 20W-50,K & N  - KN-173C,DOT 5 Silicone,YTX20L-BS,NGK BPR5ES-11,1000-1050  RPM,32/70 (front/rear),133,1.5 in,29 PSI (2 Bar or 200 kPa),36 PSI (2.5 Bar or 250 kPa),39 mm (1.5 inches),,,,,,,,,,,
Aprilia AF1 125 Sport Pro,1992,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",25.0 HP (18.2  kW)) @ 10000 RPM,15.0:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),110/70-17 ,140/70-17 ,Single disc,Single disc,140.0 kg (308.6 pounds),16.00 litres (4.23 US gallons),156.0 km/h (96.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 De Luxe,1992,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),149.0 km/h (92.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,1992,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6000 RPM,8.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,178.0 kg (392.4 pounds),13.00 litres (3.43 US gallons),153.0 km/h (95.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Tour Glide Ultra Classic,1992,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,366.0 kg (806.9 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
