Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Comments,Top speed,Compression,Bore x stroke,Clutch,Frame type,Front tire,Rear tire,Diameter,Wheels,Seat,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel control,Ignition,Gearbox,Modifications compared to previous model,0-100 km/h (0-62 mph),Lubrication system,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Carrying capacity,Seat height,Ground clearance,Color options,Electrical,Driveline,Exhaust system,Engine details,Alternate seat height,Valves per cylinder,Torque,Max RPM,Reserve fuel capacity,Oil capacity,Rake (fork angle)
Aermacchi Chimera 175,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",,Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),122.0 kg (269.0 pounds),,,110.0 km/h (68.4 mph),7.0:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Wet multiplate,Single cradle,2.50-17 ,2.50-17 ,,Spoked,Dual ,,,,,,Kick,,Bobine,4-speed,,,,,,,,,,,,,,,,,,,,,
Ducati Diana Mark 3,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic,Dual choks,Expanding brake (drum brake),Expanding brake (drum brake),135.0 kg (297.6 pounds),0.1778 HP/kg,,150.0 km/h (93.2 mph),8.0:1,74.0 x 57.8 mm (2.9 x 2.3 inches),,Steel ,2.75-18 ,3.00-18 ,,,,,,,,13.00 litres (3.43 US gallons),Kick,Desmodromic valve control,,,,,,,,,,,,,,,,,,,,,,,
Velocette Viceroy,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Chain   (final drive),Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),140.0 kg (308.6 pounds),,,,,64.0 x 64.0 mm (2.5 x 2.5 inches),Duplex,Single tube Keystone,,,,,Dual ,,,,,,,,Battery,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Ala D Oro,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",24.8 HP (18.1  kW)) @ 8500 RPM,Carburettor. DellÓrto ,Air,Chain   (final drive),Hydralic telescopic forks,Swingarm,Expanding brake (drum brake). Single,Expanding brake (drum brake). Simplex ,110.0 kg (242.5 pounds),0.2255 HP/kg,,170.0 km/h (105.6 mph),,66.0 x 72.0 mm (2.6 x 2.8 inches),Wet multiplate,Single cradle,2.50-18 ,2.75-18 ,180 mm (7.1 inches),Spoked,Dual seat,860 mm (33.9 inches),1940 mm (76.4 inches),520 mm (20.5 inches),,17.00 litres (4.49 US gallons),Kick,,,4-speed,,,,,,,,,,,,,,,,,,,,,
BMW R27,1961,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7400 RPM,Carburettor. Bing ,Air,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),,,,130.0 km/h (80.8 mph),8.2:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Single plate dry-cable operated,Steel twin looped,3.27-18 ,3.27-18 ,160 mm (6.3 inches),,Spring-mounted seat,975 mm (38.4 inches),2090 mm (82.3 inches),660 mm (26.0 inches),965 mm (38.0 inches),15.00 litres (3.96 US gallons),Kick,Overhead Valves (OHV),Battery,4-speed,,,Wet sump ,3.90 litres/100 km (25.6 km/l or 60.31 mpg),90.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,162.0 kg (357.1 pounds),325kg-with sidecar 480kg,,105 mm (4.1 inches),,,,,,,,,,,,
AJS Model 16 350MS,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,Carburettor,Air,Chain   (final drive),Catrigde,Two shock,Expanding brake (drum brake),Expanding brake (drum brake),170.0 kg (374.8 pounds),0.1059 HP/kg,,,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Wet multiplate,Single cradle-steel,3.25-19 ,3.25-19 ,,,,,2190 mm (86.2 inches),710 mm (28.0 inches),1422 mm (56.0 inches),13.50 litres (3.57 US gallons),Kick,Overhead Valves (OHV),Magneto,4-speed,,,Wet sump ,,,,,,,,,,,,,,,,,,
Junak M10,1961,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 6000 RPM,Carburettor,Oil & air,Chain   (final drive),,,,,175.0 kg (385.8 pounds),0.1086 HP/kg,Brand also called SFM Junak. Polish brand.,120.0 km/h (74.6 mph),7.0:1,75.0 x 79.0 mm (3.0 x 3.1 inches),,,,,,,,,,,,17.00 litres (4.49 US gallons),Kick,Overhead Valves (OHV),,4-speed,,,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,190.0 kg (418.9 pounds),,,,,,,,,,2,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 3800 RPM,6500,3.00 litres (0.79 US gallons),,
Moto Guzzi Cardellino 65 Turismo,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,64.0 ccm (3.91 cubic inches),"Single cylinder, two-stroke",,Carburettor,Air,Chain   (final drive),Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),55.0 kg (121.3 pounds),,,56.0 km/h (34.8 mph),5.5:1,42.0 x 46.0 mm (1.7 x 1.8 inches),,,,,,,,910 mm (35.8 inches),1900 mm (74.8 inches),700 mm (27.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH,1961,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6300 RPM,Carburettor. NA,Air,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,,185.1 km/h (115.0 mph),9.1:1,76.0 x 98.0 mm (3.0 x 3.9 inches),,,,,,,,,,,,7.20 litres (1.90 US gallons),,Overhead Valves (OHV),,,,,,,,218.0 kg (480.6 pounds),,,,,,,,45-degree V-twin,,,,,,,
Ducati 175 Sport TS,1961,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.9  kW)) @ 7500 RPM,Carburettor. DellÓrto UB22.5,Air,Chain   (final drive),Telescopic,Dual choks,Expanding brake (drum brake),Expanding brake (drum brake),108.0 kg (238.1 pounds),0.0744 HP/kg,,110.0 km/h (68.4 mph),7.0:1,,,,2.50-18 ,2.75-18 ,138 mm (5.4 inches),,,,,,,,,Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard 247,1961,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,Carburettor,Air,Chain   (final drive),Hydealic shock absorbers,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,115.0 km/h (71.5 mph),,,Wet multiplate,Chrom,,,,Spoked,Dual ,,,,,,Kick,,,5-speed,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FL Duo Glide,1961,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1212.7 ccm (74.00 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7200 RPM,Carburettor,Air,Chain   (final drive),Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks.,Expanding brake (drum brake),Expanding brake (drum brake),304.0 kg (670.2 pounds),0.1809 HP/kg,Windscreen,160.0 km/h (99.4 mph),7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),,Tubular cradle,5.00-16 ,5.00-16 ,,Wire spoked. Whitewall tyres.,Solo seat,,,,1500 mm (59.1 inches),14.19 litres (3.75 US gallons),Kick,Overhead Valves (OHV),,4-speed,,,,,,,Optional soft saddlebags,,,,6 Volt battery.,,,Panhead V-twin engine,,,,,,3.80 litres (4.02 US quarts),
Ardie BKZ 350,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",,Carburettor,Air,Chain   (final drive),Hydraulic telescopic fork,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),160.0 kg (352.7 pounds),,,125.0 km/h (77.7 mph),7.0:1,60.0 x 61.0 mm (2.4 x 2.4 inches),,BKZ steal tube,3.25-19 ,3.25-19 ,180 mm (7.1 inches),Spoked,,1015 mm (40.0 inches),2090 mm (82.3 inches),680 mm (26.8 inches),,14.00 litres (3.70 US gallons),Kick,,Magneto,4-speed,,,,,,,,,,Black,,,,,,,,,,,
Velocette Venom,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,Carburettor. Amal ,Air,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),177.0 kg (390.2 pounds),0.1921 HP/kg,,160.9 km/h (100.0 mph),8.0:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Dry-three plate,,3.25-19 ,3.25-19 ,,,Dual seat,,,,1391 mm (54.8 inches),,,Overhead Valves (OHV),Belt driven dynamo,,,,Wet sump ,,,,,,,,,,,,,,,,,,27.0°
AJS Model 18 500 Statesman,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,Carburettor,Air,Chain   (final drive),Telescopic,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),172.0 kg (379.2 pounds),,,,,86.0 x 85.5 mm (3.4 x 3.4 inches),Wet multiplate,Single cradle,3.25-18 ,3.25-18 ,,Spoked,Single ,,,,1397 mm (55.0 inches),16.00 litres (4.23 US gallons),Kick,,Bobine,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger Cub T 20,1961,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,Carburettor,Air,Chain   (final drive),,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),113.4 kg (250.0 pounds),0.0882 HP/kg,,106.0 km/h (65.9 mph),7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Wet multiplate,,,,,,,,,,1245 mm (49.0 inches),,,Overhead Valves (OHV),,,,,Dry sumpy,,,,,,,,,,,Amal monobloc carburettor,,,,,,,
Moto Guzzi Regolarita 250,1961,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic fork,Dual chocks,Expanding brake (drum brake),Expanding brake (drum brake),,,,132.0 km/h (82.0 mph),,68.0 x 68.0 mm (2.7 x 2.7 inches),Wet multiplate,,2.50-18 ,3.00-17 ,,,Single Seat,,,,1314 mm (51.7 inches),12.00 litres (3.17 US gallons),,Overhead Valves (OHV),,5-speed,,,,,,,,,,,,,,,,,,,,,
Triumph 3TA,1961,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",,Carburettor. Amal,,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),156.5 kg (345.0 pounds),,,,,,,,,,,,Dual seat,,,,,,,,,,,,Dry sump,,,,,,,,,,,,,,,,,,
AJS Model 31 650 Swift,1961,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, four-stroke",31.4 HP (22.9  kW)) @ 6000 RPM,Carburettor,Air,Chain   (final drive),Hydraulic telescopic,Twin shock Girling,Expanding brake (drum brake),Expanding brake (drum brake),176.0 kg (388.0 pounds),0.1784 HP/kg,,,7.5:1,72.0 x 79.3 mm (2.8 x 3.1 inches),Wet multiplate,Doble cradle,3.25-19 ,3.25-19 ,,Spoked,Dual ,,,,,16.00 litres (4.23 US gallons),Kick,Overhead Valves (OHV),Bobine,4-speed,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Drag Bike,1961,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,Carburettor,,Chain   (final drive),,,Expanding brake (drum brake),,,,,323.5 km/h (201.0 mph),,,Single speed,,,,,,Single seat,,,,,,,Overhead Valves (OHV),Magneto,,,,,,,136.1 kg (300.0 pounds),,,,Multicolored white/blue/red,,,,,,,,,,,
Harley-Davidson FLH Duo Glide,1961,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1212.7 ccm (74.00 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7200 RPM,Carburettor,Air,Chain   (final drive),Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks. 3-step adjustable.,Expanding brake (drum brake),Expanding brake (drum brake),304.0 kg (670.2 pounds),0.1809 HP/kg,Windscreen. FLH models have higher compression then FL.,160.0 km/h (99.4 mph),7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),,Tubular cradle,5.00-16 ,5.00-16 ,,Wire spoked. Whitewall tyres.,Solo seat,,,,1500 mm (59.1 inches),14.19 litres (3.75 US gallons),Kick,Overhead Valves (OHV),,4-speed,,,,,,,Optional soft saddlebags,,,,6 Volt battery.,,,Panhead V-twin engine,,,,,,3.70 litres (3.91 US quarts),
BMW R50 OS,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",35.0 HP (25.5  kW)) @ 7650 RPM,Carburettor. Bing ,Air,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-Swingarm,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,,,160.0 km/h (99.4 mph),9.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Dry-single plate-cable operated,Steel doble cradle,3.50-18.00 ,3.50-18.00 ,200 mm (7.9 inches),,Dual seat,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1450 mm (57.1 inches),24.00 litres (6.34 US gallons),Kick,Overhead Valves (OHV),Magneto,4-speed,,,Wet sump ,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,198.0 kg (436.5 pounds),,,,,,,,,,,,,,,
