Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Comments,Top speed,Compression,Bore x stroke,Clutch,Frame type,Front tire,Rear tire,Diameter,Wheels,Seat,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel control,Ignition,Gearbox,Modifications compared to previous model,0-100 km/h (0-62 mph),Lubrication system,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Carrying capacity,Seat height,Ground clearance,Color options,Electrical,Driveline,Exhaust system,Engine details,Alternate seat height,Valves per cylinder,Torque,Max RPM,Reserve fuel capacity,Oil capacity,Rake (fork angle)
Triumph Speed Twin ,1961,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,Carburettor. Amal,,Chain   (final drive),Telescopic,Rigid-optional sprung hub,Expanding brake (drum brake),Expanding brake (drum brake),158.8 kg (350.0 pounds),0.1701 HP/kg,,,,,,,,,,,,,,,1400 mm (55.1 inches),,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Topper,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,164.0 ccm (10.01 cubic inches),"Single cylinder, two-stroke",9.0 HP (6.6  kW)),Carburettor,,,Leading Link,Swingarm Twin Shock Absorbers,Expanding brake (drum brake),Expanding brake (drum brake),,,,74.0 km/h (46.0 mph),8.0:1,60.0 x 58.0 mm (2.4 x 2.3 inches),,,4-12 ,4-12 ,,,,940 mm (37.0 inches),1905 mm (75.0 inches),610 mm (24.0 inches),1308 mm (51.5 inches),6.00 litres (1.59 US gallons),,,,,,,,,,,,"762 mm (30.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,
Cushman Eagle,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Belt   (final drive),Telescopic fork,Swingarm,Single disc,Single disc,,,,84.0 km/h (52.2 mph),,,,Steel tube,,,,,Single spring-mounted,,,,,,,Overhead Valves (OHV),,,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,
BMW R 60 2,1961,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5800 RPM,Carburettor. 24mm Bing,Air,Shaft drive (cardan)   (final drive),Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,195.0 kg (429.9 pounds),0.1541 HP/kg,Price in 1969 for the bike was DM 3315.,145.0 km/h (90.1 mph),7.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Dry-single plate-cable operated,Steel doble cradle,3.25-18.00 ,3.50-18.00 ,200 mm (7.9 inches),,Single seat,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,Overhead Valves (OHV),,4-speed,,,Wet sump ,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,360.00-with sidecar 360kg,,,,,,,,,,,,,,
NSU Prima III K,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",7.7 HP (5.6  kW)) @ 5200 RPM,Carburettor,Air,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),131.0 kg (288.8 pounds),0.0588 HP/kg,,84.0 km/h (52.2 mph),6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),,,3.50-10 ,3.50-10 ,,Spoked,Two single seats,965 mm (38.0 inches),1780 mm (70.1 inches),650 mm (25.6 inches),,12.00 litres (3.17 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Stornello ,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 7200 RPM,Carburettor. DellÓrto,,Chain   (final drive),Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),,,,110.0 km/h (68.4 mph),9.8:1,58.0 x 58.0 mm (2.3 x 2.3 inches),Wet multiplate,,2.50-17 ,2.75-17 ,,,,900 mm (35.4 inches),1900 mm (74.8 inches),550 mm (21.7 inches),1250 mm (49.2 inches),14.50 litres (3.83 US gallons),,,,,,,,,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",280 mm (11.0 inches),,,,,,,,,,,,
Norton Dominator 88,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",,Carburettor,,,Telescopic,Swingarm -two plungers,Expanding brake (drum brake),Expanding brake (drum brake),,,,163.0 km/h (101.3 mph),7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),,,,,,Spoked,Dual ,,,,,,Kick,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,
Triumph T100C,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Twin, four-stroke",41.0 HP (29.9  kW)) @ 7200 RPM,Carburettor. Amal,Air,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),152.0 kg (335.0 pounds),0.2698 HP/kg,,,,,,,,,,,Dual seat,,,,,,,Overhead Valves (OHV),,,,,,,,168.3 kg (371.0 pounds),,,,,,,,,,,,,,,
Heinkel A2,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,Carburettor,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),148.0 kg (326.3 pounds),,,,,60.0 x 61.5 mm (2.4 x 2.4 inches),,,4-10 ,4-10 ,,,Dual ,1000 mm (39.4 inches),2020 mm (79.5 inches),710 mm (28.0 inches),1380 mm (54.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G3 350,1961,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,Carburettor. Amal,Air,Chain   (final drive),Telescopic,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),,,,129.0 km/h (80.2 mph),6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Wet multiplate,,3.25-19 ,3.50-19 ,178 mm (7.0 inches),Spoked,Dual ,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,
Norton Jubilee,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",11.7 HP (8.5  kW)) @ 7750 RPM,Carburettor,Air,Chain   (final drive),Hydralic telescopic forks,Twin shock,Expanding brake (drum brake). Single,,150.0 kg (330.7 pounds),0.0780 HP/kg,,,8.8:1,60.0 x 44.0 mm (2.4 x 1.7 inches),Wet multiplate,Single cradle,3.25-18 ,3.25-18 ,,,Dual seat,1016 mm (40.0 inches),2057 mm (81.0 inches),711 mm (28.0 inches),,13.60 litres (3.59 US gallons),Kick,,,,,,,,,,,,,,,,,Norton Dominator,,,,,,,
