Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Power,Top speed,Power/weight ratio,Diameter,Overall height,Overall length,Overall width,Lubrication system,Wheelbase,Engine details,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Reserve fuel capacity,Oil capacity,Color options,Electrical,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Carrying capacity,0-100 km/h (0-62 mph),Valves per cylinder,Comments,Torque,Light
AJS Model 16 350 Spectre,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,171.0 kg (377.0 pounds),17.00 litres (4.49 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi Imperiale Sport,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",6.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. DellÓrto,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,93.0 kg (205.0 pounds),15.00 litres (3.96 US gallons),Kick,5.8 HP (4.2  kW)) @ 6500 RPM,120.7 km/h (75.0 mph),0.0624 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Dürkopp MD 201,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, two-stroke",7.0:1,61.0 x 64.0 mm (2.4 x 2.5 inches),Carburettor,,Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Hydraulic telescopic,Two shock,1.85-19 ,1.85-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,131.0 kg (288.8 pounds),13.50 litres (3.57 US gallons),,12.0 HP (8.8  kW)) @ 5900 RPM,,0.0916 HP/kg,180 mm (7.1 inches),980 mm (38.6 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,,,,,,,,,,,,,,,,,,,
AJS Model 16 350MS,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Bobine,Air,4-speed,Chain   (final drive),Wet multiplate,Duplex steel cradle,Catrigde,Two shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,170.0 kg (374.8 pounds),13.50 litres (3.57 US gallons),Kick,18.0 HP (13.1  kW)) @ 5750 RPM,,0.1059 HP/kg,,,2190 mm (86.2 inches),710 mm (28.0 inches),Wet sump ,1422 mm (56.0 inches),,,,,,,,,,,,,,,,,,,
Simplex Automatic,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor,Overhead Valves (OHV),Magneto,,,Belt   (final drive),Variable speed automatic,,Leading link ,Rigid,,,,Expanding brake (drum brake),,,61.2 kg (135.0 pounds),9.46 litres (2.50 US gallons),,4.0 HP (2.9  kW)) @ 5000 RPM,,0.0653 HP/kg,,,,,,1194 mm (47.0 inches),,,,,,,,,,,,,,,,,,,
NSU Quickly Cavalino,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",5.5:1,,Carburettor,,,Air,,Chain   (final drive),,,Telescopic,Swinging arm-shocks-coil springs,,,,,Spoked,Dual ,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel FH 650 Huntmaster,1957,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, four-stroke",6.5:1,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor. Amal,Overhead Valves (OHV),Magneto,Air,4-speed,Chain   (final drive),,"Duplex down tubes, swingarm","Telescopic fork, hydraulic",Dual coil springs,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),"Steel, wire spokes",,,15.14 litres (4.00 US gallons),Kick,35.0 HP (25.5  kW)) @ 5600 RPM,148.9 km/h (92.5 mph),,,,2184 mm (86.0 inches),640 mm (25.2 inches),"Dry sump, two pumps",1422 mm (56.0 inches),BSA A10 engine,Twin pipe,186.0 kg (410.0 pounds),"787 mm (31.0 inches) If adjustable, lowest setting.",140 mm (5.5 inches),2.50 litres (0.66 US gallons),2.30 litres (2.43 US quarts),Black/yellow,6V system,,,,,,,,,,
Ariel HT5 500 Trials,1957,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Single cradle,Telescopic fork,"Swing arm, hydraulic dampers",2.75-21 ,4.00-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat,132.0 kg (291.0 pounds),,Kick,24.9 HP (18.2  kW)) @ 6000 RPM,,0.1889 HP/kg,152 mm (6.0 inches),,,,,,,1-into-1 pipe,,,220 mm (8.7 inches),,,,,,,,,,,,,,
James Colonel 225,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Hydraulic telescopic,,3-18 ,3-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,125.0 kg (275.6 pounds),,Kick,9.6 HP (7.0  kW)) @ 4500 RPM,80.0 km/h (49.7 mph),0.0768 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel VB 600,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",6.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor,,,Air,4-speed,Chain   (final drive),"Dry, multiplate",Full cradle,Telescopic fork,Dual shocks,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,,15.90 litres (4.20 US gallons),Kick,18.0 HP (13.1  kW)) @ 4400 RPM,124.7 km/h (77.5 mph),,,,2184 mm (86.0 inches),686 mm (27.0 inches),Dry sump,1422 mm (56.0 inches),Sidevalve,,167.8 kg (370.0 pounds),,127 mm (5.0 inches),,3.40 litres (3.59 US quarts),,6 Volt.,7.5 inch headlamp,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
DKW RT 125 2H,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",6.5:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,Magneto,Air,3-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic fork,None,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Kick,5.7 HP (4.2  kW)) @ 5000 RPM,84.0 km/h (52.2 mph),,,660 mm (26.0 inches),1959 mm (77.1 inches),660 mm (26.0 inches),,,,,,,,,,,,,,,,,,,,,
Velocette Venom,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",8.0:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor. Amal ,Overhead Valves (OHV),Belt driven dynamo,Air,,Chain   (final drive),Dry-three plate,,Telescopic,Swingarm with coil-over shocks,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,177.0 kg (390.2 pounds),13.60 litres (3.59 US gallons),Kick,34.0 HP (24.8  kW)) @ 6200 RPM,161.0 km/h (100.0 mph),0.1921 HP/kg,,,,,Wet sump ,1391 mm (54.8 inches),,Single,,,,,,Black with gold pin striping,,,,,27.0°,,,,,,
Matchless G3 350,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,,,Air,4-speed,Chain   (final drive),Wet multiplate,,Telescopic,Two schock,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,19.00 litres (5.02 US gallons),Kick,18.0 HP (13.1  kW)) @ 5750 RPM,129.0 km/h (80.2 mph),,178 mm (7.0 inches),,,,Dry sump,1436 mm (56.5 inches),,,179.0 kg (394.6 pounds),,,,,,,,,,,,,,,,
Zündapp 250 S Trophy,1957,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,Doble cradle,,Two schock,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,136.0 kg (299.8 pounds),,Kick,14.5 HP (10.6  kW)) @ 5500 RPM,,0.1066 HP/kg,,,,,Bobine,,,,,,,,,,,,,,,,,,,,
AJS Model 30 600,1957,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",593.0 ccm (36.18 cubic inches),"V2, four-stroke",,72.0 x 72.8 mm (2.8 x 2.9 inches),Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),Dry multiplate,Single cradle,Hydraulic telescopic,Twin shock,,,Expanding brake (drum brake),Expanding brake (drum brake),,,178.0 kg (392.4 pounds),16.00 litres (4.23 US gallons),Kick,33.0 HP (24.1  kW)) @ 6800 RPM,152.0 km/h (94.4 mph),0.1854 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,Overhead Valves (OHV),,,,Chain   (final drive),,,Telescopic,Rigid-optional sprung hub,,,Expanding brake (drum brake),Expanding brake (drum brake),,,158.8 kg (350.0 pounds),,,27.0 HP (19.7  kW)) @ 6300 RPM,,0.1701 HP/kg,,,,,,1400 mm (55.1 inches),360 degree paprallel,,,,,,,,,,,,,,,,,,
Velocette Valiant,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Two cylinder boxer, four-stroke",8.0:1,50.0 x 49.0 mm (2.0 x 1.9 inches),Carburettor,Overhead Valves (OHV),,Air,,Shaft drive (cardan)   (final drive),Dry plate,,Hydralic telescopic forks,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual seat,116.0 kg (255.7 pounds),12.00 litres (3.17 US gallons),Kick,12.0 HP (8.8  kW)) @ 6000 RPM,110.0 km/h (68.4 mph),0.1034 HP/kg,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LD 150 series 1,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,Contact breaker  and  points,Air,3-speed,,3 speed- hand changed,Tubular steel,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,88.0 kg (194.0 pounds),,,6.0 HP (4.4  kW)) @ 4750 RPM,78.9 km/h (49.0 mph),0.0682 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Horex Imperator,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",7.5:1,,Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,Duplex cradle,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,196.0 kg (432.1 pounds),17.00 litres (4.49 US gallons),,18.9 HP (13.8  kW)) @ 6790 RPM,135.0 km/h (83.9 mph),0.0964 HP/kg,190 mm (7.5 inches),990 mm (39.0 inches),2140 mm (84.3 inches),660 mm (26.0 inches),,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 6C GP,1957,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"In-line six, four-stroke",,44.0 x 38.3 mm (1.7 x 1.5 inches),,Double Overhead Cams/Twin Cam (DOHC),,,,,"Wet, multiplate",,Telescopic,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,69.1 HP (50.4  kW)) @ 16000 RPM,250.0 km/h (155.3 mph),,,,,,,,,,,,,,,Red,,,,,,,,,,,
Maico Blizzard 277,1957,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,5-speed,Chain   (final drive),Wet multiplate,Chrom,Hydealic shock absorbers,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Alloy-spoked,Dual ,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno Cross,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",7.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SS38,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,3-21 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,125.0 kg (275.6 pounds),10.00 litres (2.64 US gallons),,38.0 HP (27.7  kW)),,0.3040 HP/kg,,,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,
NSU Prima D,1957,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",6.0:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. Bing AJ,,Battery,Air,3-speed,,,,Telescopic,Swingarm ,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,123.0 kg (271.2 pounds),7.30 litres (1.93 US gallons),,6.2 HP (4.5  kW)) @ 5200 RPM,80.0 km/h (49.7 mph),0.0504 HP/kg,,950 mm (37.4 inches),1910 mm (75.2 inches),680 mm (26.8 inches),,,,,,,,,,,,,,,,,,,,,
Ariel MK2 Square Four,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Overhead Valves (OHV),,,,Chain   (final drive),,Tubular single loop,,,3.25-19 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,23.00 litres (6.08 US gallons),,,,,,,2100 mm (82.7 inches),,,1422 mm (56.0 inches),,,,,,,,,,,,,,,,,,,
Simson 425 GS,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,,Magneto,Air,,Shaft drive (cardan)   (final drive),,,Telescopic,Swingarm ,3.5-19 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,157.0 kg (346.1 pounds),16.00 litres (4.23 US gallons),,17.5 HP (12.8  kW)) @ 7200 RPM,,0.1115 HP/kg,180 mm (7.1 inches),,,,,,,,,,,,,,,,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Norton Manx,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,,Carburettor. NA,Double Overhead Cams/Twin Cam (DOHC),,Air,,Chain   (final drive),,Steel,Telescopic fork,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),,,140.0 kg (308.6 pounds),,,47.0 HP (34.3  kW)) @ 6500 RPM,210.0 km/h (130.5 mph),0.3357 HP/kg,,,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,
NSU Supermax,1957,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Bing HD 2/26,,,Air,4-speed,Chain   (final drive),Dry multiplate,Steel,,Swingarm ,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,174.0 kg (383.6 pounds),14.00 litres (3.70 US gallons),Kick,18.0 HP (13.1  kW)) @ 6500 RPM,126.0 km/h (78.3 mph),0.1034 HP/kg,,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,,,,,,,,,,,,,,,,,,,
Hercules 322,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,,Air,,Chain   (final drive),,,Telescopic,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,159.0 kg (350.5 pounds),,,15.1 HP (11.0  kW)) @ 5000 RPM,120.0 km/h (74.6 mph),0.0950 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
DKW Hobby Luxus,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,74.0 ccm (4.52 cubic inches),"Single cylinder, two-stroke",6.1:1,45.0 x 47.0 mm (1.8 x 1.9 inches),Carburettor. Bing ,,,Air,,,,,Telescopic ,,2.50-16 ,2.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,3.0 HP (2.2  kW)) @ 5000 RPM,60.0 km/h (37.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Cushman Eagle,1957,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",318.0 ccm (19.40 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,Air,2-speed,Chain   (final drive),Centrifugal clutch,Steel tube,,,,,Expanding brake (drum brake),Expanding brake (drum brake),10 inch wheels,Single spring-mounted,,,Kick,8.0 HP (5.8  kW)),84.0 km/h (52.2 mph),,,,,,,,Cushman Husky engine,,,,,,,,,Belt primary,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Large rear rack,,,,,
Simplex Scooter 150,1957,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,,Belt   (final drive),,,,,,,,,Disc,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Dominator 88,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),Carburettor. Amal,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,Telescopic,Swingarm -two plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,31.0 HP (22.6  kW)) @ 6500 RPM,163.0 km/h (101.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LDA150 series 3,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,Contact breaker  and  points,Air,3-speed,,3 speed- hand changed,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,109.8 kg (242.0 pounds),,Electric,6.0 HP (4.4  kW)) @ 4600 RPM,78.9 km/h (49.0 mph),0.0547 HP/kg,,,,,6%,,,,,,,,,,,,,,,,,,,,
Panther 65 Springer,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",6.5:1,60.0 x 88.0 mm (2.4 x 3.5 inches),Carburettor,,Magneto,Air,,Chain   (final drive),Dry multiplate,,Hydraulic telescopic,Swingarm ,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",6.8:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),Dry,Semi double cradle,Grider forks,Twin shocks,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres.,Dual seat,,16.00 litres (4.23 US gallons),Kick,26.0 HP (19.0  kW)) @ 6000 RPM,132.8 km/h (82.5 mph),,178 mm (7.0 inches),,2180 mm (85.8 inches),640 mm (25.2 inches),Dry sump with dual plunger pumps,1422 mm (56.0 inches),,,170.1 kg (375.0 pounds),,140 mm (5.5 inches),,3.40 litres (3.59 US quarts),,,Burman,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Heinkel A0 Series 103,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,,,Air,,,,,,,4-10 ,4-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,152.0 kg (335.1 pounds),,,,,,,1000 mm (39.4 inches),2060 mm (81.1 inches),710 mm (28.0 inches),,1370 mm (53.9 inches),,,,,,,,,,,,,,,,,,,
Maico Maicoletta 247,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,,,Chain   (final drive),Enclosed ,,Telescopic,Swingarm ,,,Expanding brake (drum brake). 6.5mm,Expanding brake (drum brake),Spoked,Dual ,,12.00 litres (3.17 US gallons),,14.0 HP (10.2  kW)) @ 5100 RPM,109.0 km/h (67.7 mph),,,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,,,,,,,,,,,,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Heinkel A1 Series 103,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,,,Air,,,,,,,4-10 ,4-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,156.0 kg (343.9 pounds),,,,,,,1000 mm (39.4 inches),2085 mm (82.1 inches),710 mm (28.0 inches),,1375 mm (54.1 inches),,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,,,Air,4-speed,Chain   (final drive),Wet multiplate,,Telescopic,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,170.0 kg (374.8 pounds),17.00 litres (4.49 US gallons),,23.0 HP (16.8  kW)) @ 4500 RPM,135.0 km/h (83.9 mph),0.1353 HP/kg,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno Corsa,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",7.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SSF3M,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,19.00 litres (5.02 US gallons),,38.0 HP (27.7  kW)),119.0 km/h (73.9 mph),,,,,,,1380 mm (54.3 inches),,,,,,,,,,,,,,,,,,,
James Colonel,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Carburettor. Villers,,Magneto,Air,,Chain   (final drive),,Single downtube ,Hydralic telescopic forks,,3-18 ,3-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Kick,,,,,,2002 mm (78.8 inches),860 mm (33.9 inches),Wet sump ,,,,,,,,,,,,,,,,,,,,
James L25 Commodore,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,66.0 x 73.0 mm (2.6 x 2.9 inches),Carburettor,,,Air,,Chain   (final drive),,Steel,Telescopic,Swinging arm-shocks-coil springs,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,105.00 seconds,,,,
DKW RT 250 VS,1957,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",,70.0 x 74.0 mm (2.8 x 2.9 inches),Carburettor. Bing ,,,Air,4-speed,Chain   (final drive),,,Telescopic ,Swingarm ,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,155.0 kg (341.7 pounds),,,,119.0 km/h (73.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard 247,1957,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,5-speed,Chain   (final drive),Wet multiplate,Chrom,Hydealic shock absorbers,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,,115.0 km/h (71.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Dominator 77,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,597.0 ccm (36.43 cubic inches),"Twin, four-stroke",,,Carburettor,,,Air,,,,Down tube-single,Telescopic,Swingarm -two plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
