Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Seat,Engine details,Torque,Bore x stroke,Valves per cylinder,Dry weight,Power/weight ratio,Electrical,Comments,Color options,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Instruments,Light,Rake (fork angle),Ground clearance,Oil capacity,0-100 km/h (0-62 mph),Max RPM,Reserve fuel capacity,Driveline,Alternate seat height
Ducati 160 Monza Junior,1967,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",156.0 ccm (9.52 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 6000 RPM,,,,Overhead Cams (OHC),Six volt coil,Dry sump,Air,,Chain   (final drive),Wet multiplate,,,Steel single cradle,Telescopic fork,Pivoted trolled by spring hydraulic adjustment,2.75-16 ,3.25-16 ,Expanding brake (drum brake),136 mm (5.4 inches),Expanding brake (drum brake),,,,,1295 mm (51.0 inches),13.00 litres (3.43 US gallons),,,,,,,2,121.0 kg (266.8 pounds),0.1074 HP/kg,,,,Dry sump,,,,,,,,,,,,
Vespa VBB Sportique,1967,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,80.0 km/h (49.7 mph),,Carburettor,,,,,4-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Crtt 250,1967,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,161.0 km/h (100.0 mph),,Carburettor,Overhead Valves (OHV),,,,5-speed,,,,,,,,,,,,,,,,,,,,,Single Seat,,,72.0 x 61.0 mm (2.8 x 2.4 inches),,,,,,,,,,,,,,,,,,,
Yamaha 250 Racer,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",44.0 HP (32.1  kW)) @ 10000 RPM,144.0 km/h (89.5 mph),,Carburettor. 30mm remote float,Overhead Valves (OHV),,,Air,,,,,,,,,,,,,,,,,,1315 mm (51.8 inches),22.71 litres (6.00 US gallons),,,Single seat,,31.0 Nm (3.2 kgf-m or 22.9 ft.lbs) @ 9500 RPM,56.0 x 50.0 mm (2.2 x 2.0 inches),,,,,,,,,,,,,,,,,,,
Kawasaki W1,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,624.0 ccm (38.08 cubic inches),"Twin, four-stroke",52.3 HP (38.2  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),,Carburettor. Mikuni,Pushrods,,,Air,,Chain   (final drive),,,,,Telescopic fork,Swingarm,3.25-19 ,3.50-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,15.00 litres (3.96 US gallons),,,Dual ,,,74.0 x 72.6 mm (2.9 x 2.9 inches),,181.0 kg (399.0 pounds),0.2890 HP/kg,,,,,,,,,,,,,,,,
Triumph Daytona 500,1967,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",39.0 HP (28.5  kW)) @ 7400 RPM,,9.0:1,Carburettor,,,,Air,,Chain   (final drive),Wet multiplate,,,,Telescopic fork,Two schock,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Dual ,,,69.0 x 65.5 mm (2.7 x 2.6 inches),,153.0 kg (337.3 pounds),0.2549 HP/kg,,,,,,,,,,,,,,,,
Husqvarna Racer,1967,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,Air,,Chain   (final drive),,,,Chrome-,,,3.00-19 ,3.00-18 ,,,,,,,,,,,,,,,,,94.4 kg (208.0 pounds),,,,,,,,,,,,,,,,,
Norton Dunstall,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, two-stroke",,,,Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,1410 mm (55.5 inches),,,,Single ,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,
Bridgestone 350 GTO,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Twin, two-stroke",40.0 HP (29.2  kW)) @ 7500 RPM,,9.3:1,Carburettor. Amal,Rotary valves,Battery-coil,,Air,,Chain   (final drive),Dry multiplate,,,,Telescopic ,Swingarm ,3.25-19 ,3.25-19 ,,,,Spoked,,,,1372 mm (54.0 inches),14.38 litres (3.80 US gallons),Kick,,Dual ,,,61.0 x 59.0 mm (2.4 x 2.3 inches),,,,,,,,,,,,,,,,,,,
Bridgestone 350 GTR,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Twin, two-stroke",49.6 HP (36.2  kW)) @ 7500 RPM,152.9 km/h (95.0 mph),,Carburettor. Mikuni ,Rotary valves,,,Air,,Chain   (final drive),Dry multiplate,,,Steel double cradle ,Gaitered,Twin Shock Absorber,3-19 ,3-19 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Spoked,,,,1374 mm (54.1 inches),15.00 litres (3.96 US gallons),Kick,,Dual ,,,61.0 x 59.0 mm (2.4 x 2.3 inches),,160.6 kg (354.1 pounds),0.3090 HP/kg,,,Red,,,"825 mm (32.5 inches) If adjustable, lowest setting.",,,,,,,,,,
