Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,Cooling system,Top speed,Fuel control,Transmission type,Fuel capacity,Fuel system,Wheelbase,Lubrication system,Front suspension,Rear suspension,Front tire,Rear tire,Comments,Max RPM,Compression,Bore x stroke,Ignition,Clutch,Exhaust system,Rake (fork angle),Diameter,0-100 km/h (0-62 mph),Frame type,Color options,"Weight incl. oil, gas, etc",Overall length,Overall width,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Fuel consumption,Greenhouse gases,Ground clearance,Front wheel travel,Rear wheel travel,Overall height,Reserve fuel capacity,Oil filter,Battery,Chain size,Chain links,Sprockets,Engine details,Trail,Modifications compared to previous model,1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Wheels
Ducati SS 750 C,1995,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,70.6 Nm (7.2 kgf-m or 52.1 ft.lbs) @ 6500 RPM,2,5-speed,Dual disc,Single disc,176.0 kg (388.0 pounds),0.3750 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Chopper,1995,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"Twin, two-stroke",23.5 HP (17.2  kW)) @ 5250 RPM,31.4 Nm (3.2 kgf-m or 23.2 ft.lbs) @ 4750 RPM,,4-speed,Single disc,Expanding brake,147.0 kg (324.1 pounds),0.1599 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,Air,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RS,1995,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,93.2 Nm (9.5 kgf-m or 68.7 ft.lbs) @ 5500 RPM,4,5-speed,Dual disc,Single disc,219.0 kg (482.8 pounds),0.4110 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 LT,1995,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,104.9 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5500 RPM,4,5-speed,Dual disc,Single disc,270.0 kg (595.2 pounds),0.3704 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 FS,1995,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 11000 RPM,57.9 Nm (5.9 kgf-m or 42.7 ft.lbs) @ 9600 RPM,4,6-speed,,Single disc,198.0 kg (436.5 pounds),0.4343 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RF 900 RS2,1995,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",937.0 ccm (57.18 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 10000 RPM,95.1 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 9000 RPM,4,5-speed,Dual disc,Single disc,203.0 kg (447.5 pounds),0.6158 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR-400,1995,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",53.0 HP (38.7  kW)) @ 11000 RPM,37.0 Nm (3.8 kgf-m or 27.3 ft.lbs) @ 9000 RPM,4,6-speed,Double disc,Single disc,197.0 kg (434.3 pounds),0.2690 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Liquid,180.0 km/h (111.8 mph),Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),18.00 litres (4.76 US gallons),Carburettor. Keihin,1430 mm (56.3 inches),Wet sump,,,120/60-17 ,160/60-17 ,,14000,,57.0 x 38.0 mm (2.2 x 1.5 inches),Digital,,Double pipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000,1995,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1003.0 ccm (61.20 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,106.9 Nm (10.9 kgf-m or 78.8 ft.lbs) @ 8500 RPM,5,5-speed,Dual disc,Single disc,214.0 kg (471.8 pounds),0.6776 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RT,1995,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,72.6 Nm (7.4 kgf-m or 53.5 ft.lbs) @ 3500 RPM,2,5-speed,Dual disc,Expanding brake,214.0 kg (471.8 pounds),0.2804 HP/kg,"807 mm (31.8 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 ACE Shadow,1995,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",50.3 HP (36.7  kW)) @ 4500 RPM,88.3 Nm (9.0 kgf-m or 65.1 ft.lbs) @ 2500 RPM,3,5-speed,Single disc,Single disc,260.0 kg (573.2 pounds),0.1935 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
