Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Engine details,Fuel control,Front suspension,"Weight incl. oil, gas, etc",Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Diameter,Wheelbase,Carrying capacity,Valves per cylinder,Oil capacity,Color options,Electrical,Comments,Exhaust system,Ground clearance,Rake (fork angle),Seat height,Light,Torque,0-100 km/h (0-62 mph),Modifications compared to previous model,Driveline,Instruments,Front wheel travel
Harley-Davidson FLH Duo Glide,1959,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 4800 RPM,,7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Air,4-speed,Chain   (final drive),,Tubular cradle,Swingarm. Dual coil-over-shocks.,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat,304.0 kg (670.2 pounds),0.1809 HP/kg,,,,14.19 litres (3.75 US gallons),Kick,Panhead V-twin engine,Overhead Valves (OHV),Hydraulic telescopic forks ,,,,,,,1500 mm (59.1 inches),,,3.70 litres (3.91 US quarts),"Black, red, blue, turquoise",6 Volt battery.,Windscreen. FLH models have higher compression then FL.,,,,,,,,,,,
Harley-Davidson S-125,1959,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,Chain   (final drive),,,Rigid-,,,Expanding brake (drum brake),Expanding brake (drum brake),,,90.7 kg (200.0 pounds),,,,,,,,,Girder fork coil spring,,,,,,,,,,,,,,,,,,,,,,,,
Simplex Scooter 150,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,Air,,Belt   (final drive),,,,,,,,Disc,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A7 Shoting Star,1959,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Twin, four-stroke",19.7 HP (14.4  kW)) @ 6000 RPM,168.0 km/h (104.4 mph),6.6:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,Air,,,Wet multiplate,Single cradle,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,193.0 kg (425.5 pounds),0.1021 HP/kg,,2180 mm (85.8 inches),,,Kick,,,Hydralic telescopic forks,,Lucas magneto,,,,,1391 mm (54.8 inches),,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 73,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,73.0 ccm (4.45 cubic inches),"Single cylinder, two-stroke",,70.0 km/h (43.5 mph),,42.0 x 46.0 mm (1.7 x 1.8 inches),Carburettor. DellÓrto,Air,,Chain   (final drive),Wet multiplate,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single seat,55.0 kg (121.3 pounds),,,,,,Kick,,,Telescopic,,,,,,,,,,,,,,,,,,,,,,,,
AJS Model 16 350 Spectre,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,171.0 kg (377.0 pounds),,,,,17.00 litres (4.49 US gallons),Kick,,Overhead Valves (OHV),Telescopic,,Magneto,,,,,,,,,,,,,,,,,,,,,,
Ducati Elite,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,204.0 ccm (12.45 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,140.0 km/h (87.0 mph),8.5:1,67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. Dellorto UB 24,Air,,Chain   (final drive),Wet multiplate,Single open cradle in steel tubing,Swinging arm suspension ,2.75-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seatt,118.0 kg (260.1 pounds),0.1525 HP/kg,1040 mm (40.9 inches),2000 mm (78.7 inches),800 mm (31.5 inches),,,,Overhead Cams (OHC),Telescopic fork,,Mageneto flywhel,Forced wet sump,,,160 mm (6.3 inches),1320 mm (52.0 inches),,,,,,,,,,,,,,,,,
NSU Prima III ,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",7.7 HP (5.6  kW)) @ 5200 RPM,84.0 km/h (52.2 mph),6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor. Bing,Air,4-speed,Shaft drive (cardan)   (final drive),,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,131.0 kg (288.8 pounds),0.0588 HP/kg,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),12.00 litres (3.17 US gallons),Electric,,,,,Magneto ,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,
James Colonel,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",,,7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Carburettor. Villers,Air,3-speed,Chain   (final drive),,Single downtube ,,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,2002 mm (78.8 inches),860 mm (33.9 inches),,Kick,Villiers Mk 1H engine,,Hydralic telescopic forks,,Magneto,Wet sump ,,,,,,,,,,,,,,,,,,,,,
Triumph Tigress 175,1959,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,Air,,Chain   (final drive),Enclosed ,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,,,Two coils,,,,,,,,,,,,,,,,,,,,,,
