Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Engine details,Fuel control,Front suspension,"Weight incl. oil, gas, etc",Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Diameter,Wheelbase,Carrying capacity,Valves per cylinder,Oil capacity,Color options,Electrical,Comments,Exhaust system,Ground clearance,Rake (fork angle),Seat height,Light,Torque,0-100 km/h (0-62 mph),Modifications compared to previous model,Driveline,Instruments,Front wheel travel
Harley-Davidson XLCH Sportster,1959,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6300 RPM,193.1 km/h (120.0 mph),,,Carburettor,Air,,Chain   (final drive),,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,,,,,,45-degree V-twin,Overhead Valves (OHV),Telescopic,205.0 kg (451.9 pounds),,,,,,,,,,,,,,,,,,,,,,,
Matchless G-12,1959,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 6500 RPM,,,,Carburettor. Amal,Air,,Chain   (final drive),,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,,180.0 kg (396.8 pounds),0.1944 HP/kg,,,,,,,,Telescopic,,,,,,,,,,,,,Designer was Phil Walker,,,,,,,,This model was also named AJS 31 and produced by the same company,,,
Matchless G50,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",51.0 HP (37.2  kW)) @ 7200 RPM,,,,Carburettor,Air,,Chain   (final drive),,BSA,,,,Expanding brake (drum brake),Expanding brake (drum brake). Rigid,,Single seat,150.0 kg (330.7 pounds),0.3400 HP/kg,,,,,,,Single Overhead Cams (SOHC),,,,,,,,,,,,,,This bike was also called the Golden Eagle.,,,,,,,,,,,
Norton Jubilee,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",11.7 HP (8.5  kW)) @ 7750 RPM,,8.8:1,60.0 x 44.0 mm (2.4 x 1.7 inches),Carburettor,Air,,Chain   (final drive),Wet multiplate,Single cradle,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake). Single,,,Dual seat,150.0 kg (330.7 pounds),0.0780 HP/kg,1016 mm (40.0 inches),2057 mm (81.0 inches),711 mm (28.0 inches),13.60 litres (3.59 US gallons),Kick,Norton Dominator,,Hydralic telescopic forks,,,,,,,,,,,,,,,,,,,,,,,,
Adler MBS 250 Favorit,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 5600 RPM,116.0 km/h (72.1 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet multiplate,Semi double cradle,Two schock,3.25-16 ,3.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,165.0 kg (363.8 pounds),0.0970 HP/kg,,,,15.00 litres (3.96 US gallons),Kick,,,,,,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,
Maico Maicoletta 247,1959,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 5100 RPM,109.0 km/h (67.7 mph),,67.0 x 70.0 mm (2.6 x 2.8 inches),,,,Chain   (final drive),Enclosed ,,Swingarm ,,,Expanding brake (drum brake). 6.5mm,Expanding brake (drum brake),Spoked,Dual ,,,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,,,,Telescopic,,,,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,
BSA Bantam D7,1959,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,3-speed,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,Shades red or blue-chrome highlights,WicoPacy,,,,,,,,92.00 seconds,,,,
Zündapp 250 S Trophy,1959,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",14.5 HP (10.6  kW)) @ 5500 RPM,,,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet multiplate,Doble cradle,Two schock,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,136.0 kg (299.8 pounds),0.1066 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules A 175,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",9.3 HP (6.8  kW)) @ 5250 RPM,90.0 km/h (55.9 mph),,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing 24mm,Air,4-speed,Chain   (final drive),Wet multiplate,,Swingarm ,3.25-16 ,3.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,140.0 kg (308.6 pounds),0.0664 HP/kg,,,,11.50 litres (3.04 US gallons),Kick,,,Telescopic,,,,,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,
Ariel MK2 Square Four,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,Chain   (final drive),,Tubular single loop,,3.25-19 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,2100 mm (82.7 inches),,23.00 litres (6.08 US gallons),,,Overhead Valves (OHV),,,,,,,,1422 mm (56.0 inches),,,,,,,,,,,,,,,,,
Horex Regina,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6640 RPM,140.0 km/h (87.0 mph),6.4:1,,Carburettor,Air,,Chain   (final drive),,Single cradle,Twin shock-swingarm,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,196.0 kg (432.1 pounds),0.0867 HP/kg,,,,17.00 litres (4.49 US gallons),,,Overhead Valves (OHV),Hydralic telescopic forks,,,,,,,,,,,,,,,,,,,,,,,,
NSU Prima D,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",6.2 HP (4.5  kW)) @ 5200 RPM,80.0 km/h (49.7 mph),6.0:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. Bing AJ,Air,3-speed,,,,Swingarm ,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,123.0 kg (271.2 pounds),0.0504 HP/kg,950 mm (37.4 inches),1910 mm (75.2 inches),680 mm (26.8 inches),7.30 litres (1.93 US gallons),,,,Telescopic,,Battery,,,,,,,,,,,,,,,,,,,,,,
Ariel LH 200 Colt,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 5600 RPM,100.0 km/h (62.1 mph),7.5:1,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Amal Monobloc carburetter with air cleaner. ,Air,4-speed,Chain   (final drive),Two-plate clutch,Semi double cradle,Plungers,2.75-19 ,2.75-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Dual seat,123.0 kg (271.2 pounds),0.0813 HP/kg,,2030 mm (79.9 inches),640 mm (25.2 inches),11.00 litres (2.91 US gallons),Kick,,Overhead Valves (OHV),Telescopic hydraulic fork,,,Double gear pump,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,2,,"Deep claret, Dark red, Red/black",6 Volt system,,1-into-1 pipes,,,,6 inch headlamp,,,,,,
Mondial Champion Lusso,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",,,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet Multiplate,Steel Tubulair,Twin Shock Swinging Arm,250-19 ,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,Kick,4 Stroke Single C,Overhead Valves (OHV),Teliscopic Forks,,Direct Flywheel ,Wet Sump,,,,,,2,,"Black/Cream 
Two Tone Seat Colour",Flywheel;,"in 1956 a wholly new chassis with swingarm suspension and telescopic forks was offered, housing a new engine design of more conventional split-crankcase construction, the ´Champion´ series. Performance of the 125cc ohv machines was improved, they proved very popular. Three variants were offered: Turismo, Lusso, and Special.",Single Down pipe and Silencer,,,,6 V,,,,Chain,Optional Extra,
Velocette Valiant,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Two cylinder boxer, four-stroke",12.0 HP (8.8  kW)) @ 6000 RPM,110.0 km/h (68.4 mph),8.0:1,50.0 x 49.0 mm (2.0 x 1.9 inches),Carburettor,Air,,Shaft drive (cardan)   (final drive),Dry plate,,Twin shock,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual seat,116.0 kg (255.7 pounds),0.1034 HP/kg,,,,12.00 litres (3.17 US gallons),,,Overhead Valves (OHV),Hydralic telescopic forks,,,,,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,
Ardie BZ 350 D,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",,130.0 km/h (80.8 mph),6.8:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet multiplate,,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,161.0 kg (354.9 pounds),,1015 mm (40.0 inches),2090 mm (82.3 inches),680 mm (26.8 inches),15.00 litres (3.96 US gallons),Kick,,,Hydraulic telescopic,,Magneto,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,
Simson 425 T,1959,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,Air,,Shaft drive (cardan)   (final drive),,Steel,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,140.0 kg (308.6 pounds),0.0857 HP/kg,,,,12.00 litres (3.17 US gallons),,,,,,Magneto,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Drag Bike,1959,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,323.5 km/h (201.0 mph),,,Carburettor,,,Chain   (final drive),Single speed,,,,,Expanding brake (drum brake),,,Single seat,,,,,,,,,Overhead Valves (OHV),,136.1 kg (300.0 pounds),Magneto,,,,,,,,,Multicolored white/blue/red,,,,,,,,,,,,,
KTM Mirabell,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 5500 RPM,85.0 km/h (52.8 mph),,54.0 x 59.0 mm (2.1 x 2.3 inches),Carburettor,,3-speed,Chain   (final drive),,Double  loop ,,3.25-12 ,3.25-12 ,Expanding brake (drum brake),Expanding brake (drum brake),Alloy,Dual ,125.0 kg (275.6 pounds),0.0640 HP/kg,,,,8.00 litres (2.11 US gallons),Electric,,,Swingarm with shock absorbers,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno Cross,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)),,7.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SS38,Air,4-speed,Chain   (final drive),,,,3-21 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,125.0 kg (275.6 pounds),0.3040 HP/kg,,,,10.00 litres (2.64 US gallons),,,Overhead Valves (OHV),,,,,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,
Dürkopp MD 201,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 5900 RPM,,7.0:1,61.0 x 64.0 mm (2.4 x 2.5 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Two shock,1.85-19 ,1.85-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,131.0 kg (288.8 pounds),0.0916 HP/kg,980 mm (38.6 inches),2030 mm (79.9 inches),670 mm (26.4 inches),13.50 litres (3.57 US gallons),,,,Hydraulic telescopic,,Magneto,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1959,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 6000 RPM,132.8 km/h (82.5 mph),6.8:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Air,4-speed,Chain   (final drive),Dry,Semi double cradle,Twin shocks,3.25-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres.,Dual seat,,,,2180 mm (85.8 inches),640 mm (25.2 inches),17.03 litres (4.50 US gallons),Kick,,Overhead Valves (OHV),Grider forks,170.1 kg (375.0 pounds),,Dry sump with dual plunger pumps,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,178 mm (7.0 inches),1422 mm (56.0 inches),,,3.40 litres (3.59 US quarts),Deep red,,,,140 mm (5.5 inches),,,7.5 inch headlamp,,,,,,
Aermacchi 250 Ala Verde Serie 1,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Swingarm-two shocks,2.50-17 ,2.50-17 ,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,Spoked,Dual ,114.0 kg (251.3 pounds),0.1404 HP/kg,910 mm (35.8 inches),1938 mm (76.3 inches),762 mm (30.0 inches),17.00 litres (4.49 US gallons),Kick,,,Telescopic -Geriani,,,,,,180 mm (7.1 inches),1270 mm (50.0 inches),,,,,,,,,,,,,,,,,
Maico Blizzard,1959,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,177.0 ccm (10.80 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,Air,5-speed,Chain   (final drive),Wet multiplate,Chrom,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,Kick,,,Hydealic shock absorbers,,,,,,,,,,,,,,,,,,,,,,,,
Agrati Capri 70,1959,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,70.0 ccm (4.27 cubic inches),"Single cylinder, two-stroke",3.8 HP (2.7  kW)) @ 6000 RPM,65.0 km/h (40.4 mph),7.5:1,45.0 x 44.0 mm (1.8 x 1.7 inches),Carburettor. DellÓrto,,3-speed,Chain   (final drive),,,Swingarm with three shoks,,,,,Spoked,Dual ,93.0 kg (205.0 pounds),0.0403 HP/kg,,,,,,Minarelli,,,,,,,,,,,,,,,,,,,,,,,,,,
Heinkel A1 Series 103,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,,60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,Air,,,,,,4-10 ,4-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,156.0 kg (343.9 pounds),,1000 mm (39.4 inches),2085 mm (82.1 inches),710 mm (28.0 inches),,,,,,,,,,,,1375 mm (54.1 inches),,,,,,,,,,,,,,,,,
Simplex Automatic,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 5000 RPM,,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor,,,Belt   (final drive),Variable speed automatic,,Rigid,,,,Expanding brake (drum brake),,,,,,,,9.46 litres (2.50 US gallons),,,Overhead Valves (OHV),Leading link ,,Magneto,,,,,,,,,,,,,,,,,,,,,,
Lambretta TV 175 Series 1,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,170.0 ccm (10.37 cubic inches),"Single cylinder, two-stroke",8.6 HP (6.3  kW)) @ 6000 RPM,103.0 km/h (64.0 mph),8.0:1,60.0 x 60.0 mm (2.4 x 2.4 inches),Carburettor. DellÓrto,Air,,Chain   (final drive),,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Chromed wheel rims,Dual ,114.8 kg (253.0 pounds),0.0749 HP/kg,,,,,Kick,,,,,,,,,,,,,,Ivory,,,,,,,,,,,,,
AJS Model 16 350MS,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet multiplate,Duplex steel cradle,Two shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,170.0 kg (374.8 pounds),0.1059 HP/kg,,2190 mm (86.2 inches),710 mm (28.0 inches),13.50 litres (3.57 US gallons),Kick,,Overhead Valves (OHV),Catrigde,,Magneto,Wet sump ,,,,1422 mm (56.0 inches),,,,,,,,,,,,,,,,,
Moto Guzzi Regolarita 250,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,132.0 km/h (82.0 mph),,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. DellÓrto,Air,5-speed,Chain   (final drive),Wet multiplate,,Dual chocks,2.50-18 ,3.00-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single Seat,101.0 kg (222.7 pounds),0.1683 HP/kg,,,,12.00 litres (3.17 US gallons),Kick,,Overhead Valves (OHV),Telescopic fork,,,,,,,1314 mm (51.7 inches),,,,,,,,,,,,,,,,,
BMW R 60,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",28.0 HP (20.4  kW)) @ 5600 RPM,145.0 km/h (90.1 mph),6.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm Bing,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble cradle,Twin shock-Swingarm,3.50-18.00 ,3.50-18.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,195.0 kg (429.9 pounds),0.1436 HP/kg,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),17.00 litres (4.49 US gallons),Kick,,Overhead Valves (OHV),Long swingarm-oil pressure shock absorbers,,,Wet sump ,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,200 mm (7.9 inches),1380 mm (54.3 inches),360.00-with sidecar 600kg,,,,,,,,,,,,,,,,
Cushman Eagle,1959,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 5500 RPM,84.0 km/h (52.2 mph),,,Carburettor,Air,2-speed,Belt   (final drive),Automatic ,"Tubular steel, welded",Shock absorbing springs,4.75-7.75 ,4.75-7.75 ,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted solo seat,122.9 kg (271.0 pounds),0.0651 HP/kg,,,,7.57 litres (2.00 US gallons),Kick,,,Shock absorbing springs,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,165 mm (6.5 inches),,Rear rack,,,Rec,,,,,,,,,,,Gear transmission,,51 mm (2.0 inches)
KTM Mirabell 125,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",7.0 HP (5.1  kW)) @ 4500 RPM,80.0 km/h (49.7 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,Chain   (final drive),,Double  loop ,,3.25-12 ,3.25-12 ,Expanding brake (drum brake),Expanding brake (drum brake),Alloy,Dual ,125.0 kg (275.6 pounds),0.0560 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 125 Series 2,1959,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.2 HP (3.8  kW)) @ 5200 RPM,69.2 km/h (43.0 mph),7.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,Air,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,103.9 kg (229.0 pounds),0.0501 HP/kg,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,Kick,,,,,,,,,,1290 mm (50.8 inches),,,,,,,,,,,,,,,,,
Matchless G3 350,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,129.0 km/h (80.2 mph),6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,Air,,Chain   (final drive),Wet multiplate,,Two schock,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,Kick,,,Telescopic,179.0 kg (394.6 pounds),,Dry sump,,,178 mm (7.0 inches),,,,,,,,,,,,,,,,,,
Motobi Imperiale Sport,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",5.8 HP (4.2  kW)) @ 6500 RPM,120.7 km/h (75.0 mph),6.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. DellÓrto,Air,,Chain   (final drive),,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,93.0 kg (205.0 pounds),0.0624 HP/kg,,,,15.00 litres (3.96 US gallons),,,Overhead Valves (OHV),Telescopic,,,,,,,,,,,,,,,,,,,,,,,,
James Colonel 225,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",9.6 HP (7.0  kW)) @ 4500 RPM,80.0 km/h (49.7 mph),7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,,3-18 ,3-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,,,,,Kick,,,Hydraulic telescopic,,,,,,,,,,,,,,,,,,,,,,,,
Panther M 120,1959,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,6.5:1,88.0 x 106.0 mm (3.5 x 4.2 inches),Carburettor,Air,,Chain   (final drive),,,Swingarm ,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,209.1 kg (461.0 pounds),0.1291 HP/kg,,2100 mm (82.7 inches),,,,,Overhead Valves (OHV),Telescopic ,,,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,178 mm (7.0 inches),1500 mm (59.1 inches),,,,,,,,,,"710 mm (28.0 inches) If adjustable, lowest setting.",,,,,,,
Velocette LE MK 2,1959,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,200.0 ccm (12.20 cubic inches),"Two cylinder boxer, four-stroke",8.0 HP (5.8  kW)) @ 5000 RPM,80.5 km/h (50.0 mph),7.0:1,50.0 x 49.0 mm (2.0 x 1.9 inches),Carburettor. Amal 363 Monobloc,Liquid,3-speed,Shaft drive (cardan)   (final drive),Wet multiplate,Unibody pressed steel,Swinging arm,3.25-18 ,3.25-18 ,Expanding brake (drum brake). Single Leading Shoe,Expanding brake (drum brake). Single Leading Shoe,Wire,,120.0 kg (264.6 pounds),0.0667 HP/kg,,2083 mm (82.0 inches),635 mm (25.0 inches),7.40 litres (1.96 US gallons),,,Sidevalves,Up Side Down telescopic forks,,Battery and coil,Wet sump,,,127 mm (5.0 inches),1300 mm (51.2 inches),"Luggage rack, plus optional panniers",2,1.00 litres (1.06 US quarts),,Miller,"It was designed as a motorcycle for ´non-motorcycle people´. This results in features such as the hand start (I selected ´kick start´ as it was the most appropriate!) And the hand gear change (the gears being: first, forward and left; second, back and right; third, forward and right). The idea behind this was to prevent one´s shoes from becoming scuffed. A feature added to make the gear change supposedly easy is a sticky throttle: one that holds its plays without the spring returning it to the natural position of idle. Another feature - for the sake of comfort - is floorboards, complimented by large, aluminium leg shields. Especially given the layout of the boxer engine, this is a desirous feature in the winter, but not the summer! To provide storage, a small lunchbox is embedded into the top of the bike - just in front of the fuel filler cap. Many of the bikes were used by police services. These bikes are distinguishable by their ´police´ on the otherwise blank magneto cover, and a ´v´ shaped battery compartment to prevent water entering. To remove the engine/gearbox/swinging arm assembly, one has to remove the body and frame from it. Down to the low centre of gravity of the bike - from the nature of a boxer - it is a very easy bike to operate, and handle. It seems surprisingly nimble, and happy to lean",Double steel pipes into steel ´box´,114 mm (4.5 inches),,"711 mm (28.0 inches) If adjustable, lowest setting.","Headlight, sidelight, taillight",,,"MK 1 1948-1951: 150cc engine, and 3´ - 19´ tyres

MK 2 1951-1959: 200cc engine, heavier duty cast aluminium swinging arm

MK 3 1959-1970: kick start plus 4 speed foot gear change - velocette valiant running gear, just with side valve, and single carb. Heavier duty bearings",,"Speedometer, odometer",
