Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Seat,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Starter,Wheels,Dry weight,Power/weight ratio,Color options,Engine details,Oil capacity,Electrical,Driveline,Carrying capacity,Exhaust system,Comments,Valves per cylinder,Modifications compared to previous model,Light
Vincent HRD Series B Rapide,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),6.8:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. Amal ,Overhead Valves (OHV),,,,,Chain   (final drive),,,,,Gilder fork with coil over shock,Triangulated swingarm with coil over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,206.4 kg (455.0 pounds),,,,,,1410 mm (55.5 inches),,,,,,,50degree V-twin,,,,,,,,,
Zündapp KS 601,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",28.0 HP (20.4  kW)) @ 4700 RPM,140.0 km/h (87.0 mph),,75.0 x 67.6 mm (3.0 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,Tubular,Telescopic,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Two single seats,,,,,,,,14.50 litres (3.83 US gallons),Kick,Spoked,224.0 kg (493.8 pounds),0.1250 HP/kg,,,,,,,,,,,
NSU Konsul 2,1951,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5000 RPM,125.0 km/h (77.7 mph),6.3:1,80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Hydraulic,3.50-19 ,4-19 ,Expanding brake (drum brake). 180mm,,Expanding brake (drum brake). 180mm,Single ,,,1000 mm (39.4 inches),2185 mm (86.0 inches),820 mm (32.3 inches),,,14.50 litres (3.83 US gallons),Kick,Spoked,195.0 kg (429.9 pounds),0.1128 HP/kg,,,,,,,,,,,
Hercules 311,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 5000 RPM,75.0 km/h (46.6 mph),,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing 18mm,,,,Air,,Chain   (final drive),,,,,Telescopic,Rigid,2.50-19 ,2.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,,,,,,,Kick,Spoked,90.0 kg (198.4 pounds),0.0556 HP/kg,,,,,,,,,,,
Moto Guzzi Galetto,1951,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,160.0 ccm (9.76 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,Overhead Valves (OHV),,,,4-speed,Chain   (final drive),Multiplate,,,,Telescopic,,2.75-17 ,3-17 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,,,,,,,Kick,Spoked,106.0 kg (233.7 pounds),,,,,,,,,,,,
Ariel KH 500 Red Hunter,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",28.0 HP (20.5  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),7.5:1,56.0 x 86.0 mm (2.2 x 3.4 inches),Carburettor,Overhead Valves (OHV),Lucas,Dry sump,Air,4-speed,Chain   (final drive),Dry plate,,,Duplex loop,Telescopic forks,Rigid,3.00-20 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Solo seat with springs,,,,,,,1422 mm (56.0 inches),17.00 litres (4.49 US gallons),Kick,Wire spoked,177.0 kg (390.2 pounds),0.1584 HP/kg,Red,,,,,,2-into-2 pipes,Ariel was owned by BSA since 1944.,,,
Nimbus 2510,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,,Carburettor,Overhead Cams (OHC),,,,3-speed,,,,,,Telescopic,,,,,,,Two single seats,,,,,,,,,,,,,,,,,,,,,,,
NSU Delphin III,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.7 ccm (30.43 cubic inches),"Twin, four-stroke",110.0 HP (80.3  kW)) @ 8500 RPM,340.0 km/h (211.3 mph),,63.0 x 80.0 mm (2.5 x 3.1 inches),Turbo,,,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,Streamliner. Wind tunnel designed fairing with a  drag coefficient of 0.19.,Parallelogram,Telescopic,3.25-18 ,3.50-20 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,1100 mm (43.3 inches),3700 mm (145.7 inches),640 mm (25.2 inches),,,,,,220.0 kg (485.0 pounds),0.5000 HP/kg,Red/white/black,"Supercharger, both a trochoidal inner rotor and epitrochoidal outer rotor",,,,,,"Wilhelm Herz rode the bike to 211.4 miles per hour (340.2 km/h) at Bonneville Speedway in Utah, to break 200 mph (320 km/h) for the first time.",,,
Zündapp DB 202,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",7.5 HP (5.5  kW)) @ 4000 RPM,85.0 km/h (52.8 mph),,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing ,,,,Air,4-speed,,,,,,Telescopic,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Two single seats,,,,,,,,12.00 litres (3.17 US gallons),Kick,Spoked,125.0 kg (275.6 pounds),0.0600 HP/kg,,,,,,,,,,,
BSA 350 Plunger,1951,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",23.0 HP (16.8  kW)),128.8 km/h (80.0 mph),6.5:1,71.0 x 88.0 mm (2.8 x 3.5 inches),Carburettor. Amal type 76,Overhead Valves (OHV),Lucas magneto,Dry sump,Air,4-speed,Chain   (final drive),Multi-plate,,,,Telescopic fork,Plunger suspension,3.25-19 ,3.25-19 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),,175.0 kg (385.8 pounds),,,,,,1390 mm (54.7 inches),19.00 litres (5.02 US gallons),Kick,,154.2 kg (340.0 pounds),0.1491 HP/kg,,,,,,,"Single, stainless steel and chrome",,2,,
