Model,Year,Category,Rating,Displacement,Engine type,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Ignition,Gearbox,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel control,Light,Compression,Lubrication system,Clutch,"Weight incl. oil, gas, etc",Reserve fuel capacity,Carrying capacity,Color options,Comments,Valves per cylinder,Diameter,Engine details,Driveline,Exhaust system,Seat height
Ariel Model B,1928,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,557.0 ccm (33.99 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Air,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),"Wire spoked, black rims",Single seat with springs,,,,,,,,,,,Kick,Overhead Valves (OHV),,,,,,,,Black,,,,Sidevalve,,,
Harley-Davidson Model JD,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",136.8 km/h (85.0 mph),87.0 x 100.0 mm (3.4 x 3.9 inches),Carburettor,,,,,,,,3-26 ,3-23 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,194.0 kg (427.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp Z 300,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,298.0 ccm (18.18 cubic inches),"Single cylinder, two-stroke",90.0 km/h (55.9 mph),68.0 x 82.5 mm (2.7 x 3.2 inches),Carburettor,Air,Chain   (final drive),,,,,,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ( two single seats optional),105.0 kg (231.5 pounds),26.0 HP (19.0  kW)) @ 4000 RPM,,,0.2476 HP/kg,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,
BMW R52,1928,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",486.0 ccm (29.66 cubic inches),"Two cylinder boxer, four-stroke",100.0 km/h (62.1 mph),,Carburettor. 22mm BMW Spezial,Air,Shaft drive (cardan)   (final drive),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel doble cradle,Leading link ,Rigid,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),,,Solo seat with springs,,12.0 HP (8.7  kW)) @ 3400 RPM,Magneto,3-speed,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),12.50 litres (3.30 US gallons),Kick,Overhead Valves (OHV),,5.1:1,Wet sump ,Dry-single plate-cable operated,152.0 kg (335.1 pounds),,210kg,,,,200 mm (7.9 inches),,,,
Harley-Davidson Eight-valve racer,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",193.0 km/h (119.9 mph),,Carburettor. Schebler,Liquid,Chain   (final drive),,,,,,,,,,Spoked,Single ,,,,1-speed,,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,No pipes,
Norton 490 CS 1,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",128.8 km/h (80.0 mph),,Carburettor,,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Solo seat with springs,145.0 kg (319.7 pounds),,,,,,,,,,,Single Overhead Cams (SOHC),,,,,,,,,,,,,,,
Ariel Model E 500,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,81.5 x 95.0 mm (3.2 x 3.7 inches),Carburettor,Air,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Single seat with springs,,,,,,,,,,,Kick,Overhead Valves (OHV),,,,,,,Rear rack,Black,Designed by Val Page.,,,Sidevalve,,,
Harley-Davidson Factory Hillclimber,1928,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1230.0 ccm (75.05 cubic inches),"Twin, two-stroke",,,,,,,,,Springer fork,Rigid,,,,,,Single seat,,,,,,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,
NSU 201R,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",65.0 km/h (40.4 mph),56.5 x 80.0 mm (2.2 x 3.1 inches),Carburettor. Amac PJ ,Air,Belt   (final drive),,,,,,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,82.0 kg (180.8 pounds),4.5 HP (3.3  kW)) @ 3500 RPM,,3-speed,0.0549 HP/kg,740 mm (29.1 inches),2080 mm (81.9 inches),820 mm (32.3 inches),1345 mm (53.0 inches),6.00 litres (1.59 US gallons),Kick,,,,,,,,,,,,,,,,
Harley-Davidson Model S,1928,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Single cylinder, two-stroke",137.0 km/h (85.1 mph),,Carburettor,,Chain   (final drive),,,,,,2.5-28 ,2.5-28 ,,,Spoked,Single ,,,,,,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,No pipes,
Harley-Davidson Model B,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.7 ccm (21.09 cubic inches),"Single cylinder, four-stroke",,73.0 x 82.0 mm (2.9 x 3.2 inches),,,Chain   (final drive),,,,,,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,113.0 kg (249.1 pounds),,,,,,,,,,,Sidevalves,,,,,,,,,,,,,,,
Indian 101 Scout,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,,Carburettor,,Chain   (final drive),,,,,,,,,,,Solo seat with springs,,,,3-speed,,,,,,,,Sidevalves,,,,,167.8 kg (370.0 pounds),,,,,,,,,,"667 mm (26.3 inches) If adjustable, lowest setting."
BMW R42,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",95.0 km/h (59.0 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 20mm BMW Spezial,Air,Shaft drive (cardan)   (final drive),,,Steel doble cradle,Leading link ,Rigid,3.5-26 ,3.5-26 ,Expanding brake (drum brake),,,Single seat,,12.0 HP (8.7  kW)) @ 3400 RPM,,3-speed,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1410 mm (55.5 inches),,Kick,Overhead Valves (OHV),,4.9:1,Wet sump ,Dry-single plate-cable operated,126.0 kg (277.8 pounds),,,,,,150 mm (5.9 inches),,,,
DKW E 250,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",78.0 km/h (48.5 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,Air,Chain   (final drive),,,,,None,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,90.0 kg (198.4 pounds),,Magneto,,,,,,,,,,,,,,,,,,,,140 mm (5.5 inches),,,,
Zündapp EM 300,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,298.0 ccm (18.18 cubic inches),"Single cylinder, two-stroke",90.0 km/h (55.9 mph),68.0 x 82.5 mm (2.7 x 3.2 inches),Carburettor. Amac,Air,Chain   (final drive),,,,Webb  fork,Rigid,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,100.0 kg (220.5 pounds),8.0 HP (5.8  kW)) @ 3000 RPM,,3-speed,0.0800 HP/kg,,,,,,Kick,,,,,,,,,,,,,,,,
DKW ZSW 500,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.9 ccm (30.14 cubic inches),"Twin, two-stroke",100.0 km/h (62.1 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,Liquid,,,,,,None,3.5-27 ,3.85-27 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,135.0 kg (297.6 pounds),14.0 HP (10.2  kW)),,,0.1037 HP/kg,,,,,,,,,,,,,,,,,,,,,,
DKW E 300,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,292.0 ccm (17.82 cubic inches),"Single cylinder, two-stroke",80.0 km/h (49.7 mph),74.0 x 68.0 mm (2.9 x 2.7 inches),Carburettor,Air,Chain   (final drive),4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,None,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,100.0 kg (220.5 pounds),,Magneto,,,,,,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,140 mm (5.5 inches),,,,
