Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Clutch,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Starter,Engine details,Fuel control,Transmission type,Front suspension,Rear suspension,Wheels,Wheelbase,Fuel capacity,Oil capacity,Color options,Electrical,Fuel consumption,Greenhouse gases,Carrying capacity,Diameter,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Comments,Exhaust system,Modifications compared to previous model,Valves per cylinder,Driveline,Ground clearance,Instruments
Moto Guzzi Dondolino,1948,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, two-stroke",33.0 HP (24.1  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),8.5:1,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto SSM,Magneto,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,127.0 kg (280.0 pounds),0.2598 HP/kg,,,Overhead Valves (OHV),Chain   (final drive),,,Spoked,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,
Simplex Automatic,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 4000 RPM,,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor. Tillottson,Magneto and dual spark plugs,,,,,Duplex loop,2.50-26 ,2.50-26 ,,,Solo seat with springs,61.2 kg (135.0 pounds),0.0653 HP/kg,,,Overhead Valves (OHV),Belt   (final drive),Short rocker arms and two coil springs,Rigid,,1194 mm (47.0 inches),9.46 litres (2.50 US gallons),,,,,,,,,,,,,,,This year has direct drive with clutch.,,,,
Riedel Imme R100,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",4.5 HP (3.3  kW)) @ 5800 RPM,,,52.0 x 47.0 mm (2.0 x 1.9 inches),Carburettor,Transmission	Three forward speeds with no neutral position,,Air,3-speed,,Tubular steel spine frame. Engine mounted on swingarm.,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat,,,Kick,,,Chain   (final drive),Single-sided girder fork. Coil spring and friction damper.,Single-sided swingarm. Coil spring and friction damper.,,,,,"Red, black",,,,,,,,,,,,,,,,,
Triumph 500 Grand Prix,1948,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",40.0 HP (29.2  kW)) @ 7200 RPM,,,63.0 x 80.0 mm (2.5 x 3.1 inches),,,,Air,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,142.0 kg (313.1 pounds),0.2817 HP/kg,,,Overhead Valves (OHV),Chain   (final drive),,,Spoked,,,,,,,,,,,,,,,,,,,,,
Velocette KTT,1948,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,,,Carburettor,,,,,Four speed ,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,Overhead Cams (OHC),,Webb girder forks,Swingarm,,,15.14 litres (4.00 US gallons),,,,,,,,,,,,,,,,,,,
Hercules 211,1948,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",2.3 HP (1.6  kW)) @ 3500 RPM,60.0 km/h (37.3 mph),,48.0 x 52.0 mm (1.9 x 2.0 inches),Carburettor. Bing 12mm,,,Air,,,,2.50-26 ,2.50-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Single ,68.0 kg (149.9 pounds),0.0331 HP/kg,Kick,,,Chain   (final drive),Telescopic,Rigid,Spoked,,10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,
Indian Sport Scout,1948,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,732.9 ccm (44.72 cubic inches),"V2, two-stroke",,,,,Carburettor,,,,,,Robust stock,,,,,Single seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rikuo RT 2,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,,Carburettor. Linkert,Generator and battery,,Air,4-speed,Four speed ,,,,,,Spring-mounted seat,230.0 kg (507.1 pounds),0.0957 HP/kg,,,Sidevalves,,Telescopic,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson S-125,1948,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)),72.4 km/h (45.0 mph),6.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Single Langsenkamp-Linkert,,,Air,3-speed,,Single downtube steel cradle,3.25-19 ,3.25-19 ,Expanding brake (drum brake). SLS drum front and rear,Expanding brake (drum brake). SLS drum front and rear,Spring-mounted seat,90.7 kg (200.0 pounds),0.0331 HP/kg,Kick,,,Chain   (final drive),Girder fork coil spring,Rigid-,,,6.62 litres (1.75 US gallons),,,,,,,127 mm (5.0 inches),,,,,,Made in Germany in 1948 following Germany’s defeat in World War II.,,,,,,
Triumph Speed Twin ,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,Lucas altrnator,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,158.8 kg (350.0 pounds),0.1701 HP/kg,,360 degree paprallel,Overhead Valves (OHV),Chain   (final drive),Telescopic,Rigid-optional sprung hub,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,
