Model,Year,Category,Rating,Displacement,Engine type,Engine details,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Overall length,Wheelbase,Fuel capacity,Oil capacity,Starter,Electrical,Comments,Overall width,Power,Top speed,Diameter,Seat,Power/weight ratio,Seat height,Ignition,Color options,Modifications compared to previous model,Exhaust system,Overall height,"Weight incl. oil, gas, etc",Ground clearance,Valves per cylinder,Fuel consumption,Greenhouse gases,Carrying capacity,Driveline
Sunbeam S7 500,1949,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",,6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Overhead Cams (OHC),Wet sump,Oil & air,,Shaft drive (cardan)   (final drive),Dry singleplate,Twin cradle,Telescopic,Plungers,4.50-16 ,4.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,194.0 kg (427.7 pounds),,1400 mm (55.1 inches),,,Kick,,,,24.0 HP (17.5  kW)) @ 5800 RPM,121.0 km/h (75.2 mph),200 mm (7.9 inches),Single ,0.1237 HP/kg,,,"Black/ green
",,,,,,,,,,
Ariel VB 600,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",Sidevalve,5.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor. Amal monobloc 376/13,,Dry sump,Air,4-speed,Chain   (final drive),"Dry, multiplate",,,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,,2184 mm (86.0 inches),1422 mm (56.0 inches),15.90 litres (4.20 US gallons),3.40 litres (3.59 US quarts),Kick,6Volt.,,686 mm (27.0 inches),15.6 HP (11.4  kW)) @ 4400 RPM,,,Single seat,,,,,,1-into-1,,166.0 kg (366.0 pounds),127 mm (5.0 inches),,,,,
Ariel 4G Square Four Mark I,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,Double twin cylinder arranged as a square. ,6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Overhead Valves (OHV),Dry sump with dual oil pump.,Air,4-speed,Chain   (final drive),,Tubular single loop,Oil damped telescopic,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,197.0 kg (434.3 pounds),2083 mm (82.0 inches),1422 mm (56.0 inches),23.00 litres (6.08 US gallons),,Kick,,Also called ´Squariel´. Designed by Edward Turner. Cast-iron cylinder head and barrel replaced by aluminium alloy head and barrel. Weight reduced by 14 kg.,,35.0 HP (25.5  kW)) @ 5500 RPM,144.8 km/h (90.0 mph),178 mm (7.0 inches),Solo seat,0.1777 HP/kg,,,Red/silver,,Dual two-into-one,,,,2,,,,
Gilera Saturno Turismo,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",,6.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto RDF28,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,Girder forks,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,168.0 kg (370.4 pounds),,1470 mm (57.9 inches),14.00 litres (3.70 US gallons),,,,,,18.0 HP (13.1  kW)),,,Dual ,0.1071 HP/kg,,,,,,,,,,,,,
Velocette KTT Mk VIII,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",,7.8:1,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor,Overhead Valves (OHV),Dry sump,Air,,Chain   (final drive),Wet multiplate,Single cradle,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,,35.0 HP (25.5  kW)) @ 5800 RPM,,,Dual ,,,,,,,,,,,,,,
Norton Dominator Model 7,1949,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,6.7:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),Wet multiplate,,Hydralic telescopic forks,Plungertype with coil springs,3-21 ,3-21 ,Expanding brake (drum brake),Expanding brake (drum brake),,200.0 kg (440.9 pounds),,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),,Kick,,,,,,,Solo seat with springs,,"787 mm (31.0 inches) If adjustable, lowest setting.",Magneto,,,,,,,,,,,
Indian Silver Arrow,1949,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,220.0 ccm (13.42 cubic inches),"Single cylinder, four-stroke",,,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,Single seat,,,,,,,,,,,,,,
Vincent HRD Series B Rapide,1949,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",50degree V-twin,6.8:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. Amal ,Overhead Valves (OHV),,,,Chain   (final drive),,,Gilder fork with coil over shock,Triangulated swingarm with coil over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,1410 mm (55.5 inches),,,,,,,45.0 HP (32.8  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),,Dual seat,,,,,,,,206.4 kg (455.0 pounds),,,,,,
AJS Model 16 350MS,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Wet sump ,Air,4-speed,Chain   (final drive),Wet multiplate,Duplex steel cradle,Catrigde,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,170.0 kg (374.8 pounds),2190 mm (86.2 inches),1422 mm (56.0 inches),13.50 litres (3.57 US gallons),,Kick,,,710 mm (28.0 inches),18.0 HP (13.1  kW)) @ 5750 RPM,,,,0.1059 HP/kg,,Bobine,,,,,,,,,,,
Zündapp KS 750 Kardan Sport,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,751.0 ccm (45.83 cubic inches),"Two cylinder boxer, two-stroke",,,75.0 x 85.0 mm (3.0 x 3.3 inches),Carburettor,,,Air,,Shaft drive (cardan)   (final drive),,,,Rigid,4.50-16 ,4.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,420.0 kg (925.9 pounds),,,23.00 litres (6.08 US gallons),,Kick,,,,26.0 HP (19.0  kW)) @ 4000 RPM,95.0 km/h (59.0 mph),,Two single seats,0.0619 HP/kg,,,,,,,,,,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,840kg with sidecar,
Ariel NH 350 Red Hunter,1949,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Monoblack,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),"Dry, multiplate",Semi-double cradle,Telescopic fork,Plungers,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,159.0 kg (350.5 pounds),2180 mm (85.8 inches),,11.00 litres (2.91 US gallons),,Kick,6V system.,,640 mm (25.2 inches),19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),,Dual seat,0.1226 HP/kg,,Flywheel,"Red, blue",,1-into-1 pipes,,,,,,,,
Ariel MK1 Square Four,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,Tubular single loop,,,3.25-19 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,193.0 kg (425.5 pounds),2100 mm (82.7 inches),1422 mm (56.0 inches),23.00 litres (6.08 US gallons),,,,,,40.0 HP (29.2  kW)) @ 5800 RPM,,203 mm (8.0 inches),Dual ,0.2073 HP/kg,,,,,,,,,,,,,
Gilera Saturno San Remo,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",,,,,Overhead Valves (OHV),,Air,,Chain   (final drive),,Tubular,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,,,185.0 km/h (115.0 mph),,Single ,,,,,,,,,,,,,,
Brockhouse Corgi,1949,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,50.0 x 50.0 mm (2.0 x 2.0 inches),,,,Air,,,,,,,2.25-12.5 ,2.25-12.5 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,4.73 litres (1.25 US gallons),,Kick,,"27 050 Brockhouse Corgi bikes manufactured in Brockhouse, Southport from 1949 to 1954.",,,56.3 km/h (35.0 mph),,,,,,Red/white,,,,,,,,,,
Matchless G3 350,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,,Dry sump,Air,4-speed,Chain   (final drive),Wet multiplate,,Telescopic,Two schock,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,1436 mm (56.5 inches),19.00 litres (5.02 US gallons),,Kick,,,,18.0 HP (13.1  kW)) @ 5750 RPM,129.0 km/h (80.2 mph),178 mm (7.0 inches),Dual ,,,,,,,,179.0 kg (394.6 pounds),,,,,,
Hercules MF 2,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,48.0 x 52.0 mm (1.9 x 2.0 inches),Carburettor. Bing 12mm,,,,,Chain   (final drive),,,,Rigid,2.25-26 ,2.25-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,65.0 kg (143.3 pounds),,,10.50 litres (2.77 US gallons),,,,,,2.3 HP (1.6  kW)) @ 3500 RPM,50.0 km/h (31.1 mph),,Single ,0.0346 HP/kg,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,6.0:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Overhead Valves (OHV),Dry sump with dual plunger pumps,Air,4-speed,Chain   (final drive),Dry,Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Red/chrome rims. Dunlop tyres.,,2180 mm (85.8 inches),1422 mm (56.0 inches),13.25 litres (3.50 US gallons),3.40 litres (3.59 US quarts),Kick,,,640 mm (25.2 inches),24.0 HP (17.5  kW)) @ 6000 RPM,,,,,,,Red/chrome/gold,,,,170.1 kg (375.0 pounds),140 mm (5.5 inches),,,,,Burman
Norton Manx Daytona Racer,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,495.0 ccm (30.20 cubic inches),"Single cylinder, four-stroke",,,,,Overhead Cams (OHC),,Air,,,,,,,,,,,,150.0 kg (330.7 pounds),,,15.00 litres (3.96 US gallons),,,,,,45.0 HP (32.8  kW)) @ 5750 RPM,173.8 km/h (108.0 mph),,Single seat,0.3000 HP/kg,,,,,,,,,,,,,
BMW R24,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,6.8:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Steel-single cradlel,Cartridge,Rigid,2.99-19 ,2.99-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,2000 mm (78.7 inches),1330 mm (52.4 inches),12.00 litres (3.17 US gallons),,Kick,,,800 mm (31.5 inches),12.0 HP (8.7  kW)) @ 5400 RPM,95.0 km/h (59.0 mph),180 mm (7.1 inches),,,"710 mm (28.0 inches) If adjustable, lowest setting.",Battery,,,,900 mm (35.4 inches),130.0 kg (286.6 pounds),,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,290kg,
Triumph Speed Twin 5T,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,,,Carburettor. Amal,Overhead Valves (OHV),Dry sump,,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,1400 mm (55.1 inches),,,,,,,27.0 HP (19.7  kW)) @ 6300 RPM,,,Dual seat,,,Battery/ coil,,,,,,,,,,,
Hercules 211,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,48.0 x 52.0 mm (1.9 x 2.0 inches),Carburettor. Bing 12mm,,,Air,,Chain   (final drive),,,Telescopic,Rigid,2.50-26 ,2.50-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,68.0 kg (149.9 pounds),,,,,Kick,,,,2.3 HP (1.6  kW)) @ 3500 RPM,60.0 km/h (37.3 mph),,Single ,0.0331 HP/kg,,,,,,,,,,,,,
