Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,"Weight incl. oil, gas, etc",Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Oil capacity,Color options,Starter,Electrical,Top speed,Dry weight,Power/weight ratio,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Diameter,Overall height,Carrying capacity,Exhaust system,Valves per cylinder,Light,Comments,Seat height,Torque,Modifications compared to previous model,0-100 km/h (0-62 mph),Front wheel travel,Rear wheel travel,Alternate seat height
Ariel VH 500 Red Hunter,1953,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 6000 RPM,6.0:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Dry sump with dual plunger pumps,Air,4-speed,Chain   (final drive),Dry,Burman,Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres.,Solo seat with springs,170.1 kg (375.0 pounds),2180 mm (85.8 inches),640 mm (25.2 inches),140 mm (5.5 inches),1422 mm (56.0 inches),16.00 litres (4.23 US gallons),3.40 litres (3.59 US quarts),Dark red with gold stripes,Kick,,,,,Overhead Valves (OHV),,,,178 mm (7.0 inches),,,,,,,,,,,,,
Hercules 316,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,3.0 HP (2.2  kW)) @ 4000 RPM,6.1:1,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,,,,Chain   (final drive),,,,,Rigid,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,,,,,,11.00 litres (2.91 US gallons),,,Kick,,60.0 km/h (37.3 mph),74.0 kg (163.1 pounds),0.0405 HP/kg,,Magneto Bosch,,,,,,,,,,,,,,,,
Matchless G50,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",,51.0 HP (37.2  kW)) @ 7200 RPM,,,Carburettor,,Air,,Chain   (final drive),,,BSA,,,,,Expanding brake (drum brake),Expanding brake (drum brake). Rigid,,Single seat,,,,,,,,,,,,150.0 kg (330.7 pounds),0.3400 HP/kg,Single Overhead Cams (SOHC),,,,,,,,,,This bike was also called the Golden Eagle.,,,Measured by longevity the G50 is the most successfull Matchless bike. The production ended in 1963.,,,,
Harley-Davidson Model KR,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"V2, four-stroke",Flathead 45 degree engine,37.0 HP (27.0  kW)),,70.0 x 97.0 mm (2.8 x 3.8 inches),Carburettor,,Air,4-speed,Chain   (final drive),,,Steel single downtube,,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Goodyear or Firestone tyres.,Solo seat,,,,,1435 mm (56.5 inches),17.00 litres (4.49 US gallons),2.80 litres (2.96 US quarts),,Kick,6 Volt,129.0 km/h (80.2 mph),,,Sidevalves,,,,,,,2-into-1 chrome,,,Racing model.,,,,,,,
Vincent Series C Rapide,1953,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",,45.0 HP (32.8  kW)) @ 5300 RPM,6.5:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. Amal 276,Dry sump,Oil & air,4-speed,Chain   (final drive),Dry Shoe with single plate servo assist,,Engine stressed member w/triangle rear,Girdraulic - Hydraulic dampened  Girder,Monoshock with twin spring boxes,300-20 ,350-19 ,Expanding brake (drum brake). Two 7´ drums single leading,Expanding brake (drum brake). Two 7´ drums single leading,,,,2172 mm (85.5 inches),654 mm (25.8 inches),152 mm (6.0 inches),1435 mm (56.5 inches),17.00 litres (4.49 US gallons),,"Black,red",Kick,,175.0 km/h (108.7 mph),206.0 kg (454.2 pounds),0.2184 HP/kg,Overhead Valves (OHV),Lucas magneto,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,178 mm (7.0 inches),1080 mm (42.5 inches),,2 into 1,2,,,"813 mm (32.0 inches) If adjustable, lowest setting.",,Series C had Girdraulic forks with cast aluminium blades. Series B had standard girder.,6.00 seconds,76 mm (3.0 inches),102 mm (4.0 inches),"826 mm (32.5 inches) If adjustable, highest setting."
Lambretta 125LD Series 2,1953,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,6.5 HP (4.7  kW)) @ 4600 RPM,6.5:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto ,5%,Air,3-speed,,3 speed- hand changed,,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,,,,,,,72.4 km/h (45.0 mph),84.8 kg (187.0 pounds),0.0766 HP/kg,,Contact breaker  and  points,,,,,,,,,,,,,,,,
Marusho Lilac Dragon,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,338.0 ccm (20.62 cubic inches),"Two cylinder boxer, four-stroke",,12.0 HP (8.8  kW)),,61.0 x 48.0 mm (2.4 x 1.9 inches),Carburettor,,,3-speed,Chain   (final drive),,,,Earls front fork,Swingarm,4.00-16 ,4.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,Grey,Kick,,110.0 km/h (68.4 mph),160.0 kg (352.7 pounds),0.0750 HP/kg,,,,,,,,,,,Model also called Marusho Lilac TW Dragon 350. Japanese bike.,,,,,,,
DKW RT 250 1,1953,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",,12.5 HP (9.1  kW)) @ 4650 RPM,,70.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor. Bing ,,Air,,Chain   (final drive),,,,Telescopic ,None,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,,110.0 km/h (68.4 mph),,,,,2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,
Velocette Mac ,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5500 RPM,,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,,Air,4-speed,Chain   (final drive),,,,,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,1276 mm (50.2 inches),11.00 litres (2.91 US gallons),,,,,,161.0 kg (354.9 pounds),0.1118 HP/kg,Overhead Valves (OHV),,,,152 mm (6.0 inches),,,,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,,
BMW R67 2,1953,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",,28.0 HP (20.4  kW)) @ 5600 RPM,6.5:1,73.0 x 73.0 mm (2.9 x 2.9 inches),Carburettor. 24mm,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),,,Doble steel loop ,,,3.5-19 ,3.5-19 ,Expanding brake (drum brake). Single,Expanding brake (drum brake),,Single seat,192.0 kg (423.3 pounds),2130 mm (83.9 inches),790 mm (31.1 inches),,1400 mm (55.1 inches),17.00 litres (4.49 US gallons),,,Kick,,140.0 km/h (87.0 mph),,,Overhead Valves (OHV),Forced feed,4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,200 mm (7.9 inches),985 mm (38.8 inches),355kg-600kg with sidecar,,,,,,,,,,,
Hercules 311,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,5.0 HP (3.6  kW)) @ 5000 RPM,,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,Air,,Chain   (final drive),,,,Telescopic,Rigid,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,,75.0 km/h (46.6 mph),90.0 kg (198.4 pounds),0.0556 HP/kg,,,,,,,,,,,,,,,,,,
Heinkel A0 Series 101,1953,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, two-stroke",,,,59.0 x 54.4 mm (2.3 x 2.1 inches),Carburettor,,Air,,,,,,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,1980 mm (78.0 inches),710 mm (28.0 inches),,1330 mm (52.4 inches),,,,,,,129.0 kg (284.4 pounds),,,,,,,980 mm (38.6 inches),,,,,,,,,,,,
Indian Scout 440,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,440.0 ccm (26.85 cubic inches),"Twin, four-stroke",,,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,Overhead Valves (OHV),Magneto,,,,,,,,,,,,,,,,
Sunbeam S8 500,1953,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",,24.0 HP (17.5  kW)) @ 6000 RPM,6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Wet sump,Oil & air,,Shaft drive (cardan)   (final drive),Dry singleplate,,Twin cradle,Telescopic,Plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,,,1400 mm (55.1 inches),,,,Kick,,120.0 km/h (74.6 mph),187.0 kg (412.3 pounds),0.1283 HP/kg,Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,
Victoria Bergmeister,1953,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,345.0 ccm (21.05 cubic inches),"V2, four-stroke",,21.0 HP (15.3  kW)) @ 6300 RPM,7.5:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Carburettor,,Air,,Shaft drive (cardan)   (final drive),Dry plate,,Duplex cradle,Hydralic telescopic forks,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual seat,,,,127 mm (5.0 inches),,,,,Kick,,,177.0 kg (390.2 pounds),0.1186 HP/kg,,,,,,,,,,,,,,,,,,
Victoria Peggy,1953,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,11.0 HP (8.0  kW)) @ 5000 RPM,6.5:1,65.0 x 60.0 mm (2.6 x 2.4 inches),Carburettor,,,,Chain   (final drive),,,Duplec cradle,Leading link ,Swingarm ,,,,,,Dual ,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,
Simplex Automatic,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",,4.0 HP (2.9  kW)) @ 4000 RPM,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor,,,,Belt   (final drive),,,Duplex loop,Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,,,,,,,1194 mm (47.0 inches),9.46 litres (2.50 US gallons),,,,,,61.2 kg (135.0 pounds),0.0653 HP/kg,Overhead Valves (OHV),Magneto,,,,,,,,,,,,This year has direct drive with clutch.,,,,
