Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,"Weight incl. oil, gas, etc",Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Oil capacity,Color options,Starter,Electrical,Top speed,Dry weight,Power/weight ratio,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Diameter,Overall height,Carrying capacity,Exhaust system,Valves per cylinder,Light,Comments,Seat height,Torque,Modifications compared to previous model,0-100 km/h (0-62 mph),Front wheel travel,Rear wheel travel,Alternate seat height
Moto Guzzi Falcone Sport,1953,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,23.0 HP (16.8  kW)) @ 4500 RPM,,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,,Air,4-speed,Chain   (final drive),Wet multiplate,,,Telescopic,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,,,,17.00 litres (4.49 US gallons),,,,,135.0 km/h (83.9 mph),170.0 kg (374.8 pounds),0.1353 HP/kg,,,,,200 mm (7.9 inches),,,,,,,,,,,,,
Matchless G3 350,1953,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5750 RPM,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,Dry sump,Air,4-speed,Chain   (final drive),Wet multiplate,,,Telescopic,Two schock,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,179.0 kg (394.6 pounds),,,,1436 mm (56.5 inches),19.00 litres (5.02 US gallons),,,Kick,,129.0 km/h (80.2 mph),,,,,,,178 mm (7.0 inches),,,,,,,,,,,,,
Indian Chief,1953,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1300.0 ccm (79.33 cubic inches),"V2, four-stroke",,,,83.0 x 122.0 mm (3.3 x 4.8 inches),Carburettor. Linkert,,,,Chain   (final drive),,,,Telescopic,Plungertype with coil springs,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,1540 mm (60.6 inches),,,,,,,258.6 kg (570.0 pounds),,,,,,,,,,,,,,,,,,,
DKW RT 125 2,1953,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,5.7 HP (4.2  kW)) @ 5000 RPM,6.1:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,Air,3-speed,Chain   (final drive),Wet multiplate,,Single cradle,Telescopic fork,None,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,1959 mm (77.1 inches),660 mm (26.0 inches),,,9.50 litres (2.51 US gallons),,,Kick,,,86.0 kg (189.6 pounds),0.0663 HP/kg,,Magneto,,,140 mm (5.5 inches),660 mm (26.0 inches),,,,,,,,,,,,
BSA Daytona Replica,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,31.0 HP (22.6  kW)) @ 6000 RPM,,,,,Air,,,Four speed ,,,Telescopic fork,Rigid,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,198.0 km/h (123.0 mph),,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,
Hercules 315,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,12.8 HP (9.3  kW)) @ 4650 RPM,,65.0 x 75.0 mm (2.6 x 3.0 inches),Carburettor,,Air,4-speed,Chain   (final drive),,,Single tube ,Telescopic,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two seats,,,,,,,,,Kick,,105.0 km/h (65.2 mph),140.0 kg (308.6 pounds),0.0914 HP/kg,,,,,,,,,,,,,,,,,,
NSU Konsul 2,1953,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,22.0 HP (16.1  kW)) @ 5000 RPM,6.3:1,80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,,Air,,Chain   (final drive),,,,Telescopic,Hydraulic,3.50-19 ,4-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,2185 mm (86.0 inches),820 mm (32.3 inches),,,,,,Kick,,125.0 km/h (77.7 mph),195.0 kg (429.9 pounds),0.1128 HP/kg,Overhead Valves (OHV),,,,,1000 mm (39.4 inches),,,,,,,,,,,,
Vespa 125 U,1953,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.9 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,4.5 HP (3.3  kW)) @ 5000 RPM,,56.5 x 49.8 mm (2.2 x 2.0 inches),Carburettor,,Air,,Chain   (final drive),,,,Helicoidal spring on front wheel,Hydraulic shock absorber with helicodal wheel,3.50-8 ,3.50-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,,,,,,,,,,,65.0 km/h (40.4 mph),,,,,,,,,,,,,,,,,,,,
Zündapp KS 601,1953,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",,28.0 HP (20.4  kW)) @ 4700 RPM,,75.0 x 67.6 mm (3.0 x 2.7 inches),Carburettor. Bing ,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,Telescopic,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,,,,14.50 litres (3.83 US gallons),,,Kick,,140.0 km/h (87.0 mph),224.0 kg (493.8 pounds),0.1250 HP/kg,Overhead Valves (OHV),,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,Dry sump,,,Chain   (final drive),,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,1400 mm (55.1 inches),,,,,,,,,Overhead Valves (OHV),Battery/ coil,,,,,,,,,,,,,,,,
Hercules 317,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,11.0 HP (8.0  kW)) @ 5000 RPM,,62.0 x 66.0 mm (2.4 x 2.6 inches),Carburettor. Bing 26mm,,Air,,Chain   (final drive),,,Single cradle,Telescopic,,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two ,,,,,,13.00 litres (3.43 US gallons),,,Kick,,95.0 km/h (59.0 mph),120.0 kg (264.6 pounds),0.0917 HP/kg,,,,,,,,,,,,,,,,,,
Gilera Saturno Bialbero,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",,45.0 HP (32.8  kW)),8.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SS38,,Air,4-speed,Chain   (final drive),,,,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,1380 mm (54.3 inches),19.00 litres (5.02 US gallons),,,,,,125.0 kg (275.6 pounds),0.3600 HP/kg,Overhead Valves (OHV),,,,,,,,,,,,,,,,,
Ariel VHA 500,1953,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",All-alloy engine,24.0 HP (17.5  kW)) @ 6000 RPM,6.0:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Dry sump with dual plunger pumps,Air,4-speed,Chain   (final drive),Dry,Burman,Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres.,Single or dual seat,168.0 kg (370.4 pounds),2180 mm (85.8 inches),640 mm (25.2 inches),140 mm (5.5 inches),1422 mm (56.0 inches),13.25 litres (3.50 US gallons),3.40 litres (3.59 US quarts),"Wedgwood Blue, Deep Claret Red",Kick,,,,,Overhead Valves (OHV),,,,178 mm (7.0 inches),,,,,,,,,,,,,
