Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Comments,Lubrication system,Rake (fork angle),Wheels,"Weight incl. oil, gas, etc",Overall height,Carrying capacity,Engine details,Fuel consumption,Greenhouse gases,Alternate seat height,Oil capacity,Light,Exhaust system,Instruments,Factory warranty,Emission details,Seat,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Reserve fuel capacity,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Engine oil,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Modifications compared to previous model,Coolant
BMW R nine T Scrambler,2016,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",110.0 HP (80.3  kW)) @ 7500 RPM,119.0 Nm (12.1 kgf-m or 87.8 ft.lbs) @ 6000 RPM,,12.0:1,101.0 x 73.0 mm (4.0 x 2.9 inches),4,"Injection. Electronic intake pipe injection Closed-loop 3-way catalytic converter, emission standard EU-3",Double Overhead Cams/Twin Cam (DOHC),,Oil & air,6-speed,Shaft drive (cardan)   (final drive),"Single dry plate clutch, hydraulically operated",Constant mesh,"Four-section frame consisting of one front and three rear sections, load-bearing engine-gearbox unit, removable pillion frame for single ride use",,,,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,,Single disc,,,,,,,,18.00 litres (4.76 US gallons),Grey,Electric,"12 V / 14 Ah, maintenance-free battery. Three-phase 600 W alternator.",,,,,,,,"Radially aligned valves per cylinder, central balancer shaft",4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWM RS 125 R,2016,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,,,,57.9 x 47.0 mm (2.3 x 1.9 inches),,Injection. Electronic injection,,Electronic,Liquid,6-speed,Chain   (final drive),"Wet, multiplate type; mecanical control",,Single beam double cradle main frame,,Kayba Upside-Down fork,40 mm (1.6 inches),´Soft Damp´ monoshock,,90/90-21 ,120/80-18 ,Single disc,240 mm (9.4 inches),Single disc,,,,,,,,,Red/white/yellow/black,Electric,,SWM is short for Speedy Working Motors in Italy.,Dry sump with oil pump rotor and cartridge filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX125,2016,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.3 HP (7.5  kW)) @ 8000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 6400 RPM,,9.5:1,54.0 x 54.4 mm (2.1 x 2.1 inches),2,Injection. 20 mm x 1 (Keihin),Single Overhead Cams (SOHC),Digital DC-CDI,Air,5-speed,Chain   (final drive),"Wet multi-disc, manual",,"Perimeter, steel",101 mm (4.0 inches),33 mm telescopic fork,175 mm (6.9 inches),Uni-Trak,180 mm (7.1 inches),70/100-19 ,90/100-16 ,Single disc. Petal disc.Twin-piston caliper.,190 mm (7.5 inches),Single disc. Petal disc. Single-piston.,,,"830 mm (32.7 inches) If adjustable, lowest setting.",1980 mm (78.0 inches),770 mm (30.3 inches),255 mm (10.0 inches),1285 mm (50.6 inches),7.00 litres (1.85 US gallons),Lime Green,Electric,,,"Forced lubrication, wet sump",27.1°,Wire spoked.,113.0 kg (249.1 pounds),1090 mm (42.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR600RR,2016,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",118.0 HP (86.1  kW)) @ 13500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 11225 RPM,,12.2:1,67.0 x 42.5 mm (2.6 x 1.7 inches),4,"Injection. Dual Stage Fuel Injection (DSFI) with 40mm throttle bodies, Denso 12-hole injectors",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with 3-D mapping,Liquid,6-speed,Chain   (final drive),,#525 O-ring chain,"Diamond, Die-Cast aluminium",98 mm (3.8 inches),"41mm inverted Big Piston Fork with spring preload, rebound and compression damping adjustability",,"Unit Pro-Link HMAS single shock with spring preload, rebound and compression damping adjustability",,120/70-ZR17 ,180/55-ZR17 ,Double disc. Floating discs. Four-piston calipers. Radially mounted. ,220 mm (8.7 inches),Single disc. Single-piston caliper. ,,,"820 mm (32.3 inches) If adjustable, lowest setting.",2029 mm (79.9 inches),,,1373 mm (54.1 inches),18.17 litres (4.80 US gallons),Black/White,Electric,,Model ID: CBR600RR,,23.5°,Hollow section 12 spoke cast aluminium,186.0 kg (410.0 pounds),,,,,,,,,,LCD Instrumentation.,One year. Unlimited milage. Transferable.,Meets current EPA standards. California version meets current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 1400 Custom,2016,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1380.0 ccm (84.21 cubic inches),"V2, four-stroke",95.2 HP (69.5  kW)) @ 6500 RPM,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 2750 RPM,,,,2,Injection,,Ride by Wire with integral management of 3 engine maps,Oil & air,6-speed,Shaft drive (cardan)   (final drive),,Double cardan joint and fixed bevel gear seat,"Steel tubing, closed double cradle with elastic-kinematic engine mounting system to isolate vibrations.",,46mm telescopic fork ,120 mm (4.7 inches),Dual shocks adjustable spring preload ,110 mm (4.3 inches),130/70-R18 ,200/60-R16 ,"Double disc. ABS. Stainless steel floating discs, 4-piston Brembo radial calipers ",282 mm (11.1 inches),"Single disc. ABS. Stainless steel fixed disc, 2-piston Brembo floating caliper .",,,"740 mm (29.1 inches) If adjustable, lowest setting.",2445 mm (96.3 inches),1030 mm (40.6 inches),165 mm (6.5 inches),1685 mm (66.3 inches),20.50 litres (5.42 US gallons),"Black, grey, blue",Electric,,,,32.0°,Aluminium alloy,318.0 kg (701.1 pounds),,,90° V-twin,,,,,,"Stainless steel, 2-into-2; three-way catalytic converter",,,,,,,,,,,,,5.00 litres (1.32 US gallons),,,,,,,,,,,,
Kawasaki Ninja 300 SE,2016,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,296.0 ccm (18.06 cubic inches),"Twin, four-stroke",38.9 HP (28.4  kW)) @ 11000 RPM,27.0 Nm (2.8 kgf-m or 19.9 ft.lbs) @ 10000 RPM,,10.6:1,62.0 x 49.0 mm (2.4 x 1.9 inches),,Injection. DFI   with dual 32mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,Liquid,6-speed,Chain   (final drive),,,"Semi-double cradle, high-tensile steel",93 mm (3.7 inches),37mm hydraulic telescopic fork,119 mm (4.7 inches),Uni-Trak   with 5-way adjustable preload ,132 mm (5.2 inches),110/70-17 ,140/70-17 ,Single disc. Hydraulic. Two-piston calipers. ,220 mm (8.7 inches),Single disc. Hydraulic. Two-piston calipers. ,,,"785 mm (30.9 inches) If adjustable, lowest setting.",2014 mm (79.3 inches),,,1405 mm (55.3 inches),17.03 litres (4.50 US gallons),Metallic Moondust Gray/Ebony,Electric,,Small windscreen. Special edition model.,,27.0°,,172.0 kg (379.2 pounds),1110 mm (43.7 inches),,,,,,,,,,12 months,,,,,,,,,,,,,,,,,,,,,,,
Herald Classic 250,2016,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)),19.5 Nm (2.0 kgf-m or 14.4 ft.lbs),128.8 km/h (80.0 mph),,,,Carburettor,,,,5-speed,Chain   (final drive),,,,,Telescopic fork,,Twin shocks,,,,Single disc,,Expanding brake (drum brake),130.0 kg (286.6 pounds),0.1615 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,12.00 litres (3.17 US gallons),"Black, light blue, light green",Electric,,UK brand.,,,Wire spoked,,,,,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
Honda CBR600RR ABS,2016,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",118.0 HP (86.1  kW)) @ 13500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 11225 RPM,,12.2:1,67.0 x 42.5 mm (2.6 x 1.7 inches),4,"Injection. Dual Stage Fuel Injection (DSFI) with 40mm throttle bodies, Denso 12-hole injectors",Double Overhead Cams/Twin Cam (DOHC),Capacitor Discharge,Liquid,6-speed,Chain   (final drive),,#525 O-ring chain,"Diamond, Die-Cast aluminium",98 mm (3.8 inches),"41mm inverted Big Piston Fork with spring preload, rebound and compression damping adjustability",,"Unit Pro-Link® HMAS™ single shock with spring preload, rebound and compression damping adjustability",130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,220 mm (8.7 inches),Single disc. ABS. Single-piston caliper. ,,,"820 mm (32.3 inches) If adjustable, lowest setting.",2029 mm (79.9 inches),685 mm (27.0 inches),137 mm (5.4 inches),1369 mm (53.9 inches),18.17 litres (4.80 US gallons),Black/white,Electric,,Model ID: CBR600RA.  Electronic Steering Damper.,,23.5°,Hollow section 12 spoke cast aluminium,186.0 kg (410.0 pounds),1150 mm (45.3 inches),,,4.16 litres/100 km (24.0 km/l or 56.54 mpg),96.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Digital.,One year. Unlimited milage. Transferable.,Meets current EPA standards. California version meets current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
Hyosung EVA,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,2.0 HP (1.5  kW)) @ 7000 RPM,,60.0 km/h (37.3 mph),,,,Carburettor,,,Air,Automatic,Belt   (final drive),,,,,Telescopic fork,,Monoshock,,110/70-12 ,110/70-12 ,Single disc,162 mm (6.4 inches),Expanding brake (drum brake),115.0 kg (253.5 pounds),0.0174 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",1815 mm (71.5 inches),635 mm (25.0 inches),115 mm (4.5 inches),1255 mm (49.4 inches),,"Blue, white, orange, pink, yellow",Electric,,Lithium-ion. 48V 40Ah. Range 62 miles. Charging 3 hours. Also called Hyosong ST-E3 EVA.,,,,,1095 mm (43.1 inches),,Brushless DC in rear wheel ,,,,,,,,1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,
PGO PA-50 DB,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.1 HP (2.2  kW)) @ 6500 RPM,3.5 Nm (0.4 kgf-m or 2.6 ft.lbs) @ 6250 RPM,,,,,Carburettor,,,Air,Automatic,Belt   (final drive),,Automatic CVT,Steel tube,,Telescopic fork,,Unit Swing Arm,,90/90-10 ,90/90-10 ,Single disc,,Expanding brake (drum brake),83.0 kg (183.0 pounds),0.0371 HP/kg,,1710 mm (67.3 inches),645 mm (25.4 inches),,1210 mm (47.6 inches),6.70 litres (1.77 US gallons),"Red, white, black, light blue",Electric,,Taiwanese brand. Model also called PGO Ligero 50.,,,,89.0 kg (196.2 pounds),1060 mm (41.7 inches),,,,,,,,,Analogue,,Euro II,2-person seat,,,,,,,,,,,,,,,,,,,,,
Suzuki QuadSport Z90,2016,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, four-stroke",,,,9.2:1,45.5 x 55.2 mm (1.8 x 2.2 inches),,Carburettor. Mikuni VM16 single,,CDI,Air,Automatic,Belt   (final drive),,2WD,,,"Independent single A-arm, oil-damped, coil-sprung",,"Swing arm, oil-damped, coil-sprung",,19/7-8 ,19/7-8 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,"650 mm (25.6 inches) If adjustable, lowest setting.",1505 mm (59.3 inches),855 mm (33.7 inches),150 mm (5.9 inches),1030 mm (40.6 inches),6.00 litres (1.59 US gallons),Solid Special White,Electric,,QuadSport Z90 is designed for adult-supervised riders age 12 and older.,Wet sump,,,127.0 kg (280.0 pounds),865 mm (34.1 inches),,,,,,,,,,"12-month, unlimited mileage, limited warranty.",,,,,,,,,,,,,,,,,,,,,,,
Hyosung ST-E3 EVA,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,3.8 HP (2.8  kW)),,59.6 km/h (37.0 mph),,,,Carburettor,,,Air,Automatic,Belt   (final drive),,,,,Telescopic fork,, Monoshock,,110/70-12 ,110/70-12 ,Single disc,171 mm (6.7 inches),Single disc,114.9 kg (253.3 pounds),0.0331 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",1815 mm (71.5 inches),635 mm (25.0 inches),115 mm (4.5 inches),1255 mm (49.4 inches),,Blue,Electric,,Lithium-ion. Range 62 miles. Charging 3 hours.,,,,,1095 mm (43.1 inches),,Brushless DC in wheel moter,,,,,,,,1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Spyder RT Limited,2016,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1330.0 ccm (81.16 cubic inches),"In-line three, four-stroke",115.0 HP (83.9  kW)) @ 7250 RPM,130.0 Nm (13.3 kgf-m or 95.9 ft.lbs) @ 5000 RPM,,12.2:1,84.0 x 80.0 mm (3.3 x 3.1 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,5-speed,Belt   (final drive),"Wet, multi-plate",,,,Double A-Arm with anti-roll bar.,130 mm (5.1 inches),Swing arm,132 mm (5.2 inches),165/65-R15 ,225/50-R15 ,Double disc. Brembo. ABS.,270 mm (10.6 inches),Single disc. Brembo. ABS,"459.0 kg (1,011.9 pounds)",0.2505 HP/kg,"772 mm (30.4 inches) If adjustable, lowest setting.",2667 mm (105.0 inches),1572 mm (61.9 inches),115 mm (4.5 inches),1714 mm (67.5 inches),27.00 litres (7.13 US gallons),"Black, white, red, blue",Electric,,"Three wheel bike. Foot-operated, hydraulic 3-wheel brake distribution system. Traction control. Power steering. AM / FM audio system with USB port and 4 speakers.",,,Metallic silver,,1510 mm (59.4 inches),155 litre storage,Rotax® 1330 ACE engine,,,,3.90 litres (4.12 US quarts),2 halogen headlamps (55/60-W),Exhaust system 2-into-1,"Premium color digital gauge: Digital speedometer, tachometer, odometer, trip  and  hour meters, gear position, ECO™ mode smart assist, temperature, engine lights, electronic fuel gauge, clock",2-year BRP Limited Warranty with 2-year roadside assistance,,Seat with lumbar support and passenger backrest,,,,,,,,,4.50 litres (1.19 US gallons),,,,,,,,,,,,
Tomos Racing 25,2016,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,25.0 km/h (15.5 mph),6.0:1,38.0 x 43.0 mm (1.5 x 1.7 inches),,Carburettor. Dell’Orto SHA 14-9,,CDI,Air,2-speed,Chain   (final drive),,,Steel tube,,Hydraulic telescopic forks,,Swing arm with two shock absorbers,,120/70-12 ,120/70-12 ,Single disc,105 mm (4.1 inches),Expanding brake (drum brake),65.0 kg (143.3 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",1655 mm (65.2 inches),,,1160 mm (45.7 inches),3.50 litres (0.92 US gallons),"Red, grey",Kick,,Slovenian brand.,Oil mixture 2%,,3-spoke cast,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,0.50 litres (0.13 US gallons),,,,,,,,,,,,
Sherco 450 SEF-R,2016,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.4 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,,,,95.0 x 63.4 mm (3.7 x 2.5 inches),4,Injection. Synerject digital electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),"Hydraulic, multidisc in oil bath",,Double cradle Chrome-Molybdenum design,,WP telescopic fork 48 mm,300 mm (11.8 inches),"WP progressive, multiadjustable rear shock utilizing a linkage and rod system",320 mm (12.6 inches),1.60-21 ,2.15-18 ,Single disc. Brembo,220 mm (8.7 inches),Single disc. Brembo,109.0 kg (240.3 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",,,355 mm (14.0 inches),1490 mm (58.7 inches),8.50 litres (2.25 US gallons),Blue,Electric,12 V 4Ah Yuasa battery.,Spanish made bike.,Dry sump,,"Aluminum rims,with Michelin Enduro Competition tube type",,,,Sherco engine,,,,,,"Stainless steel header pipe, aluminum muffler with catalytic converter",,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R600 30th Anniversary,2016,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 13500 RPM,69.5 Nm (7.1 kgf-m or 51.3 ft.lbs) @ 11500 RPM,,12.9:1,67.0 x 42.5 mm (2.6 x 1.7 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Liquid,6-speed,Chain   (final drive),Slipper clutch,"RK525SMOZ8, 114 links, Chain",Compact twin-spar aluminum cradle frame,,Showa big piston fork,120 mm (4.7 inches),"Link type, coil spring, oil damped",130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Brembo,,Single disc,,,"810 mm (31.9 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),710 mm (28.0 inches),130 mm (5.1 inches),1385 mm (54.5 inches),19.00 litres (5.02 US gallons),Blue,Electric,,Two separate performance settings.,Wet sump,,,187.0 kg (412.3 pounds),1135 mm (44.7 inches),,Lighter pistons and more aggressive valve lift curves enhance throttle response and produce stronger low-to-mid range torque. ,4.28 litres/100 km (23.4 km/l or 54.96 mpg),99.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,4-into-1 stainless-steel exhaust system with a titanium muffler,,12 month unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TU250X,2016,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8500 RPM,,135.0 km/h (83.9 mph),11.5:1,72.0 x 61.2 mm (2.8 x 2.4 inches),,Injection. Suzuki fuel injection,Overhead Cams (OHC),Electronic ignition (transistorized),Air,5-speed,Chain   (final drive),,"Chain, DID520V, 108 links",Diamond-shaped steel tube,,"Telescopic, coil spring, oil damped",120 mm (4.7 inches),"Swing arm type, coil spring, oil damped",120 mm (4.7 inches),90/90-M18 ,110/90-M18 ,Single disc. Dual piston,,Expanding brake (drum brake),,,"770 mm (30.3 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),750 mm (29.5 inches),165 mm (6.5 inches),1375 mm (54.1 inches),12.11 litres (3.20 US gallons),Metallic Fox Orange/Glass Sparkle Black,Electric,,,Wet sump,,,148.0 kg (326.3 pounds),,,,,,,,,,,12 month unlimited mileage limited warranty.,,Two piece rider and passenger seat,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650,2016,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,,,100.0 x 82.0 mm (3.9 x 3.2 inches),4,Carburettor,Overhead Cams (OHC),,Oil & air,5-speed,Chain   (final drive),,,Semi-double cradle,,"Telescopic, coil spring, oil damped",260 mm (10.2 inches),"Link type, coil spring, oil damped",260 mm (10.2 inches),90/90-21 ,120/90-17 ,Single disc,240 mm (9.4 inches),Single disc,,,"885 mm (34.8 inches) If adjustable, lowest setting.",2255 mm (88.8 inches),865 mm (34.1 inches),265 mm (10.4 inches),1490 mm (58.7 inches),12.00 litres (3.17 US gallons),White/Gray,Electric,,Sold in Latin-America.,Wet sump,,,147.0 kg (324.1 pounds),1195 mm (47.0 inches),,,,,,,,,,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,
Over B3 125,2016,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",8.9 HP (6.5  kW)) @ 8000 RPM,,,10.5:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,Carburettor,,C.D.I.,Liquid,Automatic,Belt   (final drive),,CVT,,,Telescopic fork,,Hydraulic monoshock,,100/80-16 ,120/70-14 ,Single disc,,Single disc,106.0 kg (233.7 pounds),0.0835 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2040 mm (80.3 inches),700 mm (27.6 inches),,1340 mm (52.8 inches),6.80 litres (1.80 US gallons),"Black, white",Electric & kick,,Model also called Overbikes B3 125. Italian brand.,,,,,1130 mm (44.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda FourTrax Rancher,2016,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,420.0 ccm (25.63 cubic inches),"Single cylinder, four-stroke",56.3 HP (41.1  kW)),,,9.5:1,86.5 x 71.5 mm (3.4 x 2.8 inches),,Injection. Keihin 34mm throttle-body fuel-injection system,Overhead Valves (OHV),Full-transistorized type with electronic advance,Liquid,5-speed,Shaft drive (cardan)   (final drive),Automatic,Direct rear driveshaft,,,Independent double-wishbone,160 mm (6.3 inches),Swingarm with single shock,160 mm (6.3 inches),24/8-12 ,24/10-11 ,Double disc,,Expanding brake (drum brake),,,"823 mm (32.4 inches) If adjustable, lowest setting.",2055 mm (80.9 inches),1171 mm (46.1 inches),165 mm (6.5 inches),1250 mm (49.2 inches),13.25 litres (3.50 US gallons),"Red, Olive",Electric,,Model ID: TRX420TM,Wet sump,,,248.1 kg (547.0 pounds),1146 mm (45.1 inches),,,,,,,,,,One year,Meets current California Air Resources Board (CARB) and EPA off-road emissions standards.,,,,,,,,,,3.79 litres (1.00 US gallons),,,,,,,,,,,,
BMW F 800 GT,2016,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",798.0 ccm (48.69 cubic inches),"Twin, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 5800 RPM,,12.0:1,82.0 x 75.6 mm (3.2 x 3.0 inches),4,"Injection. Electronic intake pipe injection, digital engine management (BMS-K+)",Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Belt   (final drive),"Multiple-disc clutch in oil bath, mechanically operated",Belt drive with shock damper,"Bridge-type frame, cast aluminium, load-bearing engine",95 mm (3.7 inches),"Telescopic fork, 43 mm",125 mm (4.9 inches),"Cast aluminium single sided swing arm with eccentric adjustment for rear axle, central spring strut, spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",125 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Single-piston caliper. ,,,"800 mm (31.5 inches) If adjustable, lowest setting.",2156 mm (84.9 inches),902 mm (35.5 inches),,1514 mm (59.6 inches),15.00 litres (3.96 US gallons),"Montego Blue Metallic, Light White, Monolith Metallic matte/Sapphire Black Metallic",Electric,"12 V / 12 Ah, maintenance-free battery. Three-phase 400 W generator.",Windscreen.,Dry sump,25.8°,Cast aluminum wheels,213.0 kg (469.6 pounds),1248 mm (49.1 inches),,,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Complete Stainless Steel Exhaust System,,,"Closed-loop 3-way catalytic converter, emission standard EU-3",,,,,,,,,,3.00 litres (0.79 US gallons),,,,,,,,,,,,
Oset MX-10,2016,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,1.6 HP (1.2  kW)),,,,,,,,,Air,,Chain   (final drive),,,Steel,,Dual Crown Aluminium USD (upside-down) featuring superior closed cartridge,,"Monoshock with preload adjustment, oil dampened.",,,,Single disc. Hydraulic,140 mm (5.5 inches),Single disc. Hydraulic,,,"495 mm (19.5 inches) If adjustable, lowest setting.",,,202 mm (8.0 inches),725 mm (28.5 inches),,Black/red/white,Electric,,4 x 10ah AGM SLA batteries. Intended for children 4-7 years.,,,"Alloy rims/hubs, wire spoked.  10´ MX tyres.",,,,Oset neodymium magnet DC motor,,,"550 mm (21.7 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Intruder C1500T B O S S,2016,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1462.0 ccm (89.21 cubic inches),"V2, four-stroke",77.8 HP (56.8  kW)) @ 4800 RPM,131.0 Nm (13.4 kgf-m or 96.6 ft.lbs) @ 2600 RPM,,9.5:1,96.0 x 101.0 mm (3.8 x 4.0 inches),,Injection,Single Overhead Cams (SOHC),Transistorized,Liquid,5-speed,Shaft drive (cardan)   (final drive),Slipper clutch,Constant mesh,,,"Inverted telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,130/80-17 ,200/60-16 ,Single disc,,Single disc,,,"720 mm (28.3 inches) If adjustable, lowest setting.",2570 mm (101.2 inches),990 mm (39.0 inches),140 mm (5.5 inches),1675 mm (65.9 inches),18.00 litres (4.76 US gallons),Glass Sparkle Black,Electric,,Windshield.,Wet sump,,,363.0 kg (800.3 pounds),1440 mm (56.7 inches),Saddle bags,54 degree V-Twin,4.41 litres/100 km (22.7 km/l or 53.34 mpg),102.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,
Orion Junior,2016,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Carburettor,,CDI,Air,,Chain   (final drive),,,,,Telescopic fork,,Single shock,,60/100-14 ,80/100-12 ,Single disc,,Single disc,69.0 kg (152.1 pounds),,"840 mm (33.1 inches) If adjustable, lowest setting.",1610 mm (63.4 inches),760 mm (29.9 inches),240 mm (9.4 inches),1200 mm (47.2 inches),4.70 litres (1.24 US gallons),Red/white/blue,Kick,,Chinese pit bike. Also called Model also called RFZ Racing.,,,,,1130 mm (44.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
