Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Seat,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Ignition,Gearbox,Wheels,Dry weight,Power/weight ratio,Seat height,Oil capacity,Light,Driveline,Color options,Electrical,Engine details,Valves per cylinder,Exhaust system,Comments
NSU 351 OSL,1934,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5020 RPM,110.0 km/h (68.4 mph),,75.0 x 79.0 mm (3.0 x 3.1 inches),Carburettor. Graetzin KE 25/43,,,Air,Chain   (final drive),,,,Open double steel,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,940 mm (37.0 inches),2020 mm (79.5 inches),770 mm (30.3 inches),1420 mm (55.9 inches),12.30 litres (3.25 US gallons),Kick,,,4-speed,Spoked,110.0 kg (242.5 pounds),0.1636 HP/kg,,,,,,,,,,
NSU 501 SS,1934,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 4800 RPM,125.0 km/h (77.7 mph),,80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,,,Air,Chain   (final drive),,,,,,,2.50-26 ,3.25-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,,,,11.00 litres (2.91 US gallons),,,,,Spoked,158.0 kg (348.3 pounds),0.1266 HP/kg,,,,,,,,,,
NSU 501 TS,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),,80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor. Amac,,,Air,Chain   (final drive),,,,Double steel,,,3.50-26 ,4-27 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,1390 mm (54.7 inches),,,,Magneto Bosch,,,185.0 kg (407.9 pounds),0.0595 HP/kg,,,,,,,,,,
NSU 201 OSL,1934,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.8  kW)) @ 4100 RPM,90.0 km/h (55.9 mph),,58.0 x 75.0 mm (2.3 x 3.0 inches),Carburettor. Amal,,,Air,Chain   (final drive),,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Open double steel,,,3-19 ,3-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),11.50 litres (3.04 US gallons),Kick,,Battery-Bosch,4-speed,Spoked,120.0 kg (264.6 pounds),0.0667 HP/kg,,1.50 litres (1.59 US quarts),,,,,,,,
Zündapp K 200 Kardan,1934,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 4000 RPM,80.0 km/h (49.7 mph),,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing 20mm,,,Air,Shaft drive (cardan)   (final drive),,,,,Telescopic,Rigid,3-26 ,3-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),Two single seats,,,,,,12.00 litres (3.17 US gallons),Kick,,,4-speed,Spoked,132.0 kg (291.0 pounds),0.0492 HP/kg,,,,,,,,,,
Harley-Davidson Model BA,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.2 ccm (21.00 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor. Schebler,Sidevalves,,,Chain   (final drive),,,,,Leading link -coil springs,Rigid-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU 601 TS,1934,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,592.0 ccm (36.12 cubic inches),"Single cylinder, four-stroke",12.5 HP (9.1  kW)) @ 4250 RPM,105.0 km/h (65.2 mph),,87.5 x 99.0 mm (3.4 x 3.9 inches),Carburettor. Amac,,,Air,Chain   (final drive),,,,Double steel,,,3.50-26 ,4-27 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),1390 mm (54.7 inches),13.00 litres (3.43 US gallons),Kick,,Magneto Bosch,,Spoked,165.0 kg (363.8 pounds),0.0758 HP/kg,,,,,,,,,,
Zündapp K 600,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Four cylinder boxer, four-stroke",15.0 HP (10.9  kW)) @ 4300 RPM,100.0 km/h (62.1 mph),,53.0 x 66.6 mm (2.1 x 2.6 inches),Carburettor. Amal,,,Air,Shaft drive (cardan)   (final drive),,,,,Telescopic,Rigid,3.50-19 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Two single seats,,,,,,,Kick,,,,Spoked,193.0 kg (425.5 pounds),0.0777 HP/kg,,,,,,,,,,
Sunbeam 95L Special,1934,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,Overhead Valves (OHV),,,Chain   (final drive),,,,,,,,,,,,Single ,,,,,,,,,,,Spoked,,,,,,,,,,,,
Scott Super Squirrel,1934,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",,,,,Carburettor,,,,Chain   (final drive),Two-speed foot shift,,,,,,,,,,,,,,,,,,,,,3-speed,,,,,,Actylene head and tail,,,,,,,
Zündapp K 500,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",16.0 HP (11.7  kW)) @ 4500 RPM,105.0 km/h (65.2 mph),,69.0 x 66.6 mm (2.7 x 2.6 inches),Carburettor. Bing 22mm,,,Air,Shaft drive (cardan)   (final drive),,,,,Telescopic,Rigid,3.50-19 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Two single seats,,,,,,,Kick,,,4-speed,Spoked,180.0 kg (396.8 pounds),0.0889 HP/kg,,,,,,,,,,
Harley-Davidson Servi-Car GE,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,,,Leading link-Springer type,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,,Spoked,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,140.0 km/h (87.0 mph),6.0:1,86.4 x 85.0 mm (3.4 x 3.3 inches),Carburettor. Amal,Overhead Valves (OHV),Dry sump with dual plunger pumps,Air,Chain   (final drive),Dry,,,Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single seat with springs,,,2180 mm (85.8 inches),640 mm (25.2 inches),,14.80 litres (3.91 US gallons),Kick,,Flywheel,4-speed,Wire spoked. Red/chrome rims.,190.0 kg (418.9 pounds),0.1263 HP/kg,,3.40 litres (3.59 US quarts),,Burman,Chrome/red/gold,6V battery.,,,,
Maico F100 Piccolo Derby,1934,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,,48.0 x 54.0 mm (1.9 x 2.1 inches),,,,Air,Chain   (final drive),,,,Dual tube,Coil springs-dual,None,,,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,,,,,,,,,Spoked,,,,,,,,,,,,
BMW R2 Series 3,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.9  kW)) @ 4500 RPM,95.0 km/h (59.0 mph),6.7:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor. Amal 18mm,Overhead Valves (OHV),Wet sump ,Air,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,2.75 litres/100 km (36.4 km/l or 85.53 mpg),63.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel duplex,Cartridge,Rigid,2.99-25.00 ,2.99-25.00 ,Expanding brake (drum brake),180 mm (7.1 inches),Expanding brake (drum brake),Solo seat with springs,130.0 kg (286.6 pounds),950 mm (37.4 inches),1950 mm (76.8 inches),850 mm (33.5 inches),1303 mm (51.3 inches),11.00 litres (2.91 US gallons),Kick,160kg,Battery,3-speed,,,,,,,,,,,,,
Rikuo RT 2,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,,Carburettor. Linkert,Sidevalves,,Air,,Four speed ,,,,Telescopic,,,,,,,Spring-mounted seat,,,,,,,,,Generator and battery,4-speed,,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,,,
DKW SB 500A,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Twin, two-stroke",,115.0 km/h (71.5 mph),5.7:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing,,,,Chain   (final drive),Foot-operated-oil bath multidisc,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Girder fork coil spring,Rigid-,3.50-19 ,3.50-19 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,,,2125 mm (83.7 inches),,1385 mm (54.5 inches),13.00 litres (3.43 US gallons),Electric,,,,,235.0 kg (518.1 pounds),,"675 mm (26.6 inches) If adjustable, lowest setting.",,Twin headlights,,,,Combined two 247cc cylinders on a single block,,,
Indian 402,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,153.0 km/h (95.1 mph),,,Carburettor,,,,Chain   (final drive),,,,Twin downtube,Trailing link,Rigid,,,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,,,,,,,,,Spoked,,,,,,,,,,,,
BMW R11 Series 4,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 3400 RPM,110.0 km/h (68.4 mph),5.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. 24mm Amal ,Sidevalves,Forced feed,Air,Shaft drive (cardan)   (final drive),Two plates-dry,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-double cradlel,Plate springe,Rigid,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),55 mm (2.2 inches),,,162.0 kg (357.1 pounds),940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,,Magneto,3-speed,,,,,,,,,,,,,
Rudge Ulster 500,1934,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 5300 RPM,160.9 km/h (100.0 mph),,85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,,,,,,,,,Spoked,,,,,,,,,,,,
Zündapp K 800,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,791.0 ccm (48.27 cubic inches),"Four cylinder boxer, four-stroke",20.0 HP (14.6  kW)) @ 4300 RPM,120.0 km/h (74.6 mph),,62.0 x 66.6 mm (2.4 x 2.6 inches),Carburettor. Amal 22mm,,,Air,Shaft drive (cardan)   (final drive),,,,,,Rigid,3.50-19 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Two single seats,,,,,,12.50 litres (3.30 US gallons),,,,4-speed,Spoked,193.0 kg (425.5 pounds),0.1036 HP/kg,,,,,,,,,,
