Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Fuel system,Fuel control,Ignition,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Top speed,Cooling system,Clutch,Diameter,Fuel capacity,Oil capacity,Bore x stroke,Valves per cylinder,Lubrication system,Gearbox,Exhaust system,Front tire,Rear tire,Wheels,Overall length,Color options,Starter,Electrical,Compression,Fuel consumption,Greenhouse gases,Overall height,Overall width,Frame type,"Weight incl. oil, gas, etc",Driveline,Carrying capacity,Seat height,Comments,Modifications compared to previous model
BMW R23,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,10.1 HP (7.3  kW)) @ 5400 RPM,Carburettor. Amal ,Overhead Valves (OHV),Battery,Shaft drive (cardan)   (final drive),Telescopic fork,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),,,,1330 mm (52.4 inches),95.0 km/h (59.0 mph),Air,Single plate dry,180 mm (7.1 inches),9.60 litres (2.54 US gallons),,68.0 x 68.0 mm (2.7 x 2.7 inches),,Wet sump ,3-speed,,2.99-19 ,2.99-19 ,,2000 mm (78.7 inches),,Kick,,6.1:1,,,900 mm (35.4 inches),800 mm (31.5 inches),Steel-single cradlel,135.0 kg (297.6 pounds),,,,,
NSU 601 OSL,1940,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 4950 RPM,Carburettor. Amal,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,150.0 kg (330.7 pounds),0.1600 HP/kg,1420 mm (55.9 inches),,Air,,,,,85.0 x 99.0 mm (3.3 x 3.9 inches),,,,,3.50-19 ,3.50-19 ,,,,Kick,,,,,,,,,,,,,
Zündapp K 500,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",,16.0 HP (11.7  kW)) @ 4500 RPM,Carburettor. Bing 22mm,,,Shaft drive (cardan)   (final drive),Telescopic,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,180.0 kg (396.8 pounds),0.0889 HP/kg,,105.0 km/h (65.2 mph),Air,,,,,69.0 x 66.6 mm (2.7 x 2.6 inches),,,,,3.50-19 ,3.50-19 ,,,,Kick,,,,,,,,,,,,,
BMW R66,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Two cylinder boxer, four-stroke",,30.1 HP (21.9  kW)) @ 5300 RPM,Carburettor. 26mm,Overhead Valves (OHV),Forced feed,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,,1400 mm (55.1 inches),145.0 km/h (90.1 mph),Air,Dry-single plate-cable operated,200 mm (7.9 inches),14.00 litres (3.70 US gallons),,69.8 x 78.0 mm (2.7 x 3.1 inches),,Wet sump ,4-speed,,3.5-19 ,3.5-19 ,Spoked,2130 mm (83.9 inches),,Kick,,6.8:1,,,960 mm (37.8 inches),815 mm (32.1 inches),Doble steel loop ,187.0 kg (412.3 pounds),,210kg-500kg with sidecar,,,
BMW R61,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,600.0 ccm (36.61 cubic inches),"Two cylinder boxer, four-stroke",,18.0 HP (13.1  kW)) @ 4800 RPM,Carburettor. Amal ,Overhead Valves (OHV),,Shaft drive (cardan)   (final drive),Leading link ,Twin shock-Swingarm,Expanding brake (drum brake). Single,Expanding brake (drum brake),Solo seat with springs,,,1400 mm (55.1 inches),115.0 km/h (71.5 mph),Air,Dry-single plate-cable operated,,14.00 litres (3.70 US gallons),,70.0 x 78.0 mm (2.8 x 3.1 inches),,Wet sump ,4-speed,,3.50-19.00 ,3.50-19.00 ,,2130 mm (83.9 inches),,Kick,,5.7:1,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,960 mm (37.8 inches),815 mm (32.1 inches),Steel-double cradle,184.0 kg (405.7 pounds),,210kg,,,
Rikuo RT 2,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,22.0 HP (16.1  kW)) @ 4250 RPM,Carburettor. Linkert,Sidevalves,Generator and battery,,Telescopic,,,,Spring-mounted seat,230.0 kg (507.1 pounds),0.0957 HP/kg,,,Air,Four speed ,,,,,,,4-speed,,,,,,,,,,,,,,,,,,,,
NSU 251 OSL,1940,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",,10.5 HP (7.7  kW)) @ 5200 RPM,Carburettor,,Battery-Bosch,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,126.0 kg (277.8 pounds),0.0833 HP/kg,1285 mm (50.6 inches),100.0 km/h (62.1 mph),Air,,,,,64.0 x 75.0 mm (2.5 x 3.0 inches),,,4-speed,,3-19 ,3-19 ,Spoked,2000 mm (78.7 inches),,,,,,,1000 mm (39.4 inches),760 mm (29.9 inches),Open double steel,,,,,,
Ariel 4G Square Four 1000,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),Square four cylinder,Double twin cylinder arranged as a square,35.0 HP (25.5  kW)) @ 5500 RPM,Carburettor. SU MC2 carburettor,Overhead Valves (OHV),,Chain   (final drive),Telescopic fork,Plunger-link spring,Expanding brake (drum brake),Expanding brake (drum brake),,193.0 kg (425.5 pounds),0.1813 HP/kg,1422 mm (56.0 inches),140.0 km/h (87.0 mph),Air,,178 mm (7.0 inches),23.00 litres (6.08 US gallons),,65.0 x 78.0 mm (2.6 x 3.1 inches),2,,4-speed,,3.25-19 ,4.00-18 ,Wire spoked,2083 mm (82.0 inches),,Kick,,6.0:1,,,,,Tubular single loop,,,,,Also called ´Squariel´. Designed by Edward Turner.,
Harley-Davidson Model WLA,1940,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,,Carburettor. Linkert,Sidevalves,,Chain   (final drive),Leading link -coil springs,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),,244.9 kg (540.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This bike was produced to US Army specifications 
World War II.",
NSU 601 OSL WH,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 4300 RPM,Carburettor. Amal,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,190.0 kg (418.9 pounds),0.1263 HP/kg,1420 mm (55.9 inches),110.0 km/h (68.4 mph),Air,,,13.50 litres (3.57 US gallons),,85.0 x 99.0 mm (3.3 x 3.9 inches),,,,,3.50-19 ,3.50-19 ,Spoked,2225 mm (87.6 inches),,,,,,,970 mm (38.2 inches),845 mm (33.3 inches),,,,,,,
Triumph Speed Twin 5T,1940,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,27.0 HP (19.7  kW)) @ 6300 RPM,Carburettor. Amal,Overhead Valves (OHV),Battery/ coil,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,1400 mm (55.1 inches),,,,,,,,,Dry sump,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model UL,1940,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1212.7 ccm (74.00 cubic inches),"V2, four-stroke",,,Carburettor,Sidevalves,,Chain   (final drive),Leading link -coil springs,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,Dry sump,,,,,,,,,,,,,,,,,,,,,F
BMW R35,1940,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, four-stroke",,14.0 HP (10.2  kW)) @ 3500 RPM,Carburettor. SUM CK 9/22,Overhead Valves (OHV),Batery,Shaft drive (cardan)   (final drive),Cartridge,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Spring-mounted seat,,,1400 mm (55.1 inches),100.0 km/h (62.1 mph),Air,Single plate dry-cable operated,180 mm (7.1 inches),,,72.0 x 84.0 mm (2.8 x 3.3 inches),,Wet sump ,4-speed,,3.50-19 ,3.50-19 ,,2000 mm (78.7 inches),,Kick,,6.1:1,,,950 mm (37.4 inches),800 mm (31.5 inches),Steel twin looped,152.0 kg (335.1 pounds),,,,,
DKW NZ 500,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,489.0 ccm (29.84 cubic inches),"Twin, two-stroke",,18.5 HP (13.5  kW)) @ 4200 RPM,Carburettor,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,195.0 kg (429.9 pounds),0.0949 HP/kg,,115.0 km/h (71.5 mph),Air,,,,,64.0 x 76.0 mm (2.5 x 3.0 inches),,,,,3.5-19 ,3.5-19 ,Spoked,,,,,,,,,,,,,,,,
Zündapp KS 750 Kardan Sport,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,751.0 ccm (45.83 cubic inches),"Two cylinder boxer, two-stroke",,26.0 HP (19.0  kW)) @ 4000 RPM,Carburettor,,,Shaft drive (cardan)   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,420.0 kg (925.9 pounds),0.0619 HP/kg,,95.0 km/h (59.0 mph),Air,,,23.00 litres (6.08 US gallons),,75.0 x 85.0 mm (3.0 x 3.3 inches),,,,,4.50-16 ,4.50-16 ,Spoked,,,Kick,,,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,840kg with sidecar,,,
NSU 251 OSL WH,1940,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",,10.5 HP (7.7  kW)) @ 5300 RPM,Carburettor. Amal,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,144.0 kg (317.5 pounds),0.0729 HP/kg,,95.0 km/h (59.0 mph),Air,,,11.00 litres (2.91 US gallons),,64.0 x 75.0 mm (2.5 x 3.0 inches),,,,,3-19 ,3-19 ,Spoked,2040 mm (80.3 inches),,Kick,,,,,950 mm (37.4 inches),780 mm (30.7 inches),Steel,,,,,,
Crocker V-Twin,1940,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",45degree,,Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,,,,,,,,,,,,,,Spoked,,,,,,,,,,,,,,,,
