Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Gearbox,Overall height,Overall length,Overall width,Starter,Fuel capacity,Compression,Fuel control,Ignition,Clutch,Frame type,Fuel consumption,Greenhouse gases,Lubrication system,Wheelbase,Engine details,Valves per cylinder,Exhaust system,Diameter,Color options,Electrical,Light,Comments,"Weight incl. oil, gas, etc",Ground clearance,Oil capacity,Carrying capacity,Seat height,Driveline,Modifications compared to previous model
Harley-Davidson Model KK,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"V2, four-stroke",,129.0 km/h (80.2 mph),70.0 x 97.0 mm (2.8 x 3.8 inches),Carburettor. Linkert,Air,Chain   (final drive),Hydraulic telescopic fork,"Swing-arm, twin hydraulic shocks",3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Goodyear or Firestone tyres.,Solo seat,183.0 kg (403.4 pounds),,4-speed,,,,Kick,17.00 litres (4.49 US gallons),,Sidevalves,,,Steel single downtube,,,,1435 mm (56.5 inches),Flathead 45 degree engine,,2-into-1 chrome,,,6 Volt,,"Model KK had larger racing cams, carb modifications, head modifications and cylinder porting to match compared to Model-K.",,,2.80 litres (2.96 US quarts),,,,
Zündapp KS 601 Kardan Sport,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,140.0 km/h (87.0 mph),,Carburettor. Bing ,Air,Shaft drive (cardan)   (final drive),Telescopic,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,216.0 kg (476.2 pounds),0.1574 HP/kg,4-speed,,,,Kick,14.50 litres (3.83 US gallons),,Overhead Valves (OHV),,,Tubular,,,,,,,,,,,,,,,,,,,
BMW R25 2,1952,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.7  kW)) @ 5600 RPM,80.0 km/h (49.7 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Air,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-Plunger,2.99-19 ,2.99-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Solo seat with springs,,,4-speed,730 mm (28.7 inches),2020 mm (79.5 inches),790 mm (31.1 inches),Kick,12.00 litres (3.17 US gallons),6.5:1,Overhead Valves (OHV),Battery,Single plate dry-cable operated,Steel-single cradlel,2.90 litres/100 km (34.5 km/l or 81.11 mpg),67.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,1335 mm (52.6 inches),,,,160 mm (6.3 inches),,,,,140.0 kg (308.6 pounds),108 mm (4.3 inches),,,,,
Harley-Davidson Servi-Car GE,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),70.0 x 97.0 mm (2.8 x 3.8 inches),,,,Leading link-Springer type,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,12.87 litres (3.40 US gallons),,Sidevalves,,,,,,,1549 mm (61.0 inches),,,,,,,,,,,,,,,
Indian Chief,1952,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1300.0 ccm (79.33 cubic inches),"V2, four-stroke",,,83.0 x 122.0 mm (3.3 x 4.8 inches),Carburettor. Linkert,,Chain   (final drive),Telescopic,Plungertype with coil springs,,,Expanding brake (drum brake),Expanding brake (drum brake),,,258.6 kg (570.0 pounds),,,,,,,,,,,,,,,,1540 mm (60.6 inches),,,,,,,,,,,,,,,
Gilera Saturno Corsa,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)),119.0 km/h (73.9 mph),84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SSF3M,Air,Chain   (final drive),,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,4-speed,,,,,19.00 litres (5.02 US gallons),7.1:1,Overhead Valves (OHV),,,,,,,1380 mm (54.3 inches),,,,,,,,,,,,,,,
Zündapp DB 204 Norma,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",8.3 HP (6.1  kW)) @ 4600 RPM,90.0 km/h (55.9 mph),60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing ,Air,,Telescopic,Rigid,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,122.0 kg (269.0 pounds),0.0680 HP/kg,4-speed,,,,Kick,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
Norton International Model 30,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",29.5 HP (21.5  kW)) @ 5500 RPM,150.0 km/h (93.2 mph),79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,Air,Chain   (final drive),Telescopic,Plungers,3-21 ,3.50-20 ,,,Spoked,Single spring-mounted,,,,,,,Kick,,7.2:1,Overhead Cams (OHC),,,Cradle,,,,1391 mm (54.8 inches),,,,,,,,,,,,,,,
Velocette Mac ,1952,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Air,Chain   (final drive),,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,161.0 kg (354.9 pounds),0.1118 HP/kg,4-speed,,,,,11.00 litres (2.91 US gallons),,Overhead Valves (OHV),,,,,,,1276 mm (50.2 inches),,,,152 mm (6.0 inches),,,,,,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",,
Ariel KH 500 Red Hunter,1952,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",28.0 HP (20.5  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),56.0 x 86.0 mm (2.2 x 3.4 inches),Carburettor,Air,Chain   (final drive),Telescopic forks,Rigid,3.00-20 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat with springs,177.0 kg (390.2 pounds),0.1584 HP/kg,4-speed,,,,Kick,17.00 litres (4.49 US gallons),7.5:1,Overhead Valves (OHV),Lucas,Dry plate,Duplex loop,,,Dry sump,1422 mm (56.0 inches),,,2-into-2 pipes,,Red,,,Ariel was bought by BSA in 1944.,,,,,,,
Norton Manx Daytona Racer,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,495.0 ccm (30.20 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 5750 RPM,173.8 km/h (108.0 mph),,,Air,,,,,,,,,,,,,,,,,15.00 litres (3.96 US gallons),,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno Bialbero,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)),,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SS38,Air,Chain   (final drive),,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,125.0 kg (275.6 pounds),0.3600 HP/kg,4-speed,,,,,19.00 litres (5.02 US gallons),8.0:1,Overhead Valves (OHV),,,,,,,1380 mm (54.3 inches),,,,,,,,,,,,,,,
Harley-Davidson S-125,1952,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",165.0 ccm (10.07 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,Chain   (final drive),Girder fork coil spring,Rigid-,,,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,90.7 kg (200.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",23.0 HP (16.8  kW)) @ 4500 RPM,135.0 km/h (83.9 mph),88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,170.0 kg (374.8 pounds),0.1353 HP/kg,4-speed,,,,,17.00 litres (4.49 US gallons),,,,Wet multiplate,,,,,,,,,200 mm (7.9 inches),,,,,,,,,,,
Moto Guzzi Galetto,1952,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,160.0 ccm (9.76 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Chain   (final drive),Telescopic,,2.75-17 ,3-17 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,106.0 kg (233.7 pounds),,4-speed,,,,Kick,,,Overhead Valves (OHV),,Multiplate,,,,,,,,,,,,,,,,,,,,
Zündapp DB 202,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",7.5 HP (5.5  kW)) @ 4000 RPM,85.0 km/h (52.8 mph),60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing ,Air,,Telescopic,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,125.0 kg (275.6 pounds),0.0600 HP/kg,4-speed,,,,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
DKW RT 250 1,1952,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 4650 RPM,110.0 km/h (68.4 mph),70.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor. Bing ,Air,Chain   (final drive),Telescopic ,None,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,126.0 kg (277.8 pounds),0.0992 HP/kg,,,,,,,,,,,,2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,
Harley-Davidson EL,1952,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,,88.9 x 83.8 mm (3.5 x 3.3 inches),Carburettor,Air,Chain   (final drive),Spring forks ,Hardtail,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Firestoe or Goodyear tyres.,,250.0 kg (551.2 pounds),,3-speed,,,,,14.19 litres (3.75 US gallons),7.0:1,Overhead Valves (OHV),,"Mulitplate, dry",Steel double loop,,,Ciculation pressure system,1511 mm (59.5 inches),Knucklehead V-twin engine. Hydraulic valve lifters. Aluminium cyliner heads.,,,,,"22 Ah, 6 Volt battery.",,Optional 4-speed transmission. Sidecar option.,,,3.80 litres (4.02 US quarts),,,,
Harley-Davidson KR 750,1952,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),,Carburettor. Single Tilloston,Air,,Telescopic,Rigid,,,,,Spoked,Single spring-mounted,163.3 kg (360.0 pounds),0.2817 HP/kg,4-speed,,,,,,,Sidevalves,Magneto Fairbanks-Morse,,,,,,,,,,,,,,,,,,,,,
Simplex Automatic,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 4000 RPM,,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor,,Belt   (final drive),Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,,Solo seat with springs,61.2 kg (135.0 pounds),0.0653 HP/kg,,,,,,9.46 litres (2.50 US gallons),6.5:1,Overhead Valves (OHV),Magneto,,Duplex loop,,,,1194 mm (47.0 inches),,,,,,,,,,,,,,,This year has direct drive with clutch.
Rikuo RT 2,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,Carburettor. Linkert,Air,,Telescopic,,,,,,,Spring-mounted seat,230.0 kg (507.1 pounds),0.0957 HP/kg,4-speed,,,,,,,Sidevalves,Generator and battery,Four speed ,,,,,,,,,,,,,,,,,,,,
BMW R51 3,1952,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",24.1 HP (17.6  kW)) @ 5800 RPM,135.0 km/h (83.9 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 22mm ,Air,Shaft drive (cardan)   (final drive),Cartridge,Telscopic,3.50-19.00 ,3.50-19.00 ,Expanding brake (drum brake). Duplex ,Expanding brake (drum brake). Simplex ,,,,,4-speed,985 mm (38.8 inches),2130 mm (83.9 inches),790 mm (31.1 inches),Kick,17.00 litres (4.49 US gallons),6.3:1,Overhead Valves (OHV),,Dry-single plate-cable operated,Steel single cradle,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,1400 mm (55.1 inches),,,,200 mm (7.9 inches),,,,,190.0 kg (418.9 pounds),,,355kg-600kg with sidecar,,,
Sparta NL200,1952,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,59.0 x 72.0 mm (2.3 x 2.8 inches),Carburettor,Air,Chain   (final drive),,Telscopic,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,,,,,,13.00 litres (3.43 US gallons),,,Magneto,,,,,,,,,,,,,,,,,,,,,
Adler M 250,1952,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 5590 RPM,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Air,Chain   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,135.0 kg (297.6 pounds),0.1185 HP/kg,4-speed,,,,Kick,12.00 litres (3.17 US gallons),,,,Wet multiplate,Semi double cradle,5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,180 mm (7.1 inches),,,,,,,,,,,
NSU Konsul 1,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,,79.0 x 79.0 mm (3.1 x 3.1 inches),Carburettor,Air,Chain   (final drive),Telescopic,Hydraulic,3.50-19 ,4-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,1000 mm (39.4 inches),2185 mm (86.0 inches),820 mm (32.3 inches),,15.20 litres (4.02 US gallons),6.3:1,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,
Matchless G3 350,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,129.0 km/h (80.2 mph),69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,Air,Chain   (final drive),Telescopic,Two schock,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,4-speed,,,,Kick,19.00 litres (5.02 US gallons),6.5:1,,,Wet multiplate,,,,Dry sump,1436 mm (56.5 inches),,,,178 mm (7.0 inches),,,,,179.0 kg (394.6 pounds),,,,,,
NSU Rennmax,1952,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"Twin, four-stroke",39.0 HP (28.5  kW)) @ 11500 RPM,209.0 km/h (129.9 mph),,Carburettor,Air,Chain   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,
Cushman Eagle,1952,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,84.0 km/h (52.2 mph),,Carburettor,,Belt   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,,,,,,,,,,,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,
Hercules 313 Starr,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 4700 RPM,85.0 km/h (52.8 mph),57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. Sachs 18mm,Air,Chain   (final drive),Telescopic,Rigid,2.75-19 ,2.75-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Spring-mounted seat,90.0 kg (198.4 pounds),0.0722 HP/kg,,,,,Kick,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
