Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Gearbox,Overall height,Overall length,Overall width,Starter,Fuel capacity,Compression,Fuel control,Ignition,Clutch,Frame type,Fuel consumption,Greenhouse gases,Lubrication system,Wheelbase,Engine details,Valves per cylinder,Exhaust system,Diameter,Color options,Electrical,Light,Comments,"Weight incl. oil, gas, etc",Ground clearance,Oil capacity,Carrying capacity,Seat height,Driveline,Modifications compared to previous model
Ariel MK1 Square Four,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)) @ 5800 RPM,,,Carburettor,,Chain   (final drive),,,3.25-19 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,193.0 kg (425.5 pounds),0.2073 HP/kg,,,2100 mm (82.7 inches),,,23.00 litres (6.08 US gallons),,Overhead Valves (OHV),,,Tubular single loop,,,,1422 mm (56.0 inches),,,,,,,,,,,,,,,
Triumph Speed Twin ,1952,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,,Chain   (final drive),Telescopic,Rigid-optional sprung hub,,,Expanding brake (drum brake),Expanding brake (drum brake),,,158.8 kg (350.0 pounds),0.1701 HP/kg,,,,,,,,Overhead Valves (OHV),Lucas altrnator,,,,,,1400 mm (55.1 inches),360 degree paprallel,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,,,,,,Overhead Valves (OHV),Battery/ coil,,,,,Dry sump,1400 mm (55.1 inches),,,,,,,,,,,,,,,
Adler M 200,1952,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Twin, two-stroke",11.0 HP (8.0  kW)) @ 5450 RPM,,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor,Air,Chain   (final drive),Plunger shocks,Dual chocks,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,130.0 kg (286.6 pounds),0.0846 HP/kg,4-speed,,,,Kick,,5.8:1,,,Wet multiplate,Semi double cradle,,,,,,,,150 mm (5.9 inches),,,,,,,,,,,
Harley-Davidson Model K,1952,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,743.0 ccm (45.34 cubic inches),"V2, four-stroke",30.0 HP (21.9  kW)),129.0 km/h (80.2 mph),70.0 x 97.0 mm (2.8 x 3.8 inches),Carburettor. Linkert,Air,Chain   (final drive),Hydraulic telescopic fork,"Swing-arm, twin hydraulic shocks",3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Sole seat,181.0 kg (399.0 pounds),0.1657 HP/kg,4-speed,,,,Kick,17.00 litres (4.49 US gallons),6.0:1,,,,Steel single downtube,,,,1435 mm (56.5 inches),Flathead 45 degree engine,,,,"Black, blue, red, bronze",,,Also called Harley-Davidson Model-K and Harley-Davidson K-Model.,,,,,,,
Lambretta 125D Series 1,1952,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 4600 RPM,72.4 km/h (45.0 mph),52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto ,Air,,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,69.9 kg (154.0 pounds),0.0716 HP/kg,3-speed,,,,Electric,,6.5:1,,Contact breaker  and  points,3 speed- hand changed,Tubular steel,,,5%,,,,,,,,,,,,,,,,
Ariel VHA 500,1952,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Air,Chain   (final drive),Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres.,Single or dual seat,,,4-speed,,2180 mm (85.8 inches),640 mm (25.2 inches),,13.25 litres (3.50 US gallons),6.0:1,Overhead Valves (OHV),,Dry,Semi double cradle,,,Dry sump with dual plunger pumps,1422 mm (56.0 inches),All-alloy engine,,,178 mm (7.0 inches),"Wedgwood Blue, Deep Claret Red",,,,168.0 kg (370.4 pounds),140 mm (5.5 inches),3.40 litres (3.59 US quarts),,,,
Ariel VB 600,1952,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",15.6 HP (11.4  kW)) @ 4400 RPM,,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor. Amal monobloc 376/13,Air,Chain   (final drive),Telescopic fork,Dual shocks,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Single seat,,,4-speed,,2184 mm (86.0 inches),686 mm (27.0 inches),Kick,15.90 litres (4.20 US gallons),5.0:1,,,"Dry, multiplate",,,,Dry sump,1422 mm (56.0 inches),Sidevalve,,,,Dark green with optional gold stripes.,6Volt.,,,166.0 kg (366.0 pounds),127 mm (5.0 inches),3.40 litres (3.59 US quarts),,,,
Zündapp DB 203,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",8.7 HP (6.4  kW)) @ 4250 RPM,90.0 km/h (55.9 mph),60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing ,Air,,Telescopic,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,122.0 kg (269.0 pounds),0.0713 HP/kg,4-speed,,,,Kick,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
AJS Model 16 350MS,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Air,Chain   (final drive),Catrigde,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,170.0 kg (374.8 pounds),0.1059 HP/kg,4-speed,,2190 mm (86.2 inches),710 mm (28.0 inches),Kick,13.50 litres (3.57 US gallons),6.5:1,Overhead Valves (OHV),Bobine,Wet multiplate,Duplex steel cradle,,,Wet sump ,1422 mm (56.0 inches),,,,,,,,,,,,,,,
