Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Lubrication system,Clutch,Frame type,Compression,Valves per cylinder,Fuel system,Fuel control,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Color options,Comments,Top speed,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Exhaust system,Reserve fuel capacity,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Max RPM,Alternate seat height,Modifications compared to previous model,0-100 km/h (0-62 mph),Belt teeth,Belt width,Engine details,Front percentage of weight,Rear percentage of weight,Emission details,Pulley teeth,Wheels
Kymco Movie XL 150,2005,Scooter," 2.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",10.9 HP (7.9  kW)) @ 7500 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 5500 RPM,,,Air,,Shaft drive (cardan)   (final drive),,,Single disc,Expanding brake (drum brake),118.8 kg (261.9 pounds),0.0914 HP/kg,1130 mm (44.5 inches),1890 mm (74.4 inches),694 mm (27.3 inches),,,Kick,,,,,,,,,,120/70-12 ,130/70-12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Xtra Raptor 1000,2005,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",994.8 ccm (60.70 cubic inches),"V2, four-stroke",,,97.8 x 65.8 mm (3.9 x 2.6 inches),Electronic,Liquid,,,Upside down telscopic hydraulic fork,"Progressive, single shock absorber with adjustable spring preload",Single disc,Single disc,192.0 kg (423.3 pounds),,1090 mm (42.9 inches),2104 mm (82.8 inches),800 mm (31.5 inches),1432 mm (56.4 inches),15.17 litres (4.01 US gallons),Electric,,,High strength steel tubular frame,11.3:1,,,,138 mm (5.4 inches),,,,298 mm (11.7 inches),,"805 mm (31.7 inches) If adjustable, lowest setting.",175 mm (6.9 inches),Bat black,,,,,,102 mm (4.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,2005,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.0 ccm (39.72 cubic inches),"Single cylinder, four-stroke",,,100.0 x 83.0 mm (3.9 x 3.3 inches),Electronic CDI,Liquid,5-speed,,"38mm leading axle, air-adjustable fork",UNI-TRAK® single-shock system,Single disc,Single disc,152.9 kg (337.0 pounds),,1346 mm (53.0 inches),,940 mm (37.0 inches),1496 mm (58.9 inches),23.08 litres (6.10 US gallons),,,,"Semi-double cradle, high-tensile steel",9.5:1,,Carburettor.  Keihin CVK40,Double Overhead Cams/Twin Cam (DOHC),,,90/90-21 ,130/80-17 ,,,"889 mm (35.0 inches) If adjustable, lowest setting.",239 mm (9.4 inches),Aztec Red,,,,,28.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki V-Strom 650,2005,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",,,81.0 x 62.6 mm (3.2 x 2.5 inches),,Liquid,6-speed,Chain   (final drive),"Telescopic, oil damped, adjustable preload","Link-type, adjustable spring preload and rebound damping",Double disc,Single disc,190.0 kg (418.9 pounds),,1390 mm (54.7 inches),2290 mm (90.2 inches),840 mm (33.1 inches),1540 mm (60.6 inches),22.00 litres (5.81 US gallons),,,,,11.5:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),,,110/80-R19 ,150/70-R17 ,,,"820 mm (32.3 inches) If adjustable, lowest setting.",165 mm (6.5 inches),"Red, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 SX Racing,2005,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.4 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,,95.0 x 63.4 mm (3.7 x 2.5 inches),Kokusan digital 4K-3A,Liquid,4-speed,Chain   (final drive),WP-USD 48 mm (1.89 inch),WP-PDS shock absorber,Single disc,Single disc,105.2 kg (231.9 pounds),,,,450 mm (17.7 inches),1481 mm (58.3 inches),7.00 litres (1.85 US gallons),Kick,pressure lubrication with 2 Eaton pumps,"Wet multi-disc clutch, operated hydraulically",Chromium molybdenum,12.0:1,,Carburettor.  Keihin MX FCR 41,,,335 mm (13.2 inches),,,260 mm (10.2 inches),,"925 mm (36.4 inches) If adjustable, lowest setting.",385 mm (15.2 inches),,,,,,26.5°,112 mm (4.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 50 Runner Racing Replica,2005,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,40.0 x 39.3 mm (1.6 x 1.5 inches),Inductive,Liquid,Automatic,Shaft drive (cardan)   (final drive),Telescopic with Ø 30mm upside-down legs,Single hydraulic damper adjustable to 4-positions,Double disc,Double disc,,,,1800 mm (70.9 inches),720 mm (28.3 inches),1290 mm (50.8 inches),12.20 litres (3.22 US gallons),Electric,Automatic,Dry automatic centrifugal type (Twist and Go),,10.5:1,,,,,,120/70-12 ,130/70-12 ,175 mm (6.9 inches),106.0 kg (233.7 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Shadow Aero,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",,,79.0 x 76.0 mm (3.1 x 3.0 inches),"CD with electronic advance, two spark plugs per cylinder",Liquid,5-speed,Shaft drive (cardan)   (final drive),41.0mm fork,Dual shocks with five-position spring preload adjustability;,Single disc. 2-piston calipers.,Expanding brake (drum brake),235.6 kg (519.4 pounds),,,,,1638 mm (64.5 inches),14.00 litres (3.70 US gallons),Electric,,,,9.6:1,3,Carburettor.  Single 34.0mm CV type,Single Overhead Cams (SOHC),117 mm (4.6 inches),89 mm (3.5 inches),120/90-17 ,160/80-15 ,180 mm (7.1 inches),,"658 mm (25.9 inches) If adjustable, lowest setting.",,"Black, Candy Red, Black/Candy Red, Black/Metallic Silver, Black/Pearl Blue, Metallic Silver/Pearl White",Model ID: VT750,,,,32.7°,161 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 1000,2005,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"Twin, four-stroke",94.0 HP (68.6  kW)) @ 8000 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 6000 RPM,94.0 x 71.5 mm (3.7 x 2.8 inches),,,6-speed,Chain   (final drive),Showa 43 mm upside-down fork,Progressive linkage with adjustable Sachs monoshock,Single disc,Single disc,180.0 kg (396.8 pounds),0.5222 HP/kg,,,,1440 mm (56.7 inches),14.00 litres (3.70 US gallons),,,Dry multiplate with hydraulic control,Tubular steel trellis,10.0:1,2,"Injection.  Marelli electronic fuel injection, 45 mm throttle body",,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,180/55-ZR17 ,245 mm (9.6 inches),,"800 mm (31.5 inches) If adjustable, lowest setting.",,"Glossy black/black, red/black, metallic dark grey/metallic grey/fluorescent red",,,,,24.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem LX 3,2005,"Minibike, cross"," 3.1  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.0 x 41.7 mm (1.5 x 1.6 inches),,Air,Automatic,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),44.9 kg (99.0 pounds),,,,,,,,Premix,Auto centrifugal wet clutch,Steel tube,,,Carburettor. Dell´ortho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Sportcity 200,2005,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)) @ 9000 RPM,16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 7000 RPM,71.9 x 48.6 mm (2.8 x 1.9 inches),CDI electronic ignition with automatic advance,Liquid,Automatic,Belt   (final drive),35 mm hydraulic fork.,Engine unit acting as swinging arm. Double hydraulic shock absorber with 4 spring preload settings.,Single disc,Single disc,,,1410 mm (55.5 inches),1865 mm (73.4 inches),770 mm (30.3 inches),1365 mm (53.7 inches),9.30 litres (2.46 US gallons),Electric,Wet sump. Forced circulation with mechanical pump,Automatic centrifugal dry clutch,Double cradle in high tensile strength steel,12.5:1,4,Carburettor,Overhead Cams (OHC),100 mm (3.9 inches),80 mm (3.1 inches),120/70-15 ,130/80-15 ,220 mm (8.7 inches),,"678 mm (26.7 inches) If adjustable, lowest setting.",250 mm (9.8 inches),"Bianco Cambridge, Grigio Titanic, Nero Darkness, Silver Mirror",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 125,2005,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,57.0 x 48.8 mm (2.2 x 1.9 inches),,Air,5-speed,Chain   (final drive),"Telescopic, oil-damped","Link-type, oil-damped",Single disc,Single disc,79.0 kg (174.2 pounds),,1060 mm (41.7 inches),1835 mm (72.2 inches),770 mm (30.3 inches),1245 mm (49.0 inches),6.60 litres (1.74 US gallons),Electric,,,,9.5:1,,Carburettor,Single Overhead Cams (SOHC),,,70/90-17 ,90/90-14 ,,,"775 mm (30.5 inches) If adjustable, lowest setting.",260 mm (10.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polini Minicross X1 R,2005,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,40.2 x 39.3 mm (1.6 x 1.5 inches),Electronic,,,Chain   (final drive),,,Single disc,Single disc,37.0 kg (81.6 pounds),,,915 mm (36.0 inches),,,4.00 litres (1.06 US gallons),Kick,,Centrifuge,Steel,15.2:1,,Carburettor. PHBG 19,,,,,,,,"610 mm (24.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 50 CC SM,2005,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),,Liquid,6-speed,Chain   (final drive),Hydraulic telescopic fork Paioli 41 Ø,"Olle single shock absorber, adjustable in spring preload.",,,83.0 kg (183.0 pounds),,,,,1970 mm (77.6 inches),,Kick,,,Built from Chrome-molybdenum forming a single structure.,,,Carburettor,,,,,,,,"920 mm (36.2 inches) If adjustable, lowest setting.",280 mm (11.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Road Star Warrior 1700,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1670.0 ccm (101.90 cubic inches),"V2, four-stroke",83.1 HP (60.7  kW)) @ 4400 RPM,135.0 Nm (13.8 kgf-m or 99.6 ft.lbs) @ 3750 RPM,97.0 x 113.0 mm (3.8 x 4.4 inches),Electronic,Air,5-speed,Belt   (final drive),41mm Kayaba inverted telescopic fork.,"Single shock, link-type w/adjustable preload and rebound damping",Double disc. Four-piston calipers. ,Single disc. Single-piston caliper. ,275.0 kg (606.3 pounds),0.3023 HP/kg,1120 mm (44.1 inches),2385 mm (93.9 inches),955 mm (37.6 inches),1669 mm (65.7 inches),15.14 litres (4.00 US gallons),Electric,Semi-dry sump,,Aluminium,8.3:1,4,Injection,Overhead Valves (OHV),135 mm (5.3 inches),109 mm (4.3 inches),120/70-ZR18 ,200/50-ZR17 ,282 mm (11.1 inches),298.4 kg (657.9 pounds),"714 mm (28.1 inches) If adjustable, lowest setting.",155 mm (6.1 inches),Indigo; Cerulean Silver w/Flames,,,,,29.0°,130 mm (5.1 inches),,,,4.10 litres (4.33 US quarts),SAE 10W-40,HiFloFiltro  HF199,DOT 4,,YT14B-BS,"NGK DPR7EA-9, NGK DPR7EIX-9",900  +/- 50  RPM,,,,36 PSI (2.5 Bar or 250 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,,,,,,,,,
TM Racing EN 450 F e.s.,2005,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.2 ccm (27.41 cubic inches),"Single cylinder, four-stroke",,,95.0 x 63.4 mm (3.7 x 2.5 inches),Koukusan CDI electronic w/ variable advance,Liquid,5-speed,Chain   (final drive),Kayba/Paioli/Ohlins,Ohlins,Single disc,Single disc,,,,,,,8.00 litres (2.11 US gallons),Electric & kick,Dry sump with double rotor pump.,Multiple-disk in oil-bath with hydraulic control,Cr-Mo steel. Perimetral oval section.,,4,Carburettor.  Mikuni  TDMR  40 mm.,Double Overhead Cams/Twin Cam (DOHC),,,90/90-21 ,140/80-18 ,245 mm (9.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 EXC,2005,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",293.0 ccm (17.88 cubic inches),"Single cylinder, two-stroke",,,72.0 x 72.0 mm (2.8 x 2.8 inches),Kokusan digital 2K-3,Liquid,5-speed,Chain   (final drive),WP-USD 48 mm (1.89 inches),WP-PDS-shock absorber,Single disc,Single disc,102.8 kg (226.6 pounds),,,,,1475 mm (58.1 inches),8.50 litres (2.25 US gallons),Kick,Mixture oil lubrication 1:60,"Wet multi-disc clutch, operated hydraulically",Chromium molybdenum,11.0:1,,Carburettor.  Keihin PWK 36 S AG,,,335 mm (13.2 inches),,,260 mm (10.2 inches),,"925 mm (36.4 inches) If adjustable, lowest setting.",385 mm (15.2 inches),,,,,,27.0°,116 mm (4.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli 250 T,2005,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,,Liquid,,,,,Single disc,Expanding brake (drum brake),181.0 kg (399.0 pounds),,1355 mm (53.3 inches),2265 mm (89.2 inches),745 mm (29.3 inches),1625 mm (64.0 inches),,Electric & kick,,,,,,,,,,110/100-12 ,120/90-10 ,,,,,,Scooter also known as Veli Motor 250T. ,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco People 150,2005,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",10.2 HP (7.4  kW)) @ 7000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6100 RPM,,,Air,,,,,Single disc,Single disc,111.0 kg (244.7 pounds),0.0918 HP/kg,1076 mm (42.4 inches),1949 mm (76.7 inches),690 mm (27.2 inches),,,Kick,,,,,,,,,,80/80-16 ,100/80-16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borile B651 Scrambler,2005,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.3 ccm (39.81 cubic inches),"Single cylinder, four-stroke",,,94.0 x 94.0 mm (3.7 x 3.7 inches),Electronic,Air,5-speed,Chain   (final drive),"Ceriani traditional fork Ø41, range 160","2 shock absorbers Paioli, range 180",Single disc,Single disc,142.0 kg (313.1 pounds),,1120 mm (44.1 inches),2400 mm (94.5 inches),820 mm (32.3 inches),1400 mm (55.1 inches),8.50 litres (2.25 US gallons),Electric,,Multidisc in oil bath,Splitted cradle in CR MO under the engine,8.5:1,4,Carburettor. Mikuni BS 40 SS,Double Overhead Cams/Twin Cam (DOHC),,,,,220 mm (8.7 inches),,"870 mm (34.3 inches) If adjustable, lowest setting.",250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco 150 Stryker Offroad,2005,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",11.9 HP (8.7  kW)) @ 8500 RPM,11.1 Nm (1.1 kgf-m or 8.2 ft.lbs) @ 7500 RPM,,,Air,5-speed,,,,Single disc,Expanding brake (drum brake),142.0 kg (313.1 pounds),0.0840 HP/kg,1300 mm (51.2 inches),2120 mm (83.5 inches),910 mm (35.8 inches),,,,,,,,,,,,,90/90-21 ,130/80-17 ,,,,,Red/silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Nitro,2005,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.7 HP (2.0  kW)) @ 6500 RPM,3.7 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 4500 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),Electronic (C.D.I.),Liquid,,,Hydraulic and telescopic fork,Hydraulic unit swing,Single disc,Single disc,92.0 kg (202.8 pounds),0.0291 HP/kg,,,,1256 mm (49.4 inches),7.00 litres (1.85 US gallons),Electric & kick,Separate lubrication,Automatic centrifugal,,7.4:1,,,,,,130/60-13 ,140/60-13 ,190 mm (7.5 inches),,"828 mm (32.6 inches) If adjustable, lowest setting.",185 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V Star Silverado,2005,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",,,81.0 x 63.0 mm (3.2 x 2.5 inches),,Air,5-speed,Shaft drive (cardan)   (final drive),Telescopic fork,"Single shock, link-type, w/adjustable preload",Single disc,Expanding brake (drum brake),,,,2451 mm (96.5 inches),,1626 mm (64.0 inches),15.89 litres (4.20 US gallons),,,,,9.0:1,,Carburettor,Single Overhead Cams (SOHC),140 mm (5.5 inches),99 mm (3.9 inches),130/90-16 ,170/80-15 ,200 mm (7.9 inches),,"709 mm (27.9 inches) If adjustable, lowest setting.",,Raven/Raspberry Metallic; Pearl White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 650 e,2005,Super motard," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,100.0 x 82.0 mm (3.9 x 3.2 inches),Kokusan digital,Liquid,6-speed,Chain   (final drive),WP MXMA 4860-Husaberg Supermotard,WP PDS 5018-Husaberg Supermotard,Single disc,Single disc,112.0 kg (246.9 pounds),,1120 mm (44.1 inches),2170 mm (85.4 inches),810 mm (31.9 inches),1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Electric & kick,"Pressure circulation, trochoit oil pump","Wet multi-disc clutch, hydraulic.",CrMo,11.7:1,4,Carburettor.  Keihin MX FCR 41 mm,Overhead Cams (OHC),260 mm (10.2 inches),287 mm (11.3 inches),120/60-17 ,150/60-17 ,220 mm (8.7 inches),,,320 mm (12.6 inches),Yellow/blue,Model id FS650e.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Multistrada 620,2005,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",46.4 HP (33.9  kW)) @ 9500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 6750 RPM,80.0 x 61.5 mm (3.1 x 2.4 inches),,,6-speed,Chain   (final drive),Marzocchi 43 mm upside-down fork,Progressive linkage with adjustable Sachs monoshock. Steel double-sided swingarm,Single disc,Single disc,183.0 kg (403.4 pounds),0.2536 HP/kg,,,,1459 mm (57.4 inches),15.00 litres (3.96 US gallons),Electric,,APTC wet multiplate with hydraulic control,Tubular steel trellis,10.5:1,2,"Injection.  Marelli electronic fuel injection, 45 mm throttle body",,130 mm (5.1 inches),148 mm (5.8 inches),120/60-ZR17 ,160/60-ZR17 ,245 mm (9.6 inches),,"830 mm (32.7 inches) If adjustable, lowest setting.",,"Yellow/black, glossy black/black, tangerine red/black, red/black,",,,,,24.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford VR-200H,2005,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",14.3 HP (10.4  kW)) @ 7500 RPM,14.8 Nm (1.5 kgf-m or 10.9 ft.lbs) @ 6000 RPM,63.5 x 62.2 mm (2.5 x 2.4 inches),,Oil & air,5-speed,,,,Single disc,Single disc,,,1230 mm (48.4 inches),2110 mm (83.1 inches),850 mm (33.5 inches),1375 mm (54.1 inches),12.00 litres (3.17 US gallons),,,,,9.0:1,,,Overhead Valves (OHV),,,3.00-21 ,110/80-18 ,,140.0 kg (308.6 pounds),"860 mm (33.9 inches) If adjustable, lowest setting.",,,,105.0 km/h (65.2 mph),3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 RS,2005,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",93.9 HP (68.5  kW)) @ 7250 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5500 RPM,101.0 x 70.5 mm (4.0 x 2.8 inches),,Oil & air,6-speed,Shaft drive (cardan)   (final drive),BMW Motorrad Telelever,Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever,Double disc,Double disc,224.0 kg (493.8 pounds),0.4191 HP/kg,1286 mm (50.6 inches),2170 mm (85.4 inches),920 mm (36.2 inches),1469 mm (57.8 inches),22.00 litres (5.81 US gallons),Electric,,"Single-disc dry clutch, hydraulically operated","Three-section composite frame consisting of front and rear section, load bearing engine.",11.3:1,4,"Injection.  Electronic intake pipe injection/digital engine management: Bosch Motronic MA 2.4 with overrun fuel cut-off, twin spark ignition",Single Overhead Cams (SOHC),35 mm (1.4 inches),135 mm (5.3 inches),120/70-ZR17 ,170/60-ZR17 ,276 mm (10.9 inches),246.0 kg (542.3 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,,ABS brakes.,,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,25.5°,111 mm (4.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Motors ZZ  50,2005,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.0 HP (1.5  kW)),,,,Air,,Chain   (final drive),,,Single disc,Expanding brake (drum brake),42.0 kg (92.6 pounds),0.0476 HP/kg,,1455 mm (57.3 inches),,,4.00 litres (1.06 US gallons),,,,,9.5:1,,Carburettor,,,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST3,2005,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",102.0 HP (74.5  kW)) @ 8750 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 7250 RPM,94.0 x 71.5 mm (3.7 x 2.8 inches),Marelli electronic ,Liquid,6-speed,Chain   (final drive),Showa 43 mm upside-down adjustable preload fork,Progressive linkage with fully adjustable Sachs monoshock,Double disc. Four-piston calipers. ,Single disc. Two-piston calipers. ,203.0 kg (447.5 pounds),0.5025 HP/kg,,,,1430 mm (56.3 inches),21.00 litres (5.55 US gallons),Electric,Wet sump,Wet multiplate with hydraulic control,Tubular steel trellis,11.3:1,3,"Injection. Marelli electronic fuel injection, 50 mm throttle body",Desmodromic valve control,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,180/55-ZR17 ,245 mm (9.6 inches),235.0 kg (518.1 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",,"Glossy black/black/metallic dark grey, red/metallic dark grey/metallic dark grey, light grey/metallic dark grey/metallic dark grey",,237.0 km/h (147.3 mph),4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,24.0°,,,,,3.60 litres (3.8 US quarts),SAE 10W-40 Synthetic,,DOT 4,3.00 litres (0.79 US gallons),YT12B-4,"NGK CR9EB, NGK CR9EIX",,525,102,15/42 (front/rear),30 PSI (2.1 Bar or 210 kPa),32 PSI (2.2 Bar or 220 kPa),43 mm (1.7 inches),,,,,,,,,,,,
Yamaha YZ 450 F,2005,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,95.0 x 63.4 mm (3.7 x 2.5 inches),,Liquid,5-speed,Chain   (final drive),48mm Kayaba inverted telescopic fork w/adjustable compression and rebound damping,"Kayaba single shock w/adjustable preload, compression and rebound damping  and  separate hi/lo-speed compression adjuster",Single disc,Single disc,,,996 mm (39.2 inches),2172 mm (85.5 inches),828 mm (32.6 inches),1486 mm (58.5 inches),6.81 litres (1.80 US gallons),,,,,12.5:1,5,Carburettor,Double Overhead Cams/Twin Cam (DOHC),300 mm (11.8 inches),318 mm (12.5 inches),80/80-21 ,110/90-19 ,245 mm (9.6 inches),,"996 mm (39.2 inches) If adjustable, lowest setting.",371 mm (14.6 inches),Team Yamaha Blue/White,,,,,27.2°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
