Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Top speed,Power,Diameter,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Seat height,Ground clearance,Color options,Electrical,Lubrication system,Carrying capacity,Comments,Fuel consumption,Greenhouse gases,Alternate seat height,"Weight incl. oil, gas, etc",Engine details,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Torque,Front wheel travel,Rear wheel travel,Reserve fuel capacity,Driveline,Exhaust system,Rake (fork angle)
AJS Model 16 350 Spectre,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,171.0 kg (377.0 pounds),17.00 litres (4.49 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard 247,1960,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,5-speed,Chain   (final drive),Wet multiplate,Chrom,Hydealic shock absorbers,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,115.0 km/h (71.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greeves 32D Sports Twin,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,322.0 ccm (19.65 cubic inches),"Twin, two-stroke",8.7:1,57.0 x 63.5 mm (2.2 x 2.5 inches),Carburettor. Villiers 25mm,,,,,Chain   (final drive),,,,,,,,,Spoked,Dual ,,,,113.0 km/h (70.2 mph),17.0 HP (12.4  kW)) @ 5250 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 1,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto,,,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic -Geriani,Swingarm-two shocks,2.50-17 ,2.50-17 ,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,Spoked,Dual ,114.0 kg (251.3 pounds),17.00 litres (4.49 US gallons),Kick,140.0 km/h (87.0 mph),16.0 HP (11.7  kW)) @ 6500 RPM,180 mm (7.1 inches),0.1404 HP/kg,910 mm (35.8 inches),1938 mm (76.3 inches),762 mm (30.0 inches),1270 mm (50.0 inches),,,,,,,,,,,,,,,,,,,,,,
Triumph T120 Bonneville,1960,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Overhead Valves (OHV),Lucas K2F auto-advance Magneto,Air,4-speed,Chain   (final drive),"Multi-plate, wet",Duplex frame,Telescopic fork.,"Twin shocks. Girlings 100 lb/ft spring tension, adjustable pre-set.",3.25-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,178.0 kg (392.4 pounds),15.14 litres (4.00 US gallons),,185.0 km/h (115.0 mph),46.0 HP (33.6  kW)) @ 6700 RPM,178 mm (7.0 inches),0.2584 HP/kg,,,,1400 mm (55.1 inches),"770 mm (30.3 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Pearl Grey/Azure Blue,AC Alternator,,,,,,,,,,,,,,,,,,
Vertigo VBB Sportique,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,4-speed,,,,,,,,,,Spoked,Two single seats,,,,80.0 km/h (49.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",6.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble cradle,Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,3.50-18.00 ,3.50-18.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,195.0 kg (429.9 pounds),17.00 litres (4.49 US gallons),Kick,145.0 km/h (90.1 mph),28.0 HP (20.4  kW)) @ 5600 RPM,200 mm (7.9 inches),0.1436 HP/kg,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1380 mm (54.3 inches),,,,,Wet sump ,360.00-with sidecar 600kg,,,,,,,,,,,,,,,,
Matchless G50,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Single Overhead Cams (SOHC),,Air,,Chain   (final drive),,BSA,,,,,Expanding brake (drum brake),Expanding brake (drum brake). Rigid,,Single seat,150.0 kg (330.7 pounds),,,,51.0 HP (37.2  kW)) @ 7200 RPM,,0.3400 HP/kg,,,,,,,,,,,This bike was also called the Golden Eagle.,,,,,,,,,,,,,,,
DKW Victoria Avanti,1960,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,48.0 ccm (2.93 cubic inches),"Single cylinder, two-stroke",6.5:1,38.0 x 42.0 mm (1.5 x 1.7 inches),Carburettor,,Magneto,Air,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,60.0 kg (132.3 pounds),8.40 litres (2.22 US gallons),,,,120 mm (4.7 inches),,,,,,,,Red and black multicolored,,,213kg,,,,,,,,,,,,,,,,
Dürkopp Diana Sport,1960,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",,,Carburettor. Bing ,,,Air,,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,Kick,100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules R 200,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",,65.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor. Bing 24mm,,,Air,4-speed,Chain   (final drive),,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,144.0 kg (317.5 pounds),,Electric,98.0 km/h (60.9 mph),10.2 HP (7.4  kW)) @ 5250 RPM,,0.0708 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard,1960,Cross / motocross," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",177.0 ccm (10.80 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,5-speed,Chain   (final drive),Wet multiplate,Chrom,Hydealic shock absorbers,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T120 R Bonneville,1960,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Overhead Valves (OHV),Lucas K2F auto-advance Magneto,Air,4-speed,Chain   (final drive),"Multi-plate, wet",Duplex frame,"Telescopic fork, hydraulic damping.","Twin shocks. Girlings 100 lb/ft spring tension, adjustable pre-set.",3.25-18 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,178.0 kg (392.4 pounds),15.14 litres (4.00 US gallons),,185.0 km/h (115.0 mph),46.0 HP (33.6  kW)) @ 6700 RPM,178 mm (7.0 inches),0.2584 HP/kg,,,,1400 mm (55.1 inches),"770 mm (30.3 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Sky Blue/Silver Sheen/Gold Pinstripe,AC Alternator,,,,,,,,,,,,,,,,,,
Norton Dominator 99SS,1960,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",596.0 ccm (36.37 cubic inches),"Twin, four-stroke",7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),Carburettor. Amal,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Down tube-single,Telescopic,Swingarm -two plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,16.00 litres (4.23 US gallons),Kick,163.0 km/h (101.3 mph),31.0 HP (22.6  kW)),,,,,,1410 mm (55.5 inches),"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,
Bultaco TSS,1960,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",13.5:1,,Carburettor,,,,,Chain   (final drive),Wet multiplate,Tubular,Telescopic,,2.75-18 ,2.75-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single Seat,,,,,,,,,,,,,,,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting.",,,,,,,,,,,,
Heinkel A2,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,,,Air,,,,,,,4-10 ,4-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,148.0 kg (326.3 pounds),,,,,,,1000 mm (39.4 inches),2020 mm (79.5 inches),710 mm (28.0 inches),1380 mm (54.3 inches),,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Galetto,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Overhead Valves (OHV),,,4-speed,Chain   (final drive),Multiplate,,Telescopic,,2.75-17 ,3-17 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,120.0 kg (264.6 pounds),,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dürkopp MD 176,1960,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",7.0:1,61.0 x 60.0 mm (2.4 x 2.4 inches),Carburettor,,Magneto,Air,,Chain   (final drive),Wet multiplate,Single cradle,Hydraulic telescopic,Two shock,1.85-19 ,1.85-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,124.0 kg (273.4 pounds),,,,10.5 HP (7.7  kW)) @ 5600 RPM,,0.0847 HP/kg,,2030 mm (79.9 inches),,,,,,,,,,,,,,,,,,,,,,,,
Adler MBS 250 Favorit,1960,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,Semi double cradle,,Two schock,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,165.0 kg (363.8 pounds),15.00 litres (3.96 US gallons),Kick,116.0 km/h (72.1 mph),16.0 HP (11.7  kW)) @ 5600 RPM,180 mm (7.1 inches),0.0970 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R50 2,1960,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",7.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble cradle,Cartridge,Twin shock-Swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,Dual seat,,17.00 litres (4.49 US gallons),Kick,140.0 km/h (87.0 mph),26.0 HP (19.0  kW)) @ 5800 RPM,200 mm (7.9 inches),,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),,,,,Wet sump ,360kg-with sidecar 600kg,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,195.0 kg (429.9 pounds),,,,,,,,,,,
Matchless G3 350,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,,,Air,,Chain   (final drive),Wet multiplate,,Telescopic,Two schock,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,129.0 km/h (80.2 mph),18.0 HP (13.1  kW)) @ 5750 RPM,178 mm (7.0 inches),,,,,,,,,,,,,,,,179.0 kg (394.6 pounds),,,,,,,,,,,
Heinkel A1 Series 103,1960,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,,,Air,,,,,,,4-10 ,4-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,156.0 kg (343.9 pounds),,,,,,,1000 mm (39.4 inches),2085 mm (82.1 inches),710 mm (28.0 inches),1375 mm (54.1 inches),,,,,,,,,,,,,,,,,,,,,,
Dürkopp MD 201,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, two-stroke",7.0:1,61.0 x 64.0 mm (2.4 x 2.5 inches),Carburettor,,Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Hydraulic telescopic,Two shock,1.85-19 ,1.85-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,13.50 litres (3.57 US gallons),,,12.0 HP (8.8  kW)) @ 5900 RPM,180 mm (7.1 inches),,980 mm (38.6 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH Duo Glide,1960,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks. Adjustable.,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Whitewall tyres.,Solo seat,304.0 kg (670.2 pounds),14.19 litres (3.75 US gallons),Kick,,60.0 HP (43.8  kW)),,0.1974 HP/kg,,,,1500 mm (59.1 inches),,,,6 Volt battery.,,Optional soft saddlebags,Windscreen. FLH models have higher compression then FL.,,,,,Panhead V-twin engine,3.80 litres (4.02 US quarts),,,,,,,,,
Harley-Davidson Sportster XLCH,1960,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",9.1:1,76.0 x 98.0 mm (3.0 x 3.9 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,7.20 litres (1.90 US gallons),,185.1 km/h (115.0 mph),55.0 HP (40.1  kW)) @ 6300 RPM,,,,,,,,,,,,,,,,,218.0 kg (480.6 pounds),45-degree V-twin,,,,,,,,,,
BSA Bantam D7,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,3-speed,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,9.00 litres (2.38 US gallons),,,,,,,,,,,,Shades red or blue-chrome highlights,WicoPacy,,,,,,,,,,92.00 seconds,,,,,,,,
Aermacchi HD 125 Zeffiro,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.7:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,,Air,,,Wet multiplate,,Telescopic,,2.25-17 ,2.25-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,92.0 kg (202.8 pounds),6.50 litres (1.72 US gallons),Kick,78.0 km/h (48.5 mph),5.0 HP (3.6  kW)) @ 4500 RPM,,0.0543 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi HD 150 Zeffiro,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,Air,3-speed,Chain   (final drive),Wet multiplate,,Telescopic,,3-17 ,3-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,,,Kick,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R50 OS,1960,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",9.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),Magneto,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble cradle,Cartridge,Twin shock-Swingarm,3.50-18.00 ,3.50-18.00 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,Dual seat,,24.00 litres (6.34 US gallons),Kick,160.0 km/h (99.4 mph),35.0 HP (25.5  kW)) @ 7650 RPM,200 mm (7.9 inches),,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1450 mm (57.1 inches),,,,,Wet sump ,,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,198.0 kg (436.5 pounds),,,,,,,,,,,
Honda Dream 305,1960,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",305.0 ccm (18.61 cubic inches),"Twin, two-stroke",,60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor. Keihin,Overhead Cams (OHC),,Air,,Chain   (final drive),,,Leading link enclosed coil over-shoks,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,159.0 kg (350.5 pounds),,,138.4 km/h (86.0 mph),23.0 HP (16.8  kW)) @ 7500 RPM,,0.1447 HP/kg,,,,,,,,,,,"Early model
The shape of the gastank was different",,,,,,,,,,,,,,,
Matchless G-12,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,,,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,,180.0 kg (396.8 pounds),,,,35.0 HP (25.5  kW)) @ 6500 RPM,,0.1944 HP/kg,,,,,,,,,,,Designer was Phil Walker,,,,,,,,This model was also named AJS 31 and produced by the same company,,,,,,,
Horex Imperator ,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",7.5:1,,Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,Duplex cradle,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,135.0 km/h (83.9 mph),18.9 HP (13.8  kW)) @ 6790 RPM,,,990 mm (39.0 inches),2140 mm (84.3 inches),660 mm (26.0 inches),,,,,,,,,,,,,,,,,,,,,,,
Hercules A 175,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing 24mm,,,Air,4-speed,Chain   (final drive),,,Telescopic,Swingarm ,3.25-16 ,3.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,140.0 kg (308.6 pounds),11.50 litres (3.04 US gallons),Kick,90.0 km/h (55.9 mph),9.3 HP (6.8  kW)) @ 5250 RPM,150 mm (5.9 inches),0.0664 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60 2,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",7.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble cradle,Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,3.25-18.00 ,3.50-18.00 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,Single seat,195.0 kg (429.9 pounds),17.00 litres (4.49 US gallons),Kick,145.0 km/h (90.1 mph),30.1 HP (21.9  kW)) @ 5800 RPM,200 mm (7.9 inches),0.1541 HP/kg,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),,,,,Wet sump ,360.00-with sidecar 360kg,Price in 1969 for the bike was DM 3315.,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,
Agrati Capri 50,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,38.0 x 42.0 mm (1.5 x 1.7 inches),Carburettor,,,Air,,Chain   (final drive),,,,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),,,67.0 kg (147.7 pounds),,,,1.3 HP (1.0  kW)) @ 5500 RPM,,0.0200 HP/kg,,,,,,,,,,,,,,,,Sachs,,,,,,,,,,
MZ RE125,1960,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,,,,,,,,Spoked,Single ,,,,193.0 km/h (119.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,Overhead Valves (OHV),,,,Chain   (final drive),,,Telescopic,Rigid-optional sprung hub,,,Expanding brake (drum brake),Expanding brake (drum brake),,,158.8 kg (350.0 pounds),,,,27.0 HP (19.7  kW)) @ 6300 RPM,,0.1701 HP/kg,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,,
Puch 250 SGS 67,1960,Sport," 2.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,,,,4-speed,Chain   (final drive),,,Telescopic,Swingarm,3-16 ,3.50-16 ,,,Spoked,Dual ,150.0 kg (330.7 pounds),13.00 litres (3.43 US gallons),,110.0 km/h (68.4 mph),16.5 HP (12.0  kW)) @ 5800 RPM,,0.1100 HP/kg,,,,,,,,,,,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,,
Velocette Valiant,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Two cylinder boxer, four-stroke",8.0:1,50.0 x 49.0 mm (2.0 x 1.9 inches),Carburettor,Overhead Valves (OHV),,Air,,Shaft drive (cardan)   (final drive),,,Hydralic telescopic forks,Twin shock,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual seat,116.0 kg (255.7 pounds),12.00 litres (3.17 US gallons),,110.0 km/h (68.4 mph),12.0 HP (8.8  kW)) @ 6000 RPM,130 mm (5.1 inches),0.1034 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Pannonia TL250B,1960,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",7.0:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. TM-BK1 25 mm,,,Air,4-speed,Chain   (final drive),,Double cradle,Hydraulic telescopic fork,Swingarm,"3,00-19 ","3,25-19 ",Expanding brake (drum brake),Expanding brake (drum brake),,,146.0 kg (321.9 pounds),18.00 litres (4.76 US gallons),Kick,110.0 km/h (68.4 mph),14.0 HP (10.2  kW)) @ 5100 RPM,200 mm (7.9 inches),0.0959 HP/kg,980 mm (38.6 inches),2100 mm (82.7 inches),680 mm (26.8 inches),1380 mm (54.3 inches),"760 mm (29.9 inches) If adjustable, lowest setting.",,Red-white,6 V,,,,,,,,,,,,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 4300 RPM,165 mm (6.5 inches),75 mm (3.0 inches),4.00 litres (1.06 US gallons),,,
Panther M 120,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",6.5:1,88.0 x 106.0 mm (3.5 x 4.2 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic ,Swingarm ,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,209.1 kg (461.0 pounds),,,,27.0 HP (19.7  kW)) @ 6500 RPM,178 mm (7.0 inches),0.1291 HP/kg,,,,1500 mm (59.1 inches),"710 mm (28.0 inches) If adjustable, lowest setting.",,,,,,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,
NSU Quickly Cavalino,1960,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",5.5:1,,Carburettor,,,Air,,Chain   (final drive),,,Telescopic,Swinging arm-shocks-coil springs,,,,,,,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocette Viceroy,1960,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,64.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,,Battery,,,Chain   (final drive),Duplex,Single tube Keystone,Telescopic,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,140.0 kg (308.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
