Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Top speed,Power,Diameter,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Seat height,Ground clearance,Color options,Electrical,Lubrication system,Carrying capacity,Comments,Fuel consumption,Greenhouse gases,Alternate seat height,"Weight incl. oil, gas, etc",Engine details,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Torque,Front wheel travel,Rear wheel travel,Reserve fuel capacity,Driveline,Exhaust system,Rake (fork angle)
Ducati Elite,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,204.0 ccm (12.45 cubic inches),"Single cylinder, four-stroke",8.5:1,67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. Dellorto UB 24,Overhead Cams (OHC),Mageneto flywhel,Air,,Chain   (final drive),Wet multiplate,Single open cradle in steel tubing,Telescopic fork,Swinging arm suspension ,2.75-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seatt,118.0 kg (260.1 pounds),,,140.0 km/h (87.0 mph),18.0 HP (13.1  kW)) @ 7500 RPM,160 mm (6.3 inches),0.1525 HP/kg,,2000 mm (78.7 inches),800 mm (31.5 inches),1320 mm (52.0 inches),,,,,Forced wet sump,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1960,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,12.87 litres (3.40 US gallons),,101.0 km/h (62.8 mph),24.0 HP (17.5  kW)) @ 4400 RPM,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),,,,,,,,,,,,,,,,,,,,,,
Mustang Thoroughbred,1960,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",320.0 ccm (19.53 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Sidevalves,,,4-speed,,,,,Swingarm ,,,,,Spoked,Dual ,,,,97.0 km/h (60.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,Overhead Valves (OHV),,,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,27.0 HP (19.7  kW)) @ 6300 RPM,,,,,,1400 mm (55.1 inches),,,,,Dry sump,,,,,,,,,,,,,,,,,
Maico Maicoletta 277,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,71.0 x 70.0 mm (2.8 x 2.8 inches),Carburettor,,,,,Chain   (final drive),,Tubular steel,Telescopic,Swingarm-coil springs-dampers,,,Expanding brake (drum brake). 6.5 ,Expanding brake (drum brake),Spoked,Dual ,146.0 kg (321.9 pounds),,,,,,,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta 247,1960,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,67.0 x 70.0 mm (2.6 x 2.8 inches),,,,,,Chain   (final drive),Enclosed ,,Telescopic,Swingarm ,,,Expanding brake (drum brake). 6.5mm,Expanding brake (drum brake),Spoked,Dual ,,,,109.0 km/h (67.7 mph),14.0 HP (10.2  kW)) @ 5100 RPM,,,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,,,,,,,,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,
Ardie BZ 350 D,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",6.8:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor,,Magneto,Air,4-speed,Chain   (final drive),,,Hydraulic telescopic,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,161.0 kg (354.9 pounds),15.00 litres (3.96 US gallons),Kick,130.0 km/h (80.8 mph),,180 mm (7.1 inches),,1015 mm (40.0 inches),2090 mm (82.3 inches),680 mm (26.8 inches),,,,,,,,,,,,,,,,,,,,,,,
NSU Prima III K,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor,,,Air,,Shaft drive (cardan)   (final drive),,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,131.0 kg (288.8 pounds),12.00 litres (3.17 US gallons),Kick,84.0 km/h (52.2 mph),7.7 HP (5.6  kW)) @ 5200 RPM,,0.0588 HP/kg,965 mm (38.0 inches),1780 mm (70.1 inches),650 mm (25.6 inches),,,,,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,
Maico Maicoletta,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,61.0 x 59.5 mm (2.4 x 2.3 inches),Carburettor,,,,,Chain   (final drive),Enclosed ,Tubular steel,Telescopic,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T100C,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,152.0 kg (335.0 pounds),,,,41.0 HP (29.9  kW)) @ 7200 RPM,,0.2698 HP/kg,,,,,,,,,,,,,,,168.3 kg (371.0 pounds),,,,,,,,,,,
