Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Emission details,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Fuel capacity,Color options,Starter,Valves per cylinder,Fuel control,Ignition,Gearbox,Clutch,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat,"Weight incl. oil, gas, etc",Light,Carrying capacity,Factory warranty,Comments,Engine details,Exhaust system,Wheels,Alternate seat height,Driveline,Overall height,Overall width,Ground clearance,Electrical,Lubrication system,Instruments,Reserve fuel capacity,Oil capacity,Max RPM,Engine oil,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Service interval,"60-140 km/h (37-87 mph), highest gear",Oil filter,Belt teeth,1/4 mile (0.4 km)
Honda NC750X,2021,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",57.8 HP (42.2  kW)) @ 6000 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 4750 RPM,,10.7:1,77.0 x 80.0 mm (3.0 x 3.1 inches),Injection. PGM-FI electronic fuel injection,Liquid,Chain   (final drive),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,120/70-ZR17 ,160/60-ZR17 ,Single disc. ABS. Hydraulic. Two-piston calipers. ,240 mm (9.4 inches),Single disc. ABS. Hydraulic. Single-piston caliper. ,,,"800 mm (31.5 inches) If adjustable, lowest setting.",2210 mm (87.0 inches),1534 mm (60.4 inches),14.10 litres (3.73 US gallons),"Glint Wawe Blue Metallic, Mat Ballistic Black Metallic, Grand Prix Red",Electric,4,Single Overhead Cams (SOHC),Computer controlled digital transistorised with electronic advance,6-speed,2 multiplate wet,Diamond; steel pipe,27.0°,110 mm (4.3 inches),41mm telescopic fork,120 mm (4.7 inches),"Monoshock damper, Pro-Link swingarm",120 mm (4.7 inches),,214.0 kg (471.8 pounds),LED lights front and rear,22-liter utility compartment,,,,,Multi-Spoke Aluminium Cast,,16T/43T; chain,1330 mm (52.4 inches),846 mm (33.3 inches),145 mm (5.7 inches),12V/11.2AH battery.,,,,4.00 litres (4.23 US quarts),,,,,,,,,,,,,,,,,,,,
Arch KRGT-1,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,2032.0 ccm (123.99 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)),164.1 Nm (16.7 kgf-m or 121.0 ft.lbs),,10.8:1,104.8 x 117.5 mm (4.1 x 4.6 inches),Injection,,Chain   (final drive),,,CARB/EPA compliant. Euro 4.,120/70-ZR19 ,240/40-R18 ,Double disc. ABS. 6 piston monobloc radial mount calipers.,266 mm (10.5 inches),Single disc. ABS. Four-piston monobloc radial mount caliper.,244.0 kg (538.0 pounds),0.4917 HP/kg,"706 mm (27.8 inches) If adjustable, lowest setting.",,1727 mm (68.0 inches),18.93 litres (5.00 US gallons),"Blue/silver/red, Red/silver/black, Silver/black/gold",Electric,,Double Overhead Cams/Twin Cam (DOHC),,6-speed,Dry,Tubular steel with a billet aluminum subframe and swingarm.,30.0°,127 mm (5.0 inches),48mm Öhlins forks featuring NIX technology,,"Ohlins / Arch proprietary rear shock with reservoir, hydraulic pre-load adjustment, fully adjustable",,,,LED headlight,,,Custom made at ARCH Motorcycle in Los Angeles.,Black S and S 45 degree V-Twin ,Arch 2-into-1 stainless steel. Yoshimura carbon fiber muffler.,Carbon fiber wheels. Michelin Commander II tires.,,,,,,,,Digital instrumentation,,,,,,,,,,,,,,,,,,,,,,
Fantic XMF 125 Performance,2021,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 9750 RPM,11.8 Nm (1.2 kgf-m or 8.7 ft.lbs) @ 6750 RPM,,8.8:1,52.0 x 58.7 mm (2.0 x 2.3 inches),Carburettor. Mikuni 38,Liquid,Chain   (final drive),,,Euro 5,90/90-21 ,120/90-18 ,Single disc. Wave disc,220 mm (8.7 inches),Single disc. Wave disc,112.0 kg (246.9 pounds),0.1317 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",2110 mm (83.1 inches),1435 mm (56.5 inches),7.50 litres (1.98 US gallons),"Red/white/blue, Yellow/Black",Electric,4,Single Overhead Cams (SOHC),Electronic CDI,6-speed,Wet  multi-disc,Perimeter frame steel CrMo,26.8°,116 mm (4.6 inches),FANTIC ø41mm USD,300 mm (11.8 inches),FANTIC 125– preload regulation,,,,,,,,,,"Aluminium, anodized black, wire spoked",,,1285 mm (50.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Caballero DeLuxe 500,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)) @ 7500 RPM,43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 6000 RPM,,,94.5 x 64.0 mm (3.7 x 2.5 inches),Injection. Throttle body ø 40mm,Liquid,Chain   (final drive),4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,110/80-19 ,140/80-17 ,Single disc. ABS,230 mm (9.1 inches),Single disc. ABS,,,"820 mm (32.3 inches) If adjustable, lowest setting.",2080 mm (81.9 inches),1425 mm (56.1 inches),12.00 litres (3.17 US gallons),Grey,Electric,,Single Overhead Cams (SOHC),,6-speed,Wet  multi-plate,CrMo steel central-tube frame,,,ø41mm upside down,200 mm (7.9 inches),Rebound damping regulation,200 mm (7.9 inches),,150.0 kg (330.7 pounds),,,12 months,Italian Brand,Fantic,Dual exhaust by ARROW,Spoked aluminium wheel,"840 mm (33.1 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW S 1000 XR,2021,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",165.0 HP (120.4  kW)) @ 11000 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 9250 RPM,200.0 km/h (124.3 mph),12.5:1,80.0 x 49.7 mm (3.1 x 2.0 inches),Injection. Electronic Injection,Liquid,Chain   (final drive),6.36 litres/100 km (15.7 km/l or 36.98 mpg),147.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Regulated three-way catalytic converter,120/70-ZR17 ,190/55-ZR17 ,Double disc. ABS. Floating discs. Four-piston fixed calipers. ,265 mm (10.4 inches),Single disc. ABS. Twin piston floating disc. ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",2333 mm (91.9 inches),1548 mm (60.9 inches),20.00 litres (5.28 US gallons),"Light White/Racing Blue Metallic/Racing Red, Racing Red/White Aluminum, Ice Grey",Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Multiplate clutch in oil bath, slipper clutch, self-reinforcing","Aluminium composite bridge frame, partially self-supporting engine",24.9°,116 mm (4.6 inches),"Upside-down telescopic fork 46 mm, compression and rebound stage adjustable",150 mm (5.9 inches),"Aluminium double-sided swing-arm, central spring strut, electronic preload adjuster,  electronic self-adjusting rebound/compression damping",150 mm (5.9 inches),,226.0 kg (498.2 pounds),LED lights,Storage compartment underneath seat,,"Riding Modes Pro (incl. HSC Pro, MSR, ABS Pro  and  DTC). Integrated Pannier Holders.",Titanium valves,,Cast Aluminium,"838 mm (33.0 inches) If adjustable, highest setting.",Chain 17/45,1411 mm (55.6 inches),917 mm (36.1 inches),,"12 V / 9 Ah, maintenance-free battery.",,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,
KSR GRS 125,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.7 HP (7.8  kW)) @ 9000 RPM,,,,,Carburettor,Air,Chain   (final drive),2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,100/80-17 ,130/70-17 ,Single disc,,Single disc,150.0 kg (330.7 pounds),0.0715 HP/kg,,1970 mm (77.6 inches),1300 mm (51.2 inches),7.50 litres (1.98 US gallons),"White, Grey, Black",Electric & kick,,,,5-speed,,,,,Telescopic fork,,Twin shocks,,,,,,,,,,,,SEmi-automatic,1110 mm (43.7 inches),720 mm (28.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Dune 125X Black Edition,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 10750 RPM,,106.0 km/h (65.9 mph),,,,Liquid,,2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Single disc,,Single disc,136.0 kg (299.8 pounds),0.1085 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",2180 mm (85.8 inches),,,"Black, White",Electric & kick,,,ECU,,,,,,,,,,,,,,,,,,,,,1445 mm (56.9 inches),795 mm (31.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Vision 110                                             ,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,109.5 ccm (6.68 cubic inches),"Single cylinder, four-stroke",8.7 HP (6.4  kW)) @ 7500 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 5500 RPM,,10.0:1,47.0 x 63.1 mm (1.9 x 2.5 inches),Injection. PGM-FI electronic fuel injection,Air,Belt   (final drive),1.52 litres/100 km (65.8 km/l or 154.75 mpg),35.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,80/90-16 ,90/90-14 ,Single disc. Hydraulic. ,130 mm (5.1 inches),Expanding brake (drum brake),,,"785 mm (30.9 inches) If adjustable, lowest setting.",1925 mm (75.8 inches),1280 mm (50.4 inches),5.50 litres (1.45 US gallons),"Candy Noble Red, Matt Galaxy Black Metallic, Pearl Jasmine White, Poseideon Black Metallic",Electric,2,Overhead Cams (OHC),Full-transistor battery ignition,Automatic,Automatic Centrifugal Clutch Dry Type,"Underbone, pressed steel",27.0°,70 mm (2.8 inches),Telescopic forks with hydraulic damping,70 mm (2.8 inches),Unit swingarm,80 mm (3.1 inches),2-person seat,100.0 kg (220.5 pounds),,Underseat storage,,Keyless.,,,5-spoke cast aluminium,,V-Belt,1115 mm (43.9 inches),686 mm (27.0 inches),120 mm (4.7 inches),12V-6Ah battery.,,LCD instrumentation,,0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,,,,
Viarelli Agrezza 250,2021,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",12.8 HP (9.3  kW)) @ 7000 RPM,,90.0 km/h (55.9 mph),9.0:1,,Carburettor,Air,Chain   (final drive),,,,,,Double disc,,Single disc,149.0 kg (328.5 pounds),0.0859 HP/kg,,,1200 mm (47.2 inches),9.00 litres (2.38 US gallons),Black/orange,Electric,2,,CDI,4-speed,,"Underbone, steel",,,Telescopic fork,,"Monoshock, adjustable",,,,,,,Swedish ownws brand. Bikes made in China.,Loncin engine,,Aluminium alloy,,,,,100 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Vervemoto Tracker 250i,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",25.0 HP (18.2  kW)),22.0 Nm (2.2 kgf-m or 16.2 ft.lbs),,9.5:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Injection,Liquid,Chain   (final drive),,,,4.10-18 ,4.60-17 ,Single disc,210 mm (8.3 inches),Single disc,140.0 kg (308.6 pounds),0.1786 HP/kg,,2120 mm (83.5 inches),,12.00 litres (3.17 US gallons),"Matte White, Matte Black",Electric,,,CDI,6-speed,,,,,Upside-down fork ,,Single shock,,Dual seat,,,,,Italian brand.,,,,"820 mm (32.3 inches) If adjustable, highest setting.",,1140 mm (44.9 inches),830 mm (32.7 inches),,,,,2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,
Honda FourTrax Rincon,2021,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,675.0 ccm (41.19 cubic inches),"Single cylinder, four-stroke",,,,,102.0 x 82.6 mm (4.0 x 3.3 inches),"Injection. Electronic fuel injection (PGM-FI), 40mm throttle bodies",Liquid,Shaft drive (cardan)   (final drive),,,Catalytic converter,25/8-12 ,25/10-12 ,Double disc. Hydraulic. ,180 mm (7.1 inches),Single disc. Hydraulic. ,298.0 kg (657.0 pounds),,"876 mm (34.5 inches) If adjustable, lowest setting.",2113 mm (83.2 inches),1290 mm (50.8 inches),16.65 litres (4.40 US gallons),Red,Electric & kick,,Overhead Valves (OHV),Full-transistorized type with electronic advance,3-speed,,,,,Independent double-wishbone,175 mm (6.9 inches),Independent double-wishbone,203 mm (8.0 inches),,,,Front and rear rack.,One year. Unlimited milage. Transferable.,Model ID: TRX680FA.,Longitudinally mounted engine.,,,,Direct front and rear driveshafts with TraxLok® and torque-sensitive front differential,1206 mm (47.5 inches),1188 mm (46.8 inches),231 mm (9.1 inches),,Semi-dry sump,,4.54 litres (1.20 US gallons),,,,,,,,,,,,,,,,,,,,,
Kawasaki Z H2,2021,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",,137.0 Nm (14.0 kgf-m or 101.0 ft.lbs),,11.2:1,76.0 x 55.0 mm (3.0 x 2.2 inches),Injection. DFI® with 40mm Keihin throttle bodies. Supercharged.,Liquid,Chain   (final drive),,,,120/70-17 ,190/55-17 ,Double disc. Dual semi-floating petal discs. ABS. ,250 mm (9.8 inches),Single disc. Single-piston. ABS.,,,"831 mm (32.7 inches) If adjustable, lowest setting.",2085 mm (82.1 inches),1455 mm (57.3 inches),18.93 litres (5.00 US gallons),"Metallic Diablo Black/Metallic Flat Spark Black
",Electric,4,Double Overhead Cams/Twin Cam (DOHC),TCBI with electronic advance,6-speed,"Wet multi-disc, manual","Trellis, high tensile steel",24.9°,104 mm (4.1 inches),"Showa SFF-BP Fork with Adjustable Compression and Rebound Damping, Spring Preload Adjustability",120 mm (4.7 inches),"Uni-Trak®, Showa Gas-Charged Shock with Adjustable Compression and Rebound Damping, Preload Adjustability",135 mm (5.3 inches),,239.0 kg (527.0 pounds),LED Lighting,,12 Month Limited Warranty,Cruise control. Traction control. Smartphone Connectivity.,,,,,Sealed chain,1138 mm (44.8 inches),810 mm (31.9 inches),140 mm (5.5 inches),,,TFT Instrumentation,,,,,,,,,,,,,,,,,,,,,,
Vespa Primavera 125 S,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8000 RPM,10.4 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 6750 RPM,95.0 km/h (59.0 mph),,52.0 x 58.6 mm (2.0 x 2.3 inches),Injection,Air,Belt   (final drive),2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,110/70-12 ,120/70-12 ,Single disc. ABS front wheel only.,140 mm (5.5 inches),Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1870 mm (73.6 inches),1340 mm (52.8 inches),8.00 litres (2.11 US gallons),Blue,Electric,3,Single Overhead Cams (SOHC),,Automatic,Automatic dry centrifugal with shock absorbers,Sheet steel shell with welded structural reinforcements,,,Single arm with helical spring and hydraulic shock absorber,,Helical spring with adjustable preload (4 positions) and single hydraulic shock absorber,,,,Front and rear LED lighting,Underseat storage,2-year unlimited-mileage warranty. ,,,,Cast aluminium alloy,,CVT automatic with torque server,,735 mm (28.9 inches),,,,TFT display,,,,,,,,,,,,,,,,,,,,,,
Kymco Agility 50,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,3.3 Nm (0.3 kgf-m or 2.4 ft.lbs) @ 7000 RPM,,11.0:1,39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor,Air,Shaft drive (cardan)   (final drive),2.70 litres/100 km (37.0 km/l or 87.12 mpg),62.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),105.5 kg (232.6 pounds),,"737 mm (29.0 inches) If adjustable, lowest setting.",1829 mm (72.0 inches),1326 mm (52.2 inches),4.92 litres (1.30 US gallons),"Black/Red, Black/Orange",Electric & kick,,,,5-speed,,Steel,,,Telescopic fork,,Mono Shock,,,,,,Two Year Limited Factory Warranty,"Kymco is made by Kwang Yang Motor Company, Taiwan.",,,,,CVT automatic,1130 mm (44.5 inches),691 mm (27.2 inches),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z125L,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),Carburettor. Mikuni VM20SS,Air,Chain   (final drive),,,,70/100-19 ,90/100-16 ,Single disc,,Expanding brake (drum brake),,,"805 mm (31.7 inches) If adjustable, lowest setting.",1855 mm (73.0 inches),1270 mm (50.0 inches),,Champion Yellow,Kick,,Single Overhead Cams (SOHC),CDI,5-speed,Wet multi-plate,Steel pipe frame and rear beam-style swingarm,,,"Telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,,89.0 kg (196.2 pounds),,,6-month unlimited mileage limited warranty. ,,,,"Aluminum rims, wire spoked",,"Chain, DID 428HG, 130 links",1110 mm (43.7 inches),770 mm (30.3 inches),,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
Beta Evo 80 Junior,2021,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,79.6 ccm (4.86 cubic inches),"Single cylinder, two-stroke",,,,14.7:1,48.0 x 40.8 mm (1.9 x 1.6 inches),Carburettor. Dell´Orto PHBG 21,Liquid,Chain   (final drive),,,,2.5-19 ,3.5-17 ,Single disc,150 mm (5.9 inches),Single disc,,,"620 mm (24.4 inches) If adjustable, lowest setting.",1850 mm (72.8 inches),1210 mm (47.6 inches),2.50 litres (0.66 US gallons),"Red, White",,,,HIDRIA ,6-speed,Wet  multi-disc,Steel,,,Hydraulic fork with ø 33 mm shaft,160 mm (6.3 inches),Monoshock with adjustable spring preload,146 mm (5.7 inches),,,,,,,,,,,,1070 mm (42.1 inches),720 mm (28.3 inches),300 mm (11.8 inches),,"Mix with fuel 1,5 % synthetic oil",,0.50 litres (0.13 US gallons),,,,,,,,,,,,,,,,,,,,,
BMW G 310 R,2021,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,313.0 ccm (19.10 cubic inches),"Single cylinder, four-stroke",33.5 HP (24.5  kW)) @ 9500 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 7500 RPM,143.0 km/h (88.9 mph),10.9:1,80.0 x 62.1 mm (3.1 x 2.4 inches),Injection,Liquid,,3.33 litres/100 km (30.0 km/l or 70.64 mpg),77.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-loop 3-way catalytic converter, emission standard EU-4",110/70-R17 ,150/60-R17 ,"Single disc. 4-piston fixed caliper, radially bolted. ABS.",240 mm (9.4 inches),Single disc. Single-piston floating caliper. ABS.,158.5 kg (349.4 pounds),0.2115 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",2005 mm (78.9 inches),1380 mm (54.3 inches),11.00 litres (2.91 US gallons),"Pearl White Metallic, Cosmic Black, Racing Red",Electric,,Double Overhead Cams/Twin Cam (DOHC),,,Wet multi-disc,Tubular space,,,"Upside-down telescopic fork, Ø 41mm",,Cast aluminium dual swing arm,,,,,,,,,,Cast aluminum wheels,,,1080 mm (42.5 inches),849 mm (33.4 inches),,,,,1.00 litres (0.26 US gallons),,,,,,,,,,,,,,,,,,,,,
Yamaha XSR900SP,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,847.0 ccm (51.68 cubic inches),"In-line three, four-stroke",113.5 HP (82.8  kW)) @ 10000 RPM,87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 8500 RPM,,11.5:1,78.0 x 59.1 mm (3.1 x 2.3 inches),Injection,Liquid,Chain   (final drive),5.35 litres/100 km (18.7 km/l or 43.97 mpg),124.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,EU4 compliant,120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Hydraulic. ,245 mm (9.6 inches),Single disc. ABS. Hydraulic. ,,,"830 mm (32.7 inches) If adjustable, lowest setting.",2075 mm (81.7 inches),1440 mm (56.7 inches),14.00 litres (3.70 US gallons),80 Black,Electric,4,Double Overhead Cams/Twin Cam (DOHC),TCI,6-speed,Multiplate assist-and-slipper wet clutch,Diamond,25.0°,103 mm (4.1 inches),"41mm inverted fork, adjustable preload and rebound damping",137 mm (5.4 inches),"Single shock, adjustable preload and rebound damping",130 mm (5.1 inches),Single-piece stepped saddle,195.0 kg (429.9 pounds),,,1 Year Limited Factory Warranty.,Traction Control.,Crossplane crankshaft,,10-spoke cast aluminum,,,1140 mm (44.9 inches),815 mm (32.1 inches),135 mm (5.3 inches),,Wet sump,LCD panel,,3.40 litres (3.59 US quarts),,,,,,,,,,,,,,,,,,,,
Derbi Senda 50 SM Limited,2021,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,11.5:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor. DELL´ORTO PHVA 17.5 carburettor,Liquid,Chain   (final drive),3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,100/80-17 ,130/70-17 ,Single disc. Dual piston floating calliper ,220 mm (8.7 inches),Single disc,,,"875 mm (34.4 inches) If adjustable, lowest setting.",2055 mm (80.9 inches),1395 mm (54.9 inches),7.00 litres (1.85 US gallons),Black,Kick,,,CDI,6-speed,Wet Multiplate,Twin beam,,,Upside down,240 mm (9.4 inches),"Aluminium alloy fork, single shock absorber with progressive link system",200 mm (7.9 inches),,104.0 kg (229.3 pounds),,,,,,,,,,,840 mm (33.1 inches),,12V 4Ah battery,Oil pump,,1.00 litres (0.26 US gallons),1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,
Kymco Maxxer 450i,2021,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,443.0 ccm (27.03 cubic inches),"Single cylinder, four-stroke",31.5 HP (23.0  kW)) @ 7500 RPM,33.8 Nm (3.4 kgf-m or 24.9 ft.lbs) @ 6500 RPM,,,89.0 x 71.2 mm (3.5 x 2.8 inches),Injection. EFI,Liquid,Belt   (final drive),,,,23/8-12 ,23/10-12 ,Double disc,,Single disc,274.0 kg (604.0 pounds),0.1150 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",1905 mm (75.0 inches),1224 mm (48.2 inches),15.00 litres (3.96 US gallons),Gold,Electric,,Single Overhead Cams (SOHC),,Automatic,,Pipe Under Bone,,,Independent Dual A­arm ,,Independent Dual A­arm ,,,,,,One-Year Limited Factory Warranty,,,,Aluminum Alloy Wheels,,CVT Automatic H-L-N-R-P w/Engine Braking,1210 mm (47.6 inches),1230 mm (48.4 inches),259 mm (10.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,
AJS Modena 125,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",7.1 HP (5.2  kW)) @ 7500 RPM,7.5 Nm (0.8 kgf-m or 5.5 ft.lbs) @ 6500 RPM,88.5 km/h (55.0 mph),9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor. Delphi,Air,Belt   (final drive),2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),95.0 kg (209.4 pounds),0.0748 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",1885 mm (74.2 inches),1360 mm (53.5 inches),4.60 litres (1.22 US gallons),"Black/White, Red/White, Blue/White, Black, White, Blue, Grey, Orange",Electric & kick,,,,Automatic,Coil CDI,Steel,,,Telescopic fork,,Swing arm,,,,,,12 months parts and labour,UK brand.,,,,,Automatic Twist and Go,1090 mm (42.9 inches),770 mm (30.3 inches),,12V 7Ah battery.,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 650 KRT Edition,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",52.3 HP (38.2  kW)) @ 8000 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 4000 RPM,,10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),Injection. DFI® with dual 36mm Keihin throttle bodies,Liquid,Chain   (final drive),,,,120/70-17 ,160/60-17 ,Double disc. Petal discs and two-piston calipers. Optional ABS.                                  ,220 mm (8.7 inches),Single disc. Petal disc and single piston caliper. Optional ABS.                               ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",2055 mm (80.9 inches),1410 mm (55.5 inches),15.14 litres (4.00 US gallons),Lime Green/Ebony,Electric,2,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,6-speed,Assist  and  Slipper Clutch,"Tubular, diamond",24.0°,99 mm (3.9 inches),41mm hydraulic telescopic fork,124 mm (4.9 inches),Horizontal back-link with adjustable spring preload,130 mm (5.1 inches),,192.1 kg (423.4 pounds),Dual LED headlamp,,12 Month Limited Warranty,Small windscreen. Kawasaki Racing Team (KRT) color  and  graphics.,,,Dunlop Sportmax Roadsport 2 tires,,Sealed chain,1146 mm (45.1 inches),739 mm (29.1 inches),130 mm (5.1 inches),,"Forced lubrication, semi-dry sump",TFT Instrumentation,,,,,,,,,,,,,,,,,,,,,,
