Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Rear suspension,Front tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Engine details,Gearbox,Clutch,Driveline,Frame type,Front suspension,Rear tire,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Oil capacity,Color options,Electrical,Seat height,Top speed,Carrying capacity,Comments,Diameter,Fuel consumption,Greenhouse gases,Torque,Max RPM,Exhaust system,Valves per cylinder,Light
Ariel 4G Square Four Mark II,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,45.0 HP (32.8  kW)) @ 5500 RPM,6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Overhead Valves (OHV),,Dry sump with dual oil pump.,Air,Chain   (final drive),Plunger-link spring,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,193.0 kg (425.5 pounds),0.2332 HP/kg,,2083 mm (82.0 inches),,16.00 litres (4.23 US gallons),Kick,Double twin cylinder arranged as a square. ,4-speed,,,Tubular single loop,Oil damped telescopic fork,4.00-18 ,,,1422 mm (56.0 inches),3.40 litres (3.59 US quarts),Red/chrome,,,160.0 km/h (99.4 mph),,"Also called ´Squariel´. Designed by Edward Turner. Mark II has separate barrels, a re-designed cylinder head with four separate exhaust pipes from two cast-aluminium manifolds and a rocker-box combined with the inlet manifold.",178 mm (7.0 inches),,,,,,2,30 Watt headlamp.
Ariel MK2 Square Four,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Overhead Valves (OHV),,,,Chain   (final drive),,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,2100 mm (82.7 inches),,23.00 litres (6.08 US gallons),,,,,,Tubular single loop,,4-18 ,,,1422 mm (56.0 inches),,,,,,,,,,,,,,,
Hercules 316,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 4000 RPM,6.1:1,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,,Magneto Bosch,,,,Rigid,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,74.0 kg (163.1 pounds),0.0405 HP/kg,,,,11.00 litres (2.91 US gallons),Kick,,,,,,,2.50-19 ,,,,,,,,60.0 km/h (37.3 mph),,,,,,,,,,
Maico Maicoletta 247,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 5100 RPM,,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,,,Chain   (final drive),Swingarm ,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),12.00 litres (3.17 US gallons),,,,Enclosed ,,,Telescopic,,,,,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",109.0 km/h (67.7 mph),,,165 mm (6.5 inches),4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,
NSU Lux,1954,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5250 RPM,6.0:1,62.0 x 66.0 mm (2.4 x 2.6 inches),Carburettor. Bing,,,,Air,,,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,135.0 kg (297.6 pounds),0.0815 HP/kg,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),11.50 litres (3.04 US gallons),Kick,,,,,,,3-19 ,,,,,,,,,,,,,,,,,,
NSU Superlux,1954,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5250 RPM,6.0:1,62.0 x 66.0 mm (2.4 x 2.6 inches),Carburettor. Bing,,,,Air,,,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,152.0 kg (335.1 pounds),0.0724 HP/kg,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),14.00 litres (3.70 US gallons),Kick,,,,,,,3-19 ,,,,,,,,100.0 km/h (62.1 mph),,,,,,,,,,
Lambretta LD 150 series 2,1954,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 4750 RPM,6.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,Contact breaker  and  points,,Air,,,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,88.0 kg (194.0 pounds),0.0739 HP/kg,,,,,,,3-speed,3 speed- hand changed,,Tubular steel,,4-8 ,,,,,,,,78.9 km/h (49.0 mph),,,,,,,,,,
Cushman Eagle,1954,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,,Belt   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,,84.0 km/h (52.2 mph),,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,
BSA M 21,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 4000 RPM,,82.0 x 112.0 mm (3.2 x 4.4 inches),Carburettor,Sidevalves,Magneto,,,Chain   (final drive),Twin shock,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,180.0 kg (396.8 pounds),0.0833 HP/kg,,,,11.36 litres (3.00 US gallons),Kick,,,Wet multiplate,,Single cradle,Hydraulic telescopic,3.25-19 ,,,,,,,,,,,,,,,,,,
Lambretta 125F,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",3.8 HP (2.8  kW)) @ 4500 RPM,6.3:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto MU 14B1,,Contact breaker  and  points,5%,Air,,,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,59.9 kg (132.0 pounds),0.0635 HP/kg,,,,,Electric,,3-speed,3 speed- hand changed,,Tubular steel,,4-8 ,,,,,,,,70.8 km/h (44.0 mph),,,,,,,,,,
Hercules 319,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",9.0 HP (6.6  kW)) @ 5250 RPM,,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor,,,,Air,Chain   (final drive),,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two seats,116.0 kg (255.7 pounds),0.0776 HP/kg,,,,,Kick,,,,,Single cradle,Telescopic,3-19 ,,,,,,,,90.0 km/h (55.9 mph),,,,,,,,,,
Heinkel A0 Series 101,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, two-stroke",,,59.0 x 54.4 mm (2.3 x 2.1 inches),Carburettor,,,,Air,,,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,129.0 kg (284.4 pounds),,980 mm (38.6 inches),1980 mm (78.0 inches),710 mm (28.0 inches),,,,,,,,,4-8 ,,,1330 mm (52.4 inches),,,,,,,,,,,,,,,
NSU 125ZB,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.4 HP (3.9  kW)) @ 5300 RPM,6.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing,,,,,Chain   (final drive),,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,900 mm (35.4 inches),1910 mm (75.2 inches),690 mm (27.2 inches),8.00 litres (2.11 US gallons),Kick,,,,,,,2.50-19 ,,,,,,,,83.0 km/h (51.6 mph),,,,,,,,,,
Hercules 313 Starr,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 4700 RPM,,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. Sachs 18mm,,,,Air,Chain   (final drive),Rigid,2.75-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,90.0 kg (198.4 pounds),0.0722 HP/kg,,,,11.00 litres (2.91 US gallons),Kick,,,,,,Telescopic,2.75-19 ,,,,,,,,85.0 km/h (52.8 mph),,,,,,,,,,
Adler MB 250 RS,1954,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",,5.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,Coil,,Air,Chain   (final drive),,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,12.00 litres (3.17 US gallons),,,,,,Doble tubular,,3.25-16 ,,,1257 mm (49.5 inches),,,,,169.0 km/h (105.0 mph),,,,,,,,,,
BSA Daytona Replica,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",31.0 HP (22.6  kW)) @ 6000 RPM,,,,Overhead Valves (OHV),,,Air,,Rigid,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,Four speed ,,,Telescopic fork,,,,,,,,,,,,,,,,,,,
Peugeot S157,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",6.6 HP (4.8  kW)) @ 4500 RPM,6.5:1,56.0 x 60.0 mm (2.2 x 2.4 inches),,,,,Air,Chain   (final drive),Swingarm ,,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,113.4 kg (250.0 pounds),0.0582 HP/kg,,,,6.25 litres (1.65 US gallons),,,,,,Tubular,Traveling link,,,,1270 mm (50.0 inches),,,,,89.0 km/h (55.3 mph),,,,,,,,,,
Ariel FH 650,1954,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 5600 RPM,6.5:1,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor. Amal,Overhead Valves (OHV),Magneto,"Dry sump, two pumps",Air,Chain   (final drive),Dual coil springs,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),"Steel, wire spokes",,181.0 kg (399.0 pounds),0.1934 HP/kg,,,,15.14 litres (4.00 US gallons),Kick,BSA A10 engine,4-speed,,,"Duplex down tubes, swingarm","Telescopic fork, hydraulic",3.50-19 ,,140 mm (5.5 inches),1422 mm (56.0 inches),2.30 litres (2.43 US quarts),Red,,"787 mm (31.0 inches) If adjustable, lowest setting.",148.9 km/h (92.5 mph),,,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Twin pipe,,
Ariel LH 200 Colt,1954,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 5600 RPM,7.5:1,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor,Overhead Valves (OHV),Battery/coil,,Air,Chain   (final drive),Plungers,2.75-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,,123.0 kg (271.2 pounds),0.0813 HP/kg,,2030 mm (79.9 inches),,11.00 litres (2.91 US gallons),Kick,,4-speed,Multiple dry plate,,Semi double cradle,Telescopic hydraulic fork,2.75-19 ,,,,,,6 Volt system,,100.0 km/h (62.1 mph),,,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,1-into-1 pipes,,
BSA A7 Shoting Star,1954,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",19.7 HP (14.4  kW)) @ 6000 RPM,6.6:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,,Lucas magneto,,Air,,Twin shock,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,193.0 kg (425.5 pounds),0.1021 HP/kg,,2180 mm (85.8 inches),,19.00 litres (5.02 US gallons),Kick,,,Wet multiplate,,Single cradle,Hydralic telescopic forks,3.25-19 ,,,1391 mm (54.8 inches),,,,,168.0 km/h (104.4 mph),,,,,,,,,,
BMW R25 3,1954,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",13.1 HP (9.5  kW)) @ 5800 RPM,7.1:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),Battery,Wet sump ,Air,Shaft drive (cardan)   (final drive),Telscopic,3.27-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,,,710 mm (28.0 inches),2065 mm (81.3 inches),760 mm (29.9 inches),12.00 litres (3.17 US gallons),Kick,,4-speed,Single plate dry-cable operated,,Closed steel loop-welded,Cartridge,3.27-18 ,150.0 kg (330.7 pounds),92 mm (3.6 inches),1335 mm (52.6 inches),,,,"730 mm (28.7 inches) If adjustable, lowest setting.",88.0 km/h (54.7 mph),320kg,,160 mm (6.3 inches),2.90 litres/100 km (34.5 km/l or 81.11 mpg),67.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,
Adler M 200,1954,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Twin, two-stroke",11.0 HP (8.0  kW)) @ 5450 RPM,5.8:1,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor,,,,Air,Chain   (final drive),Dual chocks,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,130.0 kg (286.6 pounds),0.0846 HP/kg,,,,,Kick,,4-speed,Wet multiplate,,Semi double cradle,Plunger shocks,,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 65 Turismo,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,64.0 ccm (3.91 cubic inches),"Single cylinder, two-stroke",,5.5:1,42.0 x 46.0 mm (1.7 x 1.8 inches),Carburettor. DellÓrto,,,,Air,Chain   (final drive),,2.25-20 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single seat,55.0 kg (121.3 pounds),,910 mm (35.8 inches),1900 mm (74.8 inches),700 mm (27.6 inches),,Kick,,,Wet multiplate,,,Telescopic,2.25-20 ,,,,,,,,56.0 km/h (34.8 mph),,,,,,,,,,
Zündapp KS 601,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",28.0 HP (20.4  kW)) @ 4700 RPM,,75.0 x 67.6 mm (3.0 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),,,Air,Shaft drive (cardan)   (final drive),,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,224.0 kg (493.8 pounds),0.1250 HP/kg,,,,,Kick,,4-speed,,,,Telescopic,3.50-19 ,,,,,,,,140.0 km/h (87.0 mph),,,,,,,,,,
Victoria Peggy,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5000 RPM,6.5:1,65.0 x 60.0 mm (2.6 x 2.4 inches),Carburettor,,,,,Chain   (final drive),,,,,,Dual ,,,,,,,Electric,,,,,Duplec cradle,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Galetto,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Overhead Valves (OHV),,,,Chain   (final drive),,2.75-17 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,110.0 kg (242.5 pounds),,,,,,Kick,,4-speed,Multiplate,,,Telescopic,3-17 ,,,,,,,,,,,,,,,,,,
DKW RT 250 2,1954,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",14.1 HP (10.3  kW)),,70.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor. Bing ,,,,Air,Chain   (final drive),None,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,143.0 kg (315.3 pounds),0.0986 HP/kg,,,,,,,,,,,Telescopic ,3.25-19 ,,,,,,,,108.0 km/h (67.1 mph),,,160 mm (6.3 inches),,,,,,,
Triumph Speed Twin ,1954,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,Overhead Valves (OHV),,,,Chain   (final drive),Rigid-optional sprung hub,,Expanding brake (drum brake),Expanding brake (drum brake),,,158.8 kg (350.0 pounds),0.1701 HP/kg,,,,,,360 degree paprallel,,,,,Telescopic,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,
Velocette Mac ,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Overhead Valves (OHV),,,Air,Chain   (final drive),,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,161.0 kg (354.9 pounds),0.1118 HP/kg,,,,,,,4-speed,,,,,3.50-19 ,,,1276 mm (50.2 inches),,,,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,152 mm (6.0 inches),,,,,,,
AJS 16M,1954,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 5600 RPM,,,Carburettor. Amal,Overhead Valves (OHV),,,Air,Chain   (final drive),Swinging arm ,19-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,173.0 kg (381.4 pounds),0.0925 HP/kg,,,,,,,,,,,Teledraulic fork,19-19 ,,,1400 mm (55.1 inches),,,,"810 mm (31.9 inches) If adjustable, lowest setting.",126.0 km/h (78.3 mph),,,,,,,,,,
Zündapp KS 601 Kardan Sport,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,,,Carburettor. Bing ,Overhead Valves (OHV),,,Air,Shaft drive (cardan)   (final drive),,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,216.0 kg (476.2 pounds),0.1574 HP/kg,,,,14.50 litres (3.83 US gallons),Kick,,4-speed,,,Tubular,Telescopic,3.50-19 ,,,,,,,,140.0 km/h (87.0 mph),,,,,,,,,,
AJS Model 16 350MS,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Bobine,Wet sump ,Air,Chain   (final drive),Rigid,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,170.0 kg (374.8 pounds),0.1059 HP/kg,,2190 mm (86.2 inches),710 mm (28.0 inches),13.50 litres (3.57 US gallons),Kick,,4-speed,Wet multiplate,,Duplex steel cradle,Catrigde,3.25-19 ,,,1422 mm (56.0 inches),,,,,,,,,,,,,,,
DKW RT 125 2H,1954,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.7 HP (4.2  kW)) @ 5000 RPM,6.5:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,Magneto,,Air,Chain   (final drive),None,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,660 mm (26.0 inches),1959 mm (77.1 inches),660 mm (26.0 inches),,Kick,,3-speed,Wet multiplate,,Single cradle,Telescopic fork,2.50-19 ,,,,,,,,84.0 km/h (52.2 mph),,,,,,,,,,
Simplex Automatic,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 4000 RPM,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor,Overhead Valves (OHV),Magneto,,,Belt   (final drive),Rigid,2.50-26 ,,,,,61.2 kg (135.0 pounds),0.0653 HP/kg,,,,9.46 litres (2.50 US gallons),,,,,,Duplex loop,Short rocker arms and two coil springs,2.50-26 ,,,1194 mm (47.0 inches),,,,,,,,,,,,,,,
Zündapp DB 205 Elastic 200,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",9.5 HP (6.9  kW)) @ 4700 RPM,,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor,,,,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,95.0 km/h (59.0 mph),,,,,,,,,,
Zündapp DB 255 Elastic 250,1954,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 5200 RPM,,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,,,,Two schock,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,147.0 kg (324.1 pounds),0.0884 HP/kg,,,,14.70 litres (3.88 US gallons),,,,,,,Telescopic,3.25-19 ,,,,,,,,100.0 km/h (62.1 mph),,,,,,,,,,
Rikuo RT 2,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,Carburettor. Linkert,Sidevalves,Generator and battery,,Air,,,,,,,Spring-mounted seat,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,4-speed,Four speed ,,,Telescopic,,,,,,,,,,,,,,,,,,,
Hercules 317,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5000 RPM,,62.0 x 66.0 mm (2.4 x 2.6 inches),Carburettor. Bing 26mm,,,,Air,Chain   (final drive),,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two ,120.0 kg (264.6 pounds),0.0917 HP/kg,,,,,Kick,,,,,Single cradle,Telescopic,3-19 ,,,,,,,,95.0 km/h (59.0 mph),,,,,,,,,,
Norton Manx,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",47.0 HP (34.3  kW)) @ 6500 RPM,,,Carburettor. NA,Double Overhead Cams/Twin Cam (DOHC),,,Air,Chain   (final drive),Swingarm ,,Expanding brake (drum brake),Expanding brake (drum brake),,,140.0 kg (308.6 pounds),0.3357 HP/kg,,,,,,,,,,Steel,Telescopic fork,,,,1400 mm (55.1 inches),,,,,210.0 km/h (130.5 mph),,,,,,,,,,
NSU Max ,1954,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 5800 RPM,,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Bing,,,,Air,Chain   (final drive),,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,150.0 kg (330.7 pounds),0.1000 HP/kg,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,Kick,,4-speed,,,,,3.25-19 ,,,,,,,,115.0 km/h (71.5 mph),,,,,,,,,,
Victoria Bergmeister,1954,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",345.0 ccm (21.05 cubic inches),"V2, four-stroke",21.0 HP (15.3  kW)) @ 6300 RPM,7.5:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Carburettor,,,,Air,Shaft drive (cardan)   (final drive),Twin shock,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual seat,,,,,,,Kick,,,Dry plate,,Duplex cradle,Hydralic telescopic forks,3.25-19 ,,127 mm (5.0 inches),,,,,,,,,,,,,,,,
Triumph Tiger Cub T 20,1954,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Overhead Valves (OHV),,Dry sumpy,Air,Chain   (final drive),Swingarm with coil-over shocks,,Expanding brake (drum brake),Expanding brake (drum brake),,,113.4 kg (250.0 pounds),0.0882 HP/kg,,,,11.36 litres (3.00 US gallons),,Amal monobloc carburettor,,Wet multiplate,,,,,,,1245 mm (49.0 inches),2.40 litres (2.54 US quarts),,,,106.0 km/h (65.9 mph),,,,,,,,,,
Triumph Terrier 150,1954,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",8.3 HP (6.1  kW)) @ 6500 RPM,7.1:1,57.0 x 58.5 mm (2.2 x 2.3 inches),Carburettor. Amal,Overhead Valves (OHV),,,Air,Chain   (final drive),,3-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,,,,,3-16 ,,,,,,,,80.5 km/h (50.0 mph),,,,,,,,,,
Adler M 250 S,1954,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 5590 RPM,5.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,,Air,Chain   (final drive),Two schock,,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,135.0 kg (297.6 pounds),0.1185 HP/kg,,,,,Kick,,4-speed,Wet multiplate,,Semi double cradle,,,,,,,,,,116.0 km/h (72.1 mph),,,180 mm (7.1 inches),,,,,,,
