Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Compression,Seat,Dry weight,Power/weight ratio,Engine details,Seat height,Torque,Electrical,Max RPM,Alternate seat height,Rake (fork angle),Ground clearance,Color options,Comments,0-100 km/h (0-62 mph),Exhaust system,Front wheel travel,Rear wheel travel,Engine oil,Oil capacity,Valves per cylinder,Instruments,Light
Vespa 200 Rally,1969,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, two-stroke",,,,Carburettor. DellÓrto ,Rotary valves,,,Air,4-speed,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),150 mm (5.9 inches),Expanding brake (drum brake),,,,,,1230 mm (48.4 inches),,Electric,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Zündapp 514-320 KS 100,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",8.1 HP (5.9  kW)) @ 6300 RPM,,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,,,,Air,,Chain   (final drive),,,,,Telescopic fork,Swingarm ,2.75-16 ,2.75-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,Kick,,9.0:1,,90.0 kg (198.4 pounds),0.0894 HP/kg,,,,,,,,,,,,,,,,,,,
Zündapp RS 50 Roller Super,1969,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,39.0 x 42.0 mm (1.5 x 1.7 inches),Carburettor. Bing,,,,Air,,,,,,,,,2.50-10 ,2.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 2,1969,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7000 RPM,,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto UB24 BS2,,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Telescopic -Geriani,Swingarm-two shocks,,,Expanding brake (drum brake). Simplex,180 mm (7.1 inches),Expanding brake (drum brake). Simplex,Spoked,,910 mm (35.8 inches),1938 mm (76.3 inches),762 mm (30.0 inches),1321 mm (52.0 inches),17.00 litres (4.49 US gallons),Kick,,8.5:1,Dual ,135.0 kg (297.6 pounds),0.1333 HP/kg,,,,,,,,,,,,,,,,,,,
Triumph Trident 750,1969,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line three, four-stroke",,193.0 km/h (119.9 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,,,Wet multiplate,,,,,,,,Double disc,,Single disc,,,,,,,,Electric,,,,225.0 kg (496.0 pounds),,,,,,,,,,,,,,,,,,,,
Kawasaki W1 SS,1969,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,624.0 ccm (38.08 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,180.0 km/h (111.8 mph),74.0 x 72.6 mm (2.9 x 2.9 inches),Carburettor. Two,Pushrods,Battery,,Air,4-speed,Chain   (final drive),,,,,Telescopic,Swingarm ,3.25-19 ,3.50-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,8.7:1,Dual ,,,,,,,,,,,,,,,,,,,,,
Kawasaki Mach III,1969,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",500.0 ccm (30.51 cubic inches),"In-line three, two-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,195.0 km/h (121.2 mph),60.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8:1,Dual ,174.0 kg (383.6 pounds),0.3448 HP/kg,,,,,,,,,,,,,,,,,,,
Vespa 180 Rally,1969,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",180.7 ccm (11.03 cubic inches),"Single cylinder, two-stroke",10.3 HP (7.5  kW)) @ 5700 RPM,104.8 km/h (65.1 mph),63.5 x 57.0 mm (2.5 x 2.2 inches),Carburettor,,,,Air,4-speed,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),150 mm (5.9 inches),Expanding brake (drum brake),,,,,,1230 mm (48.4 inches),,,,7.7:1,Dual ,106.6 kg (235.0 pounds),0.0966 HP/kg,,,,,,,,,,,,,,,,,,,
BMW R50US,1969,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Steel doble cradle,Cartridge,Twin shock-Swingarm,3.50-18.00 ,4.02-18.00 ,Expanding brake (drum brake). Duplex full hub,200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,,195.0 kg (429.9 pounds),980 mm (38.6 inches),2137 mm (84.1 inches),660 mm (26.0 inches),1427 mm (56.2 inches),17.00 litres (4.49 US gallons),Kick,,7.5:1,,,,,,,,,,,,,,,,,,,,,,
Zündapp C 50 Sport,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,40.0 km/h (24.9 mph),39.0 x 41.0 mm (1.5 x 1.6 inches),Carburettor,,,,,,,,,,,,,"2,75-21 ","2,75-21 ",Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,11.00 litres (2.91 US gallons),,,,Dual ,80.0 kg (176.4 pounds),,,,,,,,,,,,,,,,,,,,
