Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Compression,Fuel control,Ignition,Lubrication system,Clutch,Exhaust system,Frame type,Diameter,Fuel capacity,Color options,Starter,Engine details,Front suspension,Rear suspension,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel consumption,Greenhouse gases,Gearbox,Modifications compared to previous model,Light,Carrying capacity,Valves per cylinder,Comments,Seat height,Oil capacity,Driveline,Electrical
NSU 351 OSL,1939,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5020 RPM,110.0 km/h (68.4 mph),75.0 x 79.0 mm (3.0 x 3.1 inches),Carburettor. Graetzin KE 25/43,Air,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,110.0 kg (242.5 pounds),0.1636 HP/kg,,,,,,,Open double steel,,,,,,,,,940 mm (37.0 inches),2020 mm (79.5 inches),770 mm (30.3 inches),1420 mm (55.9 inches),,,4-speed,,,,,,,,,
NSU 251 OSL,1939,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",10.5 HP (7.7  kW)) @ 5200 RPM,100.0 km/h (62.1 mph),64.0 x 75.0 mm (2.5 x 3.0 inches),Carburettor,Air,Chain   (final drive),3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,126.0 kg (277.8 pounds),0.0833 HP/kg,,,Battery-Bosch,,,,Open double steel,,,,Kick,,,,,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),,,4-speed,,,,,,,,,
Triumph Speed Twin ,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,158.8 kg (350.0 pounds),0.1701 HP/kg,,Overhead Valves (OHV),Lucas altrnator,,,,,,,,,360 degree paprallel,Telescopic,Rigid-optional sprung hub,,,,,1400 mm (55.1 inches),,,,,,,,,,,,
Vincent HRD Series A Rapide,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 5500 RPM,180.0 km/h (111.8 mph),84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. Amal ,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Feridax Dunopillo Dualseat,,,6.8:1,Overhead Valves (OHV),,,,,Brazed lug duplex tubular cradle,,,,,47.5 degree V-twin,Gilder fork with coil over shock,Triangulated swingarm with coil over shocks,206.4 kg (455.0 pounds),,,,1410 mm (55.5 inches),,,4-speed,,,,,,,,,
BMW R35,1939,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",342.0 ccm (20.87 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 3500 RPM,100.0 km/h (62.1 mph),72.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor. SUM CK 9/22,Air,Shaft drive (cardan)   (final drive),3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,,,6.1:1,Overhead Valves (OHV),Batery,Wet sump ,Single plate dry-cable operated,,Steel twin looped,180 mm (7.1 inches),,,Kick,,Cartridge,Rigid,152.0 kg (335.1 pounds),950 mm (37.4 inches),2000 mm (78.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,4-speed,,,,,,,,,
BMW R66,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5300 RPM,145.0 km/h (90.1 mph),69.8 x 78.0 mm (2.7 x 3.1 inches),Carburettor. 26mm,Air,Shaft drive (cardan)   (final drive),3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,6.8:1,Overhead Valves (OHV),Batery,Wet sump ,Dry-single plate-cable operated,,Doble steel loop ,200 mm (7.9 inches),14.00 litres (3.70 US gallons),,Kick,,Cartridge,Twin shock-Swingarm,187.0 kg (412.3 pounds),960 mm (37.8 inches),2130 mm (83.9 inches),815 mm (32.1 inches),1400 mm (55.1 inches),,,4-speed,,,210kg-500kg with sidecar,,,,,,
NSU 351 OT,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,331.0 ccm (20.20 cubic inches),"Single cylinder, four-stroke",12.5 HP (9.1  kW)) @ 5020 RPM,105.0 km/h (65.2 mph),75.0 x 75.0 mm (3.0 x 3.0 inches),Carburettor,Air,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,150.0 kg (330.7 pounds),0.0833 HP/kg,,,,,,,,,12.30 litres (3.25 US gallons),,,,,,,930 mm (36.6 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),,,,,,,,,,,,
Indian 402,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,153.0 km/h (95.1 mph),,Carburettor,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,,,,Twin downtube,,,,,,Trailing link,Rigid,,,,,,,,,,,,,,,,,
NSU 601 OSL,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 4950 RPM,,85.0 x 99.0 mm (3.3 x 3.9 inches),Carburettor. Amal,Air,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,150.0 kg (330.7 pounds),0.1600 HP/kg,,,,,,,,,,,Kick,,,,,,,,1420 mm (55.9 inches),,,,,,,,,,,,
Triumph Speed Twin 5T,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,Overhead Valves (OHV),Battery/ coil,Dry sump,,,,,,,,,Telescopic,Swingarm with coil-over shocks,,,,,1400 mm (55.1 inches),,,,,,,,,,,,
