Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power,Front tire,Rear tire,Wheelbase,Fuel capacity,Top speed,Wheels,Overall length,Overall width,Starter,Modifications compared to previous model,Power/weight ratio,Overall height,Alternate seat height,Driveline,Rake (fork angle),Diameter,Seat height,Ground clearance,Color options,Electrical,Torque,Engine details,Carrying capacity,Comments,Lubrication system,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Light,Valves per cylinder,0-100 km/h (0-62 mph),Exhaust system,Instruments
Puch 250 SGS 67,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,,,,4-speed,Chain   (final drive),,,Telescopic,Swingarm,,,Dual ,150.0 kg (330.7 pounds),16.5 HP (12.0  kW)) @ 5800 RPM,3-16 ,3.50-16 ,,13.00 litres (3.43 US gallons),110.0 km/h (68.4 mph),Spoked,,,,,0.1100 HP/kg,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,,,,,,,,,,
Harley-Davidson FL Duo Glide,1964,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1212.7 ccm (74.00 cubic inches),"V2, four-stroke",7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks.,Expanding brake (drum brake),Expanding brake (drum brake),,304.0 kg (670.2 pounds),55.0 HP (40.1  kW)) @ 7200 RPM,5.00-16 ,5.00-16 ,1500 mm (59.1 inches),14.19 litres (3.75 US gallons),160.0 km/h (99.4 mph),Wire spoked. Whitewall tyres.,,,Kick,,0.1809 HP/kg,,,,,,,,,6 Volt battery.,,Panhead V-twin,Saddlebags. Rear rack.,Windscreen,,,,,,,,,,,
Aermacchi H-D 250 Ala Azzurra,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",7.0:1,,Carburettor,,,Air,,,Wet multiplate,Single cradle,Telescopic ,Swingarm-two shocks,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,Dual ,114.0 kg (251.3 pounds),13.7 HP (10.0  kW)) @ 6500 RPM,2.50-17 ,3-17 ,,,125.0 km/h (77.7 mph),Spoked,1920 mm (75.6 inches),700 mm (27.6 inches),Kick,,0.1202 HP/kg,950 mm (37.4 inches),,,,160 mm (6.3 inches),,,,,,,,,Bobine,,,,,,,,,,
AJS Model 18 500 Statesman,1964,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,86.0 x 85.5 mm (3.4 x 3.4 inches),Carburettor,,Bobine,Air,,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),,172.0 kg (379.2 pounds),28.0 HP (20.4  kW)) @ 5600 RPM,3.25-18 ,3.25-18 ,1397 mm (55.0 inches),,,Spoked,,,Kick,,0.1628 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Bultaco Metralla ,1964,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,,,Wet multiplate,,,,,,Dual ,,,,,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G3 CSR 350,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",8.5:1,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor,,,Air,,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Swinging arm- two shocks-coil springs,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,170.0 kg (374.8 pounds),,3.25-19 ,3.50-19 ,,19.30 litres (5.10 US gallons),129.0 km/h (80.2 mph),Spoked,,,,,,,,,,,,,Black-Red,,,,,,Dry sump,,,,,,,,,,
AJS Model 14 250,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",7.8:1,69.9 x 64.9 mm (2.8 x 2.6 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),Wet multiplate,Open tubular steel,Telescopic,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,149.0 kg (328.5 pounds),17.0 HP (12.4  kW)) @ 7250 RPM,3.25-17 ,3.25-17 ,1345 mm (53.0 inches),12.50 litres (3.30 US gallons),,Spoked,,,Kick,,0.1141 HP/kg,,,,,152 mm (6.0 inches),,,,,,,,,,,,,,,,,,,
BMW R28 Military,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",8.2:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Rubber mounted slide,Overhead Valves (OHV),Centrifugal,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Steel single cradle,Cartridge,Twin shock-Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Spring-mounted seat,,18.0 HP (13.1  kW)) @ 7400 RPM,3.27-18 ,3.27-18 ,1320 mm (52.0 inches),15.00 litres (3.96 US gallons),105.0 km/h (65.2 mph),,2080 mm (81.9 inches),790 mm (31.1 inches),Kick,,,1010 mm (39.8 inches),,,,160 mm (6.3 inches),"785 mm (30.9 inches) If adjustable, lowest setting.",170 mm (6.7 inches),,,,,375kg,,Wet sump ,3.90 litres/100 km (25.6 km/l or 60.31 mpg),90.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,126 mm (5.0 inches),105 mm (4.1 inches),155.0 kg (341.7 pounds),160mm diameter headlamp,,,,
Vincent Sprinter Methamon,1964,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1148.0 ccm (70.05 cubic inches),"V2, two-stroke",,,Carburettor,,,,,,,,,,,,Single ,,,,,,,241.0 km/h (149.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Diana Mark 3,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",8.0:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Carburettor. DellÓrto,Desmodromic valve control,,Air,,Chain   (final drive),,,Telescopic,Dual choks,Expanding brake (drum brake),Expanding brake (drum brake),,135.0 kg (297.6 pounds),24.0 HP (17.5  kW)) @ 7500 RPM,2.75-18 ,3.00-18 ,,13.00 litres (3.43 US gallons),,,,,,,0.1778 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
