Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power,Front tire,Rear tire,Wheelbase,Fuel capacity,Top speed,Wheels,Overall length,Overall width,Starter,Modifications compared to previous model,Power/weight ratio,Overall height,Alternate seat height,Driveline,Rake (fork angle),Diameter,Seat height,Ground clearance,Color options,Electrical,Torque,Engine details,Carrying capacity,Comments,Lubrication system,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Light,Valves per cylinder,0-100 km/h (0-62 mph),Exhaust system,Instruments
Triumph Bonneville T120R Roadster,1964,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Overhead Valves (OHV),Lucas K2F auto-advance Magneto,Air,4-speed,Chain   (final drive),"Multi-plate, wet","Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,165.0 kg (363.8 pounds),46.0 HP (33.6  kW)) @ 6500 RPM,3.25-19 ,4.00-18 ,1403 mm (55.2 inches),15.14 litres (4.00 US gallons),185.0 km/h (115.0 mph),Wire spoked,,,Kick,,0.2788 HP/kg,,,,26.0°,178 mm (7.0 inches),"775 mm (30.5 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Gold/Alaskan White,"Lucas RM19 alternator, 6-volt electrical system",,,,,,,,,,,,,,,Smiths Magnetic gauges
Harley-Davidson XLCH Sportster,1964,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,50.0 HP (36.5  kW)) @ 6300 RPM,,,,,193.1 km/h (120.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta 277,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,71.0 x 70.0 mm (2.8 x 2.8 inches),Carburettor,,,,,Chain   (final drive),,Tubular steel,Telescopic,Swingarm-coil springs-dampers,Expanding brake (drum brake). 6.5 ,Expanding brake (drum brake),Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa Allstate Cruisaire,1964,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,76.0 km/h (47.2 mph),Spoked,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA Super Rocket,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),,186.0 kg (410.1 pounds),,3.25-19 ,3.25-19 ,1391 mm (54.8 inches),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,Wet sump ,,,,,,,,,,
Gilera Ekstra 4,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, four-stroke",,,Carburettor. DellÓrto ,,,Air,4-speed,Chain   (final drive),,,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),,,15.0 HP (10.9  kW)) @ 8000 RPM,3-18 ,3.25-18 ,1330 mm (52.4 inches),19.00 litres (5.02 US gallons),125.0 km/h (77.7 mph),Spoked,2030 mm (79.9 inches),650 mm (25.6 inches),,,,970 mm (38.2 inches),,,,150 mm (5.9 inches),"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,
Moto Guzzi Lodola 175 Gran Turismo,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,,4-speed,Chain   (final drive),Wet multiplate,,Telescopic fork,,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,109.0 kg (240.3 pounds),11.0 HP (8.0  kW)) @ 6500 RPM,,,,12.00 litres (3.17 US gallons),,,,,,,0.1009 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH,1964,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",9.1:1,76.0 x 98.0 mm (3.0 x 3.9 inches),Carburettor. NA,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,55.0 HP (40.1  kW)) @ 6300 RPM,,,,7.20 litres (1.90 US gallons),185.1 km/h (115.0 mph),,,,,,,,,,,,,,,,,45-degree V-twin,,,,,,,,218.0 kg (480.6 pounds),,,,,
Hercules K 103 S,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,,,Air,,Chain   (final drive),,Single cradle,,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,99.0 kg (218.3 pounds),8.2 HP (6.0  kW)) @ 6000 RPM,2.75-21 ,2.75-21 ,,,95.0 km/h (59.0 mph),Spoked,,,Kick,,0.0828 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta 247,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,,,Chain   (final drive),Enclosed ,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,14.0 HP (10.2  kW)) @ 5100 RPM,,,,,109.0 km/h (67.7 mph),Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton ES 400 Electra,1964,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",400.0 ccm (24.41 cubic inches),"Twin, four-stroke",7.9:1,66.0 x 56.0 mm (2.6 x 2.2 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,,Telescopic,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,13.25 litres (3.50 US gallons),,Spoked,2032 mm (80.0 inches),686 mm (27.0 inches),Electric,,,1016 mm (40.0 inches),,,,,,,,,,,,,,,,,,158.8 kg (350.0 pounds),,2,,,
Triumph Tina,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",7.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,Overhead Cams (OHC),,,,Belt   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,65.0 kg (143.3 pounds),,3.50-8 ,3.50-8 ,1178 mm (46.4 inches),,72.0 km/h (44.7 mph),,,,,,,,,,,127 mm (5.0 inches),,,,,,,,,,,,,,,,,,,
MZ RE125,1964,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,Chain   (final drive),,,,,,,Single ,,,,,,,193.0 km/h (119.9 mph),Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJS Model 31 650 Swift,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"V2, four-stroke",7.5:1,72.0 x 79.3 mm (2.8 x 3.1 inches),Carburettor,Overhead Valves (OHV),Bobine,Air,,Chain   (final drive),Wet multiplate,Doble cradle,Hydraulic telescopic,Twin shock Girling,Expanding brake (drum brake),Expanding brake (drum brake),,176.0 kg (388.0 pounds),31.4 HP (22.9  kW)) @ 6000 RPM,,,,16.00 litres (4.23 US gallons),,Spoked,,,Kick,,0.1784 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp Roller Super,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,39.0 x 42.0 mm (1.5 x 1.7 inches),Carburettor. Bing,,,Air,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,83.5 kg (184.1 pounds),,2.50-10 ,2.50-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Interceptor ,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Twin, two-stroke",,,,Overhead Valves (OHV),,Air,,,,,,,,,Dual ,,,,,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,190.0 kg (418.9 pounds),,,,,
Harley-Davidson FLH Duo Glide,1964,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks. 3-step adjustable.,Expanding brake (drum brake),Expanding brake (drum brake),,304.0 kg (670.2 pounds),55.0 HP (40.1  kW)),5.00-15 ,5.00-15 ,1500 mm (59.1 inches),14.19 litres (3.75 US gallons),160.0 km/h (99.4 mph),Wire spoked. Whitewall tyres.,,,Kick,,0.1809 HP/kg,,,,,,,,"Red, blue, black",6 Volt battery.,,Panhead V-twin,Saddlebags. Rear rack.,Windscreen. FLH models have higher compression then FL.,,,,,,,,,,,
Agrati Capri 50,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,,Chain   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),,67.0 kg (147.7 pounds),1.3 HP (1.0  kW)) @ 5500 RPM,,,,,,,,,,,0.0200 HP/kg,,,,,,,,,,,Sachs,,,,,,,,,,,,,
NSU Prima V,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,62.0 x 57.6 mm (2.4 x 2.3 inches),Carburettor,,Battery,Air,4-speed,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,138.0 kg (304.2 pounds),9.5 HP (6.9  kW)) @ 5200 RPM,3.50-10 ,3.50-10 ,,,,,,,Electric,,0.0688 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Pannonia T 5,1964,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,,Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,122.0 kg (269.0 pounds),,,,,,110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Elite,1964,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,204.0 ccm (12.45 cubic inches),"Single cylinder, four-stroke",8.5:1,67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. Dellorto UB 24,Overhead Cams (OHC),Mageneto flywhel,Air,,Chain   (final drive),Wet multiplate,,Telescopic fork,Swinging arm suspension ,Expanding brake (drum brake),Expanding brake (drum brake),Dual seatt,118.0 kg (260.1 pounds),18.0 HP (13.1  kW)) @ 7500 RPM,2.75-18 ,3.25-18 ,,,140.0 km/h (87.0 mph),,,,,,0.1525 HP/kg,,,,,,,,,,,,,,Forced wet sump,,,,,,,,,,
Lambretta LI 150 Golden Special,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",7.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,Air,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,105.0 kg (231.5 pounds),8.3 HP (6.0  kW)) @ 5300 RPM,3.50-10 ,3.50-10 ,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),85.3 km/h (53.0 mph),Spoked,1825 mm (71.9 inches),710 mm (28.0 inches),Kick,,0.0786 HP/kg,1038 mm (40.9 inches),,,,,,,,,,,,,,,,,,,,,,,
Ariel Leader,1964,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, two-stroke",,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Amal Monobloc,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Backbone,Trailing link oil-damped,Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Black dual seat,150.0 kg (330.7 pounds),17.5 HP (12.8  kW)) @ 6250 RPM,3.25-16 ,3.25-16 ,1295 mm (51.0 inches),9.00 litres (2.38 US gallons),112.7 km/h (70.0 mph),Wire spoked rims,,,Kick,,0.1167 HP/kg,,,Burman gearbox,,152 mm (6.0 inches),"762 mm (30.0 inches) If adjustable, lowest setting.",,Red/white,,,,"Saddle bags, under-seat luggage compartment",Windscreen.,,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,
Yamaha YDS 3,1964,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",7.5:1,50.0 x 56.0 mm (2.0 x 2.2 inches),,,,Air,,Chain   (final drive),Wet multiplate,,Telescopic-Hydraulic damping,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,156.0 kg (343.9 pounds),24.0 HP (17.5  kW)) @ 7500 RPM,3-18 ,3-18 ,1318 mm (51.9 inches),11.36 litres (3.00 US gallons),132.0 km/h (82.0 mph),,,,Kick,,0.1538 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1964,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",,,Carburettor. Single Tilloston,Sidevalves,Magneto Fairbanks-Morse,Air,4-speed,,,,Telescopic,Rigid,,,Single spring-mounted,163.3 kg (360.0 pounds),46.0 HP (33.6  kW)) @ 6500 RPM,,,,,177.0 km/h (110.0 mph),Spoked,,,,,0.2817 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Velocette Thruxton,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",9.1:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor,Overhead Valves (OHV),Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,170.0 kg (374.8 pounds),,3-19 ,3.25-19 ,,17.00 litres (4.49 US gallons),,Spoked,2130 mm (83.9 inches),700 mm (27.6 inches),Kick,,,990 mm (39.0 inches),,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Chimera 250,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",7.0:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto,,,Air,,Chain   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,125.0 kg (275.6 pounds),13.7 HP (10.0  kW)) @ 6500 RPM,2.50-17 ,2.50-17 ,1360 mm (53.5 inches),,120.0 km/h (74.6 mph),Spoked,,,Kick,,0.1096 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Galetto,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Overhead Valves (OHV),,,4-speed,Chain   (final drive),Multiplate,,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,,,2.75-17 ,3-17 ,,,,Spoked,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph 3TA,1964,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,,,,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,156.5 kg (345.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,Dry sump,,,,,,,,,,
Aermacchi Ala Bianca 175,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.2 ccm (10.63 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic ,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake). Simplex,Dual ,110.0 kg (242.5 pounds),9.4 HP (6.9  kW)) @ 6500 RPM,2.50-17 ,2.75-17 ,,,,Spoked,,,Kick,,0.0855 HP/kg,,,,,,,,,,,,,,Bobine,,,,,,,,,,
NSU Maxi 175,1964,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",7.8:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Dry multiplate,,,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),,,12.3 HP (9.0  kW)) @ 6500 RPM,3.25-18 ,3.25-18 ,,,110.0 km/h (68.4 mph),,1997 mm (78.6 inches),655 mm (25.8 inches),Kick,,,1018 mm (40.1 inches),,,,,,,,,,,,,,,,,,,,,,,
Cushman Eagle,1964,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,Belt   (final drive),,,,,Single disc,Single disc,Single spring-mounted,,,,,,,84.0 km/h (52.2 mph),,,,,,,,,,,,,,,,,,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,
