Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel consumption,Greenhouse gases,Seat,Seat height,Fuel control,Engine details,Color options,Carrying capacity,Front suspension,Rear suspension,Light,Compression,Lubrication system,Clutch,"Weight incl. oil, gas, etc",Reserve fuel capacity,Exhaust system,Diameter,Modifications compared to previous model
Harley-Davidson Model B,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.7 ccm (21.09 cubic inches),"Single cylinder, four-stroke",,,73.0 x 82.0 mm (2.9 x 3.2 inches),,,,,Chain   (final drive),,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,113.0 kg (249.1 pounds),,,,,,,,,,Single spring-mounted,,Sidevalves,,,,,,,,,,,,,,
Cleveland Tornado,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"In-line four, four-stroke",,164.0 km/h (101.9 mph),,Carburettor,,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,,,Single ,,,,,,,,,,,,,,,,
Harley-Davidson Model J,1929,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",,136.8 km/h (85.0 mph),84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,H.D generator,,,Chain   (final drive),,3-26 ,3-26 ,,Expanding brake (drum brake),Spoked,181.0 kg (399.0 pounds),,,,,,,,,,Single ,,,,,,,,,,,,,,,,
BMW R57,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 4000 RPM,115.0 km/h (71.5 mph),,Carburettor. 24mm Bing,,Air,,Shaft drive (cardan)   (final drive),Steel doble cradle,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),12.00 litres (3.17 US gallons),Kick,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Single seat,,,,,360kg-with sidecar 600kg,Leading link ,Long swingarm-oil pressure shocks,,5.8:1,Wet sump ,Dry-single plate-cable operated,,,,200 mm (7.9 inches),
BMW R 16 series 1,1929,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Twin, four-stroke",25.0 HP (18.2  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. BMW triple 26mm,Magneto,,,,Pressed steel,26-3.5 ,26-3.5 ,Expanding brake (drum brake),,Spoked,,,950 mm (37.4 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Spring-mounted seat,,Overhead Valves (OHV),,,,Plate spring,Rigid-,,6.5:1,Forced feed,Doble plate-dry,165.0 kg (363.8 pounds),,,55 mm (2.2 inches),The frame was changed to a pressed steel type- inspired by Ernst Neumann Neander
Harley-Davidson Model D,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.6 ccm (45.31 cubic inches),"V2, four-stroke",,,69.8 x 96.8 mm (2.7 x 3.8 inches),Carburettor,,,3-speed,Chain   (final drive),,3-26 ,3-26 ,,,Spoked,,,,,,,,,,,Solo seat with springs,,Sidevalves,,,,,,,7.5:1,,,,,,,
Ariel LF,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Air,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),"Black rims, wire spoked",,,,,,,,Kick,,,Single seat with springs,,Overhead Valves (OHV),,Black,,,,,,,,,,Twin-post exhaust pipes,,
DKW E 300,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,292.0 ccm (17.82 cubic inches),"Single cylinder, two-stroke",,80.0 km/h (49.7 mph),74.0 x 68.0 mm (2.9 x 2.7 inches),Carburettor,Magneto,Air,,Chain   (final drive),,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,100.0 kg (220.5 pounds),,,,,,,,,,Two single seats,,,,,,,None,,,,,,,,,
Indian 101 Scout,1929,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",750.0 ccm (45.77 cubic inches),"V2, four-stroke",,,,Carburettor,,,3-speed,Chain   (final drive),,,,,,,,,,,,,,,,,Solo seat with springs,"667 mm (26.3 inches) If adjustable, lowest setting.",Sidevalves,,,,,,,,,,167.8 kg (370.0 pounds),,,,
NSU 501 SS,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 4800 RPM,125.0 km/h (77.7 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,,Air,,Chain   (final drive),,2.50-26 ,3.25-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,158.0 kg (348.3 pounds),0.1266 HP/kg,,,,,11.00 litres (2.91 US gallons),Kick,,,Single ,,,,,,,,,,,,,,,,
Indian Chief,1929,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,1540 mm (60.6 inches),,,,,,,,,,,Telescopic,Plungertype with coil springs,,,,,,,,,
NSU 251 SS,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 4400 RPM,100.0 km/h (62.1 mph),63.0 x 80.0 mm (2.5 x 3.1 inches),Carburettor,,Air,,Chain   (final drive),,2.50-26 ,2.50-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,110.0 kg (242.5 pounds),0.0909 HP/kg,,,,,,Kick,,,Single ,,,,,,,,,,,,,,,,
