Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Transmission type,Clutch,Front suspension,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Top speed,Compression,Bore x stroke,Fuel control,Ignition,Cooling system,Gearbox,Fuel consumption,Greenhouse gases,Rear suspension,Front tire,Rear tire,Diameter,Wheels,Seat,"Weight incl. oil, gas, etc",Oil capacity,Dry weight,Power/weight ratio,Starter,Engine details,Frame type,Comments,Color options,Carrying capacity,Lubrication system,Valves per cylinder,Exhaust system,Modifications compared to previous model,Torque,Alternate seat height,0-100 km/h (0-62 mph),Electrical,Rake (fork angle),Instruments,Driveline,Light,Engine oil
AJS Model 31 650 Swift,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",31.4 HP (22.9  kW)) @ 6000 RPM,Carburettor,Chain   (final drive),Wet multiplate,Hydraulic telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,16.00 litres (4.23 US gallons),,7.5:1,72.0 x 79.3 mm (2.8 x 3.1 inches),Overhead Valves (OHV),Magneto,Air,,,,Twin shock Girling,,,,Spoked,,,,176.0 kg (388.0 pounds),0.1784 HP/kg,Kick,,Doble cradle,,,,,,,,,,,,,,,,
Harley-Davidson XLCH Sportster,1965,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6300 RPM,Carburettor,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,Overhead Valves (OHV),,,,,,Swingarm with coil-over shocks,,,,,Single seat,,,,,,,,,,,,,,,,,,,,,,,
Ducati Sebring,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,Carburettor,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,13.00 litres (3.43 US gallons),,8.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),,Battery,Air,,4.52 litres/100 km (22.1 km/l or 52.04 mpg),104.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,2.75-18 ,3.00-18 ,,,,,,136.0 kg (299.8 pounds),0.1471 HP/kg,,,,,,,,,,,,,,,,,,,
BMW R 60 2,1965,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5800 RPM,Carburettor. 24mm Bing,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Long swingarm-oil pressure shock absorbers,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),145.0 km/h (90.1 mph),7.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Overhead Valves (OHV),,Air,4-speed,,,Twin shock-Swingarm,3.25-18.00 ,3.50-18.00 ,200 mm (7.9 inches),,Single seat,,,195.0 kg (429.9 pounds),0.1541 HP/kg,Kick,,Steel doble cradle,Price in 1969 for the bike was DM 3315.,,360.00,Wet sump ,,,,,,,,,,,,
Lambretta LI 125 Special,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",7.1 HP (5.2  kW)) @ 5550 RPM,Carburettor. DellÓrto,,,,Expanding brake (drum brake),Expanding brake (drum brake),,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,1290 mm (50.8 inches),,80.5 km/h (50.0 mph),8.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,Air,,,,,3.50-10 ,3.50-10 ,,,Dual ,,,103.9 kg (229.0 pounds),0.0684 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Harley-Davidson AH Topper-Scooter,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,164.0 ccm (10.01 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Leading link,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,74.0 km/h (46.0 mph),,60.0 x 58.0 mm (2.4 x 2.3 inches),,,,,,,Swingarm with two extension springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi H-D Wisconsin ,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,Carburettor,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,980 mm (38.6 inches),1970 mm (77.6 inches),700 mm (27.6 inches),,,,130.0 km/h (80.8 mph),8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),,Bobine,Air,,,,Two shock,2.50-17 ,3-17 ,180 mm (7.1 inches),Spoked,,,,115.0 kg (253.5 pounds),0.1391 HP/kg,Kick,,Single cradle,,,,,,,,,,,,,,,,
Hercules K 103 S,1965,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",8.2 HP (6.0  kW)) @ 6000 RPM,Carburettor. Bing 22mm,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,95.0 km/h (59.0 mph),,48.0 x 54.0 mm (1.9 x 2.1 inches),,,Air,,,,Swingarm ,2.75-21 ,2.75-21 ,,Spoked,Dual ,,,99.0 kg (218.3 pounds),0.0828 HP/kg,Kick,,Single cradle,,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 1,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,Carburettor,Chain   (final drive),,Telescopic ,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,,910 mm (35.8 inches),1938 mm (76.3 inches),762 mm (30.0 inches),,1270 mm (50.0 inches),17.00 litres (4.49 US gallons),140.0 km/h (87.0 mph),8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),,,Air,,,,Swingarm-two shocks,2.50-17 ,2.50-17 ,,Spoked,Dual ,,,114.0 kg (251.3 pounds),0.1404 HP/kg,Kick,,Single cradle,,,,,,,,,,,,,,,,
Heinkel A2,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,60.0 x 61.5 mm (2.4 x 2.4 inches),,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T120R Roadster,1965,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,Carburettor. Amal monobloc carburettor,Chain   (final drive),"Multi-plate, wet","Telescopic fork, hydraulic damping.",Expanding brake (drum brake),Expanding brake (drum brake),"775 mm (30.5 inches) If adjustable, lowest setting.",,,,127 mm (5.0 inches),1403 mm (55.2 inches),15.14 litres (4.00 US gallons),185.0 km/h (115.0 mph),8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Overhead Valves (OHV),Lucas K2F auto-advance Magneto,Air,4-speed,,,"Swing arm, 2 Girling dampers",3.25-19 ,4.00-18 ,178 mm (7.0 inches),Wire spoked,"Dual seat, black and gray",,,165.0 kg (363.8 pounds),0.2788 HP/kg,Kick,,"Brazed lug, full-cradle, single downtube",,Pacific Blue/Silver,,,,,,,,,"Lucas RM19 alternator, 6-volt electrical system",26.0°,Smiths Magnetic gauges,,,
Ducati 250 Diana ,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 7750 RPM,Carburettor,Chain   (final drive),,Hydralic telescopic forks,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,8.0:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Desmodromic valve control,,Air,,,,Dual choks,,,160 mm (6.3 inches),,Dual seat,,,135.0 kg (297.6 pounds),0.1407 HP/kg,Kick,,,,,,,,,,,,150.00 seconds,,,,,,
BSA A 50 Royal Star,1965,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,500.0 ccm (30.51 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 5800 RPM,Carburettor,Chain   (final drive),Wet multiplate,Hydralic telescopic forks,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1391 mm (54.8 inches),18.00 litres (4.76 US gallons),,7.5:1,65.5 x 74.0 mm (2.6 x 2.9 inches),Overhead Valves (OHV),,Air,,,,Twin shock,,,,,Dual seat,,,,,,,Single cradle,,,,,,,,,,,,,,,,
Norton Atlas,1965,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 6800 RPM,Carburettor. Amal,Chain   (final drive),,Telescopic,Expanding brake (drum brake). 203mm,Expanding brake (drum brake). 178mm,,,,,,,,,8.9:1,73.0 x 89.0 mm (2.9 x 3.5 inches),,Electric,Air,,,,Dual chocks,,,,Spoked,Dual ,185.0 kg (407.9 pounds),,,,Kick,,,,,,,2,,,,,,,,,,,
Aermacchi Chimera 250,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",13.7 HP (10.0  kW)) @ 6500 RPM,Carburettor,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1360 mm (53.5 inches),,120.0 km/h (74.6 mph),7.0:1,66.0 x 72.0 mm (2.6 x 2.8 inches),,,Air,,,,,2.50-17 ,2.50-17 ,,Spoked,Dual ,,,125.0 kg (275.6 pounds),0.1096 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,2540 mm (100.0 inches),1219 mm (48.0 inches),,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),Sidevalves,,,,,,,5.10-16 ,5.10-16 ,,Spoked,Single spring-mounted,,,,,Electric,,,,,,,,,,,,,,,,,,
