Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Transmission type,Clutch,Front suspension,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Top speed,Compression,Bore x stroke,Fuel control,Ignition,Cooling system,Gearbox,Fuel consumption,Greenhouse gases,Rear suspension,Front tire,Rear tire,Diameter,Wheels,Seat,"Weight incl. oil, gas, etc",Oil capacity,Dry weight,Power/weight ratio,Starter,Engine details,Frame type,Comments,Color options,Carrying capacity,Lubrication system,Valves per cylinder,Exhaust system,Modifications compared to previous model,Torque,Alternate seat height,0-100 km/h (0-62 mph),Electrical,Rake (fork angle),Instruments,Driveline,Light,Engine oil
Moto Guzzi Stornello ,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 7200 RPM,Carburettor. DellÓrto,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),"700 mm (27.6 inches) If adjustable, lowest setting.",900 mm (35.4 inches),1900 mm (74.8 inches),550 mm (21.7 inches),280 mm (11.0 inches),1250 mm (49.2 inches),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Interceptor ,1965,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",736.0 ccm (44.91 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6000 RPM,Carburettor. Amal monoblocks,Chain   (final drive),,"Telescopic fork, hydraulic",Expanding brake (drum brake),Expanding brake (drum brake),"787 mm (31.0 inches) If adjustable, lowest setting.",,,660 mm (26.0 inches),140 mm (5.5 inches),1448 mm (57.0 inches),17.03 litres (4.50 US gallons),193.1 km/h (120.0 mph),8.0:1,71.0 x 93.0 mm (2.8 x 3.7 inches),Overhead Valves (OHV),Lucas Magneto,Air,4-speed,4.28 litres/100 km (23.4 km/l or 54.96 mpg),99.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Pivoted fork, hydraulic",3.25-19 ,3.00-19 ,178 mm (7.0 inches),Spoked,Dual ,190.0 kg (418.9 pounds),3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,
Lambretta LI 150 Silver Special,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",8.3 HP (6.0  kW)) @ 5300 RPM,Carburettor. DellÓrto,,,,Expanding brake (drum brake),Expanding brake (drum brake),,1038 mm (40.9 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),85.3 km/h (53.0 mph),7.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),,,Air,,,,,3.50-10 ,3.50-10 ,,,Dual ,,,105.0 kg (231.5 pounds),0.0786 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Harley-Davidson Bobcat ,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),,Hydraulic ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,96.6 km/h (60.0 mph),,60.3 x 61.1 mm (2.4 x 2.4 inches),,,,,,,Swingarm ,,,,Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Lodola 175 Gran Turismo,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 6500 RPM,Carburettor,Chain   (final drive),Wet multiplate,Telescopic fork,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,4-speed,,,,,,,,Dual seat,,,109.0 kg (240.3 pounds),0.1009 HP/kg,,,,,,,,,,,,,,,,,,,
Norton Jubilee,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",11.7 HP (8.5  kW)) @ 7750 RPM,Carburettor,Chain   (final drive),,Hydralic telescopic forks,Expanding brake (drum brake). Single,,,,,,,,,,8.8:1,60.0 x 44.0 mm (2.4 x 1.7 inches),,,Air,,,,Twin shock,3.25-18 ,3.25-18 ,,,,,,150.0 kg (330.7 pounds),0.0780 HP/kg,Kick,Norton Dominator,Single cradle,,,,,,,,,,,,,,,,
Triumph T100C,1965,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,490.0 ccm (29.90 cubic inches),"Twin, four-stroke",41.0 HP (29.9  kW)) @ 7200 RPM,Carburettor. Amal,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,Overhead Valves (OHV),,Air,,,,Swingarm with coil-over shocks,,,,,Dual seat,168.3 kg (371.0 pounds),,152.0 kg (335.0 pounds),0.2698 HP/kg,,,,,,,,,,,,,,,,,,,
Zündapp Roller Super,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,Carburettor. Bing,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,39.0 x 42.0 mm (1.5 x 1.7 inches),,,Air,,,,,2.50-10 ,2.50-10 ,,,Dual ,,,83.5 kg (184.1 pounds),,,,,,,,,,,,,,,,,,,,
Matchless G-12,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 6500 RPM,Carburettor. Amal,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,Air,,,,Swingarm with coil-over shocks,,,,,,,,180.0 kg (396.8 pounds),0.1944 HP/kg,,,,Designer was Phil Walker,,,,,,,,,,,,,,,
Aermacchi Ala D Oro,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",24.8 HP (18.1  kW)) @ 8500 RPM,Carburettor. DellÓrto ,Chain   (final drive),Wet multiplate,Hydralic telescopic forks,Expanding brake (drum brake),Expanding brake (drum brake),,860 mm (33.9 inches),1940 mm (76.4 inches),520 mm (20.5 inches),,,17.00 litres (4.49 US gallons),170.0 km/h (105.6 mph),,66.0 x 72.0 mm (2.6 x 2.8 inches),,,Air,4-speed,,,Swingarm,2.50-18 ,2.75-18 ,180 mm (7.1 inches),Spoked,Dual seat,,,110.0 kg (242.5 pounds),0.2255 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Hercules R 200,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",10.2 HP (7.4  kW)) @ 5250 RPM,Carburettor. Bing 24mm,,,,,,,,,,,,,98.0 km/h (60.9 mph),,65.0 x 58.0 mm (2.6 x 2.3 inches),,,Air,,,,,,,,,Dual ,,,144.0 kg (317.5 pounds),0.0708 HP/kg,Electric,,,,,,,,,,,,,,,,,,
Ariel Leader,1965,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, two-stroke",17.5 HP (12.8  kW)) @ 6250 RPM,Carburettor. Amal Monobloc,Chain   (final drive),,Trailing link oil-damped,Expanding brake (drum brake),Expanding brake (drum brake),"762 mm (30.0 inches) If adjustable, lowest setting.",,,,,1295 mm (51.0 inches),9.00 litres (2.38 US gallons),112.7 km/h (70.0 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),Overhead Valves (OHV),,Air,4-speed,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Swingarm,3.25-16 ,3.25-16 ,152 mm (6.0 inches),,Black dual seat,,,150.0 kg (330.7 pounds),0.1167 HP/kg,Kick,,Backbone,Windscreen.,Red/white,"Saddle bags, under-seat luggage compartment",,,,,,,,,,,,,
Lambretta TV 200,1965,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",10.8 HP (7.8  kW)) @ 5300 RPM,Carburettor. DellÓrto,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,,,,,,,96.6 km/h (60.0 mph),8.0:1,66.0 x 58.0 mm (2.6 x 2.3 inches),,,Air,,,,,3.50-10 ,3.50-10 ,,,Dual ,,,109.8 kg (242.0 pounds),0.0979 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Velocette Venom,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,Carburettor. Amal ,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1391 mm (54.8 inches),,160.9 km/h (100.0 mph),,86.0 x 86.0 mm (3.4 x 3.4 inches),Overhead Valves (OHV),,Air,,,,Swingarm with coil-over shocks,,,,,,,,177.0 kg (390.2 pounds),0.1921 HP/kg,,,,,,,,,,,,,,,,,,,
Triumph 3TA,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",,Carburettor. Amal,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,,Swingarm with coil-over shocks,,,,,Dual seat,,,156.5 kg (345.0 pounds),,,,,,,,Dry sump,,,,,,,,,,,,
Triumph Tiger Cub T 20,1965,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,Carburettor,Chain   (final drive),Wet multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1245 mm (49.0 inches),,106.0 km/h (65.9 mph),7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Overhead Valves (OHV),,Air,,,,Swingarm with coil-over shocks,,,,,,,,113.4 kg (250.0 pounds),0.0882 HP/kg,,Amal monobloc carburettor,,,,,Dry sumpy,,,,,,,,,,,,
Agrati Capri 50,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",1.3 HP (1.0  kW)) @ 5500 RPM,Carburettor,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,Air,,,,,,,,,,,,,,,Sachs,,,,,,,,,,,,,,,,,
BSA Super Rocket,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,Carburettor,Chain   (final drive),,Hydralic telescopic forks,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1391 mm (54.8 inches),,,,70.0 x 84.0 mm (2.8 x 3.3 inches),Overhead Valves (OHV),,Air,,,,Twin shock,3.25-19 ,3.25-19 ,,,,,,186.0 kg (410.1 pounds),,,,,,,,Wet sump ,,,,,,,,,,,,
MZ ES 250,1965,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",17.5 HP (12.8  kW)) @ 5300 RPM,Carburettor,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,15.00 litres (3.96 US gallons),,8.1:1,65.0 x 70.0 mm (2.6 x 2.8 inches),,,Air,,,,,3.25-16 ,3.50-16 ,,Spoked,Dual ,,,162.0 kg (357.1 pounds),0.1080 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Hercules A 175,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",9.3 HP (6.8  kW)) @ 5250 RPM,Carburettor. Bing 24mm,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,11.50 litres (3.04 US gallons),,,62.0 x 58.0 mm (2.4 x 2.3 inches),,,,,,,Swingarm ,3.25-16 ,3.50-16 ,,Spoked,Dual ,,,140.0 kg (308.6 pounds),0.0664 HP/kg,,,,,,,,,,,,,,,,,,,
Triumph Tina,1965,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,Carburettor,Belt   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1178 mm (46.4 inches),,72.0 km/h (44.7 mph),7.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Overhead Cams (OHC),,,,,,,3.50-8 ,3.50-8 ,,,Dual ,,,65.0 kg (143.3 pounds),,,,,,,,,,,,,,,,,,,,
AJS Model 18 500 Statesman,1965,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",28.0 HP (20.4  kW)) @ 5600 RPM,Carburettor,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1397 mm (55.0 inches),,,,86.0 x 85.5 mm (3.4 x 3.4 inches),,Bobine,Air,,,,Twin shock,3.25-18 ,3.25-18 ,,Spoked,,,,172.0 kg (379.2 pounds),0.1628 HP/kg,,,Single cradle,,,,,,,,,,,,,,,,
Husqvarna Racer,1965,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),,,,,,,,,,,,,,,,,Air,,,,,3.00-19 ,3.00-18 ,,,Single seat,,,94.4 kg (208.0 pounds),,,,Chrome-molybdenum steel,,,,,,,,,,,,,,,,
Ducati 160 Monza Junior,1965,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,156.0 ccm (9.52 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 6000 RPM,,Chain   (final drive),Wet multiplate,Telescopic fork,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1295 mm (51.0 inches),13.00 litres (3.43 US gallons),115.0 km/h (71.5 mph),8.2:1,61.0 x 52.0 mm (2.4 x 2.0 inches),Overhead Cams (OHC),Six volt coil ,Air,,,,Pivoted trolled by spring hydraulic adjustment,2.75-16 ,3.25-16 ,136 mm (5.4 inches),,Dual seatt,,,121.0 kg (266.8 pounds),0.1074 HP/kg,,,Steel single cradle,,,,Dry sump,2,Dry sump,,,,,,,,,,
BSA A65 Star,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,654.0 ccm (39.91 cubic inches),"Twin, four-stroke",54.0 HP (39.4  kW)) @ 4500 RPM,Carburettor. Amal,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1400 mm (55.1 inches),15.14 litres (4.00 US gallons),,,,Overhead Valves (OHV),,Air,,,,Swingarm with coil-over shocks,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 150 Golden Special,1965,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",8.3 HP (6.0  kW)) @ 5300 RPM,Carburettor. DellÓrto,,,,Expanding brake (drum brake),Expanding brake (drum brake),,1038 mm (40.9 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),85.3 km/h (53.0 mph),7.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),,,Air,,,,,3.50-10 ,3.50-10 ,,Spoked,Dual ,,,105.0 kg (231.5 pounds),0.0786 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 83,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,83.0 ccm (5.06 cubic inches),"Single cylinder, two-stroke",,Carburettor. DellÓrto,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,Air,,,,,2.25-20 ,2.25-20 ,,Spoked,Single seat,,,,,Kick,,,,,,,,,,,,,,,,,,
Maico Maicoletta,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),Enclosed ,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,61.0 x 59.5 mm (2.4 x 2.3 inches),,,,,,,Swingarm ,,,,,Dual ,,,,,,,Tubular steel,,,,,,,,,,,,,,,,
Enfield Atlas 750,1965,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"Twin, four-stroke",,Carburettor,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,Overhead Valves (OHV),,Air,,,,,,,,,,,,,,Kick,,,"Only saw 1 example, Bikeshop, Bridge street, Chester. Lost the brochure with this model in.",,,,,,Largest capacity made by Enfield.,,,,,,,,,
Lambretta LI 125 Series 3,1965,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.2 HP (3.8  kW)) @ 5200 RPM,Carburettor. DellÓrto,,,,Expanding brake (drum brake),Expanding brake (drum brake),,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,1290 mm (50.8 inches),,69.2 km/h (43.0 mph),7.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,Air,,,,,3.50-10 ,3.50-10 ,,,Two single seats,,,103.9 kg (229.0 pounds),0.0501 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Gilera Ekstra 4,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, four-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,Carburettor. DellÓrto ,,,Hydralic telescopic forks,Expanding brake (drum brake),Expanding brake (drum brake),"750 mm (29.5 inches) If adjustable, lowest setting.",970 mm (38.2 inches),2030 mm (79.9 inches),650 mm (25.6 inches),,1330 mm (52.4 inches),19.00 litres (5.02 US gallons),125.0 km/h (77.7 mph),,,,,Air,,,,Twin shock,3-18 ,3.25-18 ,150 mm (5.9 inches),Spoked,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi H-D 250 Ala Azzurra,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",13.7 HP (10.0  kW)) @ 6500 RPM,Carburettor,,Wet multiplate,Telescopic ,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,,,,,,,,125.0 km/h (77.7 mph),7.0:1,,,,Air,,,,Swingarm-two shocks,2.50-17 ,2.50-17 ,160 mm (6.3 inches),Spoked,Dual ,,,114.0 kg (251.3 pounds),0.1202 HP/kg,Kick,,Single cradle,,,,Bobine,,,,,,,,,,,,
Cushman Eagle,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,Carburettor,Belt   (final drive),,,Single disc,Single disc,,,,,,,,84.0 km/h (52.2 mph),,,,Magneto,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 150 Special,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",8.3 HP (6.0  kW)) @ 5300 RPM,Carburettor. DellÓrto,,,,Expanding brake (drum brake),Expanding brake (drum brake),,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,1290 mm (50.8 inches),,85.3 km/h (53.0 mph),7.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),,,Air,,,,,3.50-10 ,3.50-10 ,,,Dual ,,,104.8 kg (231.0 pounds),0.0787 HP/kg,Kick,,,,,,,,,,,,,,,,,,
DKW Hummel 155,1965,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,Carburettor. Bing,Chain   (final drive),,Link with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,72.4 km/h (45.0 mph),,,,,,,,,Swingarm with coil-over shocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa VBB Sportique,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,,,,,,,,,80.0 km/h (49.7 mph),,,,,,4-speed,,,,,,,Spoked,Two single seats,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,Carburettor. Amal,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1400 mm (55.1 inches),,,,,Overhead Valves (OHV),,,,,,Swingarm with coil-over shocks,,,,,Dual seat,,,,,,,,,,,Dry sump,,,,,,,,,,,,
Norton 650SS,1965,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6800 RPM,Carburettor,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,185.0 km/h (115.0 mph),8.9:1,68.0 x 89.0 mm (2.7 x 3.5 inches),Overhead Valves (OHV),,,,,,Dual chocks,3.25-19 ,4.00-18 ,,Spoked,Dual ,196.9 kg (434.0 pounds),,,,,,Duplex steel cradle,,,,,2,,,,,,,,,,,
Ducati Diana Mark 3,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,Carburettor. DellÓrto,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,13.00 litres (3.43 US gallons),,8.0:1,,Desmodromic valve control,,Air,,,,Dual choks,2.75-18 ,3.00-18 ,,,,,,135.0 kg (297.6 pounds),0.1778 HP/kg,,,,,,,,,,,,,,,,,,,
