Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
BMW R 850 R,2003,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)),,,,,,,,,238.0 kg (524.7 pounds),0.2941 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,20.40 litres (5.39 US gallons),,,,,,,,,,1487 mm (58.5 inches),4.00 litres (1.06 US gallons),,"Silver, Bronze, Red",,,,,,,,,,,,,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Honda VF 750 Magna,2003,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",78.2 HP (57.1  kW)) @ 9000 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 7250 RPM,70.0 x 48.6 mm (2.8 x 1.9 inches),5-speed,Chain   (final drive),120/80-17 ,150/80-17 ,Single disc. 2-Piston caliper,"Expanding brake (drum brake). Single, Leading-Shoe Drum",229.1 kg (505.0 pounds),0.3414 HP/kg,"711 mm (28.0 inches) If adjustable, lowest setting.",2362 mm (93.0 inches),800 mm (31.5 inches),13.62 litres (3.60 US gallons),10.8:1,4,Carburettor. 4 - 34 mm CV Keihin,Double Overhead Cams/Twin Cam (DOHC),Liquid,41 mm (1.6 inches),99 mm (3.9 inches),315 mm (12.4 inches),,1651 mm (65.0 inches),3.02 litres (0.80 US gallons),,Blue,32.0°,Cartridge Fork,Dual Shocks,Discontinued,Digital,Wet Sump,"Wet, Multiplate Clutch",,244.0 kg (538.0 pounds),,,,,,,,,,,,,,,,132 mm (5.2 inches),,,,,,,12.76 seconds,,,6.19 litres/100 km (16.2 km/l or 38.00 mpg),143.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,4 into 4 Chrome,,,,,,
Hartford VR-125 Z,2003,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,124.0 kg (273.4 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",,,13.60 litres (3.59 US gallons),,,,,,,,,,1375 mm (54.1 inches),,,"Black/Silver, White/Purple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Zing 125,2003,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 9500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7500 RPM,,,,,,,,152.0 kg (335.1 pounds),0.0757 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,14.20 litres (3.75 US gallons),,,,,,,,,,1460 mm (57.5 inches),,,"Red Metallic, Black Metallic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTCI Electra Glide Classic,2003,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1556.9 ccm (95.00 cubic inches),"V2, four-stroke",,,,,Belt   (final drive),,,,,,,,,,,,,Injection,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rinehart pipes,,,,,,
Harley-Davidson FXSTDI Softail Deuce,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 3000 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,305.0 kg (672.4 pounds),,"696 mm (27.4 inches) If adjustable, lowest setting.",2424 mm (95.4 inches),,20.00 litres (5.28 US gallons),8.8:1,,Injection,,Air,,,,,1690 mm (66.5 inches),,140 mm (5.5 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXST Softail Standard,2003,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3200 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,305.0 kg (672.4 pounds),,"720 mm (28.3 inches) If adjustable, lowest setting.",2412 mm (95.0 inches),,19.70 litres (5.20 US gallons),8.8:1,,Carburettor,,Air,,,,,1695 mm (66.7 inches),,138 mm (5.4 inches),"Vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX 1800,2003,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1795.0 ccm (109.53 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)) @ 5000 RPM,156.0 Nm (15.9 kgf-m or 115.1 ft.lbs) @ 3000 RPM,101.0 x 112.0 mm (4.0 x 4.4 inches),5-speed,Shaft drive (cardan)   (final drive),130/70-R18 ,180/70-R16 ,Double disc,Single disc,320.0 kg (705.5 pounds),0.3031 HP/kg,"693 mm (27.3 inches) If adjustable, lowest setting.",2456 mm (96.7 inches),932 mm (36.7 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FC 550 - 6,2003,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",555.0 ccm (33.87 cubic inches),"Single cylinder, four-stroke",,,100.0 x 70.7 mm (3.9 x 2.8 inches),6-speed,Chain   (final drive),80/100-21 ,110/100-19 ,Single disc,Single disc,103.9 kg (229.1 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),,4,Carburettor,Overhead Cams (OHC),Liquid,295 mm (11.6 inches),320 mm (12.6 inches),220 mm (8.7 inches),,1490 mm (58.7 inches),,380 mm (15.0 inches),,,WP MXMA 4860-Husaberg Motocross,WP PDS 5018-Husaberg Motocross,,,,,"BTR 25CrMo4, heat-treated at +800° C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 625 SXC,2003,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",32.9 HP (24.0  kW)) @ 6000 RPM,45.0 Nm (4.6 kgf-m or 33.2 ft.lbs) @ 3500 RPM,101.0 x 78.0 mm (4.0 x 3.1 inches),5-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Single disc,132.0 kg (291.0 pounds),0.2491 HP/kg,"980 mm (38.6 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),11.5:1,4,Carburettor,,Liquid,295 mm (11.6 inches),320 mm (12.6 inches),220 mm (8.7 inches),,1510 mm (59.4 inches),2.50 litres (0.66 US gallons),360 mm (14.2 inches),,,WP-USD 43 MA,WP - Monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 85,2003,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.7 ccm (5.17 cubic inches),"Single cylinder, two-stroke",,,48.0 x 46.8 mm (1.9 x 1.8 inches),6-speed,Chain   (final drive),70/100-17 ,90/100-14 ,Single disc,Single disc,65.0 kg (143.3 pounds),,"850 mm (33.5 inches) If adjustable, lowest setting.",1805 mm (71.1 inches),735 mm (28.9 inches),5.00 litres (1.32 US gallons),9.5:1,,Carburettor,,Liquid,,,,,1240 mm (48.8 inches),,325 mm (12.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZS 1000 Fazer,2003,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",143.1 HP (104.5  kW)) @ 10000 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 7500 RPM,74.0 x 58.0 mm (2.9 x 2.3 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc. Four-piston calipers. ,Single disc. Two-piston calipers. ,208.0 kg (458.6 pounds),0.6880 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",2125 mm (83.7 inches),,21.00 litres (5.55 US gallons),11.8:1,5,Carburettor. 4 x 37mm Mikuni CV Side draft,Double Overhead Cams/Twin Cam (DOHC),Liquid,140 mm (5.5 inches),135 mm (5.3 inches),268 mm (10.6 inches),,1397 mm (55.0 inches),,140 mm (5.5 inches),"Yellow, Blue, Silver",,"Telescopic fork, 43mm tubes",Link-type swingarm,,Digital TCI ,Wet sump,"Wet, multiple discs, cable operated","Steel, double cradle ",230.0 kg (507.1 pounds),Electric,260.0 km/h (161.6 mph),3.00 litres (3.17 US quarts),SAE 10W-40,HiFloFiltro Chrome - HF303C,DOT 4,2.00 litres (0.53 US gallons),YT14B-BS,CR9E,1100  +/- 50  RPM,16/44 (front/rear),36 PSI (2.5 Bar or 250 kPa),36 PSI (2.5 Bar or 250 kPa),43 mm (1.7 inches),,,,,,,,,,,,5.46 litres/100 km (18.3 km/l or 43.08 mpg),126.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,530,116
Enfield 350 T Bullet Trials,2003,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)),,,,,,,,,159.0 kg (350.5 pounds),0.1258 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,14.50 litres (3.83 US gallons),,,,,,,,,,1370 mm (53.9 inches),,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda @ 125,2003,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 9000 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 7250 RPM,52.4 x 57.8 mm (2.1 x 2.3 inches),Automatic,,110/90-13 ,130/70-13 ,Single disc,Expanding brake (drum brake),120.0 kg (264.6 pounds),0.1167 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1940 mm (76.4 inches),700 mm (27.6 inches),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda R,2003,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",8.4 HP (6.1  kW)) @ 9250 RPM,,,,,,,,,,,,,,7.00 litres (1.85 US gallons),,,,,,,,,,1355 mm (53.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GF 125,2003,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,112.0 kg (246.9 pounds),,,,,13.70 litres (3.62 US gallons),,,,,,,,,,,,,"Red, Black, Silver, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 Drag Star,2003,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",39.4 HP (28.8  kW)) @ 6500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 3000 RPM,,,,,,,,214.0 kg (471.8 pounds),0.1841 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",,,16.00 litres (4.23 US gallons),,,,,,,,,,1610 mm (63.4 inches),,,"Silver Metallic, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 900 F Hornet,2003,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",919.0 ccm (56.08 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6500 RPM,71.0 x 58.0 mm (2.8 x 2.3 inches),6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,194.0 kg (427.7 pounds),0.5670 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",2125 mm (83.7 inches),750 mm (29.5 inches),19.00 litres (5.02 US gallons),,,,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva V-Raptor 650,2003,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,645.0 ccm (39.36 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,63.6 Nm (6.5 kgf-m or 46.9 ft.lbs) @ 7400 RPM,,,,,,,,185.0 kg (407.9 pounds),0.3784 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,,19.30 litres (5.10 US gallons),,,,,,,,,,1432 mm (56.4 inches),,,"Silver, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1200,2003,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1200.0 ccm (73.22 cubic inches),"V2, four-stroke",,92.3 Nm (9.4 kgf-m or 68.1 ft.lbs) @ 4000 RPM,88.9 x 96.8 mm (3.5 x 3.8 inches),,Belt   (final drive),100/90-19 ,130/90-D16 ,,,222.9 kg (491.4 pounds),,"734 mm (28.9 inches) If adjustable, lowest setting.",2238 mm (88.1 inches),,12.50 litres (3.30 US gallons),9.0:1,,Carburettor,,Air,,,,,1524 mm (60.0 inches),,170 mm (6.7 inches),"Vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di Blasi F7,2003,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",1.2 HP (0.8  kW)) @ 4000 RPM,2.6 Nm (0.3 kgf-m or 1.9 ft.lbs) @ 3000 RPM,39.0 x 41.8 mm (1.5 x 1.6 inches),Automatic,Belt   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),29.8 kg (65.7 pounds),0.0386 HP/kg,,1280 mm (50.4 inches),575 mm (22.6 inches),3.00 litres (0.79 US gallons),8.7:1,,Carburettor,Port control,Air,,,70 mm (2.8 inches),610 mm (24.0 inches),935 mm (36.8 inches),,,"Green
Silver
Red
Blue
Black/silver",,,,Includes special carrying bag. These are the only folding collapsible gas powered mopeds on the market. They have endless uses and are fun and easy bikes to ride. Look here at the Diblasi website for videos detailing how they work!! http://www.diblasi.com/ and also http://www.foldingmotorbike.com/ ,Kick start,,Auto expansion,Aluminum folding frame,,Kick,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,,2.35 litres/100 km (42.6 km/l or 100.09 mpg),54.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Single stainless steel pipe,,,,,,
Honda VT 1100 C2 Shadow,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 5500 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 2500 RPM,87.5 x 91.4 mm (3.4 x 3.6 inches),5-speed,Shaft drive (cardan)   (final drive),120/90-18 ,170/80-15 ,Single disc,Single disc,261.0 kg (575.4 pounds),0.2337 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",2495 mm (98.2 inches),920 mm (36.2 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linhai Main Street 260,2003,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",257.0 ccm (15.68 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,,,,,,,Single disc,Single disc,150.0 kg (330.7 pounds),0.1133 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",,,12.20 litres (3.22 US gallons),,,,Single Overhead Cams (SOHC),Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZR 50,2003,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,113.0 kg (249.1 pounds),,"815 mm (32.1 inches) If adjustable, lowest setting.",,,13.80 litres (3.65 US gallons),,,,,,,,,,1341 mm (52.8 inches),,,"Blue/White, Red/White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille 1000,2003,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",130.0 HP (94.9  kW)) @ 9500 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 7000 RPM,,,,,,,,187.0 kg (412.3 pounds),0.6952 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,,,,,,,,,1415 mm (55.7 inches),4.00 litres (1.06 US gallons),,"Red/Silver, Black/Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Raptor 1000,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",104.0 HP (75.9  kW)) @ 8500 RPM,90.4 Nm (9.2 kgf-m or 66.7 ft.lbs) @ 7000 RPM,,,,,,,,192.0 kg (423.3 pounds),0.5417 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,,,,,,,1440 mm (56.7 inches),,,"Silver, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1700 Warrior,2003,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1670.0 ccm (101.90 cubic inches),"V2, four-stroke",,,,,,,,,,275.0 kg (606.3 pounds),,"715 mm (28.1 inches) If adjustable, lowest setting.",,,15.00 litres (3.96 US gallons),,,,,,,,,,1665 mm (65.6 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTCI Heritage Softail Classic,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 3300 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,335.0 kg (738.5 pounds),,"697 mm (27.4 inches) If adjustable, lowest setting.",2391 mm (94.1 inches),,19.70 litres (5.20 US gallons),8.8:1,,Injection,,Air,,,,,1630 mm (64.2 inches),,129 mm (5.1 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 400 C,2003,Super motard," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,,100.0 x 57.2 mm (3.9 x 2.3 inches),6-speed,Chain   (final drive),120/60-17 ,150/60-17 ,Single disc,Single disc,105.7 kg (233.0 pounds),,"870 mm (34.3 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),12.5:1,4,Carburettor,Overhead Cams (OHC),Liquid,260 mm (10.2 inches),287 mm (11.3 inches),220 mm (8.7 inches),,1490 mm (58.7 inches),,320 mm (12.6 inches),,,WP MXMA 4860-Husaberg Supermotard,WP PDS 5018-Husaberg Supermotard,,,,,"BTR 25CrMo4, heat-treated at +800° C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST2,2003,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",944.0 ccm (57.60 cubic inches),"V2, four-stroke",83.0 HP (60.6  kW)) @ 8500 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 6500 RPM,94.0 x 68.0 mm (3.7 x 2.7 inches),6-speed,Chain   (final drive),120/70-ZR17 ,170/60-ZR17 ,Double disc,Single disc,209.0 kg (460.8 pounds),0.3971 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),,21.00 litres (5.55 US gallons),10.2:1,2,Injection,Desmodromic valve control,Liquid,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),1180 mm (46.5 inches),1430 mm (56.3 inches),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EL 125 Eliminator,2003,Custom / cruiser," 2.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 8000 RPM,,,,,,,,135.0 kg (297.6 pounds),0.0889 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",,,13.00 litres (3.43 US gallons),,,,,,,,,,1470 mm (57.9 inches),,,"Red, Black, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva V-Raptor 1000,2003,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",112.0 HP (81.8  kW)) @ 8500 RPM,101.7 Nm (10.4 kgf-m or 75.0 ft.lbs) @ 7000 RPM,,,,,,,,197.0 kg (434.3 pounds),0.5685 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,,,,,,,1530 mm (60.2 inches),,,"Silver, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju MRX 125,2003,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",14.5 HP (10.6  kW)),,,,,,,,,,,,,,8.40 litres (2.22 US gallons),,,,,,,,,,1332 mm (52.4 inches),,,"Red, Blue, Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DL 1000 V-Strom,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 7600 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 6400 RPM,98.0 x 66.0 mm (3.9 x 2.6 inches),6-speed,Chain   (final drive),110/80-19 ,150/70-17 ,Double disc,Single disc,207.0 kg (456.4 pounds),0.4734 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",2290 mm (90.2 inches),865 mm (34.1 inches),22.00 litres (5.81 US gallons),11.3:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,,,1550 mm (61.0 inches),,160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650 S,2003,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",72.0 HP (52.6  kW)) @ 9000 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 7200 RPM,81.0 x 62.6 mm (3.2 x 2.5 inches),6-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Double disc,Single disc,165.0 kg (363.8 pounds),0.4364 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2120 mm (83.5 inches),790 mm (31.1 inches),17.00 litres (4.49 US gallons),11.5:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,,,1435 mm (56.5 inches),,133 mm (5.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 Duke,2003,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",54.8 HP (40.0  kW)) @ 7500 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5500 RPM,101.0 x 78.0 mm (4.0 x 3.1 inches),5-speed,Chain   (final drive),120/70-17 ,160/70-17 ,Single disc,Single disc,149.0 kg (328.5 pounds),0.3678 HP/kg,"900 mm (35.4 inches) If adjustable, lowest setting.",,,12.00 litres (3.17 US gallons),11.5:1,4,Carburettor,,Liquid,140 mm (5.5 inches),170 mm (6.7 inches),220 mm (8.7 inches),,1460 mm (57.5 inches),2.50 litres (0.66 US gallons),270 mm (10.6 inches),,,WP-USD 43 MA,WP - Monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
