Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
Suzuki RM 60,2003,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",60.0 ccm (3.66 cubic inches),"Single cylinder, two-stroke",,,43.0 x 41.6 mm (1.7 x 1.6 inches),6-speed,Chain   (final drive),60/100-14 30M ,80/100-12 41M ,Single disc,Single disc,50.5 kg (111.3 pounds),,"710 mm (28.0 inches) If adjustable, lowest setting.",1560 mm (61.4 inches),705 mm (27.8 inches),3.50 litres (0.92 US gallons),8.4:1,,Carburettor,,Liquid,,,,915 mm (36.0 inches),1080 mm (42.5 inches),,250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso Tibet,2003,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.8 ccm (39.77 cubic inches),"Single cylinder, four-stroke",47.0 HP (34.3  kW)) @ 6500 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 4500 RPM,,,,,,,,,,"835 mm (32.9 inches) If adjustable, lowest setting.",,,21.00 litres (5.55 US gallons),,,,,,,,,,1487 mm (58.5 inches),4.50 litres (1.19 US gallons),,Red/Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 1000 DARK i.e.,2003,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",84.0 HP (61.3  kW)) @ 8000 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 6000 RPM,94.0 x 71.5 mm (3.7 x 2.8 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/60-ZR17 ,Double disc,Single disc,189.0 kg (416.7 pounds),0.4444 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2108 mm (83.0 inches),,15.00 litres (3.96 US gallons),10.0:1,2,Injection,Desmodromic valve control,Air,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),798 mm (31.4 inches),1440 mm (56.7 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville,2003,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",790.0 ccm (48.21 cubic inches),"Twin, four-stroke",62.0 HP (45.3  kW)) @ 7400 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3500 RPM,86.0 x 68.0 mm (3.4 x 2.7 inches),5-speed,Chain   (final drive),100/90-R 19 ,130/80-R 17 ,Single disc,Single disc,205.0 kg (451.9 pounds),0.3024 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",2250 mm (88.6 inches),860 mm (33.9 inches),16.00 litres (4.23 US gallons),9.2:1,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Air,,,255 mm (10.0 inches),1105 mm (43.5 inches),1493 mm (58.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda FJR 1300,2003,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",143.5 HP (104.7  kW)) @ 8000 RPM,134.4 Nm (13.7 kgf-m or 99.1 ft.lbs) @ 7000 RPM,79.0 x 66.2 mm (3.1 x 2.6 inches),5-speed,Shaft drive (cardan)   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,244.0 kg (537.9 pounds),0.5881 HP/kg,,2195 mm (86.4 inches),760 mm (29.9 inches),25.00 litres (6.61 US gallons),10.8:1,4,Injection.  Electronic,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,282 mm (11.1 inches),1435 mm (56.5 inches),1515 mm (59.6 inches),,,,,,,,Digital TCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Quadro 50,2003,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,Automatic,,,,Expanding brake (drum brake),Expanding brake (drum brake),55.0 kg (121.3 pounds),,,,,4.50 litres (1.19 US gallons),,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint RS,2003,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",120.0 HP (87.6  kW)) @ 9100 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5100 RPM,79.0 x 65.0 mm (3.1 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,199.0 kg (438.7 pounds),0.6030 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",2120 mm (83.5 inches),735 mm (28.9 inches),19.50 litres (5.15 US gallons),12.0:1,,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,255 mm (10.0 inches),1170 mm (46.1 inches),1470 mm (57.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speedmaster,2003,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",790.0 ccm (48.21 cubic inches),"Twin, four-stroke",62.0 HP (45.3  kW)) @ 7400 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3500 RPM,86.0 x 68.0 mm (3.4 x 2.7 inches),5-speed,Chain   (final drive),110/80-R 18 ,170/80-R 15 ,Double disc,Single disc,229.0 kg (504.9 pounds),0.2707 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",2424 mm (95.4 inches),844 mm (33.2 inches),16.60 litres (4.39 US gallons),9.2:1,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Air,,,285 mm (11.2 inches),1184 mm (46.6 inches),1655 mm (65.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR 50 GP1 Race Replica,2003,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)),,,,Belt   (final drive),,,,,,,,,,,12.0:1,,Injection,,Liquid,,,,,,,,,,,,,,,,,,Electric,88.5 km/h (55.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,Fat Boy Curve Chrome 2-Stroke,,,,,,
KTM 85 SX,2003,Prototype / concept model," 3.8  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",84.9 ccm (5.18 cubic inches),"Single cylinder, two-stroke",,,47.0 x 49.0 mm (1.9 x 1.9 inches),6-speed,,70/100-17 ,90/100-14 ,Single disc,Single disc,72.0 kg (158.7 pounds),,,,,,,,Carburettor,,Liquid,275 mm (10.8 inches),300 mm (11.8 inches),200 mm (7.9 inches),,1290 mm (50.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
