Model,Year,Category,Rating,Displacement,Engine type,Torque,Fuel system,Cooling system,Gearbox,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Power,Top speed,Compression,Valves per cylinder,Fuel control,Transmission type,Frame type,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Starter,Comments,Bore x stroke,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),"Weight incl. oil, gas, etc",Color options,Ignition,Trail,Front suspension,Rear suspension,Lubrication system,Diameter,Reserve fuel capacity,Modifications compared to previous model,Front wheel travel,Rear wheel travel,Engine details,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Sprockets,Belt teeth,Fork tube size,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight,Coolant,Idle speed,Chain size,Chain links,Tire pressure front,Tire pressure rear,1/4 mile (0.4 km),Max RPM,Alternate seat height,Electrical,Belt width,Pulley teeth,Driveline,Wheels
Piaggio X9 Evolution 500,2007,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",460.0 ccm (28.07 cubic inches),"Single cylinder, four-stroke",43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 5500 RPM,,Liquid,Automatic,120/70-14 ,150/70-14 ,Double disc. Bremo,Single disc. Bremo,,,2140 mm (84.3 inches),880 mm (34.6 inches),39.0 HP (28.5  kW)) @ 7500 RPM,158.0 km/h (98.2 mph),10.5:1,,,Belt   (final drive),"Double cradle, high strength steel tube",,"780 mm (30.7 inches) If adjustable, lowest setting.",,1540 mm (60.6 inches),15.00 litres (3.96 US gallons),Electric,,92.0 x 69.0 mm (3.6 x 2.7 inches),,,,,,213.0 kg (469.6 pounds),,Inductive,,"Telescopic hydraulic fork, stanchions Ø 41 mm, stroke 90 mm","Two dual effect hydraulic dampers, helic springs, adjustable to four positions of pre-load, stroke 90mm",Separate with automatic mixer,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco People 250,2007,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",251.0 ccm (15.32 cubic inches),"Single cylinder, four-stroke",21.8 Nm (2.2 kgf-m or 16.1 ft.lbs) @ 5500 RPM,,Liquid,Automatic,110/70-16 ,140/70-16 ,Single disc,Single disc,162.0 kg (357.1 pounds),1145 mm (45.1 inches),2119 mm (83.4 inches),742 mm (29.2 inches),,,,,Overhead Cams (OHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa LXV 125,2007,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 7250 RPM,,Air,Automatic,110/70-11 ,120/70-10 ,Single disc,Expanding brake (drum brake),110.0 kg (242.5 pounds),1280 mm (50.4 inches),1800 mm (70.9 inches),740 mm (29.1 inches),10.2 HP (7.4  kW)) @ 8250 RPM,91.0 km/h (56.5 mph),,,Single Overhead Cams (SOHC),,,0.0926 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,Electric & kick,,57.0 x 48.6 mm (2.2 x 1.9 inches),Automatic twist and go,,,,,,,CDI,,Single sided trailing link with hydraulic shock absorber,hydraulic shock absorber,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 350 Style,2007,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",343.5 ccm (20.96 cubic inches),"Twin, two-stroke",32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,Carburettor,Air,4-speed,,,Single disc,Expanding brake (drum brake),149.0 kg (328.5 pounds),,,,22.8 HP (16.6  kW)) @ 5250 RPM,125.0 km/h (77.7 mph),9.8:1,,Overhead Cams (OHC),,,0.1530 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,1370 mm (53.9 inches),13.50 litres (3.57 US gallons),Kick,,58.0 x 65.0 mm (2.3 x 2.6 inches),,,,,,,"Red, white, black, blue, green",,,Telescopic forks,Telescopic units,,160 mm (6.3 inches),2.80 litres (0.74 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBF 600,2007,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 8000 RPM,Carburettor. 4 x 34 mm of equal pressure carburetors,Liquid,6-speed,120/70-17 ,160/60-17 ,Double disc. Double piston brake pliers (optional with ABS),Single disc. Piston brake pliers (optional with ABS),194.0 kg (427.7 pounds),1110 mm (43.7 inches),2170 mm (85.4 inches),765 mm (30.1 inches),76.4 HP (55.8  kW)) @ 10500 RPM,,11.6:1,,,Chain   (final drive),,0.3940 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1480 mm (58.3 inches),19.00 litres (5.02 US gallons),Electric,,65.0 x 45.2 mm (2.6 x 1.8 inches),,,,,,,"Red Metallic, Black Metallic, Silver Metallic, Candy Xenon Blue",,,,,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF 150 R Expert,2007,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,Carburettor.  Keihin 32mm flat slide with throttle position sensor (TPS),Liquid,5-speed,70/100-19 ,90/90-16 ,Single disc,Single disc,77.0 kg (169.7 pounds),,,,,,,,Single Overhead Cams (SOHC),,,,"866 mm (34.1 inches) If adjustable, lowest setting.",335 mm (13.2 inches),1285 mm (50.6 inches),4.31 litres (1.14 US gallons),,Model ID: CRF150RB,66.0 x 43.7 mm (2.6 x 1.7 inches),,,,,27.0°,,Red,,96 mm (3.8 inches),37 mm fully adjustable leading-axle inverted Showa cartridge fork,Pro-Link fully adjustable Showa single shock,,190 mm (7.5 inches),,,274 mm (10.8 inches),292 mm (11.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 50 SX,2007,"Minibike, cross"," 3.0  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,Carburettor.  Dell´Orto PHBG 19 BS,Liquid,,,,Single disc,Single disc,38.8 kg (85.5 pounds),,,,,,,1,,Chain   (final drive),Central double-cradle-type frame,,"650 mm (25.6 inches) If adjustable, lowest setting.",255 mm (10.0 inches),1030 mm (40.6 inches),1.80 litres (0.48 US gallons),Kick,,39.5 x 40.0 mm (1.6 x 1.6 inches),"Centrifugal clutch, adjustable",,,Aluminium,24.0°,,,Seletra analogue,,"Marzocchi, 23 mm",WP monoshock,"0,15 - 0,2 l Motorex ATF Super",140 mm (5.5 inches),,,115 mm (4.5 inches),185 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Reflex Sport ABS,2007,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,Carburettor.  30mm CV with auto-enricher,Liquid,,110/90-13 ,130/70-12 ,Single disc,Single disc,171.9 kg (379.0 pounds),,,,,,10.5:1,2,Single Overhead Cams (SOHC),Belt   (final drive),,,"719 mm (28.3 inches) If adjustable, lowest setting.",,1544 mm (60.8 inches),12.11 litres (3.20 US gallons),,Model ID: NSS250AS,72.7 x 60.0 mm (2.9 x 2.4 inches),,,,,,,Red,Fully transistorized,,33mm hydraulic fork,Single-side swingarm with dual hydraulic shocks with seven-position spring-preload adjustability,,220 mm (8.7 inches),,,99 mm (3.9 inches),119 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Dakota 4 Highway,2007,Touring," 2.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1845.0 ccm (112.58 cubic inches),"In-line four, four-stroke",117.0 Nm (11.9 kgf-m or 86.3 ft.lbs),Injection. Multi-port sequential fuel-injection,Air,,130/90-16 ,170/80-15 ,Single disc,Expanding brake (drum brake),,1195 mm (47.0 inches),2510 mm (98.8 inches),,95.0 HP (69.3  kW)) @ 3800 RPM,,,2,Overhead Valves (OHV),Shaft drive (cardan)   (final drive),"Cradle, triple braced. Seamless tubular steel.",,,113 mm (4.4 inches),1740 mm (68.5 inches),18.00 litres (4.76 US gallons),,,,,7.40 litres/100 km (13.5 km/l or 31.79 mpg),171.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,333.0 kg (734.1 pounds),,Distributorless wasted spark,,Telescopic fork,Koni Dial-A-Ride.,,320 mm (12.6 inches),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,
Aprilia SXV 4.5,2007,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"V2, four-stroke",,Injection.  Integrated engine management system controlling ignition and fuel injection.,Liquid,5-speed,120/70-17 ,180/55-17 ,Single disc,Single disc,,,2222 mm (87.5 inches),800 mm (31.5 inches),,,12.5:1,4,Single Overhead Cams (SOHC),,Steel perimeter frame with alloy vertical members.,,"918 mm (36.1 inches) If adjustable, lowest setting.",318 mm (12.5 inches),1495 mm (58.9 inches),7.80 litres (2.06 US gallons),,,76.0 x 49.5 mm (3.0 x 1.9 inches),"Multiple discs in oil bath, cable operated.",,,,,,Aprilia Black / Fluo Red,Electronic,,"Ø 48 mm upside down fork, double adjustment.",Box section aluminium swingarm with cast body.,Dry sump with external oil tank. Separate gearbox lubrication.,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 1250 ABS,2007,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1254.8 ccm (76.57 cubic inches),"In-line four, four-stroke",,Injection,Liquid,6-speed,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,229.0 kg (504.9 pounds),1225 mm (48.2 inches),2130 mm (83.9 inches),,,,10.5:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,"790 mm (31.1 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1480 mm (58.3 inches),19.00 litres (5.02 US gallons),Electric,,79.0 x 64.0 mm (3.1 x 2.5 inches),,,,,,,"Black, Red",Digital/Transistorized,,"Telescopic, oil damped, preload adjustable","Link-type suspension, 7-way adjustable preload, 4-way adjustable rebound",Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 1000 S,2007,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",,Injection,Liquid,6-speed,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,186.0 kg (410.1 pounds),1170 mm (46.1 inches),2085 mm (82.1 inches),745 mm (29.3 inches),,,11.6:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,"800 mm (31.5 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1430 mm (56.3 inches),17.00 litres (4.49 US gallons),,,98.0 x 66.0 mm (3.9 x 2.6 inches),,,,,,,"Black, Blue",Digital/Transistorized,,"Telescopic, cartridge-type, adjustable preload, adjustable compression  and  rebound damping","Link-type, adjustable preload, adjustable compression  and  rebound damping",Wet Sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ250FSE - Special Edition,2007,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,Liquid,5-speed,,,Single disc,Single disc,92.0 kg (202.8 pounds),1302 mm (51.3 inches),2166 mm (85.3 inches),825 mm (32.5 inches),,,12.5:1,5,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,"997 mm (39.3 inches) If adjustable, lowest setting.",372 mm (14.6 inches),1496 mm (58.9 inches),7.00 litres (1.85 US gallons),Kick,,77.0 x 53.6 mm (3.0 x 2.1 inches),,,,,,,,CDI,,Telescopic fork,Monocross,Dry sump,245 mm (9.6 inches),,,300 mm (11.8 inches),307 mm (12.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ6 Fazer S2,2007,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",63.1 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6440 RPM,Injection,Liquid,6-speed,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,186.0 kg (410.1 pounds),1210 mm (47.6 inches),2095 mm (82.5 inches),750 mm (29.5 inches),96.6 HP (70.5  kW)) @ 4750 RPM,,12.2:1,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),"Aluminium die-cast, diamond shaped",0.5191 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1440 mm (56.7 inches),19.40 litres (5.13 US gallons),Electric,Optional ABS brakes.,65.5 x 44.5 mm (2.6 x 1.8 inches),"Wet, multiple-disc",,,,,,,TCI,,Telescopic forks,Swingarm (monocross),Wet sump,245 mm (9.6 inches),,,130 mm (5.1 inches),120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem RX3,2007,"Minibike, cross"," 3.4  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell´Orto PHBG 19 BS,Liquid,,2.5-12 ,2.75-10 ,,,42.0 kg (92.6 pounds),,,,12.8 HP (9.3  kW)) @ 13500 RPM,,15.5:1,,,,Seel tubes with alluminium swing-arm brake pedaland Rear Body,0.3048 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,,,,,39.0 x 41.8 mm (1.5 x 1.6 inches),Automatic centrifugal clutch in oil bath,,,,,,,Electronic with microchip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTC Heritage Softail Classic,2007,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.0 ccm (95.98 cubic inches),"V2, four-stroke",119.2 Nm (12.2 kgf-m or 87.9 ft.lbs) @ 2750 RPM,Injection. Electronic Sequential Port Fuel Injection,Air,6-speed,MT90-B16 ,150/80-B16 ,Single disc,Single disc,328.9 kg (725.0 pounds),,2400 mm (94.5 inches),,,,9.2:1,,,Belt   (final drive),,,"696 mm (27.4 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1638 mm (64.5 inches),18.92 litres (5.00 US gallons),,,95.3 x 111.3 mm (3.8 x 4.4 inches),Multi-plate with diaphragm spring in oil bath,4.43 litres/100 km (22.6 km/l or 53.10 mpg),102.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered shorty duals",32.0°,340.2 kg (750.0 pounds),"Vivid black, black cherry pearl, deep cobalt pearl, pewter pearl (new), white gold pearl (new), two-tone suede blue pearl and vivid black (new), two-tone black cherry pearl and pewter pearl (new), two-tone fire red pearl and black pearl (new), two-tone de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Superlight 150,2007,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 6500 RPM,,Air,,,,Single disc,Expanding brake (drum brake),135.0 kg (297.6 pounds),1025 mm (40.4 inches),2200 mm (86.6 inches),800 mm (31.5 inches),12.7 HP (9.3  kW)) @ 8500 RPM,94.0 km/h (58.4 mph),9.2:1,,Overhead Cams (OHC),,,0.0943 HP/kg,,120 mm (4.7 inches),1440 mm (56.7 inches),15.00 litres (3.96 US gallons),Electric & kick,Battery 12v6ah,62.0 x 0.0 mm (2.4 x  inches),"Wet Shoe, Multiplate",2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,150.0 kg (330.7 pounds),Multicolored,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Titanium,2007,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1130.0 ccm (68.95 cubic inches),"In-line three, four-stroke",122.0 Nm (12.4 kgf-m or 90.0 ft.lbs) @ 6750 RPM,Injection.  Electronic injection with 1 injector per cylinder,Liquid,6-speed,120/70-17 ,120/70-17 ,Double disc. Bremo,Single disc. Bremo,199.0 kg (438.7 pounds),,,,135.4 HP (98.9  kW)) @ 9250 RPM,,11.5:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,0.6806 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,1419 mm (55.9 inches),,,,88.0 x 62.0 mm (3.5 x 2.4 inches),Wet clutch,,,Titanium,,,,Single coil inductive discharge electronic ignition,,Marzocchi “upside down” fork,ASD steel tube trellis swingarm,Wet sump,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL110-11,2007,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,106.7 ccm (6.51 cubic inches),"Single cylinder, four-stroke",,,,,,,,,90.0 kg (198.4 pounds),1020 mm (40.2 inches),1880 mm (74.0 inches),685 mm (27.0 inches),6.3 HP (4.6  kW)) @ 8000 RPM,80.0 km/h (49.7 mph),,,,,,0.0700 HP/kg,,,1225 mm (48.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Mulhacén 125ST Freexter,2007,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",,Carburettor. Keihin,Liquid,6-speed,100/70-17 ,140/70-17 ,Single disc. Vented inox,Single disc. Vented inox,,1140 mm (44.9 inches),2030 mm (79.9 inches),,,,12.0:1,4,,,,,,,1340 mm (52.8 inches),12.00 litres (3.17 US gallons),Electric & kick,Naked bike.,58.0 x 47.0 mm (2.3 x 1.9 inches),Automatic,,,,,,White/orange,,,Upside down hydraulic fork,Single shock,,220 mm (8.7 inches),,,100 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 1600 Nomad,2007,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1552.0 ccm (94.70 cubic inches),"V2, four-stroke",,Injection,Liquid,5-speed,150/80-x16 ,170/70-x16 ,Double disc,Single disc,350.2 kg (772.0 pounds),1506 mm (59.3 inches),2515 mm (99.0 inches),1039 mm (40.9 inches),,,9.0:1,4,Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),"High-tensile steel, double cradle",,"719 mm (28.3 inches) If adjustable, lowest setting.",,1689 mm (66.5 inches),20.06 litres (5.30 US gallons),Electric,,102.0 x 95.0 mm (4.0 x 3.7 inches),,,,,32.0°,,"Ebony, Two-Tone: Ebony / Metallic Titanium, Two-Tone: Candy Cardinal Red / Metallic Titanium",TCBI dual plug with digital advance,,41mm hydraulic fork / 5.9 in.,Dual air-assisted shocks with four-way rebound damping  / 3.9 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Roadliner S,2007,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1851.9 ccm (113.00 cubic inches),"V2, four-stroke",,Injection.  Twin-bore w/throttle position sensor,Air,5-speed,130/70-18 ,190/60-17 ,Double disc,Single disc,319.8 kg (705.0 pounds),1100 mm (43.3 inches),2581 mm (101.6 inches),1100 mm (43.3 inches),,,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),Belt   (final drive),,,"734 mm (28.9 inches) If adjustable, lowest setting.",155 mm (6.1 inches),1715 mm (67.5 inches),,,,100.0 x 118.0 mm (3.9 x 4.6 inches),,,,,,,"Candy read, Silver",Digital TCI,,46mm telescopic fork with adjustable preload,"Single shock, link-type",,320 mm (12.6 inches),,,135 mm (5.3 inches),109 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL90GY,2007,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, four-stroke",,,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),60.0 kg (132.3 pounds),950 mm (37.4 inches),1430 mm (56.3 inches),760 mm (29.9 inches),5.1 HP (3.7  kW)) @ 6000 RPM,,,,,,,0.0848 HP/kg,,,1055 mm (41.5 inches),,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Thunderbird,2007,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",27.5 Nm (2.8 kgf-m or 20.3 ft.lbs) @ 3500 RPM,Carburettor. CV,Air,4-speed,,,Expanding brake (drum brake),Expanding brake (drum brake),163.0 kg (359.4 pounds),,,,18.0 HP (13.1  kW)) @ 5600 RPM,110.0 km/h (68.4 mph),7.3:1,,Overhead Valves (OHV),Chain   (final drive),,0.1104 HP/kg,,140 mm (5.5 inches),1370 mm (53.9 inches),14.50 litres (3.83 US gallons),Kick,Available in India. Optional electric starter and front disk brake.,70.0 x 90.0 mm (2.8 x 3.5 inches),Wet mulitiplate,,,,,,"Black, red",Digital TCI,,,,Dry sump,152 mm (6.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SMR510 Supermoto,2007,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,Carburettor.  41mm Keihin FCR,Liquid,6-speed,,,Single disc,Single disc. Bremo,109.0 kg (240.3 pounds),,,,,,,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,,,,,Electric & kick,,97.0 x 67.8 mm (3.8 x 2.7 inches),"Wet, multiplate",,,,,,Red/white,,,Marzoochi,Ohlins,,240 mm (9.4 inches),,"New 50 mm Marzocchi forks, tried and tested in World series races by Adrien Chareyre are now fitted to the machines. There is also a new steering head that accommodates a 205 mm hub and features a “mono-bolt” upper plate The Sachs shock absorbers have been completely re-calibrated in line with the new front end set-up. The handlebars are fully adjustable (better suited to Motard) and come complete with plastic hand guards. The new digital instrument panel and more powerful headlight are particularly important for off-roading. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Dakota 4si,2007,Custom / cruiser," 2.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1845.0 ccm (112.58 cubic inches),"In-line four, four-stroke",117.0 Nm (11.9 kgf-m or 86.3 ft.lbs),Injection. Multi-port sequential fuel-injection,Air,,130/90-16 ,170/80-15 ,Single disc. Optional double disc,Expanding brake (drum brake),,1195 mm (47.0 inches),2510 mm (98.8 inches),,95.0 HP (69.3  kW)) @ 3800 RPM,,,2,Overhead Valves (OHV),Shaft drive (cardan)   (final drive),"Cradle, triple braced. Seamless tubular steel.",,,113 mm (4.4 inches),1740 mm (68.5 inches),22.00 litres (5.81 US gallons),Electric,,85.7 x 80.0 mm (3.4 x 3.1 inches),,7.00 litres/100 km (14.3 km/l or 33.60 mpg),162.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,31.0°,330.0 kg (727.5 pounds),,Distributorless wasted spark,,Telescopic fork,Koni Dial-A-Ride.,,320 mm (12.6 inches),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,
Aprilia SR 50 R,2007,Scooter," 3.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,Carburettor.  Dell’Orto PHVA 17.5.,Liquid,Automatic,130/60-13 ,130/60-13 ,Single disc,Single disc,,,1860 mm (73.2 inches),,,,12.1:1,,Single Overhead Cams (SOHC),Belt   (final drive),,,"820 mm (32.3 inches) If adjustable, lowest setting.",,1290 mm (50.8 inches),7.00 litres (1.85 US gallons),Electric,,40.0 x 39.3 mm (1.6 x 1.5 inches),Automatic centrifugal dry clutch.,,,,,,,,,Hydraulic fork,Engine unit acting as swingarm,Separate mixing with mechanical oil pump.,190 mm (7.5 inches),,,90 mm (3.5 inches),70 mm (2.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Macbor XC512S,2007,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell´Ortho,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,1490 mm (58.7 inches),,,,,,,Chain   (final drive),,,"650 mm (25.6 inches) If adjustable, lowest setting.",,1035 mm (40.8 inches),3.25 litres (0.86 US gallons),Kick,Intended for children.,39.0 x 41.7 mm (1.5 x 1.6 inches),,,,,,,Blue,,,Mechanical fork,Single shock absorber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 250 R,2007,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,Carburettor.  38.0mm Mikuni TMX flat-slide with throttle position sensor (TPS),Liquid,5-speed,80/0-21 ,110/90-19 ,Single disc,Single disc,96.6 kg (213.0 pounds),,,,,,8.5:1,,,Chain   (final drive),,,"942 mm (37.1 inches) If adjustable, lowest setting.",338 mm (13.3 inches),1481 mm (58.3 inches),7.57 litres (2.00 US gallons),,Model ID: CR250R,66.4 x 72.0 mm (2.6 x 2.8 inches),,,,,26.5°,,Red,CD with three-dimensional mapping and electronic advance,110 mm (4.3 inches),47.0mm inverted Showa cartridge fork with 16-position rebound and 16-position compression-damping adjustability,"Pro-Link Showa single shock with spring-preload, 17-position rebound-damping adjustability, and compression-damping adjustment separated into low-speed (13 positions) and high-speed (3.5 turns)",,240 mm (9.4 inches),,,315 mm (12.4 inches),320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Qlink Achilles 150,2007,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",147.0 ccm (8.97 cubic inches),"Single cylinder, four-stroke",9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 6000 RPM,,Air,,110/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),110.9 kg (244.5 pounds),,,,9.4 HP (6.9  kW)),,9.2:1,,,,,0.0848 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1389 mm (54.7 inches),6.51 litres (1.72 US gallons),Electric & kick,,58.0 x 57.8 mm (2.3 x 2.3 inches),,,,,,,Red/black,CDI,,Telescopic Fork,Damping Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
