Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Fuel system,Fuel control,Ignition,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Light,Modifications compared to previous model,Top speed,Bore x stroke,Wheels,"Weight incl. oil, gas, etc",Cooling system,Front tire,Rear tire,Overall height,Overall length,Overall width,Fuel capacity,Starter,Compression,Valves per cylinder,Gearbox,Frame type,Diameter,Color options,Lubrication system,Clutch,Carrying capacity,Fuel consumption,Greenhouse gases,Driveline,Oil capacity,Electrical,Seat height
Crocker Crocker-twin,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,,Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,,,177.0 km/h (110.0 mph),,Spoked,,Oil & air,,,,,,,,,,,,,,,,,,,,,,
BMW R17,1937,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",736.0 ccm (44.91 cubic inches),"Two cylinder boxer, four-stroke",,33.0 HP (24.1  kW)) @ 4500 RPM,Carburettor. Amal 26mm,Overhead Valves (OHV),Battery,Shaft drive (cardan)   (final drive),Cartridge,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),,,,1380 mm (54.3 inches),,,140.0 km/h (87.0 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),,165.0 kg (363.8 pounds),Air,3.5-19 ,3.5-19 ,940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),14.00 litres (3.70 US gallons),Kick,6.5:1,,4-speed,Steel-double cradlel,200 mm (7.9 inches),,Wet sump ,Dry-multiplate-cable operated,,,,,,,
BMW R12 Single Carb,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",,18.0 HP (13.1  kW)) @ 3400 RPM,Carburettor. CK 25mm,Standing valves,Magneto,,Telescopic fork,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,,1380 mm (54.3 inches),,,110.0 km/h (68.4 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),,,,3.5-19 ,3.5-19 ,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),14.00 litres (3.70 US gallons),Kick,5.2:1,,,Steel-pressed-loop,200 mm (7.9 inches),,Forced feed,,,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,
NSU 201 OSL,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",,8.5 HP (6.2  kW)) @ 5000 RPM,Carburettor. Amal,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,120.0 kg (264.6 pounds),0.0708 HP/kg,1285 mm (50.6 inches),,,90.0 km/h (55.9 mph),58.0 x 75.0 mm (2.3 x 3.0 inches),Spoked,,Air,3-19 ,3-19 ,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),11.50 litres (3.04 US gallons),Kick,,,4-speed,,,,,,,,,,,,
Crocker Crocker V-Twin,1937,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",45degree,,Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,
Indian 402,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,,Carburettor,,,Chain   (final drive),Trailing link,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,,,153.0 km/h (95.1 mph),,Spoked,,,,,,,,,,,,,Twin downtube,,,,,,,,,,,
Zündapp K 800,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,791.0 ccm (48.27 cubic inches),"Four cylinder boxer, four-stroke",,22.0 HP (16.1  kW)) @ 4300 RPM,Carburettor. Amal 22mm,,,Shaft drive (cardan)   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,193.0 kg (425.5 pounds),0.1140 HP/kg,,,,125.0 km/h (77.7 mph),62.0 x 66.6 mm (2.4 x 2.6 inches),Spoked,,Air,3.50-19 ,3.50-19 ,,,,12.50 litres (3.30 US gallons),,,,4-speed,,,,,,,,,,,,
Rikuo RT 2,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,22.0 HP (16.1  kW)) @ 4250 RPM,Carburettor. Linkert,Sidevalves,Generator and battery,,Telescopic,,,,Spring-mounted seat,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,Air,,,,,,,,,,4-speed,,,,,Four speed ,,,,,,,
DKW SB 500,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.9 ccm (30.14 cubic inches),"Twin, two-stroke",,15.0 HP (10.9  kW)) @ 4000 RPM,Carburettor. Amal,,,Chain   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),,165.0 kg (363.8 pounds),0.0909 HP/kg,,,,115.0 km/h (71.5 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),,,Air,3.5-19 ,3.5-19 ,,,,13.00 litres (3.43 US gallons),,5.7:1,,,,,,,Oil bath multidisc,,,,,,,
Maico F100 Piccolo Derby,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Chain   (final drive),Coil springs-dual,None,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,,,,48.0 x 54.0 mm (1.9 x 2.1 inches),Spoked,,Air,,,,,,,,,,,,,,,,,,,,,,
Zündapp K 200 Kardan,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,6.5 HP (4.7  kW)) @ 4000 RPM,Carburettor. Bing 20mm,,,Shaft drive (cardan)   (final drive),Telescopic,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,132.0 kg (291.0 pounds),0.0492 HP/kg,,,,80.0 km/h (49.7 mph),60.0 x 70.0 mm (2.4 x 2.8 inches),Spoked,,Air,3-26 ,3-26 ,,,,12.00 litres (3.17 US gallons),Kick,,,4-speed,,,,,,,,,,,,
NSU 601 OSB,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,26.0 HP (19.0  kW)) @ 4950 RPM,Carburettor. Amal,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,150.0 kg (330.7 pounds),0.1733 HP/kg,1420 mm (55.9 inches),,,,85.0 x 99.0 mm (3.3 x 3.9 inches),,,Air,3.50-19 ,3.50-19 ,1000 mm (39.4 inches),2200 mm (86.6 inches),850 mm (33.5 inches),,Kick,,,,,,,,,,,,,,,
BMW R6,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,600.0 ccm (36.61 cubic inches),"Two cylinder boxer, four-stroke",,18.0 HP (13.1  kW)) @ 4500 RPM,Carburettor. Amal ,Overhead Valves (OHV),Battery,Shaft drive (cardan)   (final drive),Telescopic fork,Rigid,Expanding brake (drum brake). Single,Expanding brake (drum brake),,,,1400 mm (55.1 inches),,,125.0 km/h (77.7 mph),70.0 x 78.0 mm (2.8 x 3.1 inches),,175.0 kg (385.8 pounds),Air,3.50-19.00 ,3.50-19.00 ,950 mm (37.4 inches),2130 mm (83.9 inches),800 mm (31.5 inches),15.00 litres (3.96 US gallons),Kick,6.1:1,,3-speed,Steel-double cradlel,200 mm (7.9 inches),,Wet sump ,Dry-single plate-cable operated,,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,
Coventry Eagle Flying 350,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,Chain   (final drive),,,,,,,,,,,97.0 km/h (60.3 mph),,,,Air,,,,,,,,,,,,,,,,,,,,,,
Zündapp K 600,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Four cylinder boxer, four-stroke",,15.0 HP (10.9  kW)) @ 4300 RPM,Carburettor. Amal,,,Shaft drive (cardan)   (final drive),Telescopic,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),,193.0 kg (425.5 pounds),0.0777 HP/kg,,,,100.0 km/h (62.1 mph),53.0 x 66.6 mm (2.1 x 2.6 inches),Spoked,,Air,3.50-19 ,3.50-19 ,,,,,Kick,,,,,,,,,,,,,,,
BMW R5,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",,24.1 HP (17.6  kW)) @ 5500 RPM,Carburettor. Amal ,Overhead Valves (OHV),Battery,Shaft drive (cardan)   (final drive),Telescopic fork,Rigid,Expanding brake (drum brake). Single,Expanding brake (drum brake),,,,1400 mm (55.1 inches),,,140.0 km/h (87.0 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),,165.0 kg (363.8 pounds),Air,3.50-19.00 ,3.50-19.00 ,950 mm (37.4 inches),2130 mm (83.9 inches),800 mm (31.5 inches),15.00 litres (3.96 US gallons),Kick,6.7:1,,4-speed,Steel-double cradlel,200 mm (7.9 inches),,Wet sump ,Dry-single plate,,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,
DKW SB 500A,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Twin, two-stroke",Combined two 247cc cylinders on a single block,,Carburettor. Bing,,,Chain   (final drive),Girder fork coil spring,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),,235.0 kg (518.1 pounds),,1385 mm (54.5 inches),Twin headlights,,115.0 km/h (71.5 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),,,Liquid,3.50-19 ,3.50-19 ,,2125 mm (83.7 inches),,13.00 litres (3.43 US gallons),Electric,5.7:1,,,,,,,Foot-operated,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,"675 mm (26.6 inches) If adjustable, lowest setting."
BMW R4 Series 5,1937,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,14.0 HP (10.2  kW)) @ 4000 RPM,Carburettor. Sum CK 3/500 Fr,Overhead Valves (OHV),,Shaft drive (cardan)   (final drive),Cartridge,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),,,,1303 mm (51.3 inches),,,95.0 km/h (59.0 mph),,,,Air,3.50-26.00 ,3.50-26.00 ,959 mm (37.8 inches),1980 mm (78.0 inches),850 mm (33.5 inches),12.00 litres (3.17 US gallons),Kick,5.7:1,,,Pressed steel duplex,180 mm (7.1 inches),,Wet sump ,Dry-single plate-cable operated,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,
Indian Chief,1937,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,Carburettor. Linkert,,,Chain   (final drive),Telescopic,Plungertype with coil springs,Expanding brake (drum brake),Expanding brake (drum brake),,,,1540 mm (60.6 inches),,,,83.0 x 113.0 mm (3.3 x 4.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,
BSA Empire Star,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,Black-Chrome-Green,,,,,,,,,
Velocette Mac ,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5500 RPM,Carburettor,Overhead Valves (OHV),Magneto,Chain   (final drive),Webb front forks,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,161.0 kg (354.9 pounds),0.1118 HP/kg,1276 mm (50.2 inches),,,120.7 km/h (75.0 mph),68.0 x 96.0 mm (2.7 x 3.8 inches),Spoked,,Air,3.25-19 ,3.50-19 ,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),11.00 litres (2.91 US gallons),Kick,6.8:1,,4-speed,Single cradle,152 mm (6.0 inches),,,Wet multiplate,,,,,,,"700 mm (27.6 inches) If adjustable, lowest setting."
BMW R35,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, four-stroke",,14.0 HP (10.2  kW)) @ 3500 RPM,Carburettor. SUM CK 9/22,Overhead Valves (OHV),Batery,Shaft drive (cardan)   (final drive),Cartridge,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Spring-mounted seat,,,1400 mm (55.1 inches),,,100.0 km/h (62.1 mph),72.0 x 84.0 mm (2.8 x 3.3 inches),,152.0 kg (335.1 pounds),Air,3.50-19 ,3.50-19 ,950 mm (37.4 inches),2000 mm (78.7 inches),800 mm (31.5 inches),12.00 litres (3.17 US gallons),Kick,6.1:1,,4-speed,Steel twin looped,180 mm (7.1 inches),,Wet sump ,Single plate dry-cable operated,200kg,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,
