Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Dry weight,Power/weight ratio,Comments,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Wheelbase,Reserve fuel capacity,Starter,Frame type,Front suspension,Rear suspension,Color options,Electrical,Torque,Diameter,Wheels,Ground clearance,1/4 mile (0.4 km),Fuel consumption,Greenhouse gases,Oil capacity,Engine details,Driveline,Exhaust system,Front wheel travel,Rear wheel travel,Seat,Instruments,Light,Carrying capacity,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear
BSA A 65 Thunderbolt,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 7000 RPM,168.0 km/h (104.4 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1972,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,320.0 kg (705.5 pounds),0.0644 HP/kg,Motorcycle model made 1963-1980.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 125 Enduro (5-speed),1972,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7800 RPM,100.0 km/h (62.1 mph),11.5:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,3.50-18 ,Expanding brake,Expanding brake,124.0 kg (273.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 900 Z 1 Super 4,1972,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",903.0 ccm (55.10 cubic inches),"In-line four, four-stroke",79.0 HP (57.7  kW)) @ 8500 RPM,211.0 km/h (131.1 mph),8.5:1,66.0 x 66.0 mm (2.6 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,247.0 kg (544.5 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 100,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 10500 RPM,110.0 km/h (68.4 mph),9.5:1,50.5 x 49.5 mm (2.0 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,92.0 kg (202.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS,1972,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",88.0 HP (64.2  kW)) @ 6000 RPM,207.0 km/h (128.6 mph),9.8:1,75.0 x 66.6 mm (3.0 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,278.0 kg (612.9 pounds),35.00 litres (9.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 350 F 9,1972,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 6500 RPM,135.0 km/h (83.9 mph),6.8:1,80.5 x 68.0 mm (3.2 x 2.7 inches),,Rotary valves,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,140.0 kg (308.6 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 550 J,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",543.0 ccm (33.13 cubic inches),"In-line three, two-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,170.0 km/h (105.6 mph),6.8:1,61.0 x 62.0 mm (2.4 x 2.4 inches),,Port control,Air,5-speed,Chain   (final drive),3 25-19 ,4.00-18 ,Expanding brake,Expanding brake,195.0 kg (429.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 750 J,1972,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line three, two-stroke",52.0 HP (38.0  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Liquid,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,226.0 kg (498.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 125 Sport,1972,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),12.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,116.0 kg (255.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CL 175,1972,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Twin, four-stroke",19.0 HP (13.9  kW)) @ 9500 RPM,128.7 km/h (80.0 mph),9.0:1,52.0 x 41.0 mm (2.0 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18. ,3.25-18. ,Expanding brake (drum brake),Expanding brake (drum brake),,9.00 litres (2.38 US gallons),129.0 kg (284.4 pounds),0.1473 HP/kg,,10500,Carburettor. Keihin,Contact breaker,Wet Sump,Wet plate,26.0°,90 mm (3.5 inches),"800 mm (31.5 inches) If adjustable, lowest setting.",1052 mm (41.4 inches),1966 mm (77.4 inches),826 mm (32.5 inches),1280 mm (50.4 inches),1.50 litres (0.40 US gallons),Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 750 Sport,1972,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 7250 RPM,206.0 km/h (128.0 mph),9.8:1,82.5 x 70.0 mm (3.2 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1972,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,180.0 km/h (111.8 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Expanding brake,Expanding brake,240.0 kg (529.1 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3,1972,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8500 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 250 Californian,1972,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5000 RPM,115.0 km/h (71.5 mph),7.8:1,65.0 x 75.0 mm (2.6 x 3.0 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.25-19 ,,Expanding brake,144.0 kg (317.5 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3 D,1972,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 7000 RPM,155.0 km/h (96.3 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch VZ 50,1972,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",3.2 HP (2.3  kW)) @ 4800 RPM,61.0 km/h (37.9 mph),,,,Port control,Air,3-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,Carburettor. Bing 1/12,Bosch 6v,Fuel mix,Wet multiplate,,,,,,,,,Kick,Pressed Steel,Telescopic fork,Dual shocks,"Yellow, red",6v,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SFC,1972,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 7300 RPM,204.0 km/h (126.8 mph),9.6:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,226.0 kg (498.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 2 C,1972,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",13.0 HP (9.5  kW)) @ 7600 RPM,111.0 km/h (69.0 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Baja 100SR,1972,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 8000 RPM,110.0 km/h (68.4 mph),9.5:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,,Air,,Chain   (final drive),3-21 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,9.50 litres (2.51 US gallons),84.0 kg (185.2 pounds),0.1485 HP/kg,,,Carburettor. Dell´Orto MB ,,,"Wet, multiplate",,,"865 mm (34.1 inches) If adjustable, lowest setting.",,1960 mm (77.2 inches),620 mm (24.4 inches),1300 mm (51.2 inches),,Kick,,Telescopic,"Double-Sided Steel Swingarm, Twin Shock Absorbers",,,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),135 mm (5.3 inches),Metzeler,297 mm (11.7 inches),,,,,,,,,,,,,,,,,,,,,,,
MuZ ETS 250 Trophy Sport,1972,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 5000 RPM,130.0 km/h (80.8 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.50-16 ,Expanding brake,Expanding brake,149.0 kg (328.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 120 V Bonneville 650,1972,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7200 RPM,176.0 km/h (109.4 mph),9.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,192.0 kg (423.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 125 Super Scort,1972,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),11.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.50-16 ,3 00-16 ,Expanding brake,Expanding brake,95.0 kg (209.4 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 7 850 GT,1972,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6100 RPM,181.0 km/h (112.5 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,Expanding brake,255.0 kg (562.2 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 100 G4TR,1972,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",11.5 HP (8.4  kW)) @ 8000 RPM,107.0 km/h (66.5 mph),7.0:1,49.5 x 51.8 mm (1.9 x 2.0 inches),,Rotary valves,Air,10-speed,Chain   (final drive),100/90-19 ,100/90-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,9.46 litres (2.50 US gallons),84.0 kg (185.2 pounds),0.1369 HP/kg,Bike has dual range gear box giving 10 gears.,,Carburettor. Mikuni VM19 sc,Fly wheel magneto,,Wet plate,27.5°,100 mm (3.9 inches),,1062 mm (41.8 inches),1948 mm (76.7 inches),840 mm (33.1 inches),1270 mm (50.0 inches),,Kick,,,,,,11.5 Nm (1.2 kgf-m or 8.4 ft.lbs) @ 7000 RPM,,,239 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH 1000-Sportster,1972,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6200 RPM,185.0 km/h (115.0 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 75-5,1972,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6200 RPM,175.0 km/h (108.7 mph),9.0:1,82.0 x 70.6 mm (3.2 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,227.0 kg (500.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha CS5,1972,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",195.0 ccm (11.90 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 7500 RPM,135.0 km/h (83.9 mph),7.1:1,52.0 x 46.0 mm (2.0 x 1.8 inches),5,Port control,,5-speed,Chain   (final drive),3.00-18 ,3.00-18 ,"Expanding brake (drum brake). Right hand operation, cable actuated","Expanding brake (drum brake). Right foot operation, rod actuated",,9.00 litres (2.38 US gallons),117.0 kg (257.9 pounds),0.1880 HP/kg,1972 was only year CS5 was manufactured,,Carburettor. VM20SC x 2,Battery,Seperate Lubrication,"Multi-disc, Wet",27.5°,95 mm (3.7 inches),,1035 mm (40.7 inches),1935 mm (76.2 inches),835 mm (32.9 inches),1245 mm (49.0 inches),,Electric & kick,"Steel tubing, diamond structure",Telescopic fork,Swing arm,Purple/White,,21.3 Nm (2.2 kgf-m or 15.7 ft.lbs) @ 7000 RPM,,,155 mm (6.1 inches),16.00 seconds,2.85 litres/100 km (35.1 km/l or 82.53 mpg),66.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,1.90 litres (2.01 US quarts),,,,,,,,,,,,,,,,,,,
Suzuki GT 380 J,1972,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",371.0 ccm (22.64 cubic inches),"In-line three, two-stroke",32.0 HP (23.4  kW)) @ 7500 RPM,168.0 km/h (104.4 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,182.0 kg (401.2 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125,1972,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5750 RPM,100.0 km/h (62.1 mph),8.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",78.0 HP (56.9  kW)) @ 7750 RPM,209.0 km/h (129.9 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),4.10-18 ,4.25-18 ,Expanding brake,Expanding brake,243.0 kg (535.7 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 S,1972,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9200 RPM,220.0 km/h (136.7 mph),9.5:1,65.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3,1972,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,145.0 km/h (90.1 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 F,1972,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9000 RPM,179.0 km/h (111.2 mph),9.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.50-18 ,Single disc,Expanding brake,202.0 kg (445.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 250 S 1 Mach I,1972,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line three, two-stroke",28.0 HP (20.4  kW)) @ 8000 RPM,150.0 km/h (93.2 mph),7.5:1,45.0 x 52.3 mm (1.8 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,150.0 kg (330.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 250,1972,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5000 RPM,115.0 km/h (71.5 mph),7.8:1,65.0 x 75.0 mm (2.6 x 3.0 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.25-19 ,Expanding brake,Expanding brake,140.0 kg (308.6 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 250,1972,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 7000 RPM,112.7 km/h (70.0 mph),6.4:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,9.46 litres (2.50 US gallons),111.1 kg (245.0 pounds),0.2070 HP/kg,,,Carburettor. VM26SH Mikuni,contact breaker point,,wet plate,,,,,,,,,Kick,,,,manderine orange,,17.5 Nm (1.8 kgf-m or 12.9 ft.lbs) @ 6500 RPM,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,
Triumph T 150 V Trident 750,1972,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",60.0 HP (43.8  kW)) @ 7250 RPM,194.0 km/h (120.5 mph),8.3:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Single disc,Expanding brake,228.0 kg (502.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 GT,1972,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",69.0 HP (50.4  kW)) @ 8450 RPM,205.0 km/h (127.4 mph),9.5:1,65.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,246.0 kg (542.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweirad-Union RT 125 E,1972,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 4500 RPM,120.0 km/h (74.6 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Expanding brake,Expanding brake,108.0 kg (238.1 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 GT,1972,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),8.5:1,80.0 x 74.4 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,197.0 kg (434.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
