Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Dry weight,Power/weight ratio,Comments,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Wheelbase,Reserve fuel capacity,Starter,Frame type,Front suspension,Rear suspension,Color options,Electrical,Torque,Diameter,Wheels,Ground clearance,1/4 mile (0.4 km),Fuel consumption,Greenhouse gases,Oil capacity,Engine details,Driveline,Exhaust system,Front wheel travel,Rear wheel travel,Seat,Instruments,Light,Carrying capacity,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear
Kawasaki 125 F 6,1972,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",14.5 HP (10.6  kW)) @ 7500 RPM,110.0 km/h (68.4 mph),7.2:1,52.0 x 58.8 mm (2.0 x 2.3 inches),,Rotary valves,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,111.0 kg (244.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi 350 TV,1972,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7200 RPM,140.0 km/h (87.0 mph),9.0:1,74.0 x 80.0 mm (2.9 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,151.0 kg (332.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 120 R Bonneville 650,1972,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7200 RPM,176.0 km/h (109.4 mph),9.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,192.0 kg (423.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 500 H 1 Mach III,1972,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"In-line three, two-stroke",58.0 HP (42.3  kW)) @ 7750 RPM,186.0 km/h (115.6 mph),6.8:1,60.0 x 58.8 mm (2.4 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki T 250,1972,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,150.0 km/h (93.2 mph),7.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,148.0 kg (326.3 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250,1972,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 10500 RPM,150.0 km/h (93.2 mph),9.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 100 R Daytona,1972,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",40.0 HP (29.2  kW)) @ 7200 RPM,160.0 km/h (99.4 mph),9.0:1,69.0 x 65.5 mm (2.7 x 2.6 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,175.0 kg (385.8 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350,1972,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",25.5 HP (18.6  kW)) @ 5250 RPM,127.0 km/h (78.9 mph),8.0:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.25-19 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ES 250-2 Trophy (with sidecar),1972,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 5000 RPM,100.0 km/h (62.1 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-16 ,3.50-16 ,Expanding brake,Expanding brake,223.0 kg (491.6 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SF,1972,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,195.0 km/h (121.2 mph),8.9:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,231.0 kg (509.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
